id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review
29037068,HUGE & QUIET apartment in the heart of Palermo !,191100639,Ezequiel,,Palermo,-34.588451,-58.419788,Entire home/apt,8177,30,20,2019-04-15
29038326,Fliphaus ✔️Large Loft in the heart of Palermo SoHo,1021694,Fliphaus,,Palermo,-34.581741,-58.42664,Entire home/apt,2364,1,147,2021-02-16
29040710,Luminoso Loft/PH para 2 personas en San Telmo,95725797,Nora,,Constitucion,-34.62513,-58.381241,Entire home/apt,2887,15,0,
29046799,Departamento en Buenos Aires. Turismo o Negocios.,162203297,Nestor,,Constitucion,-34.618172,-58.39053,Private room,2500,3,0,
29054611,precioso monoambiente estilo frances.,73228804,Ariel,,San Nicolas,-34.601429,-58.390148,Entire home/apt,973,6,0,
29054655,"Great traditional Apartment, nice View",15466789,Juan,,Recoleta,-34.588329,-58.38467,Entire home/apt,6734,7,0,
29054753,Departamento Aniuta,212878521,Ana Ysabel,,San Nicolas,-34.6007,-58.375229,Entire home/apt,3848,2,15,2018-12-28
29055562,Friends apartsoho,218956166,Leandro,,Palermo,-34.588459,-58.42868,Entire home/apt,3143,2,89,2019-11-30
29057925,"Beautiful duplex with terrace, quiet and light.",6350702,Karin,,Colegiales,-34.576408,-58.458038,Entire home/apt,2400,2,8,2019-03-22
29059374,"Walden Plaza Los Andes (piscina, gym y laundry)",51166524,Mariel,,Chacarita,-34.590302,-58.448811,Entire home/apt,3848,15,9,2020-04-26
29060345,Stunning two bedroom apartment in Palermo,530261,Luciano,,Palermo,-34.582748,-58.423161,Hotel room,11545,5,10,2021-02-13
29061108,PISO 24 A ESTRENAR GRAN VISTA A CIUDAD,6062813,Joaquin,,Puerto Madero,-34.603958,-58.363178,Entire home/apt,8662,3,26,2020-06-01
29062878,TresTerrazas*,218341646,Richard,,Almagro,-34.60973,-58.424469,Entire home/apt,3180,3,14,2019-05-05
29070764,Excelente apartamento en Palermo Soho,6724081,Natalia,,Almagro,-34.599548,-58.424271,Entire home/apt,2337,6,9,2020-01-05
29073449,Belgrano suites apartment,219073158,Belgrano,,Belgrano,-34.560108,-58.457619,Entire home/apt,4233,2,10,2019-12-17
29074620,Kohli-House Pequeño y Encantador,10533266,Emilio,,Constitucion,-34.618568,-58.378201,Entire home/apt,962,2,12,2019-04-07
29077836,"Room in Buenos Aires, 8 blocks from Obelisk",29857685,Tomás,,Balvanera,-34.605019,-58.394501,Private room,960,2,0,
29079252,Nice apartment with excellent location.,219136014,Nancy,,Recoleta,-34.588421,-58.385841,Entire home/apt,5400,3,42,2020-01-16
29079629,"Departamento en Retiro, calle San Martín 941",65762955,Martina,,Retiro,-34.596771,-58.37534,Entire home/apt,3200,7,0,
29080827,Mendoza,216154608,Yohana Cordelia,,Flores,-34.630569,-58.471649,Shared room,750,20,0,
29080874,SIMPÁTICO ESTUDIO 2,93886012,Cecilia,,Belgrano,-34.558788,-58.444469,Entire home/apt,2406,7,12,2019-09-02
29081680,departamento de Luxe,40032138,Paula,,Belgrano,-34.552849,-58.456242,Entire home/apt,1900,4,2,2019-12-21
29083057,♡ Casa Soleada ♡ Bright Home ♡,69851274,Mercedes,,Nuñez,-34.549332,-58.460491,Entire home/apt,3944,2,51,2020-02-01
29091609,Apartment in sunny corner of Palermo,196576528,Julio,,Palermo,-34.59277,-58.415939,Entire home/apt,5291,4,8,2019-07-29
29092256,Mendoza,216154608,Yohana Cordelia,,Flores,-34.630711,-58.470188,Shared room,1154,1,1,2018-10-13
29092382,Departamento de Alquiler temporario,101817517,Diego,,Palermo,-34.594471,-58.416561,Private room,2535,1,0,
29092586,Newly recycled studio in Palermo Hollywood,88720198,Laura & Claudio,,Palermo,-34.579842,-58.431412,Entire home/apt,4329,2,56,2020-03-16
29093041,"New, stylish and bright Studio at Palermo SoHo",147751641,Eugenia,,Recoleta,-34.59441,-58.414471,Entire home/apt,3848,3,6,2019-02-01
29095463,Urban and Beautiful Studio in Palermo Hollywood,57721795,Luisana,,Palermo,-34.578419,-58.43626,Entire home/apt,2886,3,3,2018-11-23
29097447,Happy home in Buenos Aires,1694217,Mercedes,,Belgrano,-34.557781,-58.455631,Entire home/apt,2694,1,45,2020-06-01
29097941,Departamento en el centro histórico d Buenos Aires,81335028,Patricia,,Monserrat,-34.610851,-58.38961,Entire home/apt,1635,3,17,2019-08-11
29099070,SUPER FRIENDLY PALERMO - 3 bedrooms - 5 pax,153184283,Valeria,,Palermo,-34.577862,-58.431419,Entire home/apt,5773,3,42,2019-07-23
29100319,Monoambiente comodo en la zona centrica de BS AS.,185771754,Victor,,San Nicolas,-34.604172,-58.39011,Entire home/apt,2405,3,41,2019-10-27
29100417,Delicioso departamento en el barrio histórico.,219316926,Valentina,,San Telmo,-34.619331,-58.373569,Entire home/apt,2309,2,31,2018-11-28
29100872,PRIVATE ROOM INPALERMO/Habitación privadaenPalermo,219321044,Guillermo,,Palermo,-34.582451,-58.42112,Private room,1732,1,23,2019-01-24
29101063,Recoleta: exceptional views and comfort,219320407,Maria Teresa,,Recoleta,-34.586128,-58.38504,Entire home/apt,9428,3,19,2019-01-27
29101453,Confortable departamento cercano al Obelisco,213229089,Alejandra,,San Nicolas,-34.601341,-58.379459,Entire home/apt,2694,3,69,2019-09-26
29102845,Studio 5 estrellas,40032138,Paula,,Caballito,-34.605511,-58.432171,Entire home/apt,1950,7,0,
29104096,CASA PALERMO/COLEGIALES PARA  VACACIONAR EN BAIRES,121337986,Mario,,Palermo,-34.571289,-58.44014,Entire home/apt,18416,7,0,
29104119,Apartamento Belmonte lV semipiso de categoría,94414511,Sergio,,Liniers,-34.640289,-58.51965,Entire home/apt,3500,4,14,2019-10-10
29104276,DUEÑOSGROUP,214610742,Julia,,Retiro,-34.588169,-58.384159,Private room,5772,4,1,2018-11-18
29105255,La casita,215301142,Gisel,,Balvanera,-34.609779,-58.403069,Private room,1251,3,0,
29107196,DEPTO PUEYRREDON 225 CABA,219359921,Guillermo Gustavo,,Balvanera,-34.607311,-58.405941,Entire home/apt,693,7,7,2019-12-13
29107748,Cozy atypical ground floor flat,124248745,Flor,,Belgrano,-34.552849,-58.450439,Entire home/apt,2886,4,1,2018-11-17
29115098,Recoleta Apartment - 2 Dormitorios,155248477,ApartsBA,,Retiro,-34.597691,-58.386799,Entire home/apt,5772,5,0,
29116978,Paraguay & Medrano - Palermo,155248477,ApartsBA,,Palermo,-34.590839,-58.416649,Entire home/apt,3078,3,2,2019-01-21
29117275,Cozy room for female guest in apt with terrace,219424922,Salome,,Villa Crespo,-34.598919,-58.430771,Private room,1924,2,0,
29117540,En-Suite bedroom with patio and heated pool.,126273824,Joe,,San Telmo,-34.625481,-58.374809,Private room,7558,1,0,
29118843,Amazing location ! + Sunny + universities obelisk,14078814,Jose,,San Nicolas,-34.599979,-58.37899,Entire home/apt,1155,20,5,2020-05-31
29120584,Luminoso loft para 4 personas en el Centro,3469227,Federico,,Retiro,-34.591721,-58.38002,Entire home/apt,3656,5,3,2021-02-11
29121163,"Studio excelent location, modern & confortable",219450996,Martin,,Constitucion,-34.618069,-58.38448,Entire home/apt,961908,3,8,2019-02-18
29122808,Beautiful and bright appartment in Retiro,208580339,Lucila Y Guido,,Retiro,-34.594891,-58.378441,Entire home/apt,2100,3,31,2019-09-01
29123380,"Amplio dúplex, area audiovisual, Colegiales.",137002750,Mariana,,Colegiales,-34.575611,-58.456749,Entire home/apt,9143,3,0,
29123931,"Elegant 1 Bedroom Apartment in Alvear Av, Recoleta",63965589,Barbara,,Retiro,-34.58902,-58.38488,Entire home/apt,10582,3,0,
29124255,Apartamento frente a fundación hospitalaria,117724266,Laura,,Saavedra,-34.54353,-58.478512,Entire home/apt,2500,4,12,2018-11-07
29125994,Comfortable Apartament,63641960,Silvia,,Puerto Madero,-34.617531,-58.362091,Entire home/apt,3463,2,50,2020-03-18
29127621,Tute,219500587,Matias,,Balvanera,-34.599411,-58.404091,Private room,960,1,2,2018-11-30
29128448,Explore Nightlife Near a Cool Studio in Trendy Las Cañitas,172066524,Jesica,,Palermo,-34.569199,-58.431961,Entire home/apt,2886,1,47,2021-03-05
29131046,Studio en el Centro con balcon,55553719,For Rent Argentina,,San Nicolas,-34.60619,-58.390678,Entire home/apt,4040,7,1,2018-10-14
29135870,Studio apartments Buenos Aires,117180296,Daniel,,San Nicolas,-34.60466,-58.378189,Entire home/apt,3367,2,0,
29141850,Departamento tipo Casa en Belgrano cerca de todo,216193370,Maria Jose,,Colegiales,-34.567429,-58.452549,Entire home/apt,1540,4,22,2019-10-20
29147597,LOFT C/PISCINA/VIGILANCIA  HASTA 40% DE DESCUENTO!,28074169,Flavia,,Recoleta,-34.595772,-58.407829,Entire home/apt,5429,30,1,2018-11-27
29153004,Apartamento en Recoleta muy luminoso,3469227,Federico,,Recoleta,-34.590919,-58.402458,Entire home/apt,4233,1,2,2021-04-30
29154040,"Ambiente y medio nuevo en Nuñez, cama + sofacama",44168030,Dana,,Belgrano,-34.551479,-58.45414,Entire home/apt,3500,2,10,2019-09-23
29157386,Cómodo apartamento para 4 personas en el Centro,3469227,Federico,,San Nicolas,-34.602489,-58.377338,Entire home/apt,7216,4,0,
29158573,Amplio studio con amenities en Palermo,3469227,Federico,,Almagro,-34.598789,-58.41457,Entire home/apt,5772,3,0,
