"lsoa11cd","date","lsoa11nm","Method of Travel to Work: All categories: Method of travel to work; measures: Value","Method of Travel to Work: Work mainly at or from home; measures: Value","Method of Travel to Work: Underground, metro, light rail, tram; measures: Value","Method of Travel to Work: Train; measures: Value","Method of Travel to Work: Bus, minibus or coach; measures: Value","Method of Travel to Work: Taxi; measures: Value","Method of Travel to Work: Motorcycle, scooter or moped; measures: Value","Method of Travel to Work: Driving a car or van; measures: Value","Method of Travel to Work: Passenger in a car or van; measures: Value","Method of Travel to Work: Bicycle; measures: Value","Method of Travel to Work: On foot; measures: Value","Method of Travel to Work: Other method of travel to work; measures: Value","Method of Travel to Work: Not in employment; measures: Value"
"E01006579",2011,"Liverpool 034D",1177,72,2,20,139,5,3,463,51,10,31,4,377
"E01006580",2011,"Liverpool 036B",1015,66,0,13,87,3,4,453,38,7,32,8,304
"E01006581",2011,"Liverpool 036C",1152,54,0,14,101,3,1,498,39,13,51,3,375
"E01006582",2011,"Liverpool 041A",1192,71,6,19,113,0,5,500,45,15,41,3,374
"E01006583",2011,"Liverpool 047C",1408,101,2,17,84,5,1,467,46,5,40,1,639
"E01006584",2011,"Liverpool 034E",1042,48,0,55,75,8,3,369,45,10,56,3,370
"E01006585",2011,"Liverpool 032B",1005,27,2,26,109,9,3,215,33,8,56,3,514
"E01006586",2011,"Liverpool 032C",1460,42,2,24,173,16,3,451,56,26,79,3,585
"E01006587",2011,"Liverpool 032D",1280,63,2,63,109,11,5,430,37,18,66,1,475
"E01006588",2011,"Liverpool 042C",1264,75,1,35,193,3,6,393,34,11,77,3,433
"E01006589",2011,"Liverpool 041B",1116,60,0,13,151,3,7,459,40,13,40,3,327
"E01006590",2011,"Liverpool 042D",1369,45,5,41,230,11,0,395,53,23,99,4,463
"E01006591",2011,"Liverpool 041C",1289,56,3,25,173,5,0,485,32,23,62,3,422
"E01006592",2011,"Liverpool 041D",1136,107,2,11,95,1,5,446,26,23,44,3,373
"E01006593",2011,"Liverpool 042E",1255,51,2,23,187,7,4,415,38,28,78,5,417
"E01006594",2011,"Liverpool 047D",1054,72,1,17,54,1,3,469,30,6,24,4,373
"E01006595",2011,"Liverpool 049B",1313,55,5,65,115,4,3,505,47,15,80,3,416
"E01006596",2011,"Liverpool 049C",1095,57,3,23,105,7,4,425,45,18,69,3,336
"E01006597",2011,"Liverpool 041E",1232,85,3,30,111,4,0,512,29,11,47,5,395
"E01006598",2011,"Liverpool 010A",927,19,2,4,125,8,2,142,15,6,43,3,558
"E01006599",2011,"Liverpool 010B",778,11,0,3,138,10,1,129,20,10,39,1,416
"E01006600",2011,"Liverpool 011A",1030,34,0,7,153,12,6,251,32,6,63,5,461
"E01006603",2011,"Liverpool 011B",1025,24,1,9,150,8,4,240,35,9,42,4,499
"E01006604",2011,"Liverpool 016A",1019,19,0,9,150,8,3,297,36,9,49,3,436
"E01006605",2011,"Liverpool 016B",1121,40,1,7,162,15,4,262,43,9,42,1,535
"E01006606",2011,"Liverpool 020A",1155,27,3,12,153,16,4,350,50,7,46,2,485
"E01006607",2011,"Liverpool 008A",1084,17,4,6,167,10,7,255,51,9,49,3,506
"E01006608",2011,"Liverpool 009A",926,26,0,10,107,9,0,310,40,12,41,4,367
"E01006609",2011,"Liverpool 009B",975,26,0,9,148,7,1,263,34,9,55,1,422
"E01006610",2011,"Liverpool 009C",1015,22,0,17,174,10,1,213,41,7,59,1,470
"E01006611",2011,"Liverpool 012A",994,7,0,23,188,12,1,142,45,6,48,1,521
"E01006612",2011,"Liverpool 008B",1073,12,0,14,150,6,4,230,49,12,56,3,537
"E01006613",2011,"Liverpool 009D",1016,22,2,5,109,6,2,230,53,14,43,5,525
"E01006614",2011,"Liverpool 012B",989,13,1,11,168,19,5,210,48,11,62,3,438
"E01006615",2011,"Liverpool 012C",998,22,0,13,193,13,3,214,35,8,58,3,436
"E01006616",2011,"Liverpool 015D",1068,33,2,8,160,9,5,273,45,8,40,5,480
"E01006617",2011,"Liverpool 021A",1093,51,0,6,166,8,2,433,41,21,37,3,325
"E01006618",2011,"Liverpool 016C",1205,30,0,7,180,8,4,325,54,12,44,3,538
"E01006619",2011,"Liverpool 021B",1196,51,2,7,149,8,4,424,45,5,67,5,429
"E01006620",2011,"Liverpool 021C",1021,49,0,10,86,6,2,357,48,6,51,3,403
"E01006621",2011,"Liverpool 021D",1123,72,1,9,73,4,1,452,33,5,42,0,431
"E01006622",2011,"Liverpool 021E",1097,57,1,6,108,4,3,481,43,12,54,3,325
"E01006623",2011,"Liverpool 013A",1150,49,1,5,97,9,4,524,56,9,20,5,371
"E01006624",2011,"Liverpool 013B",1174,45,1,5,150,8,3,371,44,5,32,3,507
"E01006625",2011,"Liverpool 016D",1010,45,5,14,114,4,2,389,38,11,30,8,350
"E01006626",2011,"Liverpool 016E",1116,45,1,4,139,4,1,411,58,10,33,4,406
"E01006627",2011,"Liverpool 013C",1033,41,0,12,127,4,2,370,61,5,55,6,350
"E01006628",2011,"Liverpool 052D",1525,66,25,125,115,5,0,394,53,33,52,6,651
"E01006629",2011,"Liverpool 052E",1008,47,12,48,114,3,0,307,29,11,49,1,387
"E01006630",2011,"Liverpool 044B",970,21,1,37,104,8,1,126,18,5,82,3,564
"E01006632",2011,"Liverpool 044C",1352,43,3,30,201,13,0,228,34,17,93,8,682
"E01006633",2011,"Liverpool 050B",1036,9,2,18,134,5,1,155,29,6,51,2,624
"E01006637",2011,"Liverpool 017A",1109,30,3,10,132,8,1,255,55,0,56,2,557
"E01006638",2011,"Liverpool 017B",872,13,0,1,98,10,4,156,23,8,51,7,501
"E01006639",2011,"Liverpool 017C",1097,35,0,9,118,14,4,420,52,7,40,6,392
"E01006640",2011,"Liverpool 021F",1358,45,1,10,100,13,2,573,67,8,47,4,488
"E01006641",2011,"Liverpool 025C",1187,63,0,22,151,18,4,544,48,5,38,6,288
"E01006642",2011,"Liverpool 025D",900,21,0,6,115,4,4,188,35,12,57,0,458
"E01006643",2011,"Liverpool 025E",1275,31,1,15,182,20,1,307,48,13,51,5,601
"E01006644",2011,"Liverpool 017D",1507,34,3,9,193,12,4,445,68,22,58,2,657
"E01006645",2011,"Liverpool 017E",993,30,0,6,121,3,0,195,42,5,33,0,558
"E01006646",2011,"Liverpool 023C",1543,37,1,28,139,9,2,299,44,13,179,6,786
"E01006647",2011,"Liverpool 024C",1000,13,2,10,100,9,1,100,25,5,70,2,663
"E01006648",2011,"Liverpool 023D",1780,32,7,66,136,16,3,280,35,17,334,7,847
"E01006651",2011,"Liverpool 001A",1214,54,5,88,43,15,3,586,60,4,55,7,294
"E01006652",2011,"Liverpool 002A",1118,48,3,72,82,17,4,343,49,13,99,3,385
"E01006653",2011,"Liverpool 001B",1100,25,4,51,69,7,2,334,53,6,65,4,480
"E01006654",2011,"Liverpool 005A",1080,31,7,71,87,8,1,397,43,10,84,5,336
"E01006655",2011,"Liverpool 001C",1272,92,4,75,69,14,2,345,40,10,110,5,506
"E01006656",2011,"Liverpool 002B",1135,37,4,69,97,16,4,357,48,12,92,4,395
"E01006657",2011,"Liverpool 002C",905,21,2,42,86,5,3,273,38,11,67,2,355
"E01006658",2011,"Liverpool 001D",971,9,0,36,102,12,0,190,37,16,83,4,482
"E01006659",2011,"Liverpool 005B",1476,100,2,11,84,12,1,247,32,17,59,6,905
"E01006660",2011,"Liverpool 001E",1008,39,1,25,74,13,1,281,35,6,104,4,425
