"lsoa11cd","date","lsoa11nm","Rural Urban","Occupation: All categories: Occupation; measures: Value","Occupation: 1. Managers, directors and senior officials; measures: Value","Occupation: 11. Corporate managers and directors; measures: Value","Occupation: 111. Chief Executives and Senior Officials; measures: Value","Occupation: 112. Production Managers and Directors; measures: Value","Occupation: 113. Functional Managers and Directors; measures: Value","Occupation: 115. Financial Institution Managers and Directors; measures: Value","Occupation: 116. Managers and Directors in Transport and Logistics; measures: Value","Occupation: 117. Senior Officers in Protective Services; measures: Value","Occupation: 118. Health and Social Services Managers and Directors; measures: Value","Occupation: 119. Managers and Directors in Retail and Wholesale; measures: Value","Occupation: 12. Other managers and proprietors; measures: Value","Occupation: 121. Managers and Proprietors in Agriculture Related Services; measures: Value","Occupation: 122. Managers and Proprietors in Hospitality and Leisure Services; measures: Value","Occupation: 124. Managers and Proprietors in Health and Care Services; measures: Value","Occupation: 125. Managers and Proprietors in Other Services; measures: Value","Occupation: 2. Professional occupations; measures: Value","Occupation: 21. Science research, engineering and technology professionals; measures: Value","Occupation: 211. Natural and Social Science Professionals; measures: Value","Occupation: 212. Engineering Professionals; measures: Value","Occupation: 213. Information Technology and Telecommunications Professionals; measures: Value","Occupation: 214. Conservation and Environment Professionals; measures: Value","Occupation: 215. Research and Development Managers; measures: Value","Occupation: 22. Health professionals; measures: Value","Occupation: 221. Health Professionals; measures: Value","Occupation: 222. Therapy Professionals; measures: Value","Occupation: 223. Nursing and Midwifery Professionals; measures: Value","Occupation: 23. Teaching and educational professionals; measures: Value","Occupation: 231. Teaching and Educational Professionals; measures: Value","Occupation: 24. Business, media and public service professionals; measures: Value","Occupation: 241. Legal Professionals; measures: Value","Occupation: 242. Research and Administrative Professionals; measures: Value","Occupation: 243. Architects, Town Planners and Surveyors; measures: Value","Occupation: 244. Welfare Professionals; measures: Value","Occupation: 245. Librarians and Related Professionals; measures: Value","Occupation: 246. Quality and Regulatory Professionals; measures: Value","Occupation: 247. Media Professionals; measures: Value","Occupation: 3. Associate professional and technical occupations; measures: Value","Occupation: 31. Science, engineering and technology associate professionals; measures: Value","Occupation: 311. Science, Engineering and Production Technicians; measures: Value","Occupation: 312. Draughtspersons and Related Architectural Technicians; measures: Value","Occupation: 313. Information Technology Technicians; measures: Value","Occupation: 32. Health and social care associate professionals; measures: Value","Occupation: 321. Health Associate Professionals; measures: Value","Occupation: 323. Welfare and Housing Associate Professionals; measures: Value","Occupation: 33. Protective Service Occupations; measures: Value","Occupation: 331. Protective Service Occupations; measures: Value","Occupation: 34. Culture, media and sports occupations; measures: Value","Occupation: 341. Artistic, Literary and Media Occupations; measures: Value","Occupation: 342. Design Occupations; measures: Value","Occupation: 344. Sports and Fitness Occupations; measures: Value","Occupation: 35. Business and public service associate professionals; measures: Value","Occupation: 351. Transport Associate Professionals; measures: Value","Occupation: 352. Legal Associate Professionals; measures: Value","Occupation: 353. Business, Finance and Related Associate Professionals; measures: Value","Occupation: 354. Sales, Marketing and Related Associate Professionals; measures: Value","Occupation: 355. Conservation and Environmental associate professionals; measures: Value","Occupation: 356. Public Services and Other Associate Professionals; measures: Value","Occupation: 4. Administrative and secretarial occupations; measures: Value","Occupation: 41. Administrative occupations; measures: Value","Occupation: 411. Government and Related Organisations; measures: Value","Occupation: 412. Finance; measures: Value","Occupation: 413. Records; measures: Value","Occupation: 415. Other Administrative Occupations; measures: Value","Occupation: 416. Office Managers and Supervisors; measures: Value","Occupation: 42. Secretarial and related occupations; measures: Value","Occupation: 421. Secretarial and Related Occupations; measures: Value","Occupation: 5. Skilled trades occupations; measures: Value","Occupation: 51. Skilled agricultural and related trades; measures: Value","Occupation: 511. Agricultural and Related Trades; measures: Value","Occupation: 52. Skilled metal, electrical and electronic trades; measures: Value","Occupation: 521. Metal Forming, Welding and Related Trades; measures: Value","Occupation: 522. Metal Machining, Fitting and Instrument Making Trades; measures: Value","Occupation: 523. Vehicle Trades; measures: Value","Occupation: 524. Electrical and Electronic Trades; measures: Value","Occupation: 525. Skilled Metal, Electrical and Electronic Trades Supervisors; measures: Value","Occupation: 53. Skilled construction and building trades; measures: Value","Occupation: 531. Construction and Building Trades; measures: Value","Occupation: 532. Building Finishing Trades; measures: Value","Occupation: 533. Construction and Building Trades Supervisors; measures: Value","Occupation: 54. Textiles, printing and other skilled trades; measures: Value","Occupation: 541. Textiles and Garments Trades; measures: Value","Occupation: 542. Printing Trades; measures: Value","Occupation: 543. Food Preparation and Hospitality Trades; measures: Value","Occupation: 544. Other Skilled Trades; measures: Value","Occupation: 6. Caring, leisure and other service occupations; measures: Value","Occupation: 61. Caring personal service occupations; measures: Value","Occupation: 612. Childcare and Related Personal Services; measures: Value","Occupation: 613. Animal Care and Control Services; measures: Value","Occupation: 614. Caring Personal Services; measures: Value","Occupation: 62. Leisure, travel and related personal service occupations; measures: Value","Occupation: 621. Leisure and Travel Services; measures: Value","Occupation: 622. Hairdressers and Related Services; measures: Value","Occupation: 623. Housekeeping and Related Services; measures: Value","Occupation: 624. Cleaning and Housekeeping Managers and Supervisors; measures: Value","Occupation: 7. Sales and customer service occupations; measures: Value","Occupation: 71. Sales occupations; measures: Value","Occupation: 711. Sales Assistants and Retail Cashiers; measures: Value","Occupation: 712. Sales Related Occupations; measures: Value","Occupation: 713. Sales Supervisors; measures: Value","Occupation: 72. Customer service occupations; measures: Value","Occupation: 721. Customer Service Occupations; measures: Value","Occupation: 722. Customer Service Managers and Supervisors; measures: Value","Occupation: 8. Process, plant and machine operatives; measures: Value","Occupation: 81. Process, plant and machine operatives; measures: Value","Occupation: 811. Process Operatives; measures: Value","Occupation: 812. Plant and Machine Operatives; measures: Value","Occupation: 813. Assemblers and Routine Operatives; measures: Value","Occupation: 814. Construction Operatives; measures: Value","Occupation: 82. Transport and mobile machine drivers and operatives; measures: Value","Occupation: 821. Road Transport Drivers; measures: Value","Occupation: 822. Mobile Machine Drivers and Operatives; measures: Value","Occupation: 823. Other Drivers and Transport Operatives; measures: Value","Occupation: 9. Elementary occupations; measures: Value","Occupation: 91. Elementary trades and related occupations; measures: Value","Occupation: 911. Elementary Agricultural Occupations; measures: Value","Occupation: 912. Elementary Construction Occupations; measures: Value","Occupation: 913. Elementary Process Plant Occupations; measures: Value","Occupation: 92. Elementary administration and service occupations; measures: Value","Occupation: 921. Elementary Administration Occupations; measures: Value","Occupation: 923. Elementary Cleaning Occupations; measures: Value","Occupation: 924. Elementary Security Occupations; measures: Value","Occupation: 925. Elementary Sales Occupations; measures: Value","Occupation: 926. Elementary Storage Occupations; measures: Value","Occupation: 927. Other Elementary Services Occupations; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",513,27,14,1,6,3,0,0,0,2,2,13,0,7,1,5,194,47,34,4,8,1,0,52,39,0,13,59,59,36,6,18,3,7,0,0,2,49,13,8,2,3,6,0,6,1,1,15,13,1,1,14,2,0,3,7,0,2,39,33,8,2,9,14,0,6,6,34,1,1,8,2,1,0,5,0,6,2,2,2,19,0,2,17,0,27,21,6,0,15,6,3,0,1,2,53,44,42,0,2,9,6,3,14,6,4,2,0,0,8,7,1,0,76,3,0,1,2,73,1,14,2,1,4,51
"E01006513",2011,"Liverpool 060A","Total",1052,71,35,4,4,10,1,3,2,1,10,36,0,25,0,11,234,58,22,11,23,0,2,51,39,4,8,60,60,65,23,22,2,4,3,0,11,172,16,10,2,4,14,0,14,7,7,59,43,8,8,76,3,5,17,39,0,12,91,66,11,16,16,17,6,25,25,38,1,1,10,0,0,3,6,1,4,2,0,2,23,1,1,20,1,48,27,11,1,15,21,17,2,1,1,167,153,139,8,6,14,13,1,12,5,3,0,1,1,7,6,1,0,219,3,2,0,1,216,6,13,5,0,5,187
"E01006514",2011,"Liverpool 037A","Total",926,67,32,2,3,14,1,0,0,2,10,35,0,18,1,16,222,34,15,10,8,1,0,46,28,7,11,77,77,65,9,18,10,14,3,2,9,170,23,14,1,8,16,4,12,2,2,79,65,6,8,50,1,1,18,19,0,11,85,66,18,8,15,25,0,19,19,37,3,3,14,1,2,3,8,0,4,3,1,0,16,0,0,15,1,66,48,11,2,35,18,10,5,3,0,119,108,93,7,8,11,6,5,15,8,1,3,4,0,7,6,1,0,145,4,1,1,2,141,2,14,10,1,5,109
"E01006515",2011,"Liverpool 037B","Total",482,39,16,0,0,5,1,0,0,3,7,23,0,11,3,9,96,27,6,5,15,0,1,32,17,3,12,18,18,19,1,4,3,4,0,1,6,62,3,3,0,0,13,2,11,1,1,24,21,2,1,21,0,4,5,3,0,9,52,44,15,8,9,11,1,8,8,48,0,0,9,1,3,0,5,0,10,9,1,0,29,0,0,28,1,40,22,8,0,14,18,4,7,4,3,51,37,37,0,0,14,13,1,27,11,3,4,4,0,16,9,2,5,67,3,0,0,3,64,5,17,7,0,4,31
"E01006518",2011,"Liverpool 044A","Total",562,29,14,0,4,2,1,1,0,2,4,15,0,7,0,8,57,11,6,3,2,0,0,17,8,1,8,15,15,14,1,3,2,7,0,0,1,63,7,0,1,6,10,2,8,8,8,7,6,0,1,31,0,1,5,15,0,10,55,50,12,16,15,5,2,5,5,66,0,0,17,3,2,6,6,0,26,19,6,1,23,0,4,18,1,104,83,15,1,67,21,7,7,4,3,52,42,36,1,5,10,10,0,38,19,7,6,4,2,19,13,3,3,98,7,0,1,6,91,8,38,9,2,6,28
"E01006519",2011,"Liverpool 056A","Total",643,80,56,1,10,26,4,1,1,2,11,24,0,6,1,17,249,39,9,9,18,0,3,42,16,4,22,105,105,63,12,22,10,10,0,1,8,75,10,6,1,3,10,2,8,6,6,11,7,4,0,38,1,3,8,12,0,14,66,51,14,12,7,15,3,15,15,40,4,4,12,1,2,5,3,1,12,10,2,0,12,1,2,8,1,35,23,13,3,7,12,5,3,4,0,31,21,15,3,3,10,8,2,20,2,2,0,0,0,18,14,3,1,47,1,0,0,1,46,3,9,5,1,2,26
"E01006520",2011,"Liverpool 043A","Total",1049,83,53,4,9,10,5,2,2,5,16,30,0,9,3,18,424,66,21,21,21,1,2,134,95,15,24,103,103,121,17,35,28,18,2,5,16,223,22,7,1,14,25,3,22,8,8,81,57,14,10,87,2,6,16,34,0,29,76,68,26,8,15,14,5,8,8,46,1,1,12,0,2,2,8,0,17,10,7,0,16,2,0,13,1,60,45,10,0,35,15,3,9,3,0,54,36,29,5,2,18,15,3,28,16,4,6,3,3,12,12,0,0,55,5,0,1,4,50,5,5,10,0,6,24
"E01006521",2011,"Liverpool 052A","Total",799,96,54,3,8,20,3,5,2,4,9,42,0,13,1,28,270,42,13,13,14,2,0,84,62,5,17,76,76,68,15,21,12,8,5,3,4,135,12,4,0,8,12,0,12,9,9,43,21,11,11,59,0,1,23,25,0,10,77,59,19,9,14,14,3,18,18,38,1,1,14,0,6,4,4,0,15,14,1,0,8,0,1,7,0,62,53,11,1,41,9,3,4,2,0,52,36,31,4,1,16,14,2,19,10,2,2,2,4,9,8,0,1,50,6,0,1,5,44,3,15,5,0,2,19
"E01006522",2011,"Liverpool 048A","Total",1027,75,44,4,9,11,0,3,1,5,11,31,0,16,3,12,399,91,40,9,37,4,1,125,76,23,26,107,107,76,13,26,13,7,4,2,11,195,20,7,1,12,25,6,19,9,9,55,38,9,8,86,1,2,26,34,0,23,103,88,29,11,20,27,1,15,15,50,2,2,6,0,0,2,4,0,16,12,4,0,26,1,0,24,1,55,45,12,1,32,10,6,1,2,1,51,31,27,3,1,20,19,1,31,9,0,2,3,4,22,19,2,1,68,3,1,0,2,65,5,20,5,1,3,31
"E01006523",2011,"Liverpool 052B","Total",812,62,34,1,4,12,1,2,0,2,12,28,0,14,1,13,338,54,14,8,28,4,0,131,92,24,15,106,106,47,10,11,8,9,2,0,7,129,18,7,3,8,16,4,12,2,2,32,26,4,2,61,0,0,13,29,1,18,73,67,28,8,12,14,5,6,6,41,3,3,11,0,3,3,4,1,11,9,2,0,16,0,2,11,3,56,45,18,2,25,11,4,4,2,1,42,32,26,3,3,10,9,1,31,9,3,2,1,3,22,19,1,2,40,2,0,1,1,38,4,7,5,2,5,15
"E01006524",2011,"Liverpool 048B","Total",767,75,49,1,9,14,5,1,2,3,14,26,0,7,1,18,268,36,11,11,12,1,1,98,81,5,12,79,79,55,8,18,12,7,2,4,4,93,9,3,2,4,3,3,0,8,8,26,14,3,9,47,1,2,11,26,0,7,69,54,15,13,12,10,4,15,15,35,2,2,5,0,1,0,4,0,14,12,2,0,14,1,1,11,1,55,30,12,2,16,25,15,7,2,1,72,59,53,3,3,13,7,6,16,9,3,3,3,0,7,7,0,0,84,3,0,1,2,81,1,4,8,1,2,65
"E01006525",2011,"Liverpool 049A","Total",638,71,49,0,13,9,3,5,1,11,7,22,0,3,1,18,163,33,9,10,11,3,0,22,7,6,9,61,61,47,4,15,8,11,4,1,4,108,8,2,4,2,17,6,11,12,12,22,10,10,2,49,5,5,9,17,0,13,106,79,32,18,10,15,4,27,27,49,5,5,18,4,5,3,4,2,17,10,7,0,9,0,0,7,2,49,37,19,1,17,12,3,7,2,0,39,29,24,2,3,10,10,0,22,9,2,2,3,2,13,12,0,1,31,4,0,0,4,27,3,5,3,0,3,13
