"lsoa11cd","date","lsoa11nm","Rural Urban","Year of Arrival: All categories: Year of arrival in the UK; measures: Value","Year of Arrival: Born in the UK; measures: Value","Year of Arrival: Arrived before 1941; measures: Value","Year of Arrival: Arrived 1941-1950; measures: Value","Year of Arrival: Arrived 1951-1960; measures: Value","Year of Arrival: Arrived 1961-1970; measures: Value","Year of Arrival: Arrived 1971-1980; measures: Value","Year of Arrival: Arrived 1981-1990; measures: Value","Year of Arrival: Arrived 1991-2000; measures: Value","Year of Arrival: Arrived 2001-2003; measures: Value","Year of Arrival: Arrived 2004-2006; measures: Value","Year of Arrival: Arrived 2007-2009; measures: Value","Year of Arrival: Arrived 2010-2011; measures: Value"
"E01006792",2011,"Liverpool 046A","Total",1368,1291,3,8,4,9,10,13,8,9,6,6,1
"E01006793",2011,"Liverpool 051A","Total",1494,1401,0,1,6,6,8,8,16,12,12,18,6
"E01006794",2011,"Liverpool 046B","Total",1593,1492,1,6,5,17,14,6,19,14,11,6,2
"E01006795",2011,"Liverpool 051B","Total",1407,1348,1,1,5,6,13,6,9,3,9,5,1
"E01006796",2011,"Liverpool 047E","Total",1591,1406,2,4,14,27,26,17,19,9,21,14,32
"E01006797",2011,"Liverpool 051C","Total",1499,1453,0,4,5,3,5,6,10,6,4,3,0
"E01006798",2011,"Liverpool 051D","Total",1410,1332,2,4,8,17,12,4,8,3,16,4,0
"E01006799",2011,"Liverpool 051E","Total",1821,1745,0,7,6,13,6,4,6,12,10,9,3
"E01006800",2011,"Liverpool 046C","Total",1401,1302,0,3,9,27,10,7,13,13,6,7,4
"E01006801",2011,"Liverpool 046D","Total",1355,1286,2,4,11,14,14,13,5,2,3,1,0
"E01032505",2011,"Liverpool 050F","Total",1317,1194,1,4,6,6,15,11,20,11,23,18,8
"E01032506",2011,"Liverpool 050G","Total",1403,1291,0,1,1,4,8,7,12,15,30,29,5
"E01032507",2011,"Liverpool 050H","Total",1539,1438,1,1,2,4,3,8,24,12,14,16,16
"E01032508",2011,"Liverpool 027G","Total",1723,1570,0,3,6,5,8,4,26,34,31,15,21
"E01032509",2011,"Liverpool 027H","Total",1434,1344,0,1,5,3,0,4,13,4,26,23,11
"E01032510",2011,"Liverpool 008F","Total",1809,1718,0,0,0,2,5,8,2,24,19,26,5
"E01032511",2011,"Liverpool 008G","Total",1378,1328,0,1,1,3,8,1,6,8,6,14,2
"E01033747",2011,"Liverpool 018F","Total",1043,944,0,0,3,2,3,5,17,23,25,17,4
"E01033748",2011,"Liverpool 050I","Total",1277,1077,0,0,2,7,6,7,34,19,46,55,24
"E01033749",2011,"Liverpool 042F","Total",1153,963,0,1,0,1,2,3,38,6,22,36,81
"E01033750",2011,"Liverpool 061A","Total",1448,1147,0,1,3,1,4,10,41,52,53,83,53
"E01033751",2011,"Liverpool 062A","Total",1873,1579,0,0,4,5,7,7,48,23,36,97,67
"E01033752",2011,"Liverpool 062B","Total",1196,877,0,0,3,1,6,11,27,23,46,133,69
"E01033753",2011,"Liverpool 062C","Total",1051,746,0,0,0,1,2,19,24,24,38,110,87
"E01033754",2011,"Liverpool 061B","Total",1452,1135,0,5,6,10,12,19,25,15,44,103,78
"E01033755",2011,"Liverpool 062D","Total",1082,781,0,0,2,0,7,13,26,19,58,103,73
"E01033756",2011,"Liverpool 061C","Total",1185,750,0,0,2,2,5,15,32,21,55,157,146
"E01033757",2011,"Liverpool 037E","Total",1025,670,0,1,2,6,5,10,26,37,29,88,151
"E01033758",2011,"Liverpool 060B","Total",1730,984,0,0,1,0,2,6,35,33,65,286,318
"E01033759",2011,"Liverpool 010F","Total",1147,1077,0,0,0,3,1,1,20,11,13,21,0
"E01033760",2011,"Liverpool 060C","Total",2115,1487,0,0,0,1,0,12,29,24,47,237,278
"E01033761",2011,"Liverpool 060D","Total",1372,971,0,0,2,4,1,17,34,22,71,163,87
"E01033762",2011,"Liverpool 060E","Total",1791,1436,0,0,1,3,0,3,45,16,55,116,116
"E01033763",2011,"Liverpool 031G","Total",1527,1227,0,4,3,1,10,26,35,27,63,94,37
"E01033764",2011,"Liverpool 022E","Total",2202,2023,0,1,9,8,4,11,26,17,41,35,27
"E01033765",2011,"Liverpool 061D","Total",1351,1223,3,3,3,10,4,3,19,21,23,33,6
"E01033766",2011,"Liverpool 042G","Total",1075,997,0,1,4,8,5,5,12,4,4,22,13
"E01033767",2011,"Liverpool 050J","Total",1067,955,0,0,2,2,0,4,17,11,25,45,6
"E01033768",2011,"Liverpool 037F","Total",1223,979,1,0,8,17,10,20,49,30,19,68,22
