"lsoa11cd","date","lsoa11nm","Rural Urban","Year of Arrival: All categories: Year of arrival in the UK; measures: Value","Year of Arrival: Born in the UK; measures: Value","Year of Arrival: Arrived before 1941; measures: Value","Year of Arrival: Arrived 1941-1950; measures: Value","Year of Arrival: Arrived 1951-1960; measures: Value","Year of Arrival: Arrived 1961-1970; measures: Value","Year of Arrival: Arrived 1971-1980; measures: Value","Year of Arrival: Arrived 1981-1990; measures: Value","Year of Arrival: Arrived 1991-2000; measures: Value","Year of Arrival: Arrived 2001-2003; measures: Value","Year of Arrival: Arrived 2004-2006; measures: Value","Year of Arrival: Arrived 2007-2009; measures: Value","Year of Arrival: Arrived 2010-2011; measures: Value"
"E01006574",2011,"Liverpool 025B","Total",1388,1331,0,2,6,8,7,1,11,8,10,4,0
"E01006575",2011,"Liverpool 034A","Total",1294,1232,3,0,4,11,6,5,9,8,7,8,1
"E01006576",2011,"Liverpool 034B","Total",1693,1643,4,3,3,9,5,5,5,5,8,3,0
"E01006577",2011,"Liverpool 034C","Total",1503,1451,1,0,5,6,9,6,6,11,5,3,0
"E01006578",2011,"Liverpool 036A","Total",1380,1333,1,0,2,2,8,2,10,2,9,11,0
"E01006579",2011,"Liverpool 034D","Total",1643,1576,0,1,11,7,8,8,14,6,7,5,0
"E01006580",2011,"Liverpool 036B","Total",1335,1255,1,1,7,4,12,8,20,8,7,11,1
"E01006581",2011,"Liverpool 036C","Total",1559,1484,2,2,3,8,11,6,3,6,8,10,16
"E01006582",2011,"Liverpool 041A","Total",1642,1560,1,0,8,18,5,6,10,9,9,13,3
"E01006583",2011,"Liverpool 047C","Total",1758,1669,3,1,6,3,16,9,11,5,3,0,32
"E01006584",2011,"Liverpool 034E","Total",1393,1362,1,2,6,2,3,2,5,8,1,1,0
"E01006585",2011,"Liverpool 032B","Total",1354,1269,1,2,3,0,5,9,14,17,19,6,9
"E01006586",2011,"Liverpool 032C","Total",1899,1758,1,4,5,14,13,10,17,24,25,13,15
"E01006587",2011,"Liverpool 032D","Total",1624,1500,1,2,4,7,13,15,29,9,17,14,13
"E01006588",2011,"Liverpool 042C","Total",1569,1408,1,2,6,7,10,22,22,16,29,29,17
"E01006589",2011,"Liverpool 041B","Total",1518,1436,1,4,4,4,8,11,13,8,10,10,9
"E01006590",2011,"Liverpool 042D","Total",1642,1506,1,0,9,12,10,17,17,6,24,26,14
"E01006591",2011,"Liverpool 041C","Total",1633,1487,0,4,7,8,7,13,30,7,28,30,12
"E01006592",2011,"Liverpool 041D","Total",1565,1451,6,2,5,17,18,12,18,5,15,11,5
"E01006593",2011,"Liverpool 042E","Total",1541,1416,3,1,2,10,11,14,17,15,10,23,19
"E01006594",2011,"Liverpool 047D","Total",1410,1286,2,1,14,21,21,12,12,17,17,7,0
"E01006595",2011,"Liverpool 049B","Total",1745,1659,0,1,6,8,12,5,11,7,15,16,5
"E01006596",2011,"Liverpool 049C","Total",1451,1335,0,4,8,11,19,9,19,8,8,18,12
"E01006597",2011,"Liverpool 041E","Total",1667,1566,2,2,11,10,14,12,22,4,9,4,11
"E01006598",2011,"Liverpool 010A","Total",1361,1307,1,0,0,1,0,0,7,12,9,17,7
"E01006599",2011,"Liverpool 010B","Total",1121,1051,0,2,0,1,4,7,5,11,21,16,3
"E01006600",2011,"Liverpool 011A","Total",1407,1376,0,2,2,3,5,1,4,2,6,4,2
"E01006603",2011,"Liverpool 011B","Total",1410,1389,0,0,3,0,0,4,1,4,6,1,2
"E01006604",2011,"Liverpool 016A","Total",1367,1343,0,0,3,2,1,1,5,4,1,7,0
"E01006605",2011,"Liverpool 016B","Total",1531,1488,0,0,3,2,3,2,18,4,6,5,0
"E01006606",2011,"Liverpool 020A","Total",1521,1470,0,2,4,1,3,1,9,5,15,9,2
"E01006607",2011,"Liverpool 008A","Total",1531,1504,2,1,2,3,1,3,7,0,4,4,0
"E01006608",2011,"Liverpool 009A","Total",1215,1189,1,1,4,1,1,3,3,3,5,4,0
"E01006609",2011,"Liverpool 009B","Total",1283,1231,0,0,1,6,7,3,9,5,5,15,1
"E01006610",2011,"Liverpool 009C","Total",1397,1353,1,1,2,2,4,4,3,8,8,8,3
"E01006611",2011,"Liverpool 012A","Total",1291,1230,0,1,0,4,1,6,9,2,13,21,4
"E01006612",2011,"Liverpool 008B","Total",1495,1467,1,0,2,1,0,4,8,2,3,6,1
"E01006613",2011,"Liverpool 009D","Total",1360,1334,0,1,4,2,1,3,4,4,3,3,1
"E01006614",2011,"Liverpool 012B","Total",1322,1281,0,1,2,0,2,3,1,6,14,10,2
"E01006615",2011,"Liverpool 012C","Total",1302,1262,0,0,6,3,2,6,7,5,4,5,2
"E01006616",2011,"Liverpool 015D","Total",1428,1386,0,1,1,3,2,1,9,2,15,5,3
"E01006617",2011,"Liverpool 021A","Total",1421,1377,0,1,1,2,4,8,12,2,5,5,4
"E01006618",2011,"Liverpool 016C","Total",1639,1623,1,0,4,2,2,1,1,2,0,3,0
"E01006619",2011,"Liverpool 021B","Total",1599,1555,1,0,4,5,3,1,6,2,8,8,6
"E01006620",2011,"Liverpool 021C","Total",1417,1388,3,1,3,3,4,2,7,1,4,1,0
"E01006621",2011,"Liverpool 021D","Total",1468,1391,3,2,3,5,8,8,14,3,20,5,6
"E01006622",2011,"Liverpool 021E","Total",1519,1486,0,1,8,11,2,4,4,0,1,1,1
"E01006623",2011,"Liverpool 013A","Total",1462,1382,2,1,10,10,15,11,12,1,16,0,2
"E01006624",2011,"Liverpool 013B","Total",1556,1451,0,2,3,13,10,5,19,7,21,17,8
"E01006625",2011,"Liverpool 016D","Total",1416,1386,1,5,1,4,3,3,1,3,6,1,2
"E01006626",2011,"Liverpool 016E","Total",1448,1392,0,1,7,4,5,5,13,0,8,12,1
"E01006627",2011,"Liverpool 013C","Total",1378,1327,0,3,4,5,2,7,10,2,10,6,2
"E01006628",2011,"Liverpool 052D","Total",1874,1673,0,1,10,11,14,15,36,10,27,37,40
"E01006629",2011,"Liverpool 052E","Total",1255,1182,1,4,5,10,8,5,16,5,6,12,1
"E01006630",2011,"Liverpool 044B","Total",1338,1221,0,0,3,2,1,15,23,28,17,27,1
"E01006632",2011,"Liverpool 044C","Total",1842,1667,0,0,4,2,3,4,28,51,19,40,24
"E01006633",2011,"Liverpool 050B","Total",1432,1376,0,2,0,2,1,3,6,4,17,12,9
"E01006637",2011,"Liverpool 017A","Total",1596,1412,1,0,1,3,3,4,14,45,51,51,11
"E01006638",2011,"Liverpool 017B","Total",1219,1132,0,0,0,0,0,6,8,22,22,23,6
"E01006639",2011,"Liverpool 017C","Total",1509,1450,0,1,3,6,5,6,7,12,7,12,0
"E01006640",2011,"Liverpool 021F","Total",1880,1763,0,2,6,11,6,12,18,20,16,23,3
"E01006641",2011,"Liverpool 025C","Total",1740,1482,0,2,0,7,6,7,43,95,74,17,7
"E01006642",2011,"Liverpool 025D","Total",1290,1230,0,1,3,1,1,2,7,22,11,9,3
"E01006643",2011,"Liverpool 025E","Total",1822,1719,0,0,4,4,4,5,22,24,28,2,10
"E01006644",2011,"Liverpool 017D","Total",2040,1947,0,2,4,4,3,5,18,9,27,18,3
"E01006645",2011,"Liverpool 017E","Total",1424,1364,1,2,4,3,6,2,7,2,28,5,0
"E01006646",2011,"Liverpool 023C","Total",1899,1618,0,3,2,7,6,10,28,45,60,73,47
"E01006647",2011,"Liverpool 024C","Total",1422,1350,0,2,1,0,4,4,12,10,16,20,3
"E01006648",2011,"Liverpool 023D","Total",2175,1892,0,0,6,4,3,5,12,23,70,106,54
"E01006651",2011,"Liverpool 001A","Total",1642,1578,0,2,0,5,12,4,4,6,18,8,5
"E01006652",2011,"Liverpool 002A","Total",1505,1432,0,5,4,5,1,1,6,21,18,6,6
"E01006653",2011,"Liverpool 001B","Total",1520,1463,0,3,3,3,2,1,6,22,13,4,0
"E01006654",2011,"Liverpool 005A","Total",1513,1451,0,0,2,2,6,3,14,5,13,10,7
"E01006655",2011,"Liverpool 001C","Total",1758,1593,0,0,2,5,4,5,25,42,53,17,12
"E01006656",2011,"Liverpool 002B","Total",1493,1448,0,2,6,8,6,2,4,8,1,6,2
"E01006657",2011,"Liverpool 002C","Total",1211,1178,0,1,3,3,3,3,3,6,10,1,0
"E01006658",2011,"Liverpool 001D","Total",1300,1250,0,1,0,2,1,5,3,13,12,11,2
"E01006659",2011,"Liverpool 005B","Total",1765,1648,0,0,4,6,2,10,24,8,38,16,9
"E01006660",2011,"Liverpool 001E","Total",1433,1303,0,3,4,4,4,2,8,47,44,13,1
"E01006661",2011,"Liverpool 004A","Total",1663,1575,0,7,1,4,2,1,12,15,29,14,3
"E01006662",2011,"Liverpool 004B","Total",1775,1667,3,4,4,1,1,2,8,23,41,17,4
"E01006663",2011,"Liverpool 004C","Total",1153,1117,0,0,0,0,2,0,3,6,15,5,5
"E01006664",2011,"Liverpool 004D","Total",1795,1635,0,1,3,8,10,5,8,18,32,38,37
"E01006665",2011,"Liverpool 007A","Total",1555,1503,0,1,2,4,3,4,10,16,6,5,1
"E01006666",2011,"Liverpool 007B","Total",1504,1401,0,0,3,8,15,16,21,17,12,8,3
"E01006667",2011,"Liverpool 007C","Total",1453,1389,0,1,5,5,4,5,9,13,11,5,6
"E01006668",2011,"Liverpool 007D","Total",1534,1474,0,0,0,2,3,10,16,13,12,0,4
"E01006669",2011,"Liverpool 004E","Total",1470,1356,0,0,2,4,11,9,30,21,18,10,9
"E01006670",2011,"Liverpool 007E","Total",1526,1438,0,2,2,11,13,6,13,6,10,11,14
"E01006671",2011,"Liverpool 013D","Total",1355,1256,0,2,5,12,22,8,14,11,13,4,8
"E01006672",2011,"Liverpool 010E","Total",1955,1834,0,0,2,4,1,4,14,7,50,33,6
"E01006673",2011,"Liverpool 037D","Total",1937,1255,2,8,22,27,39,47,122,105,156,116,38
"E01006674",2011,"Liverpool 039C","Total",1885,1118,1,4,22,20,19,57,165,164,157,122,36
"E01006675",2011,"Liverpool 043C","Total",1824,1351,2,15,12,20,6,30,93,59,91,84,61
"E01006676",2011,"Liverpool 044D","Total",1753,1231,1,1,12,10,23,33,82,123,97,119,21
"E01006677",2011,"Liverpool 043D","Total",1040,791,0,4,6,13,7,18,66,54,32,34,15
"E01006678",2011,"Liverpool 044E","Total",2127,1857,1,2,8,16,6,22,52,63,46,40,14
"E01006679",2011,"Liverpool 039D","Total",2232,1252,2,10,39,32,32,105,233,112,141,188,86
"E01006680",2011,"Liverpool 053B","Total",1569,1508,0,1,5,13,9,5,19,1,2,3,3
"E01006681",2011,"Liverpool 054D","Total",1585,1482,2,5,10,11,8,9,16,9,13,19,1
"E01006682",2011,"Liverpool 053C","Total",1310,1249,1,6,8,11,5,4,9,4,4,9,0
"E01006683",2011,"Liverpool 053D","Total",1510,1448,0,3,10,16,5,4,14,4,1,5,0
"E01006684",2011,"Liverpool 056B","Total",2138,2010,2,6,5,14,10,13,22,8,25,7,16
"E01006685",2011,"Liverpool 056C","Total",1484,1403,1,4,8,13,11,6,13,5,1,16,3
"E01006686",2011,"Liverpool 053E","Total",1433,1362,0,2,7,16,9,8,10,2,10,7,0
"E01006687",2011,"Liverpool 056D","Total",1952,1756,1,7,9,14,24,19,44,17,26,27,8
"E01006688",2011,"Liverpool 056E","Total",1524,1427,5,2,5,5,5,9,12,6,21,22,5
"E01006689",2011,"Liverpool 049D","Total",1651,1589,1,2,5,6,9,11,12,10,3,2,1
"E01006690",2011,"Liverpool 028A","Total",1492,1132,1,10,12,5,7,6,39,63,90,84,43
"E01006691",2011,"Liverpool 030A","Total",1503,1013,1,1,7,11,4,10,91,95,88,114,68
"E01006692",2011,"Liverpool 028B","Total",2180,1804,1,0,5,11,10,15,39,73,78,103,41
"E01006693",2011,"Liverpool 024D","Total",1511,1358,0,4,5,6,6,8,12,33,42,33,4
"E01006694",2011,"Liverpool 030B","Total",1864,1287,2,2,4,3,3,9,55,105,164,153,77
"E01006695",2011,"Liverpool 028C","Total",1821,1329,1,6,3,13,12,21,61,82,136,93,64
"E01006696",2011,"Liverpool 030C","Total",1744,1349,0,5,4,8,2,10,39,77,126,77,47
"E01006697",2011,"Liverpool 030D","Total",1845,1364,0,7,7,1,8,16,64,77,122,113,66
"E01006698",2011,"Liverpool 012D","Total",1716,1663,0,1,7,4,3,7,7,6,7,7,4
"E01006699",2011,"Liverpool 014A","Total",1594,1498,0,0,2,3,1,1,11,8,27,34,9
