"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Accommodation type; measures: Value","Dwelling Type: Unshared dwelling: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value","Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,730,163,23,100,40,564,532,27,5,3,69
"E01006513",2011,"Liverpool 060A","Total",909,868,143,8,30,105,725,550,102,73,0,41
"E01006514",2011,"Liverpool 037A","Total",1115,1018,172,13,28,131,846,443,397,6,0,97
"E01006515",2011,"Liverpool 037B","Total",641,641,226,24,79,123,415,379,32,4,0,0
"E01006518",2011,"Liverpool 044A","Total",835,835,585,46,192,347,250,224,4,22,0,0
"E01006519",2011,"Liverpool 056A","Total",514,514,494,53,302,139,20,5,10,5,0,0
"E01006520",2011,"Liverpool 043A","Total",1182,1144,66,21,33,12,1078,521,555,2,0,38
"E01006521",2011,"Liverpool 052A","Total",928,921,210,78,67,65,711,503,175,33,0,7
"E01006522",2011,"Liverpool 048A","Total",1094,1049,76,15,19,42,973,413,548,12,0,45
"E01006523",2011,"Liverpool 052B","Total",830,801,330,12,29,289,470,261,201,8,1,29
"E01006524",2011,"Liverpool 048B","Total",583,564,190,78,50,62,374,321,51,2,0,19
"E01006525",2011,"Liverpool 049A","Total",486,486,458,24,361,73,28,23,5,0,0,0
"E01006526",2011,"Liverpool 048C","Total",654,654,524,24,196,304,130,123,6,1,0,0
"E01006527",2011,"Liverpool 053A","Total",638,638,498,92,100,306,140,136,3,1,0,0
"E01006528",2011,"Liverpool 052C","Total",613,602,478,78,24,376,124,77,40,7,0,11
"E01006529",2011,"Liverpool 048D","Total",559,559,516,19,52,445,43,5,17,21,0,0
"E01006530",2011,"Liverpool 055A","Total",616,616,584,14,547,23,32,23,0,9,0,0
"E01006531",2011,"Liverpool 055B","Total",674,674,583,47,530,6,91,88,1,2,0,0
"E01006532",2011,"Liverpool 047A","Total",617,617,575,235,324,16,42,38,4,0,0,0
"E01006533",2011,"Liverpool 055C","Total",614,614,478,130,242,106,136,128,8,0,0,0
"E01006534",2011,"Liverpool 054A","Total",649,649,519,124,300,95,130,123,7,0,0,0
"E01006535",2011,"Liverpool 054B","Total",656,656,601,19,377,205,55,41,11,3,0,0
"E01006536",2011,"Liverpool 054C","Total",815,815,688,18,408,262,127,121,6,0,0,0
"E01006537",2011,"Liverpool 055D","Total",964,964,724,90,516,118,239,233,3,3,1,0
"E01006538",2011,"Liverpool 055E","Total",527,527,512,83,314,115,15,2,6,7,0,0
"E01006539",2011,"Liverpool 047B","Total",601,601,464,177,251,36,137,120,16,1,0,0
"E01006540",2011,"Liverpool 024A","Total",771,771,583,35,60,488,188,104,62,22,0,0
"E01006541",2011,"Liverpool 015A","Total",803,803,571,14,127,430,232,221,6,5,0,0
"E01006542",2011,"Liverpool 018A","Total",583,568,429,14,25,390,138,70,67,1,1,15
"E01006543",2011,"Liverpool 015B","Total",509,509,503,10,467,26,6,3,0,3,0,0
"E01006544",2011,"Liverpool 015C","Total",738,738,725,23,224,478,13,10,1,2,0,0
"E01006545",2011,"Liverpool 019A","Total",646,646,625,15,14,596,21,2,11,8,0,0
"E01006546",2011,"Liverpool 019B","Total",583,583,517,21,21,475,66,32,30,4,0,0
"E01006547",2011,"Liverpool 019C","Total",718,714,606,26,98,482,108,38,34,36,0,4
"E01006548",2011,"Liverpool 019D","Total",759,746,698,15,24,659,48,25,23,0,0,13
"E01006549",2011,"Liverpool 043B","Total",949,835,159,13,113,33,675,294,378,3,1,114
"E01006550",2011,"Liverpool 038A","Total",483,483,384,6,16,362,99,38,28,33,0,0
"E01006551",2011,"Liverpool 048E","Total",751,749,56,16,22,18,692,542,149,1,1,2
"E01006552",2011,"Liverpool 039A","Total",869,855,524,47,136,341,330,195,124,11,1,14
"E01006553",2011,"Liverpool 042A","Total",642,642,551,10,24,517,91,9,49,33,0,0
"E01006554",2011,"Liverpool 048F","Total",649,620,317,12,92,213,303,87,206,10,0,29
"E01006556",2011,"Liverpool 039B","Total",1016,1014,725,66,220,439,286,172,88,26,3,2
"E01006557",2011,"Liverpool 038B","Total",635,635,487,15,34,438,148,83,29,36,0,0
"E01006558",2011,"Liverpool 018B","Total",739,736,692,22,67,603,44,29,13,2,0,3
"E01006560",2011,"Liverpool 023A","Total",996,993,613,61,271,281,380,372,5,3,0,3
