"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned: Total; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented: Total; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other social rented; measures: Value","Tenure: Private rented: Total; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Employer of a household member; measures: Value","Tenure: Private rented: Relative or friend of household member; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01006572",2011,"Liverpool 025A","Total",1207,440,151,289,0,655,179,476,96,96,0,0,0,16
"E01006573",2011,"Liverpool 029C","Total",1501,730,244,486,6,390,31,359,345,328,2,9,6,30
"E01006574",2011,"Liverpool 025B","Total",1388,771,242,529,1,490,111,379,125,119,0,5,1,1
"E01006575",2011,"Liverpool 034A","Total",1289,926,374,552,9,191,77,114,153,147,0,6,0,10
"E01006576",2011,"Liverpool 034B","Total",1691,1473,467,1006,0,34,0,34,173,167,0,5,1,11
"E01006577",2011,"Liverpool 034C","Total",1503,1349,498,851,0,12,4,8,128,122,0,2,4,14
"E01006578",2011,"Liverpool 036A","Total",1380,1176,353,823,2,26,4,22,175,161,0,13,1,1
"E01006579",2011,"Liverpool 034D","Total",1643,1518,634,884,0,24,16,8,100,78,0,22,0,1
"E01006580",2011,"Liverpool 036B","Total",1331,1251,487,764,0,12,6,6,57,52,0,5,0,11
"E01006581",2011,"Liverpool 036C","Total",1559,1402,542,860,0,19,5,14,135,112,13,6,4,3
"E01006582",2011,"Liverpool 041A","Total",1630,1482,561,921,3,26,5,21,106,100,0,6,0,13
"E01006583",2011,"Liverpool 047C","Total",1255,1182,517,665,0,18,15,3,44,29,0,14,1,11
"E01006584",2011,"Liverpool 034E","Total",1393,1161,452,709,8,79,10,69,141,137,0,1,3,4
"E01006585",2011,"Liverpool 032B","Total",1354,626,220,406,0,576,177,399,118,107,0,8,3,34
"E01006586",2011,"Liverpool 032C","Total",1875,1054,339,715,17,359,62,297,416,382,0,28,6,29
"E01006587",2011,"Liverpool 032D","Total",1619,1048,368,680,19,277,12,265,271,261,0,10,0,4
"E01006588",2011,"Liverpool 042C","Total",1521,935,357,578,2,84,20,64,490,462,0,22,6,10
"E01006589",2011,"Liverpool 041B","Total",1512,1354,455,899,0,33,5,28,111,99,0,12,0,14
"E01006590",2011,"Liverpool 042D","Total",1637,892,351,541,9,68,5,63,661,633,3,25,0,7
"E01006591",2011,"Liverpool 041C","Total",1633,1139,360,779,3,22,4,18,459,432,0,21,6,10
"E01006592",2011,"Liverpool 041D","Total",1541,1329,561,768,1,23,2,21,179,177,2,0,0,9
"E01006593",2011,"Liverpool 042E","Total",1541,874,293,581,0,46,5,41,608,588,0,17,3,13
"E01006594",2011,"Liverpool 047D","Total",1405,1257,548,709,3,24,10,14,116,112,0,2,2,5
"E01006595",2011,"Liverpool 049B","Total",1745,1335,503,832,2,55,3,52,342,300,0,40,2,11
"E01006596",2011,"Liverpool 049C","Total",1451,1173,453,720,0,31,8,23,245,235,0,10,0,2
"E01006597",2011,"Liverpool 041E","Total",1639,1413,598,815,0,22,1,21,190,179,0,11,0,14
"E01006598",2011,"Liverpool 010A","Total",1361,316,118,198,0,945,202,743,93,83,0,0,10,7
"E01006599",2011,"Liverpool 010B","Total",1121,217,83,134,0,797,224,573,104,89,0,0,15,3
"E01006600",2011,"Liverpool 011A","Total",1407,767,307,460,3,486,162,324,132,125,0,5,2,19
"E01006603",2011,"Liverpool 011B","Total",1386,825,356,469,0,457,125,332,89,82,0,6,1,15
"E01006604",2011,"Liverpool 016A","Total",1367,837,296,541,5,382,158,224,127,116,0,2,9,16
"E01006605",2011,"Liverpool 016B","Total",1531,779,260,519,9,551,205,346,166,154,0,2,10,26
"E01006606",2011,"Liverpool 020A","Total",1521,932,318,614,1,308,83,225,267,249,0,14,4,13
"E01006607",2011,"Liverpool 008A","Total",1529,806,293,513,2,585,145,440,101,91,0,6,4,35
"E01006608",2011,"Liverpool 009A","Total",1213,706,259,447,28,208,21,187,264,251,0,12,1,7
"E01006609",2011,"Liverpool 009B","Total",1283,787,299,488,1,224,27,197,256,247,0,6,3,15
"E01006610",2011,"Liverpool 009C","Total",1395,662,249,413,0,422,31,391,304,295,0,2,7,7
"E01006611",2011,"Liverpool 012A","Total",1291,496,196,300,0,224,19,205,552,531,0,16,5,19
"E01006612",2011,"Liverpool 008B","Total",1495,605,214,391,8,753,247,506,113,109,0,3,1,16
"E01006613",2011,"Liverpool 009D","Total",1360,819,346,473,0,409,103,306,123,107,0,11,5,9
"E01006614",2011,"Liverpool 012B","Total",1322,702,275,427,3,187,11,176,425,410,0,11,4,5
"E01006615",2011,"Liverpool 012C","Total",1302,581,225,356,12,320,47,273,366,351,0,15,0,23
"E01006616",2011,"Liverpool 015D","Total",1428,823,284,539,22,422,117,305,148,143,0,0,5,13
"E01006617",2011,"Liverpool 021A","Total",1421,1074,394,680,1,77,15,62,249,214,11,24,0,20
"E01006618",2011,"Liverpool 016C","Total",1639,1125,418,707,8,373,108,265,122,115,0,6,1,11
"E01006619",2011,"Liverpool 021B","Total",1599,1175,476,699,0,74,16,58,330,309,1,20,0,20
"E01006620",2011,"Liverpool 021C","Total",1409,1154,454,700,0,130,14,116,112,99,0,8,5,13
"E01006621",2011,"Liverpool 021D","Total",1468,1278,512,766,0,63,13,50,112,103,0,9,0,15
"E01006622",2011,"Liverpool 021E","Total",1519,1434,522,912,0,13,3,10,64,60,0,0,4,8
"E01006623",2011,"Liverpool 013A","Total",1462,1379,536,843,0,24,5,19,51,51,0,0,0,8
"E01006624",2011,"Liverpool 013B","Total",1551,976,306,670,7,310,36,274,236,225,0,11,0,22
"E01006625",2011,"Liverpool 016D","Total",1416,1198,466,732,1,71,13,58,129,122,0,7,0,17
"E01006626",2011,"Liverpool 016E","Total",1448,1179,433,746,6,163,23,140,92,78,1,13,0,8
