"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned: Total; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented: Total; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other social rented; measures: Value","Tenure: Private rented: Total; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Employer of a household member; measures: Value","Tenure: Private rented: Relative or friend of household member; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01006769",2011,"Liverpool 040B","Total",1270,413,153,260,53,712,115,597,67,61,0,4,2,25
"E01006770",2011,"Liverpool 040C","Total",1002,521,200,321,1,406,68,338,62,59,0,3,0,12
"E01006771",2011,"Liverpool 040D","Total",1425,459,184,275,0,814,103,711,128,115,0,11,2,24
"E01006772",2011,"Liverpool 040E","Total",1081,776,294,482,21,202,49,153,70,60,0,3,7,12
"E01006773",2011,"Liverpool 036D","Total",1378,1220,435,785,2,37,10,27,114,104,0,10,0,5
"E01006774",2011,"Liverpool 036E","Total",1445,1272,395,877,0,73,19,54,76,66,0,10,0,24
"E01006775",2011,"Liverpool 040F","Total",1302,442,206,236,2,765,114,651,65,65,0,0,0,28
"E01006776",2011,"Liverpool 022B","Total",1646,502,135,367,54,874,53,821,204,185,0,14,5,12
"E01006778",2011,"Liverpool 014E","Total",2205,525,233,292,11,1073,323,750,570,551,8,9,2,26
"E01006779",2011,"Liverpool 022D","Total",1934,431,141,290,35,1322,348,974,115,101,0,6,8,31
"E01006780",2011,"Liverpool 002D","Total",1465,1116,390,726,0,58,10,48,280,258,0,22,0,11
"E01006781",2011,"Liverpool 003A","Total",1469,1271,377,894,8,56,10,46,129,113,0,12,4,5
"E01006782",2011,"Liverpool 003B","Total",1541,1049,358,691,0,81,12,69,399,390,0,9,0,12
"E01006783",2011,"Liverpool 002E","Total",1548,1117,369,748,0,59,11,48,359,349,0,10,0,13
"E01006784",2011,"Liverpool 003C","Total",1344,1006,320,686,4,54,11,43,270,250,0,18,2,10
"E01006785",2011,"Liverpool 003D","Total",1769,1135,389,746,4,98,29,69,511,499,0,12,0,21
"E01006786",2011,"Liverpool 003E","Total",1820,1454,484,970,0,107,19,88,241,218,0,17,6,18
"E01006787",2011,"Liverpool 006A","Total",1534,779,233,546,1,202,32,170,536,518,0,14,4,16
"E01006788",2011,"Liverpool 006B","Total",1825,1296,404,892,0,141,41,100,376,346,0,30,0,12
"E01006790",2011,"Liverpool 006C","Total",1587,445,168,277,0,776,73,703,354,342,2,6,4,12
"E01006791",2011,"Liverpool 006D","Total",1674,573,176,397,1,715,182,533,353,332,5,9,7,32
"E01006792",2011,"Liverpool 046A","Total",1364,1215,602,613,18,56,4,52,71,60,6,5,0,4
"E01006793",2011,"Liverpool 051A","Total",1494,876,432,444,1,296,34,262,309,296,2,11,0,12
"E01006794",2011,"Liverpool 046B","Total",1590,1191,545,646,0,97,15,82,276,258,4,11,3,26
"E01006795",2011,"Liverpool 051B","Total",1407,1185,472,713,0,28,3,25,180,174,0,6,0,14
"E01006796",2011,"Liverpool 047E","Total",1586,1452,624,828,0,23,4,19,101,101,0,0,0,10
"E01006797",2011,"Liverpool 051C","Total",1499,907,305,602,4,431,116,315,132,132,0,0,0,25
"E01006798",2011,"Liverpool 051D","Total",1410,1202,537,665,2,55,18,37,149,140,2,7,0,2
"E01006799",2011,"Liverpool 051E","Total",1796,774,352,422,5,651,37,614,342,310,0,21,11,24
"E01006800",2011,"Liverpool 046C","Total",1401,1264,670,594,1,17,0,17,105,89,2,14,0,14
"E01006801",2011,"Liverpool 046D","Total",1344,1245,611,634,1,8,0,8,81,66,0,15,0,9
"E01032505",2011,"Liverpool 050F","Total",1315,822,308,514,1,283,20,263,197,188,0,9,0,12
"E01032506",2011,"Liverpool 050G","Total",1344,822,326,496,0,174,11,163,338,328,0,5,5,10
"E01032507",2011,"Liverpool 050H","Total",1539,955,402,553,0,80,4,76,498,475,2,21,0,6
"E01032508",2011,"Liverpool 027G","Total",1723,618,208,410,0,751,147,604,322,304,1,11,6,32
"E01032509",2011,"Liverpool 027H","Total",1432,738,280,458,0,247,16,231,440,421,0,17,2,7
"E01032510",2011,"Liverpool 008F","Total",1809,1148,343,805,0,313,112,201,332,330,0,2,0,16
"E01032511",2011,"Liverpool 008G","Total",1378,905,346,559,5,354,121,233,112,99,0,9,4,2
"E01033747",2011,"Liverpool 018F","Total",1035,196,69,127,14,617,34,583,189,184,0,5,0,19
"E01033748",2011,"Liverpool 050I","Total",1276,397,106,291,2,37,13,24,828,794,0,32,2,12
"E01033749",2011,"Liverpool 042F","Total",1151,126,50,76,0,248,31,217,771,244,2,8,517,6
"E01033750",2011,"Liverpool 061A","Total",1448,370,126,244,1,34,1,33,1021,990,0,30,1,22
"E01033751",2011,"Liverpool 062A","Total",1039,328,127,201,1,271,40,231,433,417,0,15,1,6
"E01033752",2011,"Liverpool 062B","Total",1195,157,41,116,3,15,1,14,1010,981,6,15,8,10
"E01033753",2011,"Liverpool 062C","Total",1051,113,24,89,0,13,2,11,918,896,1,9,12,7
"E01033754",2011,"Liverpool 061B","Total",1448,242,87,155,1,325,40,285,867,841,2,20,4,13
"E01033755",2011,"Liverpool 062D","Total",1082,203,46,157,16,23,3,20,821,804,1,16,0,19
"E01033756",2011,"Liverpool 061C","Total",1136,273,139,134,5,86,2,84,756,731,0,9,16,16
"E01033757",2011,"Liverpool 037E","Total",1015,50,23,27,12,463,14,449,488,467,4,0,17,2
"E01033758",2011,"Liverpool 060B","Total",703,42,20,22,2,317,41,276,338,328,1,2,7,4
"E01033759",2011,"Liverpool 010F","Total",1147,509,152,357,0,448,116,332,173,159,0,6,8,17
"E01033760",2011,"Liverpool 060C","Total",856,88,28,60,13,120,9,111,628,577,0,12,39,7
"E01033761",2011,"Liverpool 060D","Total",1340,100,30,70,75,79,2,77,1080,1049,3,23,5,6
"E01033762",2011,"Liverpool 060E","Total",722,73,31,42,3,178,17,161,466,455,0,3,8,2
"E01033763",2011,"Liverpool 031G","Total",1471,249,156,93,1,756,51,705,453,432,0,12,9,12
"E01033764",2011,"Liverpool 022E","Total",2191,468,212,256,1,1343,381,962,330,312,3,5,10,49
"E01033765",2011,"Liverpool 061D","Total",1351,360,115,245,2,748,262,486,222,209,2,5,6,19
"E01033766",2011,"Liverpool 042G","Total",1072,510,214,296,11,60,8,52,487,447,0,36,4,4
"E01033767",2011,"Liverpool 050J","Total",1067,375,215,160,0,328,69,259,346,331,0,10,5,18
"E01033768",2011,"Liverpool 037F","Total",1219,120,43,77,26,758,31,727,310,285,0,20,5,5
