"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling: Two household spaces; measures: Value","Dwelling Type: Shared dwelling: Three or more household spaces; measures: Value","Dwelling Type: All categories: Household spaces; measures: Value","Dwelling Type: Household spaces with at least one usual resident; measures: Value","Dwelling Type: Household spaces with no usual residents; measures: Value","Dwelling Type: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Flat, maisonette or apartment: In a commercial building; measures: Value","Dwelling Type: Caravan or other mobile or temporary structure; measures: Value"
"E01006762",2011,"Liverpool 015E","Total",749,749,0,0,749,725,24,79,305,335,28,2,0,0
"E01006763",2011,"Liverpool 020C","Total",677,677,0,0,677,652,25,11,74,572,7,12,1,0
"E01006764",2011,"Liverpool 020D","Total",719,717,1,1,722,667,55,10,111,379,55,152,15,0
"E01006765",2011,"Liverpool 020E","Total",672,672,0,0,672,659,13,6,129,429,92,11,5,0
"E01006766",2011,"Liverpool 019E","Total",633,633,0,0,633,574,59,17,34,495,22,32,33,0
"E01006767",2011,"Liverpool 019F","Total",829,828,0,1,832,779,53,58,153,533,53,35,0,0
"E01006768",2011,"Liverpool 020F","Total",613,610,1,2,627,587,40,37,244,125,62,152,7,0
"E01006769",2011,"Liverpool 040B","Total",721,721,0,0,721,712,9,16,224,276,197,6,1,1
"E01006770",2011,"Liverpool 040C","Total",457,457,0,0,457,445,12,18,113,282,44,0,0,0
"E01006771",2011,"Liverpool 040D","Total",703,703,0,0,703,694,9,35,239,301,121,2,5,0
"E01006772",2011,"Liverpool 040E","Total",482,482,0,0,482,480,2,96,187,178,21,0,0,0
"E01006773",2011,"Liverpool 036D","Total",567,567,0,0,567,554,13,46,360,151,3,0,7,0
"E01006774",2011,"Liverpool 036E","Total",554,554,0,0,554,552,2,172,314,64,1,2,1,0
"E01006775",2011,"Liverpool 040F","Total",558,558,0,0,558,556,2,25,164,364,4,0,1,0
"E01006776",2011,"Liverpool 022B","Total",870,870,0,0,870,844,26,37,385,287,145,5,11,0
"E01006778",2011,"Liverpool 014E","Total",1218,1218,0,0,1218,1124,94,38,303,480,351,21,25,0
"E01006779",2011,"Liverpool 022D","Total",917,917,0,0,917,902,15,40,513,253,105,3,3,0
"E01006780",2011,"Liverpool 002D","Total",640,639,1,0,641,619,22,4,308,247,24,51,7,0
"E01006781",2011,"Liverpool 003A","Total",607,607,0,0,607,600,7,177,252,134,28,13,3,0
"E01006782",2011,"Liverpool 003B","Total",709,705,0,4,723,691,32,13,80,521,35,50,24,0
"E01006783",2011,"Liverpool 002E","Total",664,664,0,0,664,645,19,4,170,462,4,4,20,0
"E01006784",2011,"Liverpool 003C","Total",602,601,0,1,610,586,24,8,44,472,25,37,24,0
"E01006785",2011,"Liverpool 003D","Total",804,804,0,0,804,781,23,12,267,334,138,25,28,0
"E01006786",2011,"Liverpool 003E","Total",778,778,0,0,778,764,14,75,324,266,84,27,2,0
"E01006787",2011,"Liverpool 006A","Total",714,711,1,2,721,691,30,24,160,248,139,136,14,0
"E01006788",2011,"Liverpool 006B","Total",693,693,0,0,693,681,12,18,290,377,1,4,3,0
"E01006790",2011,"Liverpool 006C","Total",842,842,0,0,842,801,41,17,88,573,132,25,7,0
"E01006791",2011,"Liverpool 006D","Total",895,893,1,1,898,873,25,15,262,316,233,55,17,0
"E01006792",2011,"Liverpool 046A","Total",592,592,0,0,592,557,35,222,284,14,67,4,1,0
"E01006793",2011,"Liverpool 051A","Total",790,790,0,0,790,759,31,168,157,87,371,7,0,0
"E01006794",2011,"Liverpool 046B","Total",737,737,0,0,737,711,26,221,227,162,96,22,9,0
"E01006795",2011,"Liverpool 051B","Total",649,649,0,0,649,628,21,90,359,102,61,18,19,0
"E01006796",2011,"Liverpool 047E","Total",590,590,0,0,590,581,9,418,141,13,17,1,0,0
"E01006797",2011,"Liverpool 051C","Total",722,722,0,0,722,707,15,14,270,300,105,22,11,0
"E01006798",2011,"Liverpool 051D","Total",621,621,0,0,621,609,12,152,340,55,74,0,0,0
"E01006799",2011,"Liverpool 051E","Total",1205,1205,0,0,1205,1145,60,58,161,302,653,19,12,0
"E01006800",2011,"Liverpool 046C","Total",693,693,0,0,693,679,14,164,434,13,80,1,1,0
"E01006801",2011,"Liverpool 046D","Total",625,625,0,0,625,609,16,61,529,24,11,0,0,0
"E01032505",2011,"Liverpool 050F","Total",585,585,0,0,585,563,22,198,89,285,7,2,4,0
"E01032506",2011,"Liverpool 050G","Total",682,679,1,2,689,656,33,10,16,573,44,28,17,1
"E01032507",2011,"Liverpool 050H","Total",711,711,0,0,711,666,45,4,23,600,19,23,42,0
"E01032508",2011,"Liverpool 027G","Total",913,913,0,0,913,847,66,28,226,401,123,82,53,0
"E01032509",2011,"Liverpool 027H","Total",694,694,0,0,694,665,29,11,107,563,10,2,1,0
"E01032510",2011,"Liverpool 008F","Total",796,796,0,0,796,776,20,54,216,417,104,2,3,0
"E01032511",2011,"Liverpool 008G","Total",625,625,0,0,625,616,9,53,461,75,32,4,0,0
"E01033747",2011,"Liverpool 018F","Total",519,519,0,0,519,496,23,17,106,226,116,32,22,0
"E01033748",2011,"Liverpool 050I","Total",829,829,0,0,829,772,57,5,10,92,717,5,0,0
"E01033749",2011,"Liverpool 042F","Total",546,539,0,7,1066,1039,27,7,5,59,962,30,3,0
"E01033750",2011,"Liverpool 061A","Total",990,990,0,0,990,905,85,2,7,32,943,2,4,0
"E01033751",2011,"Liverpool 062A","Total",640,640,0,0,640,603,37,14,48,65,458,36,11,8
"E01033752",2011,"Liverpool 062B","Total",903,899,1,3,910,790,120,4,2,3,752,41,106,2
"E01033753",2011,"Liverpool 062C","Total",753,750,2,1,757,714,43,0,2,7,734,2,12,0
"E01033754",2011,"Liverpool 061B","Total",1024,1022,2,0,1026,838,188,21,131,46,788,36,4,0
"E01033755",2011,"Liverpool 062D","Total",749,749,0,0,749,675,74,2,0,6,702,23,16,0
"E01033756",2011,"Liverpool 061C","Total",933,932,1,0,934,733,201,2,6,12,786,28,100,0
"E01033757",2011,"Liverpool 037E","Total",640,630,0,10,777,715,62,7,14,61,555,134,5,1
"E01033758",2011,"Liverpool 060B","Total",536,530,1,5,562,475,87,10,32,22,441,18,38,1
"E01033759",2011,"Liverpool 010F","Total",486,486,0,0,486,480,6,18,156,284,26,2,0,0
"E01033760",2011,"Liverpool 060C","Total",575,574,1,0,576,529,47,3,5,3,453,53,59,0
"E01033761",2011,"Liverpool 060D","Total",909,906,1,2,920,832,88,5,8,19,798,46,44,0
"E01033762",2011,"Liverpool 060E","Total",467,466,1,0,468,456,12,3,11,7,409,24,14,0
"E01033763",2011,"Liverpool 031G","Total",851,849,0,2,856,820,36,24,114,267,321,126,4,0
"E01033764",2011,"Liverpool 022E","Total",1210,1209,0,1,1212,1172,40,68,294,389,450,6,5,0
"E01033765",2011,"Liverpool 061D","Total",715,715,0,0,715,659,56,29,304,196,185,0,1,0
"E01033766",2011,"Liverpool 042G","Total",442,440,2,0,444,424,20,0,15,405,4,16,4,0
"E01033767",2011,"Liverpool 050J","Total",595,595,0,0,595,562,33,19,27,491,55,1,2,0
"E01033768",2011,"Liverpool 037F","Total",834,815,5,14,889,835,54,5,10,85,323,465,1,0
