"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC of household reference person; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01006525",2011,"Liverpool 049A","Total",982,209,66,0,66,143,76,53,14,0,317,208,167,21,14,6,70,39,143,98,36,4,5,100,41,41,0,59,59,0,45,33,12,12,0,60,10,21,9,14,0,2,4,65,12,3,27,22,1,17,3,14,26,26,0
"E01006526",2011,"Liverpool 048C","Total",1083,176,24,0,24,152,111,24,15,2,399,281,218,24,25,14,82,36,110,74,24,12,0,93,30,30,0,63,62,1,70,23,47,29,18,97,10,50,13,11,0,4,9,69,4,8,32,24,1,40,27,13,29,29,0
"E01006527",2011,"Liverpool 053A","Total",1079,196,43,0,43,153,116,20,17,0,304,231,167,25,29,10,52,21,107,66,33,8,0,116,40,40,0,76,76,0,93,62,31,30,1,124,16,71,6,7,0,8,16,70,17,6,24,23,0,31,18,13,38,38,0
"E01006528",2011,"Liverpool 052C","Total",1304,240,30,0,30,210,106,59,44,1,352,221,163,27,24,7,71,60,169,97,56,11,5,113,42,42,0,71,71,0,64,48,16,12,4,120,14,51,19,14,1,8,13,93,7,10,23,53,0,29,10,19,124,123,1
"E01006529",2011,"Liverpool 048D","Total",1129,227,30,0,30,197,142,23,26,6,389,297,235,39,23,0,49,43,130,86,32,11,1,89,11,11,0,78,72,6,70,45,25,13,12,100,20,39,6,24,0,1,10,73,12,1,29,31,0,14,9,5,37,37,0
"E01006530",2011,"Liverpool 055A","Total",1058,103,30,0,30,73,48,23,2,0,346,257,199,44,14,0,46,43,179,84,73,14,8,117,36,36,0,81,81,0,100,51,49,37,12,128,29,54,9,27,0,2,7,64,10,2,24,28,0,16,2,14,5,5,0
"E01006531",2011,"Liverpool 055B","Total",934,148,50,0,50,98,58,38,2,0,309,186,145,11,29,1,75,48,131,67,52,3,9,98,41,41,0,57,57,0,86,37,49,33,16,82,8,27,4,18,0,13,12,54,3,2,30,19,0,13,4,9,13,13,0
"E01006532",2011,"Liverpool 047A","Total",1210,362,58,3,55,304,159,45,94,6,392,257,185,25,35,12,108,27,73,51,14,0,8,198,111,108,3,87,87,0,67,30,37,26,11,69,9,27,4,10,0,19,0,23,0,0,20,3,0,18,10,8,8,8,0
"E01006533",2011,"Liverpool 055C","Total",1056,199,36,0,36,163,108,18,33,4,262,201,152,28,21,0,49,12,112,75,17,8,12,139,56,53,3,83,80,3,118,66,52,45,7,127,28,51,5,21,0,18,4,48,5,7,21,12,3,45,20,25,6,6,0
"E01006534",2011,"Liverpool 054A","Total",1308,172,38,0,38,134,88,28,15,3,319,211,166,27,14,4,68,40,127,74,37,10,6,151,63,63,0,88,88,0,89,26,63,54,9,205,47,83,13,25,0,20,17,164,5,16,52,89,2,60,38,22,21,21,0
"E01006535",2011,"Liverpool 054B","Total",1295,141,34,0,34,107,51,33,21,2,299,189,152,22,13,2,73,37,226,117,74,18,17,85,33,33,0,52,52,0,128,69,59,55,4,208,64,85,6,29,0,2,22,137,30,1,52,54,0,57,42,15,14,14,0
"E01006536",2011,"Liverpool 054C","Total",1532,110,20,0,20,90,45,30,13,2,268,153,129,12,12,0,81,34,222,111,72,26,13,142,35,35,0,107,107,0,103,61,42,30,12,312,99,135,33,30,0,9,6,283,31,14,104,134,0,78,35,43,14,14,0
"E01006537",2011,"Liverpool 055D","Total",1991,219,38,0,38,181,102,48,24,7,430,248,215,16,5,12,125,57,271,139,85,25,22,219,69,69,0,150,148,2,178,81,97,73,24,344,121,104,22,58,0,27,12,231,20,36,76,97,2,75,46,29,24,24,0
"E01006538",2011,"Liverpool 055E","Total",1076,120,31,0,31,89,60,25,4,0,266,153,132,12,5,4,77,36,110,53,47,7,3,94,13,13,0,81,81,0,154,66,88,53,35,144,27,63,21,21,0,12,0,146,15,10,77,43,1,38,30,8,4,4,0
"E01006539",2011,"Liverpool 047B","Total",1119,348,57,0,57,291,151,49,79,12,330,234,176,16,34,8,63,33,89,64,14,8,3,206,103,100,3,103,103,0,23,6,17,13,4,72,14,37,1,5,0,5,10,26,5,2,13,6,0,12,3,9,13,13,0
"E01006540",2011,"Liverpool 024A","Total",1324,46,11,0,11,35,28,6,1,0,181,114,100,9,5,0,42,25,104,44,34,17,9,68,22,22,0,46,46,0,84,35,49,47,2,241,65,130,12,15,0,11,8,249,42,23,18,166,0,297,201,96,54,54,0
"E01006541",2011,"Liverpool 015A","Total",1296,76,28,0,28,48,20,21,7,0,216,123,108,11,4,0,63,30,203,136,35,19,13,118,10,10,0,108,108,0,99,46,53,38,15,248,57,102,14,57,1,8,9,208,28,19,87,74,0,114,79,35,14,14,0
"E01006542",2011,"Liverpool 018A","Total",1154,64,27,0,27,37,19,11,5,2,181,113,97,11,4,1,35,33,167,91,45,26,5,91,29,29,0,62,62,0,77,45,32,20,12,236,43,129,17,38,0,6,3,211,34,13,57,107,0,113,85,28,14,14,0
"E01006543",2011,"Liverpool 015B","Total",1029,69,20,0,20,49,25,21,3,0,180,106,88,4,12,2,40,34,126,76,29,12,9,123,29,29,0,94,94,0,127,69,58,49,9,160,25,76,8,34,0,15,2,203,21,14,93,72,3,30,19,11,11,11,0
"E01006544",2011,"Liverpool 015C","Total",1419,34,6,0,6,28,16,12,0,0,175,97,85,7,5,0,66,12,171,86,61,21,3,103,17,17,0,86,86,0,114,64,50,46,4,312,140,114,10,22,2,21,3,286,56,19,72,139,0,205,157,48,19,19,0
"E01006545",2011,"Liverpool 019A","Total",1301,55,14,0,14,41,13,28,0,0,199,87,75,5,7,0,67,45,230,150,48,19,13,88,9,9,0,79,79,0,134,82,52,41,11,239,53,102,20,42,1,19,2,221,52,17,79,72,1,111,59,52,24,24,0
"E01006546",2011,"Liverpool 019B","Total",1180,54,19,0,19,35,17,13,5,0,189,123,104,10,9,0,41,25,175,80,64,22,9,99,24,24,0,75,75,0,82,45,37,29,8,255,81,116,8,18,0,16,16,188,28,27,65,67,1,129,66,63,9,9,0
"E01006547",2011,"Liverpool 019C","Total",1295,40,4,0,4,36,11,11,14,0,207,108,78,18,12,0,60,39,133,72,47,11,3,114,21,21,0,93,93,0,88,50,38,34,4,225,46,126,7,31,0,5,10,226,40,15,82,86,3,224,152,72,38,38,0
"E01006548",2011,"Liverpool 019D","Total",1391,33,18,0,18,15,8,4,3,0,190,114,93,11,10,0,27,49,183,87,57,30,9,76,21,21,0,55,55,0,121,68,53,47,6,228,43,124,15,16,0,26,4,255,51,11,81,107,5,209,140,69,96,96,0
"E01006549",2011,"Liverpool 043B","Total",1477,175,18,0,18,157,114,23,18,2,372,301,218,25,43,15,53,18,103,50,44,3,6,120,44,44,0,76,75,1,70,44,26,21,5,178,32,110,3,9,0,14,10,89,17,7,44,21,0,163,118,45,207,207,0
"E01006550",2011,"Liverpool 038A","Total",1524,86,12,0,12,74,51,11,12,0,200,124,89,16,13,6,50,26,84,43,25,13,3,56,10,10,0,46,46,0,57,39,18,16,2,58,16,28,1,11,0,0,2,31,10,2,12,7,0,53,36,17,899,899,0
"E01006551",2011,"Liverpool 048E","Total",795,147,29,2,27,118,63,29,25,1,197,164,108,8,44,4,32,1,81,41,32,8,0,47,16,16,0,31,31,0,30,24,6,6,0,89,13,63,0,4,0,4,5,74,14,3,20,37,0,92,69,23,38,38,0
"E01006552",2011,"Liverpool 039A","Total",1901,123,8,0,8,115,73,41,1,0,222,161,115,6,37,3,37,24,152,75,40,32,5,277,80,80,0,197,197,0,94,45,49,41,8,258,59,141,0,39,0,12,7,207,35,26,33,107,6,408,291,117,160,160,0
"E01006553",2011,"Liverpool 042A","Total",1790,236,17,0,17,219,159,52,8,0,284,193,167,12,12,2,80,11,139,87,42,10,0,89,30,30,0,59,59,0,69,53,16,14,2,139,44,60,3,15,0,0,17,67,23,14,13,15,2,75,64,11,692,692,0
"E01006554",2011,"Liverpool 048F","Total",1583,282,42,0,42,240,171,37,32,0,293,209,149,20,32,8,76,8,79,33,27,15,4,143,54,54,0,89,88,1,36,27,9,9,0,75,17,53,0,3,0,2,0,57,19,2,7,27,2,70,27,43,548,548,0
"E01006556",2011,"Liverpool 039B","Total",1841,72,9,0,9,63,41,7,15,0,194,121,108,7,6,0,50,23,143,80,37,18,8,197,77,77,0,120,120,0,108,70,38,36,2,243,75,134,14,10,0,6,4,227,54,27,47,99,0,501,372,129,156,156,0
"E01006557",2011,"Liverpool 038B","Total",1963,117,16,0,16,101,63,26,12,0,237,185,147,21,15,2,32,20,131,80,39,12,0,73,23,23,0,50,48,2,59,39,20,13,7,131,50,54,6,14,0,7,0,86,39,0,12,35,0,73,48,25,1056,1056,0
"E01006558",2011,"Liverpool 018B","Total",1173,16,0,0,0,16,7,9,0,0,175,100,91,8,1,0,34,41,100,39,45,10,6,66,23,23,0,43,40,3,79,44,35,35,0,242,63,118,17,14,1,16,13,272,46,21,54,151,0,208,137,71,15,15,0
"E01006560",2011,"Liverpool 023A","Total",1506,15,2,0,2,13,13,0,0,0,98,65,53,12,0,0,19,14,143,85,34,21,3,89,21,21,0,68,68,0,115,76,39,37,2,363,90,150,32,45,0,35,11,372,35,57,66,212,2,280,184,96,31,31,0
"E01006562",2011,"Liverpool 018E","Total",1341,17,7,0,7,10,2,8,0,0,171,88,64,14,1,9,50,33,137,71,44,22,0,92,13,13,0,79,79,0,82,46,36,33,3,295,58,176,7,33,0,8,13,267,32,35,52,148,0,261,203,58,19,19,0
"E01006563",2011,"Liverpool 024B","Total",1349,12,3,0,3,9,7,2,0,0,171,100,95,5,0,0,47,24,165,94,42,26,3,84,18,18,0,66,66,0,78,46,32,20,12,246,51,143,10,33,0,8,1,248,41,20,60,127,0,315,233,82,30,30,0
"E01006564",2011,"Liverpool 023B","Total",1366,44,16,0,16,28,20,5,3,0,140,99,84,6,9,0,32,9,174,102,60,8,4,125,14,14,0,111,111,0,183,104,79,69,10,276,64,91,15,90,0,13,3,286,29,14,86,156,1,121,72,49,17,17,0
"E01006565",2011,"Liverpool 029A","Total",1251,68,11,0,11,57,30,21,6,0,275,157,136,16,5,0,64,54,178,96,48,16,18,90,12,12,0,78,78,0,115,53,62,55,7,227,45,126,15,29,0,12,0,203,30,19,62,92,0,86,58,28,9,9,0
"E01006566",2011,"Liverpool 032A","Total",1222,132,20,0,20,112,58,39,15,0,306,192,170,17,5,0,88,26,141,77,47,8,9,123,22,22,0,101,101,0,120,58,62,52,10,216,47,97,11,26,0,25,10,127,8,22,66,31,0,55,39,16,2,2,0
"E01006567",2011,"Liverpool 026A","Total",1269,100,28,0,28,72,32,30,10,0,196,113,93,17,3,0,45,38,150,91,43,11,5,163,40,40,0,123,123,0,113,58,55,53,2,194,57,77,15,38,0,7,0,199,23,13,92,71,0,134,88,46,20,20,0
"E01006568",2011,"Liverpool 026B","Total",1309,109,24,0,24,85,47,30,8,0,339,228,188,21,12,7,76,35,213,116,54,33,10,98,19,19,0,79,79,0,108,79,29,27,2,226,50,119,14,25,0,13,5,134,10,19,66,39,0,75,30,45,7,7,0
"E01006569",2011,"Liverpool 029B","Total",1075,92,24,0,24,68,44,10,9,5,163,92,86,1,5,0,39,32,112,55,33,24,0,111,33,33,0,78,76,2,87,52,35,29,6,197,43,90,7,39,0,14,4,200,26,22,79,72,1,103,67,36,10,10,0
"E01006570",2011,"Liverpool 026C","Total",1215,162,23,0,23,139,59,75,5,0,333,217,186,19,10,2,80,36,166,85,48,12,21,165,48,48,0,117,117,0,97,40,57,46,11,130,18,68,21,15,0,5,3,106,19,9,53,25,0,49,20,29,7,7,0
"E01006571",2011,"Liverpool 026D","Total",1211,40,15,0,15,25,9,14,2,0,205,126,121,3,2,0,43,36,141,91,20,20,10,99,27,27,0,72,72,0,72,61,11,11,0,262,80,130,9,24,3,12,4,245,13,22,106,101,3,135,95,40,12,12,0
"E01006572",2011,"Liverpool 025A","Total",1036,19,10,0,10,9,9,0,0,0,131,80,66,8,2,4,29,22,108,78,20,8,2,88,14,9,5,74,74,0,127,97,30,28,2,256,87,112,17,17,0,23,0,129,23,7,39,57,3,151,111,40,27,27,0
"E01006573",2011,"Liverpool 029C","Total",1212,72,24,0,24,48,28,20,0,0,188,103,102,0,1,0,52,33,200,125,43,30,2,101,5,5,0,96,96,0,89,50,39,37,2,270,78,134,4,28,0,14,12,168,32,15,36,85,0,111,48,63,13,13,0
"E01006574",2011,"Liverpool 025B","Total",1137,47,17,0,17,30,20,10,0,0,182,125,117,2,6,0,46,11,135,71,42,12,10,131,48,48,0,83,79,4,80,39,41,41,0,295,78,124,18,47,1,15,12,166,19,20,63,64,0,98,56,42,3,3,0
"E01006575",2011,"Liverpool 034A","Total",1034,113,17,0,17,96,67,21,8,0,253,191,165,20,4,2,50,12,161,80,51,23,7,115,27,27,0,88,88,0,87,31,56,48,8,149,46,42,12,20,0,26,3,85,10,14,21,39,1,46,31,15,25,25,0
"E01006576",2011,"Liverpool 034B","Total",1420,172,58,0,58,114,53,38,20,3,434,231,188,17,24,2,129,74,251,126,74,15,36,152,55,55,0,97,97,0,96,46,50,38,12,145,36,65,13,9,0,15,7,136,7,10,69,50,0,24,15,9,10,10,0
"E01006577",2011,"Liverpool 034C","Total",1249,289,68,0,68,221,144,42,29,6,432,288,236,38,11,3,89,55,149,86,33,19,11,121,21,21,0,100,100,0,71,37,34,34,0,98,29,32,5,26,0,6,0,66,7,3,26,30,0,12,4,8,11,11,0
"E01006578",2011,"Liverpool 036A","Total",1166,151,36,0,36,115,59,42,10,4,370,242,191,43,4,4,86,42,177,115,48,5,9,165,41,41,0,124,124,0,102,30,72,69,3,101,20,41,8,16,0,13,3,65,4,7,36,18,0,24,13,11,11,11,0
"E01006579",2011,"Liverpool 034D","Total",1344,237,35,0,35,202,125,70,7,0,419,280,239,27,14,0,80,59,142,85,47,2,8,186,59,59,0,127,127,0,85,34,51,51,0,168,40,56,25,29,0,7,11,88,14,6,35,33,0,16,15,1,3,3,0
"E01006580",2011,"Liverpool 036B","Total",1106,235,42,0,42,193,114,43,29,7,407,254,192,35,22,5,100,53,141,79,44,6,12,123,52,52,0,71,71,0,65,28,37,35,2,60,19,19,1,9,0,10,2,55,7,3,27,18,0,20,9,11,0,0,0
"E01006581",2011,"Liverpool 036C","Total",1292,288,69,0,69,219,117,82,18,2,392,237,180,41,15,1,104,51,187,113,67,3,4,103,44,44,0,59,59,0,83,24,59,50,9,93,19,29,8,24,0,11,2,81,9,7,47,18,0,13,8,5,52,52,0
"E01006582",2011,"Liverpool 041A","Total",1395,294,69,0,69,225,130,51,40,4,501,313,272,18,22,1,110,78,148,90,37,10,11,143,41,41,0,102,102,0,99,45,54,51,3,101,22,33,1,14,0,13,18,69,10,6,24,29,0,16,8,8,24,24,0
"E01006583",2011,"Liverpool 047C","Total",1007,254,43,0,43,211,95,65,39,12,346,220,145,32,40,3,82,44,104,79,9,10,6,174,104,104,0,70,70,0,38,23,15,12,3,30,15,2,0,9,0,4,0,32,3,0,21,8,0,10,1,9,19,19,0
"E01006584",2011,"Liverpool 034E","Total",1158,98,27,0,27,71,51,13,5,2,363,228,186,27,7,8,87,48,160,84,48,18,10,138,35,35,0,103,103,0,115,37,78,69,9,117,29,49,10,15,0,10,4,113,9,5,67,32,0,50,20,30,4,4,0
"E01006585",2011,"Liverpool 032B","Total",1091,79,21,0,21,58,38,17,3,0,191,110,83,19,8,0,36,45,137,66,36,28,7,95,30,30,0,65,65,0,94,44,50,41,9,208,50,114,5,23,2,12,2,182,17,13,68,83,1,83,50,33,22,22,0
"E01006586",2011,"Liverpool 032C","Total",1593,186,17,0,17,169,117,30,22,0,356,245,200,12,28,5,52,59,196,106,61,17,12,166,47,47,0,119,119,0,116,73,43,39,4,224,51,111,16,21,0,12,13,184,13,19,92,58,2,115,69,46,50,50,0
"E01006587",2011,"Liverpool 032D","Total",1437,218,72,0,72,146,86,45,12,3,394,278,233,25,13,7,58,58,152,76,54,18,4,168,61,61,0,107,107,0,76,48,28,21,7,158,37,77,11,15,0,15,3,161,29,13,58,61,0,83,57,26,27,27,0
"E01006588",2011,"Liverpool 042C","Total",1319,209,34,0,34,175,124,34,10,7,401,300,239,33,28,0,46,55,140,70,41,23,6,109,55,55,0,54,54,0,73,46,27,26,1,147,36,52,15,9,9,17,9,88,12,6,49,20,1,37,23,14,115,115,0
"E01006589",2011,"Liverpool 041B","Total",1278,205,43,0,43,162,94,44,24,0,426,324,259,33,26,6,76,26,156,98,29,12,17,167,43,43,0,124,121,3,100,38,62,59,3,133,33,64,7,11,0,18,0,75,10,0,42,23,0,5,3,2,11,11,0
"E01006590",2011,"Liverpool 042D","Total",1467,211,21,0,21,190,116,47,24,3,435,343,296,13,30,4,57,35,175,105,48,13,9,82,34,30,4,48,48,0,103,42,61,35,26,152,43,60,1,17,0,18,13,94,11,12,19,51,1,22,11,11,193,193,0
"E01006591",2011,"Liverpool 041C","Total",1453,331,38,0,38,293,188,64,41,0,497,370,287,48,29,6,87,40,156,108,36,6,6,113,31,31,0,82,82,0,55,42,13,13,0,84,31,31,2,8,0,5,7,62,4,4,43,9,2,30,22,8,125,125,0
"E01006592",2011,"Liverpool 041D","Total",1228,477,61,0,61,416,228,80,108,0,349,259,198,6,38,17,80,10,103,49,38,6,10,146,57,57,0,89,89,0,22,18,4,2,2,45,6,21,5,13,0,0,0,39,10,9,9,11,0,5,4,1,42,41,1
"E01006593",2011,"Liverpool 042E","Total",1396,210,38,0,38,172,115,47,7,3,436,322,282,11,25,4,87,27,162,86,61,10,5,103,25,20,5,78,78,0,87,67,20,12,8,104,27,56,0,0,0,8,13,69,18,1,24,26,0,36,31,5,189,189,0
"E01006594",2011,"Liverpool 047D","Total",1130,348,51,5,46,297,128,78,78,13,353,252,184,33,30,5,58,43,81,62,12,5,2,167,77,77,0,90,90,0,42,11,31,27,4,81,16,28,5,10,0,18,4,23,0,1,12,10,0,20,11,9,15,15,0
"E01006595",2011,"Liverpool 049B","Total",1438,248,42,0,42,206,148,40,9,9,435,325,283,36,6,0,68,42,208,112,71,13,12,108,41,41,0,67,67,0,118,45,73,71,2,140,48,40,15,18,0,9,10,99,13,6,47,33,0,36,24,12,46,46,0
"E01006596",2011,"Liverpool 049C","Total",1217,247,38,0,38,209,125,66,18,0,381,292,244,25,19,4,53,36,171,112,42,4,13,96,28,28,0,68,68,0,71,23,48,43,5,108,23,37,13,16,0,12,7,77,9,3,34,31,0,38,23,15,28,28,0
"E01006597",2011,"Liverpool 041E","Total",1358,413,108,0,108,305,199,37,64,5,452,323,271,12,26,14,91,38,113,64,41,3,5,174,63,63,0,111,111,0,73,48,25,21,4,71,14,40,1,1,3,11,1,33,14,2,9,8,0,9,0,9,20,20,0
