"lsoa11cd","date","lsoa11nm","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"E01006585",2011,"Liverpool 032B","Total",1354,654,700,1354,0,3,23.58,57.4
"E01006586",2011,"Liverpool 032C","Total",1899,935,964,1875,24,15,36.75,51.7
"E01006587",2011,"Liverpool 032D","Total",1624,828,796,1619,5,10,28.52,56.9
"E01006588",2011,"Liverpool 042C","Total",1569,769,800,1521,48,12,36.27,43.3
"E01006589",2011,"Liverpool 041B","Total",1518,728,790,1512,6,20,28.42,53.4
"E01006590",2011,"Liverpool 042D","Total",1642,858,784,1637,5,15,26.67,61.6
"E01006591",2011,"Liverpool 041C","Total",1633,806,827,1633,0,27,18.63,87.7
"E01006592",2011,"Liverpool 041D","Total",1565,721,844,1541,24,50,37.63,41.6
"E01006593",2011,"Liverpool 042E","Total",1541,758,783,1541,0,16,18.17,84.8
"E01006594",2011,"Liverpool 047D","Total",1410,667,743,1405,5,31,29.77,47.4
"E01006595",2011,"Liverpool 049B","Total",1745,805,940,1745,0,17,19.41,89.9
"E01006596",2011,"Liverpool 049C","Total",1451,706,745,1451,0,27,24.22,59.9
"E01006597",2011,"Liverpool 041E","Total",1667,772,895,1639,28,34,29.57,56.4
"E01006598",2011,"Liverpool 010A","Total",1361,617,744,1361,0,7,21.62,63
"E01006599",2011,"Liverpool 010B","Total",1121,489,632,1121,0,1,20.12,55.7
"E01006600",2011,"Liverpool 011A","Total",1407,638,769,1407,0,12,24.51,57.4
"E01006603",2011,"Liverpool 011B","Total",1410,671,739,1386,24,3,27.01,52.2
"E01006604",2011,"Liverpool 016A","Total",1367,642,725,1367,0,10,31.42,43.5
"E01006605",2011,"Liverpool 016B","Total",1531,740,791,1531,0,5,28.25,54.2
"E01006606",2011,"Liverpool 020A","Total",1521,729,792,1521,0,7,45.21,33.6
"E01006607",2011,"Liverpool 008A","Total",1531,718,813,1529,2,5,20.22,75.7
"E01006608",2011,"Liverpool 009A","Total",1215,604,611,1213,2,4,29.87,40.7
"E01006609",2011,"Liverpool 009B","Total",1283,609,674,1283,0,4,12.99,98.8
"E01006610",2011,"Liverpool 009C","Total",1397,647,750,1395,2,3,17.72,78.8
"E01006611",2011,"Liverpool 012A","Total",1291,646,645,1291,0,4,8.61,149.9
"E01006612",2011,"Liverpool 008B","Total",1495,728,767,1495,0,2,28.57,52.3
"E01006613",2011,"Liverpool 009D","Total",1360,655,705,1360,0,6,60.43,22.5
"E01006614",2011,"Liverpool 012B","Total",1322,635,687,1322,0,1,7.94,166.5
"E01006615",2011,"Liverpool 012C","Total",1302,611,691,1302,0,6,15.02,86.7
"E01006616",2011,"Liverpool 015D","Total",1428,696,732,1428,0,5,26.79,53.3
"E01006617",2011,"Liverpool 021A","Total",1421,667,754,1421,0,3,37.4,38
"E01006618",2011,"Liverpool 016C","Total",1639,765,874,1639,0,6,28.44,57.6
"E01006619",2011,"Liverpool 021B","Total",1599,753,846,1599,0,13,38.34,41.7
"E01006620",2011,"Liverpool 021C","Total",1417,670,747,1409,8,14,23.03,61.5
"E01006621",2011,"Liverpool 021D","Total",1468,717,751,1468,0,24,65.01,22.6
"E01006622",2011,"Liverpool 021E","Total",1519,751,768,1519,0,20,21.6,70.3
"E01006623",2011,"Liverpool 013A","Total",1462,724,738,1462,0,19,47.1,31
"E01006624",2011,"Liverpool 013B","Total",1556,756,800,1551,5,10,40.82,38.1
"E01006625",2011,"Liverpool 016D","Total",1416,675,741,1416,0,12,21.95,64.5
"E01006626",2011,"Liverpool 016E","Total",1448,676,772,1448,0,3,25.43,56.9
"E01006627",2011,"Liverpool 013C","Total",1378,654,724,1378,0,9,111.73,12.3
"E01006628",2011,"Liverpool 052D","Total",1874,871,1003,1518,356,30,55.94,33.5
"E01006629",2011,"Liverpool 052E","Total",1255,595,660,1242,13,9,25.36,49.5
"E01006630",2011,"Liverpool 044B","Total",1338,609,729,1338,0,0,32.98,40.6
"E01006632",2011,"Liverpool 044C","Total",1842,928,914,1842,0,11,20.31,90.7
"E01006633",2011,"Liverpool 050B","Total",1432,696,736,1432,0,2,21.19,67.6
"E01006637",2011,"Liverpool 017A","Total",1596,701,895,1596,0,4,23.12,69
"E01006638",2011,"Liverpool 017B","Total",1219,532,687,1219,0,2,22.09,55.2
"E01006639",2011,"Liverpool 017C","Total",1509,687,822,1509,0,5,40.59,37.2
"E01006640",2011,"Liverpool 021F","Total",1880,886,994,1880,0,22,61.71,30.5
"E01006641",2011,"Liverpool 025C","Total",1740,816,924,1640,100,1,18.53,93.9
"E01006642",2011,"Liverpool 025D","Total",1290,572,718,1290,0,5,18.6,69.4
"E01006643",2011,"Liverpool 025E","Total",1822,831,991,1822,0,6,21.92,83.1
"E01006644",2011,"Liverpool 017D","Total",2040,987,1053,2040,0,10,38.14,53.5
"E01006645",2011,"Liverpool 017E","Total",1424,671,753,1424,0,4,31.86,44.7
"E01006646",2011,"Liverpool 023C","Total",1899,993,906,1881,18,2,69.03,27.5
"E01006647",2011,"Liverpool 024C","Total",1422,652,770,1422,0,7,34.42,41.3
"E01006648",2011,"Liverpool 023D","Total",2175,1148,1027,2175,0,5,66.46,32.7
"E01006651",2011,"Liverpool 001A","Total",1642,800,842,1642,0,10,29.93,54.9
"E01006652",2011,"Liverpool 002A","Total",1505,752,753,1505,0,2,23.81,63.2
"E01006653",2011,"Liverpool 001B","Total",1520,733,787,1520,0,3,42.68,35.6
"E01006654",2011,"Liverpool 005A","Total",1513,713,800,1455,58,10,63.68,23.8
"E01006655",2011,"Liverpool 001C","Total",1758,836,922,1733,25,7,38.81,45.3
"E01006656",2011,"Liverpool 002B","Total",1493,734,759,1493,0,7,25.69,58.1
"E01006657",2011,"Liverpool 002C","Total",1211,576,635,1211,0,4,13.12,92.3
"E01006658",2011,"Liverpool 001D","Total",1300,604,696,1300,0,4,17.19,75.6
"E01006659",2011,"Liverpool 005B","Total",1765,1241,524,1070,695,6,161.04,11
"E01006660",2011,"Liverpool 001E","Total",1433,682,751,1433,0,4,98.06,14.6
"E01006661",2011,"Liverpool 004A","Total",1663,751,912,1663,0,6,33.1,50.2
"E01006662",2011,"Liverpool 004B","Total",1775,780,995,1633,142,3,89.27,19.9
"E01006663",2011,"Liverpool 004C","Total",1153,561,592,1153,0,1,112.79,10.2
"E01006664",2011,"Liverpool 004D","Total",1795,847,948,1795,0,7,31.57,56.9
"E01006665",2011,"Liverpool 007A","Total",1555,768,787,1555,0,13,70.47,22.1
"E01006666",2011,"Liverpool 007B","Total",1504,723,781,1504,0,19,23.46,64.1
"E01006667",2011,"Liverpool 007C","Total",1453,700,753,1413,40,7,53.83,27
"E01006668",2011,"Liverpool 007D","Total",1534,726,808,1534,0,10,23.38,65.6
"E01006669",2011,"Liverpool 004E","Total",1470,722,748,1470,0,5,22.49,65.4
"E01006670",2011,"Liverpool 007E","Total",1526,728,798,1520,6,11,65,23.5
"E01006671",2011,"Liverpool 013D","Total",1355,634,721,1349,6,17,90.51,15
"E01006672",2011,"Liverpool 010E","Total",1955,911,1044,1955,0,16,36.59,53.4
"E01006673",2011,"Liverpool 037D","Total",1937,1009,928,1925,12,8,29.13,66.5
"E01006674",2011,"Liverpool 039C","Total",1885,953,932,1885,0,11,20.66,91.2
"E01006675",2011,"Liverpool 043C","Total",1824,1054,770,1682,142,8,48.76,37.4
"E01006676",2011,"Liverpool 044D","Total",1753,861,892,1753,0,6,14.88,117.8
"E01006677",2011,"Liverpool 043D","Total",1040,451,589,993,47,3,12.9,80.6
"E01006678",2011,"Liverpool 044E","Total",2127,1122,1005,2126,1,8,33.43,63.6
"E01006679",2011,"Liverpool 039D","Total",2232,1104,1128,2184,48,13,34.73,64.3
"E01006680",2011,"Liverpool 053B","Total",1569,784,785,1569,0,14,44.54,35.2
"E01006681",2011,"Liverpool 054D","Total",1585,789,796,1585,0,18,35.16,45.1
"E01006682",2011,"Liverpool 053C","Total",1310,643,667,1310,0,25,21.61,60.6
