"lsoa11cd","date","lsoa11nm","Rural Urban","Economic Activity: All categories: Economic activity; measures: Value","Economic Activity: Economically active: Total; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically inactive: Total; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,403,58,220,1,5,10,20,32,57,396,43,262,13,59,19
"E01006513",2011,"Liverpool 060A","Total",909,586,38,296,0,14,16,36,19,167,323,39,235,3,35,11
"E01006514",2011,"Liverpool 037A","Total",1115,711,92,310,1,17,17,51,79,144,404,90,195,9,86,24
"E01006515",2011,"Liverpool 037B","Total",641,344,60,194,1,6,10,16,37,20,297,158,21,21,73,24
"E01006518",2011,"Liverpool 044A","Total",835,407,102,223,1,4,6,20,41,10,428,220,9,34,124,41
"E01006519",2011,"Liverpool 056A","Total",514,338,32,240,2,13,11,29,7,4,176,164,0,2,9,1
"E01006520",2011,"Liverpool 043A","Total",1182,857,70,565,1,17,20,67,87,30,325,170,16,7,105,27
"E01006521",2011,"Liverpool 052A","Total",928,574,55,365,2,28,13,43,46,22,354,256,9,7,64,18
"E01006522",2011,"Liverpool 048A","Total",1094,815,69,528,1,18,17,65,93,24,279,76,22,26,128,27
"E01006523",2011,"Liverpool 052B","Total",830,572,58,386,1,17,21,30,47,12,258,122,14,19,87,16
"E01006524",2011,"Liverpool 048B","Total",583,402,38,274,0,24,18,31,9,8,181,132,23,5,15,6
"E01006525",2011,"Liverpool 049A","Total",486,322,38,220,0,16,9,27,6,6,164,150,4,0,9,1
"E01006526",2011,"Liverpool 048C","Total",654,449,45,304,2,14,12,38,16,18,205,160,4,5,27,9
"E01006527",2011,"Liverpool 053A","Total",638,382,49,249,1,13,10,28,21,11,256,214,1,5,26,10
"E01006528",2011,"Liverpool 052C","Total",613,457,40,303,4,16,11,34,23,26,156,95,8,10,28,15
"E01006529",2011,"Liverpool 048D","Total",559,400,43,291,0,9,9,28,12,8,159,120,8,3,18,10
"E01006530",2011,"Liverpool 055A","Total",616,341,48,241,3,11,8,24,5,1,275,254,2,4,8,7
"E01006531",2011,"Liverpool 055B","Total",674,303,35,218,2,13,7,23,4,1,371,347,2,2,14,6
"E01006532",2011,"Liverpool 047A","Total",617,397,37,228,6,61,16,40,6,3,220,203,0,4,6,7
"E01006533",2011,"Liverpool 055C","Total",614,327,50,203,0,24,13,17,18,2,287,237,4,4,30,12
"E01006534",2011,"Liverpool 054A","Total",649,402,68,244,6,15,7,31,24,7,247,155,5,17,61,9
"E01006535",2011,"Liverpool 054B","Total",656,409,62,281,0,13,8,21,21,3,247,190,3,10,33,11
"E01006536",2011,"Liverpool 054C","Total",815,478,96,294,2,9,9,28,36,4,337,233,3,17,69,15
"E01006537",2011,"Liverpool 055D","Total",964,692,108,459,1,27,14,44,36,3,272,176,9,32,37,18
"E01006538",2011,"Liverpool 055E","Total",527,334,48,235,1,4,5,27,14,0,193,166,1,6,16,4
"E01006539",2011,"Liverpool 047B","Total",601,419,55,230,3,48,20,49,10,4,182,174,2,1,4,1
"E01006540",2011,"Liverpool 024A","Total",771,439,100,187,2,4,2,22,98,24,332,144,7,49,91,41
"E01006541",2011,"Liverpool 015A","Total",803,455,79,280,1,4,8,34,44,5,348,220,2,22,92,12
"E01006542",2011,"Liverpool 018A","Total",583,348,82,194,1,9,3,21,33,5,235,96,7,24,91,17
"E01006543",2011,"Liverpool 015B","Total",509,318,47,212,0,12,6,25,11,5,191,150,0,12,22,7
"E01006544",2011,"Liverpool 015C","Total",738,386,104,195,2,3,3,16,62,1,352,185,6,41,95,25
"E01006545",2011,"Liverpool 019A","Total",646,420,96,255,0,3,5,21,36,4,226,141,5,29,39,12
"E01006546",2011,"Liverpool 019B","Total",583,384,64,231,1,2,9,23,53,1,199,96,3,28,51,21
"E01006547",2011,"Liverpool 019C","Total",718,443,89,194,3,7,10,28,101,11,275,129,10,40,71,25
"E01006548",2011,"Liverpool 019D","Total",759,433,92,218,1,4,3,24,76,15,326,156,20,37,82,31
"E01006549",2011,"Liverpool 043B","Total",949,704,72,392,2,15,27,46,104,46,245,69,39,7,112,18
"E01006550",2011,"Liverpool 038A","Total",483,360,29,144,1,5,7,18,18,138,123,56,41,6,15,5
"E01006551",2011,"Liverpool 048E","Total",751,329,39,182,2,6,8,37,47,8,422,281,3,14,100,24
"E01006552",2011,"Liverpool 039A","Total",869,567,104,230,5,16,14,52,109,37,302,85,42,56,67,52
"E01006553",2011,"Liverpool 042A","Total",642,498,55,266,1,12,5,24,16,119,144,76,33,6,20,9
"E01006554",2011,"Liverpool 048F","Total",649,501,35,253,4,18,16,41,47,87,148,64,34,0,41,9
"E01006556",2011,"Liverpool 039B","Total",1016,567,110,191,6,21,17,26,160,36,449,147,46,47,140,69
"E01006557",2011,"Liverpool 038B","Total",635,464,41,207,1,8,6,21,20,160,171,64,72,11,16,8
"E01006558",2011,"Liverpool 018B","Total",739,403,94,196,1,6,2,8,92,4,336,154,4,34,96,48
"E01006560",2011,"Liverpool 023A","Total",996,432,106,176,1,6,6,15,115,7,564,285,5,27,197,50
"E01006562",2011,"Liverpool 018E","Total",714,352,84,165,1,8,5,19,66,4,362,142,6,43,127,44
"E01006563",2011,"Liverpool 024B","Total",908,358,76,153,1,1,6,13,97,11,550,324,3,43,135,45
"E01006564",2011,"Liverpool 023B","Total",800,409,97,230,0,6,11,23,38,4,391,269,5,20,71,26
"E01006565",2011,"Liverpool 029A","Total",638,364,70,234,0,2,4,22,29,3,274,209,2,12,38,13
"E01006566",2011,"Liverpool 032A","Total",577,382,44,265,5,8,7,33,18,2,195,158,2,9,17,9
"E01006567",2011,"Liverpool 026A","Total",892,437,72,232,2,10,14,31,67,9,455,275,6,15,125,34
"E01006568",2011,"Liverpool 026B","Total",629,456,68,304,0,8,7,30,36,3,173,128,0,10,26,9
"E01006569",2011,"Liverpool 029B","Total",613,301,59,166,0,9,3,28,33,3,312,217,2,14,62,17
"E01006570",2011,"Liverpool 026C","Total",595,385,45,261,1,16,9,31,20,2,210,174,1,10,16,9
"E01006571",2011,"Liverpool 026D","Total",612,327,74,178,1,3,6,22,38,5,285,183,1,25,65,11
"E01006572",2011,"Liverpool 025A","Total",501,259,73,123,0,2,5,18,31,7,242,135,4,32,54,17
"E01006573",2011,"Liverpool 029C","Total",778,454,80,264,0,1,5,33,69,2,324,215,5,26,54,24
"E01006574",2011,"Liverpool 025B","Total",612,338,71,186,4,12,3,22,38,2,274,179,1,25,54,15
"E01006575",2011,"Liverpool 034A","Total",578,335,56,209,2,9,7,30,16,6,243,182,5,10,33,13
"E01006576",2011,"Liverpool 034B","Total",713,480,53,342,2,20,10,37,13,3,233,193,1,10,25,4
"E01006577",2011,"Liverpool 034C","Total",597,414,55,290,1,12,13,34,5,4,183,164,0,9,4,6
"E01006578",2011,"Liverpool 036A","Total",554,398,44,283,2,15,8,34,10,2,156,135,2,4,10,5
"E01006579",2011,"Liverpool 034D","Total",618,401,53,273,2,16,9,36,11,1,217,194,0,3,12,8
"E01006580",2011,"Liverpool 036B","Total",515,365,45,245,3,17,6,38,11,0,150,139,0,4,4,3
"E01006581",2011,"Liverpool 036C","Total",607,414,52,291,2,12,9,27,7,14,193,170,4,7,7,5
"E01006582",2011,"Liverpool 041A","Total",585,418,48,291,0,17,16,30,12,4,167,150,3,3,8,3
"E01006583",2011,"Liverpool 047C","Total",467,311,43,170,5,35,16,33,5,4,156,151,1,1,2,1
"E01006584",2011,"Liverpool 034E","Total",611,396,52,257,2,11,11,33,28,2,215,171,0,2,36,6
"E01006585",2011,"Liverpool 032B","Total",641,310,49,183,1,8,3,17,41,8,331,202,6,12,90,21
"E01006586",2011,"Liverpool 032C","Total",921,579,88,345,0,12,11,50,55,18,342,213,8,21,70,30
"E01006587",2011,"Liverpool 032D","Total",717,475,58,321,4,22,13,26,28,3,242,161,8,11,46,16
"E01006588",2011,"Liverpool 042C","Total",702,519,66,343,5,15,17,27,25,21,183,131,13,6,29,4
"E01006589",2011,"Liverpool 041B","Total",599,420,70,272,2,10,11,47,5,3,179,161,2,5,10,1
"E01006590",2011,"Liverpool 042D","Total",701,514,57,354,0,15,7,33,17,31,187,126,24,5,21,11
"E01006591",2011,"Liverpool 041C","Total",671,496,53,335,2,15,15,36,15,25,175,137,9,6,16,7
"E01006592",2011,"Liverpool 041D","Total",624,398,41,240,2,38,12,54,5,6,226,205,5,5,6,5
"E01006593",2011,"Liverpool 042E","Total",662,512,59,356,2,9,17,23,12,34,150,105,16,8,19,2
"E01006594",2011,"Liverpool 047D","Total",579,361,36,205,8,44,16,43,7,2,218,202,2,3,5,6
"E01006595",2011,"Liverpool 049B","Total",812,519,70,378,3,12,6,28,12,10,293,241,8,13,24,7
"E01006596",2011,"Liverpool 049C","Total",597,396,43,297,1,10,8,25,6,6,201,169,4,6,15,7
"E01006597",2011,"Liverpool 041E","Total",683,469,61,300,1,27,17,50,10,3,214,196,3,4,4,7
"E01006598",2011,"Liverpool 010A","Total",604,272,60,141,0,1,2,15,49,4,332,185,8,32,83,24
"E01006599",2011,"Liverpool 010B","Total",482,296,78,124,2,2,1,12,74,3,186,86,4,31,43,22
"E01006600",2011,"Liverpool 011A","Total",592,313,73,171,1,9,8,23,25,3,279,174,2,19,70,14
"E01006603",2011,"Liverpool 011B","Total",594,303,72,166,2,5,9,21,28,0,291,202,2,18,45,24
"E01006604",2011,"Liverpool 016A","Total",571,339,73,192,2,8,6,27,30,1,232,158,1,15,47,11
"E01006605",2011,"Liverpool 016B","Total",696,362,74,199,4,12,4,30,33,6,334,212,2,23,83,14
"E01006606",2011,"Liverpool 020A","Total",723,430,63,271,1,7,7,34,43,4,293,178,5,25,69,16
"E01006607",2011,"Liverpool 008A","Total",641,335,71,197,1,5,2,20,34,5,306,174,1,31,78,22
"E01006608",2011,"Liverpool 009A","Total",563,350,60,209,1,5,4,33,33,5,213,139,1,12,58,3
"E01006609",2011,"Liverpool 009B","Total",576,361,65,220,2,3,6,21,41,3,215,130,6,21,42,16
"E01006610",2011,"Liverpool 009C","Total",669,354,69,210,0,4,2,23,41,5,315,190,5,33,62,25
"E01006611",2011,"Liverpool 012A","Total",742,416,83,230,0,1,1,19,71,11,326,141,9,36,120,20
