"lsoa11cd","date","lsoa11nm","Social Grade: All categories: Approximated social grade; measures: Value","Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value","Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value","Social Grade: C2 Skilled manual occupations; measures: Value","Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value"
"E01006621",2011,"Liverpool 021D",963,291,353,166,153
"E01006622",2011,"Liverpool 021E",940,230,330,226,154
"E01006623",2011,"Liverpool 013A",989,183,349,239,218
"E01006624",2011,"Liverpool 013B",1026,112,310,246,358
"E01006625",2011,"Liverpool 016D",868,170,268,203,227
"E01006626",2011,"Liverpool 016E",967,179,319,262,207
"E01006627",2011,"Liverpool 013C",914,168,300,192,254
"E01006628",2011,"Liverpool 052D",1073,354,366,144,209
"E01006629",2011,"Liverpool 052E",877,201,273,154,249
"E01006630",2011,"Liverpool 044B",886,61,157,169,499
"E01006632",2011,"Liverpool 044C",1220,111,310,181,618
"E01006633",2011,"Liverpool 050B",891,35,205,137,514
"E01006637",2011,"Liverpool 017A",1008,57,280,171,500
"E01006638",2011,"Liverpool 017B",776,24,176,172,404
"E01006639",2011,"Liverpool 017C",988,129,291,267,301
"E01006640",2011,"Liverpool 021F",1204,248,419,250,287
"E01006641",2011,"Liverpool 025C",1111,157,430,258,266
"E01006642",2011,"Liverpool 025D",820,33,191,136,460
"E01006643",2011,"Liverpool 025E",1173,76,272,220,605
"E01006644",2011,"Liverpool 017D",1374,133,404,314,523
"E01006645",2011,"Liverpool 017E",857,60,176,151,470
"E01006646",2011,"Liverpool 023C",1401,210,402,222,567
"E01006647",2011,"Liverpool 024C",859,40,159,152,508
"E01006648",2011,"Liverpool 023D",1624,268,470,214,672
"E01006651",2011,"Liverpool 001A",1156,219,433,268,236
"E01006652",2011,"Liverpool 002A",1002,131,362,226,283
"E01006653",2011,"Liverpool 001B",978,101,283,230,364
"E01006654",2011,"Liverpool 005A",982,97,324,275,286
"E01006655",2011,"Liverpool 001C",1125,139,318,280,388
"E01006656",2011,"Liverpool 002B",1018,124,392,254,248
"E01006657",2011,"Liverpool 002C",804,80,258,184,282
"E01006658",2011,"Liverpool 001D",838,49,152,202,435
"E01006659",2011,"Liverpool 005B",721,73,174,156,318
"E01006660",2011,"Liverpool 001E",884,56,241,212,375
"E01006661",2011,"Liverpool 004A",1036,70,201,222,543
"E01006662",2011,"Liverpool 004B",988,56,275,193,464
"E01006663",2011,"Liverpool 004C",756,81,188,174,313
"E01006664",2011,"Liverpool 004D",1148,102,249,197,600
