"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Accommodation type; measures: Value","Dwelling Type: Unshared dwelling: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value","Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1420,1338,410,68,271,71,923,870,43,10,5,82
"E01006513",2011,"Liverpool 060A","Total",1691,1634,389,14,67,308,1245,925,201,119,0,57
"E01006514",2011,"Liverpool 037A","Total",1758,1649,459,39,87,333,1190,626,556,8,0,109
"E01006515",2011,"Liverpool 037B","Total",1208,1208,547,59,174,314,661,597,55,9,0,0
"E01006518",2011,"Liverpool 044A","Total",1630,1630,1265,99,422,744,365,322,7,36,0,0
"E01006519",2011,"Liverpool 056A","Total",1286,1286,1252,145,773,334,34,9,12,13,0,0
"E01006520",2011,"Liverpool 043A","Total",1685,1636,170,60,83,27,1466,665,798,3,0,49
"E01006521",2011,"Liverpool 052A","Total",1619,1611,555,198,176,181,1056,699,297,60,0,8
"E01006522",2011,"Liverpool 048A","Total",1670,1615,176,27,44,105,1439,588,827,24,0,55
"E01006523",2011,"Liverpool 052B","Total",1473,1437,784,21,83,680,651,349,291,11,2,36
"E01006524",2011,"Liverpool 048B","Total",1079,1045,452,203,130,119,593,511,80,2,0,34
"E01006525",2011,"Liverpool 049A","Total",1209,1209,1148,54,921,173,61,51,10,0,0,0
"E01006526",2011,"Liverpool 048C","Total",1301,1301,1132,58,484,590,169,158,9,2,0,0
"E01006527",2011,"Liverpool 053A","Total",1373,1373,1194,215,247,732,179,174,4,1,0,0
"E01006528",2011,"Liverpool 052C","Total",1434,1417,1261,200,66,995,156,89,56,11,0,17
"E01006529",2011,"Liverpool 048D","Total",1304,1304,1234,54,131,1049,70,7,25,38,0,0
"E01006530",2011,"Liverpool 055A","Total",1428,1428,1384,32,1287,65,44,29,0,15,0,0
"E01006531",2011,"Liverpool 055B","Total",1455,1455,1344,118,1212,14,111,108,1,2,0,0
"E01006532",2011,"Liverpool 047A","Total",1554,1554,1498,611,845,42,56,52,4,0,0,0
"E01006533",2011,"Liverpool 055C","Total",1355,1355,1177,385,556,236,178,162,16,0,0,0
"E01006534",2011,"Liverpool 054A","Total",1542,1542,1364,356,777,231,178,169,9,0,0,0
"E01006535",2011,"Liverpool 054B","Total",1550,1550,1465,60,937,468,85,55,25,5,0,0
"E01006536",2011,"Liverpool 054C","Total",1848,1848,1641,44,1003,594,207,194,13,0,0,0
"E01006537",2011,"Liverpool 055D","Total",2257,2257,1813,267,1239,307,439,428,4,7,5,0
"E01006538",2011,"Liverpool 055E","Total",1318,1318,1291,191,793,307,27,4,12,11,0,0
"E01006539",2011,"Liverpool 047B","Total",1403,1403,1211,455,692,64,192,164,26,2,0,0
"E01006540",2011,"Liverpool 024A","Total",1485,1485,1257,81,164,1012,228,130,75,23,0,0
"E01006541",2011,"Liverpool 015A","Total",1593,1593,1336,35,308,993,257,244,7,6,0,0
"E01006542",2011,"Liverpool 018A","Total",1297,1278,1107,31,68,1008,169,87,81,1,2,19
"E01006543",2011,"Liverpool 015B","Total",1247,1247,1238,20,1145,73,9,6,0,3,0,0
"E01006544",2011,"Liverpool 015C","Total",1658,1658,1641,59,562,1020,17,13,2,2,0,0
"E01006545",2011,"Liverpool 019A","Total",1512,1512,1487,42,42,1403,25,2,12,11,0,0
"E01006546",2011,"Liverpool 019B","Total",1319,1319,1229,65,52,1112,90,46,40,4,0,0
"E01006547",2011,"Liverpool 019C","Total",1490,1486,1336,47,245,1044,150,55,37,58,0,4
"E01006548",2011,"Liverpool 019D","Total",1580,1563,1509,29,57,1423,54,27,27,0,0,17
"E01006549",2011,"Liverpool 043B","Total",1559,1419,505,38,394,73,913,390,519,4,1,140
"E01006550",2011,"Liverpool 038A","Total",1595,1595,1359,38,56,1265,236,57,54,125,0,0
"E01006551",2011,"Liverpool 048E","Total",1134,1128,141,50,58,33,986,756,229,1,1,6
"E01006552",2011,"Liverpool 039A","Total",2027,2005,1387,134,426,827,617,346,228,43,1,22
"E01006553",2011,"Liverpool 042A","Total",1880,1880,1682,28,67,1587,198,18,93,87,0,0
"E01006554",2011,"Liverpool 048F","Total",1670,1637,1113,26,313,774,524,144,337,43,0,33
"E01006556",2011,"Liverpool 039B","Total",2010,2007,1591,166,579,846,403,246,106,51,13,3
"E01006557",2011,"Liverpool 038B","Total",2051,2051,1688,50,109,1529,363,166,77,120,0,0
"E01006558",2011,"Liverpool 018B","Total",1357,1354,1297,46,139,1112,57,36,16,5,0,3
"E01006560",2011,"Liverpool 023A","Total",1860,1857,1393,137,614,642,464,447,14,3,0,3
"E01006562",2011,"Liverpool 018E","Total",1514,1514,1433,72,135,1226,78,35,19,24,3,0
"E01006563",2011,"Liverpool 024B","Total",1740,1740,1303,62,368,873,437,392,28,17,0,0
"E01006564",2011,"Liverpool 023B","Total",1721,1721,1517,33,1212,272,204,188,10,6,0,0
"E01006565",2011,"Liverpool 029A","Total",1549,1549,1536,32,665,839,13,8,0,5,0,0
"E01006566",2011,"Liverpool 032A","Total",1431,1431,1309,125,536,648,122,109,5,8,0,0
"E01006567",2011,"Liverpool 026A","Total",1622,1617,1061,94,599,368,556,526,13,17,0,5
"E01006568",2011,"Liverpool 026B","Total",1491,1491,1434,283,611,540,57,54,3,0,0,0
"E01006569",2011,"Liverpool 029B","Total",1372,1372,1285,42,571,672,87,74,7,6,0,0
"E01006570",2011,"Liverpool 026C","Total",1463,1463,1354,289,946,119,109,64,17,28,0,0
"E01006571",2011,"Liverpool 026D","Total",1438,1438,1377,46,327,1004,61,50,1,10,0,0
"E01006572",2011,"Liverpool 025A","Total",1207,1207,1193,40,242,911,14,14,0,0,0,0
"E01006573",2011,"Liverpool 029C","Total",1501,1501,1298,15,92,1191,203,164,13,26,0,0
"E01006574",2011,"Liverpool 025B","Total",1388,1388,1271,56,549,666,117,110,5,2,0,0
"E01006575",2011,"Liverpool 034A","Total",1289,1289,1200,40,841,319,89,59,23,7,0,0
"E01006576",2011,"Liverpool 034B","Total",1691,1691,1634,183,1417,34,57,40,12,5,0,0
"E01006577",2011,"Liverpool 034C","Total",1503,1503,1475,31,893,551,28,20,8,0,0,0
"E01006578",2011,"Liverpool 036A","Total",1380,1380,1358,27,1303,28,22,11,3,8,0,0
"E01006579",2011,"Liverpool 034D","Total",1643,1643,1635,54,1562,19,8,4,4,0,0,0
"E01006580",2011,"Liverpool 036B","Total",1331,1331,1329,312,993,24,2,1,0,1,0,0
"E01006581",2011,"Liverpool 036C","Total",1559,1559,1510,95,1381,34,49,7,2,40,0,0
"E01006582",2011,"Liverpool 041A","Total",1630,1630,1577,181,1341,55,53,36,10,7,0,0
"E01006583",2011,"Liverpool 047C","Total",1255,1255,1253,386,828,39,2,2,0,0,0,0
"E01006584",2011,"Liverpool 034E","Total",1393,1393,1268,72,914,282,125,51,61,13,0,0
"E01006585",2011,"Liverpool 032B","Total",1354,1354,1127,103,741,283,227,225,2,0,0,0
"E01006586",2011,"Liverpool 032C","Total",1875,1851,1394,256,584,554,457,373,81,3,0,24
"E01006587",2011,"Liverpool 032D","Total",1619,1619,1353,341,691,321,266,199,67,0,0,0
"E01006588",2011,"Liverpool 042C","Total",1521,1521,1221,58,372,791,300,202,87,11,0,0
"E01006589",2011,"Liverpool 041B","Total",1512,1512,1492,87,1342,63,20,14,3,3,0,0
"E01006590",2011,"Liverpool 042D","Total",1637,1637,1480,8,86,1386,157,101,55,1,0,0
"E01006591",2011,"Liverpool 041C","Total",1633,1633,1503,39,645,819,130,19,88,23,0,0
"E01006592",2011,"Liverpool 041D","Total",1541,1541,1350,316,734,300,191,151,30,10,0,0
"E01006593",2011,"Liverpool 042E","Total",1541,1527,1421,19,82,1320,106,39,34,33,0,14
"E01006594",2011,"Liverpool 047D","Total",1405,1405,1207,677,483,47,198,194,4,0,0,0
"E01006595",2011,"Liverpool 049B","Total",1745,1745,1641,49,684,908,104,64,12,28,0,0
"E01006596",2011,"Liverpool 049C","Total",1451,1450,1384,22,1107,255,66,32,20,14,0,1
"E01006597",2011,"Liverpool 041E","Total",1639,1639,1441,231,1003,207,198,142,53,3,0,0
"E01006598",2011,"Liverpool 010A","Total",1361,1361,1278,67,444,767,83,76,7,0,0,0
"E01006599",2011,"Liverpool 010B","Total",1121,1121,1120,49,258,813,1,1,0,0,0,0
"E01006600",2011,"Liverpool 011A","Total",1407,1407,1401,21,777,603,6,3,3,0,0,0
"E01006603",2011,"Liverpool 011B","Total",1386,1386,1377,50,659,668,9,4,0,5,0,0
"E01006604",2011,"Liverpool 016A","Total",1367,1367,1361,26,623,712,6,6,0,0,0,0
"E01006605",2011,"Liverpool 016B","Total",1531,1531,1318,39,855,424,211,177,7,27,2,0
"E01006606",2011,"Liverpool 020A","Total",1521,1521,1422,115,568,739,99,34,50,15,0,0
"E01006607",2011,"Liverpool 008A","Total",1529,1529,1494,34,865,595,35,21,0,14,0,0
"E01006608",2011,"Liverpool 009A","Total",1213,1213,1114,23,202,889,99,96,3,0,0,0
"E01006609",2011,"Liverpool 009B","Total",1283,1283,1225,15,174,1036,58,23,11,24,0,0
"E01006610",2011,"Liverpool 009C","Total",1395,1395,1241,12,71,1158,154,114,28,12,0,0
"E01006611",2011,"Liverpool 012A","Total",1291,1288,1255,36,44,1175,33,10,6,17,0,3
"E01006612",2011,"Liverpool 008B","Total",1495,1495,1293,52,726,515,202,201,1,0,0,0
"E01006613",2011,"Liverpool 009D","Total",1360,1360,1217,23,508,686,143,139,0,4,0,0
"E01006614",2011,"Liverpool 012B","Total",1322,1322,1287,24,30,1233,35,21,8,6,0,0
"E01006615",2011,"Liverpool 012C","Total",1302,1302,1262,30,103,1129,40,25,0,15,0,0
"E01006616",2011,"Liverpool 015D","Total",1428,1428,1339,66,670,603,89,80,2,7,0,0
"E01006617",2011,"Liverpool 021A","Total",1421,1421,1279,294,620,365,142,113,15,14,0,0
"E01006618",2011,"Liverpool 016C","Total",1639,1639,1595,31,1094,470,44,43,1,0,0,0
"E01006619",2011,"Liverpool 021B","Total",1599,1599,1423,30,777,616,176,109,55,12,0,0
"E01006620",2011,"Liverpool 021C","Total",1409,1409,1207,104,1018,85,202,171,2,29,0,0
"E01006621",2011,"Liverpool 021D","Total",1468,1468,1317,506,563,248,151,122,25,4,0,0
"E01006622",2011,"Liverpool 021E","Total",1519,1519,1477,82,1333,62,42,32,2,8,0,0
"E01006623",2011,"Liverpool 013A","Total",1462,1462,1458,1142,283,33,4,4,0,0,0,0
"E01006624",2011,"Liverpool 013B","Total",1551,1551,1379,394,410,575,172,163,9,0,0,0
"E01006625",2011,"Liverpool 016D","Total",1416,1416,1352,18,962,372,64,46,5,13,0,0
"E01006626",2011,"Liverpool 016E","Total",1448,1448,1378,94,1062,222,70,62,0,8,0,0
"E01006627",2011,"Liverpool 013C","Total",1378,1378,1306,282,682,342,72,53,11,8,0,0
"E01006628",2011,"Liverpool 052D","Total",1518,1518,1368,451,104,813,150,82,53,15,0,0
"E01006629",2011,"Liverpool 052E","Total",1242,1242,1054,50,826,178,188,151,18,19,0,0
"E01006630",2011,"Liverpool 044B","Total",1338,1338,1216,56,564,596,122,89,6,27,0,0
"E01006632",2011,"Liverpool 044C","Total",1842,1835,1446,76,133,1237,389,317,30,42,0,7
"E01006633",2011,"Liverpool 050B","Total",1432,1432,1272,47,349,876,160,141,17,2,0,0
"E01006637",2011,"Liverpool 017A","Total",1596,1596,1580,152,484,944,16,5,5,6,0,0
