"lsoa11cd","date","lsoa11nm","Rural Urban","Sex: All persons; measures: Value","Sex: Males; measures: Value","Sex: Females; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,1070,810
"E01006513",2011,"Liverpool 060A","Total",2941,1461,1480
"E01006514",2011,"Liverpool 037A","Total",2108,1177,931
"E01006515",2011,"Liverpool 037B","Total",1208,595,613
"E01006518",2011,"Liverpool 044A","Total",1696,843,853
"E01006519",2011,"Liverpool 056A","Total",1286,628,658
"E01006520",2011,"Liverpool 043A","Total",1706,937,769
"E01006521",2011,"Liverpool 052A","Total",1660,836,824
"E01006522",2011,"Liverpool 048A","Total",1731,995,736
"E01006523",2011,"Liverpool 052B","Total",1508,751,757
"E01006524",2011,"Liverpool 048B","Total",2431,1121,1310
"E01006525",2011,"Liverpool 049A","Total",1209,601,608
"E01006526",2011,"Liverpool 048C","Total",1404,677,727
"E01006527",2011,"Liverpool 053A","Total",1454,683,771
"E01006528",2011,"Liverpool 052C","Total",1461,755,706
"E01006529",2011,"Liverpool 048D","Total",1304,640,664
"E01006530",2011,"Liverpool 055A","Total",1431,674,757
"E01006531",2011,"Liverpool 055B","Total",1458,686,772
"E01006532",2011,"Liverpool 047A","Total",1557,783,774
"E01006533",2011,"Liverpool 055C","Total",1408,680,728
"E01006534",2011,"Liverpool 054A","Total",1542,753,789
"E01006535",2011,"Liverpool 054B","Total",1639,766,873
"E01006536",2011,"Liverpool 054C","Total",1848,874,974
"E01006537",2011,"Liverpool 055D","Total",2257,1093,1164
"E01006538",2011,"Liverpool 055E","Total",1318,639,679
"E01006539",2011,"Liverpool 047B","Total",1437,711,726
"E01006540",2011,"Liverpool 024A","Total",1509,776,733
"E01006541",2011,"Liverpool 015A","Total",1593,786,807
"E01006542",2011,"Liverpool 018A","Total",1397,698,699
"E01006543",2011,"Liverpool 015B","Total",1247,598,649
"E01006544",2011,"Liverpool 015C","Total",1658,742,916
"E01006545",2011,"Liverpool 019A","Total",1512,708,804
"E01006546",2011,"Liverpool 019B","Total",1319,666,653
"E01006547",2011,"Liverpool 019C","Total",1490,769,721
"E01006548",2011,"Liverpool 019D","Total",1675,825,850
"E01006549",2011,"Liverpool 043B","Total",1662,998,664
"E01006550",2011,"Liverpool 038A","Total",1595,776,819
"E01006551",2011,"Liverpool 048E","Total",1581,794,787
"E01006552",2011,"Liverpool 039A","Total",2029,1101,928
"E01006553",2011,"Liverpool 042A","Total",1880,919,961
"E01006554",2011,"Liverpool 048F","Total",1692,871,821
"E01006556",2011,"Liverpool 039B","Total",2011,1087,924
"E01006557",2011,"Liverpool 038B","Total",2054,1024,1030
"E01006558",2011,"Liverpool 018B","Total",1357,670,687
"E01006560",2011,"Liverpool 023A","Total",1860,965,895
"E01006562",2011,"Liverpool 018E","Total",1514,709,805
"E01006563",2011,"Liverpool 024B","Total",1744,857,887
"E01006564",2011,"Liverpool 023B","Total",1721,837,884
"E01006565",2011,"Liverpool 029A","Total",1549,705,844
"E01006566",2011,"Liverpool 032A","Total",1506,730,776
"E01006567",2011,"Liverpool 026A","Total",1655,862,793
"E01006568",2011,"Liverpool 026B","Total",1617,745,872
"E01006569",2011,"Liverpool 029B","Total",1429,672,757
"E01006570",2011,"Liverpool 026C","Total",1479,722,757
"E01006571",2011,"Liverpool 026D","Total",1470,689,781
"E01006572",2011,"Liverpool 025A","Total",1207,528,679
"E01006573",2011,"Liverpool 029C","Total",1501,715,786
"E01006574",2011,"Liverpool 025B","Total",1388,661,727
"E01006575",2011,"Liverpool 034A","Total",1294,607,687
"E01006576",2011,"Liverpool 034B","Total",1693,803,890
"E01006577",2011,"Liverpool 034C","Total",1503,727,776
"E01006578",2011,"Liverpool 036A","Total",1380,657,723
"E01006579",2011,"Liverpool 034D","Total",1643,796,847
"E01006580",2011,"Liverpool 036B","Total",1335,650,685
"E01006581",2011,"Liverpool 036C","Total",1559,738,821
"E01006582",2011,"Liverpool 041A","Total",1642,799,843
"E01006583",2011,"Liverpool 047C","Total",1758,742,1016
"E01006584",2011,"Liverpool 034E","Total",1393,689,704
"E01006585",2011,"Liverpool 032B","Total",1354,654,700
"E01006586",2011,"Liverpool 032C","Total",1899,935,964
"E01006587",2011,"Liverpool 032D","Total",1624,828,796
"E01006588",2011,"Liverpool 042C","Total",1569,769,800
"E01006589",2011,"Liverpool 041B","Total",1518,728,790
"E01006590",2011,"Liverpool 042D","Total",1642,858,784
"E01006591",2011,"Liverpool 041C","Total",1633,806,827
"E01006592",2011,"Liverpool 041D","Total",1565,721,844
"E01006593",2011,"Liverpool 042E","Total",1541,758,783
"E01006594",2011,"Liverpool 047D","Total",1410,667,743
"E01006595",2011,"Liverpool 049B","Total",1745,805,940
"E01006596",2011,"Liverpool 049C","Total",1451,706,745
"E01006597",2011,"Liverpool 041E","Total",1667,772,895
"E01006598",2011,"Liverpool 010A","Total",1361,617,744
"E01006599",2011,"Liverpool 010B","Total",1121,489,632
"E01006600",2011,"Liverpool 011A","Total",1407,638,769
"E01006603",2011,"Liverpool 011B","Total",1410,671,739
"E01006604",2011,"Liverpool 016A","Total",1367,642,725
"E01006605",2011,"Liverpool 016B","Total",1531,740,791
"E01006606",2011,"Liverpool 020A","Total",1521,729,792
"E01006607",2011,"Liverpool 008A","Total",1531,718,813
"E01006608",2011,"Liverpool 009A","Total",1215,604,611
"E01006609",2011,"Liverpool 009B","Total",1283,609,674
"E01006610",2011,"Liverpool 009C","Total",1397,647,750
"E01006611",2011,"Liverpool 012A","Total",1291,646,645
"E01006612",2011,"Liverpool 008B","Total",1495,728,767
"E01006613",2011,"Liverpool 009D","Total",1360,655,705
"E01006614",2011,"Liverpool 012B","Total",1322,635,687
"E01006615",2011,"Liverpool 012C","Total",1302,611,691
"E01006616",2011,"Liverpool 015D","Total",1428,696,732
"E01006617",2011,"Liverpool 021A","Total",1421,667,754
"E01006618",2011,"Liverpool 016C","Total",1639,765,874
"E01006619",2011,"Liverpool 021B","Total",1599,753,846
"E01006620",2011,"Liverpool 021C","Total",1417,670,747
"E01006621",2011,"Liverpool 021D","Total",1468,717,751
"E01006622",2011,"Liverpool 021E","Total",1519,751,768
"E01006623",2011,"Liverpool 013A","Total",1462,724,738
"E01006624",2011,"Liverpool 013B","Total",1556,756,800
"E01006625",2011,"Liverpool 016D","Total",1416,675,741
"E01006626",2011,"Liverpool 016E","Total",1448,676,772
"E01006627",2011,"Liverpool 013C","Total",1378,654,724
"E01006628",2011,"Liverpool 052D","Total",1874,871,1003
"E01006629",2011,"Liverpool 052E","Total",1255,595,660
"E01006630",2011,"Liverpool 044B","Total",1338,609,729
"E01006632",2011,"Liverpool 044C","Total",1842,928,914
"E01006633",2011,"Liverpool 050B","Total",1432,696,736
"E01006637",2011,"Liverpool 017A","Total",1596,701,895
"E01006638",2011,"Liverpool 017B","Total",1219,532,687
"E01006639",2011,"Liverpool 017C","Total",1509,687,822
"E01006640",2011,"Liverpool 021F","Total",1880,886,994
"E01006641",2011,"Liverpool 025C","Total",1740,816,924
