"lsoa11cd","date","lsoa11nm","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: No central heating; measures: Value","Central Heating: Gas central heating; measures: Value","Central Heating: Electric (including storage heaters) central heating; measures: Value","Central Heating: Oil central heating; measures: Value","Central Heating: Solid fuel (for example wood, coal) central heating; measures: Value","Central Heating: Other central heating; measures: Value","Central Heating: Two or more types of central heating; measures: Value"
"E01006728",2011,"Liverpool 035E","Total",855,99,671,31,0,1,23,30
"E01006729",2011,"Liverpool 008C","Total",539,26,479,7,0,0,11,16
"E01006730",2011,"Liverpool 011C","Total",542,19,490,7,0,0,6,20
"E01006731",2011,"Liverpool 011D","Total",486,12,458,6,0,0,4,6
"E01006732",2011,"Liverpool 011E","Total",644,12,592,6,0,0,15,19
"E01006734",2011,"Liverpool 005C","Total",625,22,568,7,0,0,10,18
"E01006735",2011,"Liverpool 005D","Total",571,18,515,5,1,0,15,17
"E01006736",2011,"Liverpool 005E","Total",582,15,517,15,0,0,14,21
"E01006737",2011,"Liverpool 005F","Total",562,13,508,11,0,1,6,23
"E01006738",2011,"Liverpool 058A","Total",662,40,574,9,0,0,20,19
"E01006739",2011,"Liverpool 058B","Total",707,23,605,27,5,2,27,18
"E01006740",2011,"Liverpool 057A","Total",604,24,512,17,0,0,14,37
"E01006741",2011,"Liverpool 058C","Total",778,38,688,19,0,0,17,16
"E01006742",2011,"Liverpool 057B","Total",591,33,524,11,0,0,8,15
"E01006743",2011,"Liverpool 058D","Total",1008,51,728,191,2,0,14,22
"E01006744",2011,"Liverpool 057C","Total",739,45,620,42,0,1,12,19
"E01006745",2011,"Liverpool 057D","Total",907,67,720,73,0,4,16,27
"E01006746",2011,"Liverpool 030E","Total",655,21,529,38,0,0,18,49
"E01006747",2011,"Liverpool 031B","Total",857,74,453,260,3,2,36,29
"E01006748",2011,"Liverpool 031C","Total",756,48,583,59,6,0,12,48
"E01006751",2011,"Liverpool 031F","Total",831,28,588,146,2,0,22,45
"E01006752",2011,"Liverpool 035F","Total",489,53,356,54,0,0,7,19
"E01006753",2011,"Liverpool 059A","Total",666,25,590,11,0,1,13,26
"E01006754",2011,"Liverpool 059B","Total",781,23,620,83,0,0,29,26
"E01006755",2011,"Liverpool 059C","Total",690,15,605,20,0,0,24,26
"E01006756",2011,"Liverpool 059D","Total",757,13,682,8,0,1,21,32
"E01006757",2011,"Liverpool 059E","Total",621,15,573,6,0,1,10,16
"E01006758",2011,"Liverpool 059F","Total",639,30,546,13,0,3,24,23
"E01006759",2011,"Liverpool 028D","Total",460,44,368,17,4,0,3,24
"E01006760",2011,"Liverpool 028E","Total",826,108,613,56,0,0,17,32
"E01006761",2011,"Liverpool 020B","Total",793,51,631,67,0,0,17,27
"E01006762",2011,"Liverpool 015E","Total",725,63,615,16,0,1,14,16
"E01006763",2011,"Liverpool 020C","Total",652,42,554,20,0,0,14,22
"E01006764",2011,"Liverpool 020D","Total",667,37,557,21,2,0,18,32
"E01006765",2011,"Liverpool 020E","Total",659,47,568,19,0,0,14,11
"E01006766",2011,"Liverpool 019E","Total",574,49,473,15,0,0,10,27
"E01006767",2011,"Liverpool 019F","Total",779,45,656,48,0,1,7,22
"E01006768",2011,"Liverpool 020F","Total",587,35,495,21,0,2,16,18
"E01006769",2011,"Liverpool 040B","Total",712,18,616,24,0,0,26,28
"E01006770",2011,"Liverpool 040C","Total",445,15,395,7,0,0,12,16
"E01006771",2011,"Liverpool 040D","Total",694,20,591,29,0,0,25,29
"E01006772",2011,"Liverpool 040E","Total",480,11,422,22,0,1,9,15
"E01006773",2011,"Liverpool 036D","Total",554,12,518,12,0,0,1,11
"E01006774",2011,"Liverpool 036E","Total",552,13,509,6,0,0,5,19
"E01006775",2011,"Liverpool 040F","Total",556,8,505,12,0,0,20,11
"E01006776",2011,"Liverpool 022B","Total",844,7,697,88,2,0,18,32
"E01006778",2011,"Liverpool 014E","Total",1124,67,825,154,0,0,35,43
"E01006779",2011,"Liverpool 022D","Total",902,11,737,67,2,0,33,52
"E01006780",2011,"Liverpool 002D","Total",619,32,539,22,2,0,4,20
"E01006781",2011,"Liverpool 003A","Total",600,23,552,2,0,0,8,15
"E01006782",2011,"Liverpool 003B","Total",691,44,599,14,1,0,17,16
"E01006783",2011,"Liverpool 002E","Total",645,40,563,18,0,0,11,13
"E01006784",2011,"Liverpool 003C","Total",586,53,490,26,0,1,6,10
"E01006785",2011,"Liverpool 003D","Total",781,70,567,116,1,2,8,17
"E01006786",2011,"Liverpool 003E","Total",764,31,686,18,0,0,12,17
"E01006787",2011,"Liverpool 006A","Total",691,48,585,20,0,1,13,24
"E01006788",2011,"Liverpool 006B","Total",681,46,592,16,0,0,10,17
"E01006790",2011,"Liverpool 006C","Total",801,62,655,28,0,0,22,34
"E01006791",2011,"Liverpool 006D","Total",873,46,678,100,0,1,27,21
"E01006792",2011,"Liverpool 046A","Total",557,8,488,53,0,0,3,5
"E01006793",2011,"Liverpool 051A","Total",759,22,568,133,11,0,13,12
"E01006794",2011,"Liverpool 046B","Total",711,22,612,58,1,2,3,13
"E01006795",2011,"Liverpool 051B","Total",628,18,570,20,0,1,5,14
"E01006796",2011,"Liverpool 047E","Total",581,3,554,4,3,1,2,14
