"lsoa11cd","date","lsoa11nm","Rural Urban","Passports Held: All usual residents; measures: Value","Passports Held: No passport; measures: Value","Passports Held: United Kingdom; measures: Value","Passports Held: Republic of Ireland; measures: Value","Passports Held: Other Europe: EU countries; measures: Value","Passports Held: Other Europe: Non EU countries; measures: Value","Passports Held: Africa; measures: Value","Passports Held: Middle East and Asia; measures: Value","Passports Held: North America and the Caribbean; measures: Value","Passports Held: Central America; measures: Value","Passports Held: South America; measures: Value","Passports Held: Antarctica and Oceania; measures: Value","Passports Held: British Overseas Territories; measures: Value"
"E01006791",2011,"Liverpool 006D","Total",1674,448,1141,7,44,2,18,13,4,0,0,0,0
"E01006792",2011,"Liverpool 046A","Total",1368,94,1238,8,16,0,8,7,5,0,0,0,0
"E01006793",2011,"Liverpool 051A","Total",1494,201,1237,6,17,0,5,23,6,0,1,6,0
"E01006794",2011,"Liverpool 046B","Total",1593,167,1384,6,14,3,2,7,5,1,8,6,0
"E01006795",2011,"Liverpool 051B","Total",1407,147,1219,21,8,0,2,11,6,0,2,1,0
"E01006796",2011,"Liverpool 047E","Total",1591,70,1431,13,25,4,1,43,14,0,8,1,0
"E01006797",2011,"Liverpool 051C","Total",1499,266,1216,2,5,0,2,3,5,0,0,6,0
"E01006798",2011,"Liverpool 051D","Total",1410,137,1237,11,17,1,2,4,7,0,1,0,0
"E01006799",2011,"Liverpool 051E","Total",1821,326,1458,10,7,1,8,14,7,0,0,5,0
"E01006800",2011,"Liverpool 046C","Total",1401,101,1272,0,9,2,3,12,1,0,0,2,0
"E01006801",2011,"Liverpool 046D","Total",1355,145,1187,11,5,2,2,14,2,0,0,0,0
"E01032505",2011,"Liverpool 050F","Total",1317,170,1080,7,48,0,0,11,2,0,0,1,0
"E01032506",2011,"Liverpool 050G","Total",1403,285,1037,20,35,2,10,16,5,0,1,4,0
"E01032507",2011,"Liverpool 050H","Total",1539,183,1262,46,41,0,5,5,9,1,1,2,0
"E01032508",2011,"Liverpool 027G","Total",1723,449,1203,7,22,4,12,25,1,0,0,2,0
"E01032509",2011,"Liverpool 027H","Total",1434,358,1020,5,34,1,7,10,5,0,0,3,0
"E01032510",2011,"Liverpool 008F","Total",1809,325,1422,7,23,0,12,18,0,5,0,1,0
"E01032511",2011,"Liverpool 008G","Total",1378,246,1109,7,15,0,1,3,0,0,0,4,0
"E01033747",2011,"Liverpool 018F","Total",1043,324,658,4,15,1,13,29,1,2,0,1,0
"E01033748",2011,"Liverpool 050I","Total",1277,78,1019,33,53,4,27,57,9,0,5,3,4
"E01033749",2011,"Liverpool 042F","Total",1153,46,927,51,47,1,22,69,18,1,0,2,0
"E01033750",2011,"Liverpool 061A","Total",1448,29,1172,36,65,6,44,96,23,3,0,5,2
"E01033751",2011,"Liverpool 062A","Total",1873,170,1459,78,42,2,26,62,46,0,0,0,0
"E01033752",2011,"Liverpool 062B","Total",1196,30,867,50,100,12,11,111,11,3,12,5,0
"E01033753",2011,"Liverpool 062C","Total",1051,22,759,19,97,10,12,122,15,2,2,9,0
"E01033754",2011,"Liverpool 061B","Total",1452,112,1080,41,105,10,23,76,14,2,3,8,0
"E01033755",2011,"Liverpool 062D","Total",1082,38,784,58,100,9,15,73,9,2,2,5,0
"E01033756",2011,"Liverpool 061C","Total",1185,31,772,36,85,20,22,198,22,2,7,5,0
"E01033757",2011,"Liverpool 037E","Total",1025,71,691,13,36,18,16,170,20,0,2,3,0
"E01033758",2011,"Liverpool 060B","Total",1730,102,942,51,85,16,36,494,5,0,6,3,0
"E01033759",2011,"Liverpool 010F","Total",1147,269,837,2,16,1,13,9,0,0,0,1,0
"E01033760",2011,"Liverpool 060C","Total",2115,48,1456,100,189,20,28,290,12,1,3,3,6
"E01033761",2011,"Liverpool 060D","Total",1372,27,1015,42,106,18,28,124,20,1,2,15,2
"E01033762",2011,"Liverpool 060E","Total",1791,95,1323,120,80,15,37,133,6,1,2,2,0
"E01033763",2011,"Liverpool 031G","Total",1527,385,971,15,64,1,29,74,6,3,0,3,0
"E01033764",2011,"Liverpool 022E","Total",2202,618,1465,13,70,4,12,26,1,0,0,1,0
"E01033765",2011,"Liverpool 061D","Total",1351,307,969,20,24,5,8,14,9,2,2,1,0
"E01033766",2011,"Liverpool 042G","Total",1075,110,911,30,14,1,4,11,2,0,0,4,0
"E01033767",2011,"Liverpool 050J","Total",1067,221,772,6,33,12,9,18,1,0,2,0,0
"E01033768",2011,"Liverpool 037F","Total",1223,180,917,14,32,1,34,44,6,0,1,7,0
