"lsoa11cd","date","lsoa11nm","Rural Urban","Passports Held: All usual residents; measures: Value","Passports Held: No passport; measures: Value","Passports Held: United Kingdom; measures: Value","Passports Held: Republic of Ireland; measures: Value","Passports Held: Other Europe: EU countries; measures: Value","Passports Held: Other Europe: Non EU countries; measures: Value","Passports Held: Africa; measures: Value","Passports Held: Middle East and Asia; measures: Value","Passports Held: North America and the Caribbean; measures: Value","Passports Held: Central America; measures: Value","Passports Held: South America; measures: Value","Passports Held: Antarctica and Oceania; measures: Value","Passports Held: British Overseas Territories; measures: Value"
"E01006575",2011,"Liverpool 034A","Total",1294,204,1054,12,5,2,2,14,3,0,0,5,0
"E01006576",2011,"Liverpool 034B","Total",1693,180,1495,8,6,1,0,3,1,0,0,2,0
"E01006577",2011,"Liverpool 034C","Total",1503,152,1301,26,5,0,11,11,3,0,1,0,0
"E01006578",2011,"Liverpool 036A","Total",1380,172,1192,5,3,1,0,12,0,0,0,1,0
"E01006579",2011,"Liverpool 034D","Total",1643,128,1490,10,4,0,3,15,0,0,0,1,0
"E01006580",2011,"Liverpool 036B","Total",1335,85,1212,4,21,0,3,16,4,0,0,1,0
"E01006581",2011,"Liverpool 036C","Total",1559,129,1382,9,17,3,7,12,4,0,0,8,0
"E01006582",2011,"Liverpool 041A","Total",1642,98,1496,22,13,0,2,15,4,1,0,2,0
"E01006583",2011,"Liverpool 047C","Total",1758,111,1562,66,8,2,2,11,3,0,2,8,1
"E01006584",2011,"Liverpool 034E","Total",1393,159,1225,7,1,0,1,4,0,0,0,0,0
"E01006585",2011,"Liverpool 032B","Total",1354,327,978,5,7,0,10,34,0,0,0,0,0
"E01006586",2011,"Liverpool 032C","Total",1899,299,1527,25,28,3,3,25,1,0,0,3,0
"E01006587",2011,"Liverpool 032D","Total",1624,200,1377,10,24,0,10,7,3,0,0,5,0
"E01006588",2011,"Liverpool 042C","Total",1569,201,1265,47,43,1,3,15,7,0,2,1,0
"E01006589",2011,"Liverpool 041B","Total",1518,157,1315,9,6,3,4,29,6,0,0,0,0
"E01006590",2011,"Liverpool 042D","Total",1642,163,1374,34,51,0,6,14,10,0,1,4,0
"E01006591",2011,"Liverpool 041C","Total",1633,141,1375,58,20,2,4,32,17,0,1,1,0
"E01006592",2011,"Liverpool 041D","Total",1565,72,1409,44,30,5,2,11,5,0,0,10,0
"E01006593",2011,"Liverpool 042E","Total",1541,155,1289,42,31,4,4,17,7,1,2,0,0
"E01006594",2011,"Liverpool 047D","Total",1410,93,1273,14,10,1,11,18,1,1,0,2,0
"E01006595",2011,"Liverpool 049B","Total",1745,241,1456,16,8,0,7,16,3,0,0,3,0
"E01006596",2011,"Liverpool 049C","Total",1451,124,1268,21,16,5,4,12,4,0,0,2,0
"E01006597",2011,"Liverpool 041E","Total",1667,145,1472,28,14,2,4,8,4,1,0,3,0
"E01006598",2011,"Liverpool 010A","Total",1361,444,875,4,23,0,6,6,4,0,0,0,0
"E01006599",2011,"Liverpool 010B","Total",1121,335,733,3,31,1,12,7,0,0,0,0,0
"E01006600",2011,"Liverpool 011A","Total",1407,298,1094,2,8,0,2,3,1,0,0,0,0
"E01006603",2011,"Liverpool 011B","Total",1410,302,1102,1,4,0,1,3,0,0,1,3,0
"E01006604",2011,"Liverpool 016A","Total",1367,303,1047,3,6,2,3,4,1,0,1,0,0
"E01006605",2011,"Liverpool 016B","Total",1531,298,1213,7,5,0,1,5,2,0,2,0,0
"E01006606",2011,"Liverpool 020A","Total",1521,253,1225,8,23,0,5,8,0,0,1,0,0
