"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC of household reference person; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1381,184,14,0,14,170,147,15,7,1,153,125,108,1,14,2,16,12,60,42,8,9,1,54,13,13,0,41,41,0,61,46,15,15,0,106,30,55,0,17,0,4,0,64,25,6,10,23,0,111,87,24,588,588,0
"E01006513",2011,"Liverpool 060A","Total",1631,180,17,0,17,163,103,35,16,9,253,174,130,13,26,5,57,22,102,55,32,12,3,53,16,16,0,37,37,0,42,25,17,15,2,83,34,33,1,7,0,4,4,53,28,4,9,12,0,70,64,6,795,795,0
"E01006514",2011,"Liverpool 037A","Total",1652,193,19,2,17,174,126,30,17,1,350,258,190,11,55,2,64,28,110,68,15,26,1,80,28,26,2,52,52,0,61,37,24,22,2,108,38,51,3,2,0,3,11,111,43,2,17,48,1,104,58,46,535,535,0
"E01006515",2011,"Liverpool 037B","Total",1007,100,9,0,9,91,59,23,7,2,168,125,101,5,19,0,26,17,74,51,13,8,2,52,17,17,0,35,35,0,99,46,53,51,2,162,62,73,0,18,0,6,3,136,26,25,17,68,0,142,114,28,74,74,0
"E01006518",2011,"Liverpool 044A","Total",1314,68,9,0,9,59,41,16,2,0,177,108,101,2,2,3,50,19,130,86,28,9,7,65,11,11,0,54,54,0,124,66,58,43,15,310,56,181,22,28,0,5,18,204,33,19,54,96,2,198,146,52,38,38,0
"E01006519",2011,"Liverpool 056A","Total",1039,285,60,0,60,225,133,66,26,0,414,294,239,27,20,8,80,40,92,55,26,6,5,96,33,33,0,63,63,0,48,15,33,33,0,39,6,16,8,4,0,4,1,36,4,0,18,14,0,13,4,9,16,16,0
"E01006520",2011,"Liverpool 043A","Total",1501,350,44,0,44,306,214,55,34,3,471,390,299,24,65,2,48,33,139,97,24,18,0,91,19,19,0,72,69,3,78,52,26,26,0,125,23,75,8,8,0,5,6,64,16,3,15,30,0,101,55,46,82,82,0
"E01006521",2011,"Liverpool 052A","Total",1246,305,39,0,39,266,167,59,26,14,345,253,187,26,40,0,69,23,121,65,34,17,5,102,41,41,0,61,61,0,58,33,25,21,4,111,25,60,8,4,0,7,7,70,11,0,20,39,0,66,35,31,68,68,0
"E01006522",2011,"Liverpool 048A","Total",1587,336,33,0,33,303,244,42,13,4,455,392,308,35,49,0,36,27,165,100,48,15,2,113,36,36,0,77,76,1,74,35,39,32,7,138,30,74,6,9,0,14,5,83,12,12,13,44,2,153,98,55,70,70,0
"E01006523",2011,"Liverpool 052B","Total",1289,290,18,0,18,272,188,53,25,6,425,316,268,16,31,1,74,35,128,78,32,17,1,92,17,17,0,75,75,0,55,34,21,21,0,112,43,42,4,13,0,8,2,52,22,2,13,15,0,77,49,28,58,58,0
"E01006524",2011,"Liverpool 048B","Total",855,283,29,0,29,254,183,31,35,5,244,157,117,14,23,3,50,37,77,48,25,4,0,82,27,27,0,55,54,1,41,28,13,7,6,40,11,18,0,5,0,0,6,18,3,8,2,5,0,23,15,8,47,47,0
