"lsoa11cd","date","lsoa11nm","Rural Urban","Ethnic Group: All categories: Ethnic group; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value","Ethnic Group: Asian; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"E01006659",2011,"Liverpool 005B","Total",1765,1630,1575,8,8,39,27,4,8,4,11,62,17,21,9,10,5,41,25,16,0,5,4,1
"E01006660",2011,"Liverpool 001E","Total",1433,1278,1259,9,0,10,11,2,2,6,1,121,74,1,0,11,35,13,9,2,2,10,5,5
"E01006661",2011,"Liverpool 004A","Total",1663,1577,1548,7,0,22,15,0,3,5,7,23,7,0,0,8,8,47,37,7,3,1,1,0
"E01006662",2011,"Liverpool 004B","Total",1775,1660,1613,10,0,37,16,2,7,1,6,68,38,1,0,9,20,29,27,0,2,2,1,1
"E01006663",2011,"Liverpool 004C","Total",1153,1108,1097,4,0,7,6,1,0,1,4,27,21,0,0,3,3,9,9,0,0,3,3,0
"E01006664",2011,"Liverpool 004D","Total",1795,1668,1582,7,0,79,26,12,6,5,3,60,19,7,5,25,4,37,25,1,11,4,1,3
"E01006665",2011,"Liverpool 007A","Total",1555,1489,1464,6,1,18,22,2,1,7,12,36,15,0,0,13,8,7,6,1,0,1,1,0
"E01006666",2011,"Liverpool 007B","Total",1504,1367,1326,14,0,27,21,6,7,5,3,80,18,1,6,49,6,21,13,5,3,15,15,0
"E01006667",2011,"Liverpool 007C","Total",1453,1380,1341,17,0,22,28,12,4,7,5,30,10,0,0,18,2,7,6,0,1,8,1,7
"E01006668",2011,"Liverpool 007D","Total",1534,1450,1438,5,0,7,25,8,0,9,8,40,11,3,0,25,1,6,2,0,4,13,11,2
"E01006669",2011,"Liverpool 004E","Total",1470,1329,1301,9,0,19,19,6,2,5,6,74,23,0,0,40,11,26,19,0,7,22,22,0
"E01006670",2011,"Liverpool 007E","Total",1526,1431,1389,4,1,37,17,3,1,8,5,70,12,0,0,53,5,6,3,2,1,2,2,0
"E01006671",2011,"Liverpool 013D","Total",1355,1212,1197,3,1,11,24,16,2,1,5,95,18,5,2,66,4,24,14,2,8,0,0,0
"E01006672",2011,"Liverpool 010E","Total",1955,1855,1793,0,1,61,31,7,4,15,5,36,11,1,7,8,9,22,15,7,0,11,5,6
"E01006673",2011,"Liverpool 037D","Total",1937,797,692,24,0,81,271,83,92,35,61,238,16,28,26,110,58,382,224,49,109,249,166,83
"E01006674",2011,"Liverpool 039C","Total",1885,617,535,17,0,65,199,49,100,24,26,143,23,28,32,22,38,476,268,27,181,450,308,142
"E01006675",2011,"Liverpool 043C","Total",1824,1285,1102,52,3,128,122,32,39,13,38,132,25,21,24,25,37,171,83,27,61,114,72,42
"E01006676",2011,"Liverpool 044D","Total",1753,832,762,24,1,45,186,76,68,10,32,210,42,53,38,23,54,320,195,27,98,205,120,85
"E01006677",2011,"Liverpool 043D","Total",1040,506,479,6,0,21,144,54,51,14,25,85,0,8,21,37,19,173,104,23,46,132,97,35
"E01006678",2011,"Liverpool 044E","Total",2127,1625,1570,25,0,30,160,46,65,19,30,62,1,11,3,31,16,144,84,25,35,136,104,32
"E01006679",2011,"Liverpool 039D","Total",2232,523,411,14,1,97,265,68,114,24,59,197,15,34,29,59,60,760,491,28,241,487,360,127
"E01006680",2011,"Liverpool 053B","Total",1569,1477,1444,11,0,22,20,6,0,9,5,67,12,10,18,26,1,3,1,1,1,2,2,0
"E01006681",2011,"Liverpool 054D","Total",1585,1446,1415,14,0,17,37,6,14,11,6,85,16,13,14,26,16,10,8,2,0,7,2,5
"E01006682",2011,"Liverpool 053C","Total",1310,1264,1217,35,0,12,16,2,2,12,0,23,1,0,8,12,2,7,3,2,2,0,0,0
"E01006683",2011,"Liverpool 053D","Total",1510,1421,1384,19,0,18,37,7,4,14,12,27,2,4,1,19,1,9,1,6,2,16,7,9
"E01006684",2011,"Liverpool 056B","Total",2138,2013,1924,51,0,38,46,5,11,22,8,70,23,1,15,22,9,6,1,2,3,3,3,0
"E01006685",2011,"Liverpool 056C","Total",1484,1417,1354,25,0,38,29,1,11,9,8,26,10,0,0,13,3,11,5,2,4,1,0,1
"E01006686",2011,"Liverpool 053E","Total",1433,1362,1329,19,0,14,31,4,4,11,12,26,4,0,6,12,4,10,9,0,1,4,0,4
"E01006687",2011,"Liverpool 056D","Total",1952,1732,1631,45,0,56,52,13,16,12,11,93,27,8,6,31,21,68,56,7,5,7,1,6
"E01006688",2011,"Liverpool 056E","Total",1524,1453,1376,17,0,60,31,11,5,7,8,21,8,6,0,5,2,15,10,2,3,4,2,2
"E01006689",2011,"Liverpool 049D","Total",1651,1557,1507,24,0,26,36,11,10,4,11,25,7,8,4,4,2,25,5,6,14,8,2,6
"E01006690",2011,"Liverpool 028A","Total",1492,1191,1012,44,1,134,63,15,24,13,11,77,3,8,0,42,24,126,100,18,8,35,10,25
"E01006691",2011,"Liverpool 030A","Total",1503,1003,845,38,0,120,66,10,27,12,17,133,27,14,7,43,42,219,184,10,25,82,53,29
"E01006692",2011,"Liverpool 028B","Total",2180,1816,1627,27,1,161,70,28,15,8,19,94,22,8,0,36,28,140,108,13,19,60,36,24
"E01006693",2011,"Liverpool 024D","Total",1511,1336,1290,13,0,33,27,9,6,7,5,85,44,11,0,21,9,34,17,16,1,29,16,13
"E01006694",2011,"Liverpool 030B","Total",1864,1288,1125,24,0,139,66,14,24,5,23,96,32,2,2,39,21,388,357,17,14,26,8,18
"E01006695",2011,"Liverpool 028C","Total",1821,1367,1145,41,2,179,71,20,30,10,11,73,9,7,3,38,16,240,184,24,32,70,32,38
"E01006696",2011,"Liverpool 030C","Total",1744,1286,1189,14,0,83,54,14,21,7,12,199,86,19,9,39,46,180,167,8,5,25,21,4
"E01006697",2011,"Liverpool 030D","Total",1845,1321,1190,15,1,115,80,25,18,15,22,145,24,23,6,57,35,212,171,18,23,87,57,30
"E01006698",2011,"Liverpool 012D","Total",1716,1672,1647,14,0,11,16,7,1,1,7,17,3,6,0,5,3,7,4,2,1,4,3,1
"E01006699",2011,"Liverpool 014A","Total",1594,1554,1491,9,0,54,7,3,1,2,1,5,1,0,0,4,0,23,19,1,3,5,5,0
"E01006700",2011,"Liverpool 012E","Total",1438,1361,1333,11,2,15,11,4,0,1,6,37,1,8,0,19,9,17,9,2,6,12,5,7
"E01006701",2011,"Liverpool 014B","Total",1380,1311,1285,8,0,18,18,12,3,1,2,24,1,0,0,15,8,10,4,5,1,17,4,13
"E01006702",2011,"Liverpool 014C","Total",1618,1506,1475,6,0,25,22,11,1,5,5,45,7,1,0,16,21,27,26,0,1,18,4,14
"E01006703",2011,"Liverpool 014D","Total",1561,1480,1424,19,2,35,18,4,6,1,7,22,0,4,0,6,12,34,32,0,2,7,7,0
"E01006705",2011,"Liverpool 009E","Total",1409,1348,1298,20,0,30,10,0,3,2,5,18,4,4,1,9,0,24,24,0,0,9,7,2
"E01006706",2011,"Liverpool 045A","Total",1346,1291,1277,7,0,7,20,5,7,5,3,18,1,5,0,7,5,16,11,3,2,1,0,1
"E01006707",2011,"Liverpool 045B","Total",1323,1262,1237,17,0,8,31,10,1,10,10,12,6,0,0,4,2,16,11,3,2,2,0,2
"E01006708",2011,"Liverpool 045C","Total",1805,1745,1711,10,0,24,33,9,8,2,14,6,0,0,0,0,6,19,9,5,5,2,1,1
"E01006709",2011,"Liverpool 040A","Total",1438,1390,1362,17,0,11,32,16,3,5,8,13,5,0,0,7,1,3,1,1,1,0,0,0
"E01006710",2011,"Liverpool 045D","Total",1496,1453,1441,10,0,2,20,15,4,0,1,8,5,0,0,2,1,15,8,6,1,0,0,0
"E01006711",2011,"Liverpool 027A","Total",1538,1369,1334,11,0,24,39,15,15,2,7,54,13,1,8,18,14,39,27,5,7,37,37,0
"E01006712",2011,"Liverpool 029D","Total",1339,1240,1214,10,0,16,32,7,12,12,1,58,41,0,0,11,6,1,1,0,0,8,4,4
"E01006713",2011,"Liverpool 029E","Total",1377,1299,1276,8,0,15,19,6,1,7,5,49,35,0,2,9,3,7,7,0,0,3,0,3
"E01006716",2011,"Liverpool 032E","Total",1589,1387,1334,21,2,30,58,23,17,10,8,83,11,0,0,63,9,25,16,3,6,36,28,8
"E01006717",2011,"Liverpool 027D","Total",1436,1340,1297,12,0,31,31,11,10,6,4,23,2,0,0,15,6,17,14,1,2,25,24,1
"E01006718",2011,"Liverpool 027E","Total",1587,1488,1434,17,0,37,33,12,10,3,8,26,7,2,0,11,6,17,13,2,2,23,20,3
"E01006719",2011,"Liverpool 027F","Total",1535,1490,1464,10,0,16,23,10,2,3,8,15,4,0,1,7,3,1,1,0,0,6,0,6
"E01006720",2011,"Liverpool 035A","Total",2108,1334,1000,72,3,259,156,40,48,21,47,223,33,33,53,48,56,226,162,21,43,169,146,23
"E01006721",2011,"Liverpool 038C","Total",1655,1308,1212,47,1,48,103,25,37,20,21,92,22,11,18,27,14,79,48,15,16,73,29,44
"E01006722",2011,"Liverpool 038D","Total",1793,1324,1180,73,6,65,71,14,24,12,21,221,57,28,88,32,16,101,64,7,30,76,64,12
"E01006723",2011,"Liverpool 038E","Total",1875,1469,1290,95,5,79,100,38,23,21,18,164,63,29,27,15,30,104,59,20,25,38,33,5
"E01006724",2011,"Liverpool 038F","Total",1790,1502,1400,54,1,47,71,11,20,26,14,121,30,25,14,29,23,72,44,18,10,24,11,13
"E01006725",2011,"Liverpool 035B","Total",1537,1326,1248,56,0,22,70,23,19,14,14,68,15,3,4,31,15,50,27,9,14,23,21,2
"E01006726",2011,"Liverpool 035C","Total",1565,1200,1062,61,1,76,86,29,30,9,18,131,23,23,22,43,20,109,77,19,13,39,31,8
"E01006727",2011,"Liverpool 035D","Total",1441,1276,1183,25,2,66,57,15,13,16,13,52,9,4,9,15,15,45,33,5,7,11,2,9
"E01006728",2011,"Liverpool 035E","Total",1623,1351,1260,33,1,57,86,36,19,6,25,91,9,36,9,25,12,60,29,17,14,35,28,7
"E01006729",2011,"Liverpool 008C","Total",1400,1353,1331,7,0,15,10,4,4,1,1,6,5,0,0,0,1,29,28,1,0,2,1,1
"E01006730",2011,"Liverpool 011C","Total",1326,1273,1254,5,0,14,22,9,7,0,6,14,1,0,4,6,3,13,13,0,0,4,1,3
"E01006731",2011,"Liverpool 011D","Total",1196,1148,1124,7,0,17,6,0,1,2,3,23,12,0,3,8,0,16,13,0,3,3,0,3
"E01006732",2011,"Liverpool 011E","Total",1643,1576,1541,3,0,32,18,7,4,4,3,20,5,0,0,9,6,17,10,1,6,12,2,10
"E01006734",2011,"Liverpool 005C","Total",1412,1342,1274,5,0,63,20,3,12,1,4,15,8,0,1,6,0,21,19,0,2,14,10,4
"E01006735",2011,"Liverpool 005D","Total",1309,1242,1234,5,0,3,14,3,7,1,3,34,27,0,0,3,4,19,15,1,3,0,0,0
"E01006736",2011,"Liverpool 005E","Total",1460,1400,1352,5,0,43,18,7,7,4,0,13,8,0,0,3,2,27,21,2,4,2,1,1
"E01006737",2011,"Liverpool 005F","Total",1435,1385,1366,13,0,6,19,7,6,2,4,6,6,0,0,0,0,22,21,1,0,3,0,3
"E01006738",2011,"Liverpool 058A","Total",1501,1471,1462,4,0,5,10,1,1,7,1,5,0,3,0,1,1,14,11,2,1,1,0,1
"E01006739",2011,"Liverpool 058B","Total",1769,1655,1622,13,0,20,47,25,7,10,5,24,5,0,1,11,7,36,27,9,0,7,5,2
"E01006740",2011,"Liverpool 057A","Total",1280,1189,1099,13,0,77,11,1,5,2,3,35,2,10,0,20,3,11,2,5,4,34,30,4
"E01006741",2011,"Liverpool 058C","Total",1815,1764,1736,9,0,19,28,5,11,9,3,5,0,0,0,1,4,17,7,5,5,1,0,1
"E01006742",2011,"Liverpool 057B","Total",1394,1344,1302,13,0,29,26,17,6,3,0,7,2,0,0,3,2,7,4,2,1,10,5,5
"E01006743",2011,"Liverpool 058D","Total",2175,2020,1907,23,1,89,40,17,13,3,7,65,10,0,10,33,12,38,21,9,8,12,6,6
"E01006744",2011,"Liverpool 057C","Total",1482,1418,1357,25,0,36,37,15,7,6,9,15,4,7,0,0,4,4,2,0,2,8,1,7
"E01006745",2011,"Liverpool 057D","Total",1879,1742,1619,28,0,95,72,25,25,11,11,48,20,0,0,16,12,16,5,2,9,1,0,1
"E01006746",2011,"Liverpool 030E","Total",1513,1232,1160,29,1,42,43,19,8,7,9,158,64,1,9,45,39,66,51,5,10,14,12,2
"E01006747",2011,"Liverpool 031B","Total",3552,2221,1933,146,8,134,90,31,12,35,12,982,187,121,19,514,141,182,162,14,6,77,45,32
"E01006748",2011,"Liverpool 031C","Total",1936,1478,1318,72,1,87,52,15,15,10,12,285,83,16,6,101,79,71,64,7,0,50,5,45
"E01006751",2011,"Liverpool 031F","Total",2572,1536,1410,41,0,85,155,50,44,24,37,536,115,30,4,348,39,188,132,25,31,157,117,40
"E01006752",2011,"Liverpool 035F","Total",1012,654,565,23,0,66,56,15,16,15,10,150,16,4,36,50,44,96,75,10,11,56,40,16
"E01006753",2011,"Liverpool 059A","Total",1557,1496,1472,4,0,20,34,16,10,6,2,8,0,5,0,1,2,19,15,4,0,0,0,0
"E01006754",2011,"Liverpool 059B","Total",1627,1573,1427,27,0,119,32,5,9,8,10,0,0,0,0,0,0,21,12,4,5,1,0,1
"E01006755",2011,"Liverpool 059C","Total",1587,1472,1436,6,1,29,45,18,8,7,12,18,0,0,7,6,5,42,34,2,6,10,8,2
"E01006756",2011,"Liverpool 059D","Total",1820,1697,1614,5,0,78,42,19,12,8,3,30,1,4,1,17,7,47,41,2,4,4,1,3
"E01006757",2011,"Liverpool 059E","Total",1491,1428,1377,8,0,43,34,15,5,5,9,11,0,1,0,9,1,12,6,1,5,6,1,5
"E01006758",2011,"Liverpool 059F","Total",1527,1435,1403,8,0,24,39,22,4,1,12,16,0,0,1,9,6,32,22,0,10,5,5,0
"E01006759",2011,"Liverpool 028D","Total",1095,976,924,9,1,42,30,0,12,11,7,21,4,6,0,8,3,41,27,2,12,27,18,9
"E01006760",2011,"Liverpool 028E","Total",1611,1389,1226,39,1,123,41,12,12,3,14,44,3,9,4,24,4,66,57,3,6,71,50,21
"E01006761",2011,"Liverpool 020B","Total",1644,1501,1445,24,0,32,37,9,11,9,8,80,29,4,1,28,18,14,8,2,4,12,5,7
"E01006762",2011,"Liverpool 015E","Total",1692,1625,1592,12,0,21,15,3,2,4,6,30,4,4,0,13,9,4,3,0,1,18,8,10
"E01006763",2011,"Liverpool 020C","Total",1471,1421,1394,24,0,3,16,8,0,5,3,16,5,1,1,6,3,12,10,2,0,6,6,0
"E01006764",2011,"Liverpool 020D","Total",1522,1367,1307,9,0,51,38,15,14,2,7,50,9,1,6,8,26,43,31,10,2,24,19,5
"E01006765",2011,"Liverpool 020E","Total",1468,1423,1367,21,1,34,19,3,4,5,7,15,4,0,0,6,5,6,6,0,0,5,3,2
"E01006766",2011,"Liverpool 019E","Total",1266,1118,1048,14,0,56,30,8,12,1,9,42,17,5,0,11,9,62,44,4,14,14,9,5
"E01006767",2011,"Liverpool 019F","Total",1787,1619,1548,21,3,47,34,9,10,3,12,40,12,1,0,22,5,77,63,3,11,17,15,2
"E01006768",2011,"Liverpool 020F","Total",1359,1223,1162,25,1,35,31,5,9,4,13,47,6,6,6,15,14,26,19,1,6,32,19,13
"E01006769",2011,"Liverpool 040B","Total",1270,1208,1181,9,1,17,29,7,9,8,5,5,0,0,0,4,1,10,6,3,1,18,15,3
"E01006770",2011,"Liverpool 040C","Total",1002,948,942,4,0,2,30,5,13,8,4,15,2,0,2,8,3,6,1,4,1,3,1,2
"E01006771",2011,"Liverpool 040D","Total",1425,1370,1349,11,0,10,25,6,11,5,3,16,5,0,0,6,5,11,5,0,6,3,3,0
"E01006772",2011,"Liverpool 040E","Total",1091,1034,1003,12,0,19,13,5,2,4,2,29,8,1,0,13,7,14,8,5,1,1,0,1
"E01006773",2011,"Liverpool 036D","Total",1379,1322,1297,11,0,14,23,5,3,7,8,21,4,5,0,7,5,7,2,3,2,6,1,5
"E01006774",2011,"Liverpool 036E","Total",1445,1257,1243,10,0,4,26,11,5,4,6,136,24,17,0,94,1,22,9,7,6,4,4,0
"E01006775",2011,"Liverpool 040F","Total",1319,1251,1228,19,0,4,34,11,10,2,11,23,5,0,0,18,0,9,3,3,3,2,1,1
"E01006776",2011,"Liverpool 022B","Total",1677,1612,1552,22,4,34,17,1,2,7,7,24,3,0,0,18,3,21,16,0,5,3,2,1
"E01006778",2011,"Liverpool 014E","Total",2205,2028,1936,16,0,76,46,23,4,11,8,50,7,7,0,20,16,72,65,7,0,9,5,4
"E01006779",2011,"Liverpool 022D","Total",1968,1891,1856,7,0,28,34,13,5,11,5,8,1,0,0,4,3,9,8,1,0,26,6,20
"E01006780",2011,"Liverpool 002D","Total",1465,1430,1405,20,0,5,16,3,3,7,3,11,5,0,0,5,1,5,2,2,1,3,3,0
"E01006781",2011,"Liverpool 003A","Total",1470,1451,1433,10,0,8,5,3,1,1,0,13,0,0,0,12,1,0,0,0,0,1,0,1
"E01006782",2011,"Liverpool 003B","Total",1560,1494,1463,15,0,16,20,12,4,3,1,30,13,0,0,1,16,6,6,0,0,10,0,10
"E01006783",2011,"Liverpool 002E","Total",1548,1503,1480,8,0,15,14,3,0,6,5,26,16,0,0,8,2,4,3,0,1,1,1,0
"E01006784",2011,"Liverpool 003C","Total",1347,1304,1287,9,1,7,18,7,7,3,1,10,1,0,0,9,0,5,4,1,0,10,0,10
"E01006785",2011,"Liverpool 003D","Total",1769,1696,1647,23,2,24,19,4,4,8,3,18,12,0,0,2,4,29,29,0,0,7,1,6
"E01006786",2011,"Liverpool 003E","Total",1820,1793,1766,12,0,15,9,3,5,0,1,6,0,0,0,4,2,2,2,0,0,10,1,9
"E01006787",2011,"Liverpool 006A","Total",2330,2095,2001,29,6,59,41,20,7,1,13,80,37,10,8,16,9,71,40,10,21,43,27,16
"E01006788",2011,"Liverpool 006B","Total",1825,1762,1731,9,1,21,16,7,4,5,0,31,26,0,0,3,2,10,8,0,2,6,6,0
"E01006790",2011,"Liverpool 006C","Total",1587,1525,1487,10,0,28,22,6,0,7,9,6,4,2,0,0,0,21,14,4,3,13,9,4
"E01006791",2011,"Liverpool 006D","Total",1674,1579,1530,12,0,37,12,3,4,4,1,20,11,0,1,8,0,40,25,12,3,23,9,14
"E01006792",2011,"Liverpool 046A","Total",1368,1297,1255,12,0,30,22,0,2,12,8,22,7,0,0,9,6,8,6,1,1,19,17,2
"E01006793",2011,"Liverpool 051A","Total",1494,1388,1347,14,1,26,34,4,10,11,9,47,20,5,0,17,5,6,2,2,2,19,6,13
"E01006794",2011,"Liverpool 046B","Total",1593,1473,1431,16,0,26,28,7,9,7,5,67,35,6,0,10,16,13,11,1,1,12,2,10
"E01006795",2011,"Liverpool 051B","Total",1407,1342,1304,21,0,17,27,9,3,13,2,33,17,0,0,15,1,1,0,1,0,4,1,3
"E01006796",2011,"Liverpool 047E","Total",1591,1407,1335,19,0,53,21,2,6,4,9,113,50,32,5,18,8,6,3,0,3,44,38,6
"E01006797",2011,"Liverpool 051C","Total",1499,1445,1424,17,0,4,27,3,9,6,9,8,0,1,0,4,3,12,4,4,4,7,0,7
"E01006798",2011,"Liverpool 051D","Total",1410,1340,1289,24,0,27,19,7,2,6,4,43,13,0,0,28,2,7,2,1,4,1,1,0
"E01006799",2011,"Liverpool 051E","Total",1821,1751,1706,24,0,21,27,4,5,4,14,25,11,2,0,10,2,5,3,1,1,13,0,13
"E01006800",2011,"Liverpool 046C","Total",1401,1284,1270,5,0,9,22,3,7,7,5,77,44,2,5,25,1,12,9,3,0,6,4,2
"E01006801",2011,"Liverpool 046D","Total",1355,1299,1265,22,0,12,16,1,1,10,4,37,10,4,0,18,5,2,2,0,0,1,0,1
"E01032505",2011,"Liverpool 050F","Total",1317,1177,1086,25,0,66,37,14,13,0,10,70,19,7,2,37,5,10,6,0,4,23,16,7
"E01032506",2011,"Liverpool 050G","Total",1403,1276,1203,30,0,43,58,21,21,9,7,39,4,14,0,11,10,13,10,1,2,17,13,4
"E01032507",2011,"Liverpool 050H","Total",1539,1437,1329,53,0,55,54,20,12,9,13,18,1,2,6,7,2,20,13,3,4,10,8,2
"E01032508",2011,"Liverpool 027G","Total",1723,1525,1485,12,0,28,54,20,20,3,11,86,34,0,5,21,26,35,28,1,6,23,6,17
"E01032509",2011,"Liverpool 027H","Total",1434,1345,1292,12,0,41,36,4,13,3,16,31,11,0,2,12,6,18,15,1,2,4,4,0
"E01032510",2011,"Liverpool 008F","Total",1809,1718,1675,7,0,36,24,7,4,8,5,40,29,1,0,8,2,14,14,0,0,13,5,8
"E01032511",2011,"Liverpool 008G","Total",1378,1334,1302,12,0,20,19,4,5,2,8,10,0,1,0,8,1,13,10,1,2,2,0,2
"E01033747",2011,"Liverpool 018F","Total",1043,907,877,12,0,18,22,11,4,5,2,28,0,0,5,9,14,37,29,4,4,49,30,19
"E01033748",2011,"Liverpool 050I","Total",1277,1099,997,37,0,65,28,4,4,8,12,82,44,13,2,8,15,40,28,9,3,28,17,11
"E01033749",2011,"Liverpool 042F","Total",1153,974,885,31,0,58,35,8,3,11,13,72,28,7,2,25,10,37,30,4,3,35,25,10
"E01033750",2011,"Liverpool 061A","Total",1448,1182,1049,45,0,88,46,6,5,17,18,115,62,14,0,24,15,48,33,13,2,57,44,13
"E01033751",2011,"Liverpool 062A","Total",1873,1554,1399,76,28,51,41,10,9,15,7,183,93,28,9,22,31,59,44,4,11,36,30,6
"E01033752",2011,"Liverpool 062B","Total",1196,980,796,49,4,131,28,5,6,11,6,92,20,20,4,27,21,24,16,6,2,72,57,15
"E01033753",2011,"Liverpool 062C","Total",1051,829,699,15,0,115,30,8,2,2,18,81,30,8,2,35,6,29,18,3,8,82,76,6
"E01033754",2011,"Liverpool 061B","Total",1452,1183,1010,47,0,126,81,23,15,17,26,99,37,11,0,37,14,48,21,15,12,41,30,11
"E01033755",2011,"Liverpool 062D","Total",1082,897,705,68,0,124,29,7,1,10,11,90,28,11,1,29,21,24,17,6,1,42,30,12
"E01033756",2011,"Liverpool 061C","Total",1185,877,698,44,0,135,26,4,6,8,8,153,33,4,1,93,22,38,21,14,3,91,88,3
"E01033757",2011,"Liverpool 037E","Total",1025,618,526,23,4,65,86,32,20,18,16,213,20,3,0,160,30,75,46,10,19,33,6,27
"E01033758",2011,"Liverpool 060B","Total",1730,983,824,47,1,111,38,8,4,20,6,581,62,54,5,394,66,40,31,7,2,88,77,11
"E01033759",2011,"Liverpool 010F","Total",1147,1066,1041,4,0,21,15,3,2,5,5,16,4,0,0,5,7,41,40,1,0,9,6,3
"E01033760",2011,"Liverpool 060C","Total",2115,1610,1320,88,0,202,52,10,6,15,21,342,57,18,5,238,24,66,38,23,5,45,30,15
"E01033761",2011,"Liverpool 060D","Total",1372,1097,889,52,0,156,46,10,8,14,14,123,33,6,5,57,22,30,21,6,3,76,62,14
"E01033762",2011,"Liverpool 060E","Total",1791,1489,1261,129,1,98,31,9,6,9,7,158,46,17,3,63,29,48,43,5,0,65,56,9
"E01033763",2011,"Liverpool 031G","Total",1527,1217,1110,21,0,86,53,22,20,4,7,120,25,12,6,48,29,86,61,5,20,51,34,17
"E01033764",2011,"Liverpool 022E","Total",2202,2063,1955,39,5,64,19,14,3,1,1,37,9,2,5,12,9,55,38,14,3,28,21,7
"E01033765",2011,"Liverpool 061D","Total",1351,1198,1122,35,1,40,54,22,23,5,4,42,7,7,0,20,8,27,18,6,3,30,21,9
"E01033766",2011,"Liverpool 042G","Total",1075,969,917,32,1,19,45,7,6,15,17,22,3,3,0,8,8,20,12,6,2,19,3,16
"E01033767",2011,"Liverpool 050J","Total",1067,963,911,8,0,44,34,9,5,1,19,25,3,1,1,9,11,18,15,1,2,27,23,4
"E01033768",2011,"Liverpool 037F","Total",1223,822,757,22,0,43,139,39,47,19,34,69,14,4,1,40,10,122,65,18,39,71,38,33
