"lsoa11cd","date","lsoa11nm","Rural Urban","Household Deprivation: All categories: Classification of household deprivation; measures: Value","Household Deprivation: Household is not deprived in any dimension; measures: Value","Household Deprivation: Household is deprived in 1 dimension; measures: Value","Household Deprivation: Household is deprived in 2 dimensions; measures: Value","Household Deprivation: Household is deprived in 3 dimensions; measures: Value","Household Deprivation: Household is deprived in 4 dimensions; measures: Value"
"E01006607",2011,"Liverpool 008A","Total",641,146,195,211,79,10
"E01006608",2011,"Liverpool 009A","Total",563,177,182,130,68,6
"E01006609",2011,"Liverpool 009B","Total",576,178,174,153,68,3
"E01006610",2011,"Liverpool 009C","Total",669,171,172,219,100,7
"E01006611",2011,"Liverpool 012A","Total",742,180,198,218,132,14
"E01006612",2011,"Liverpool 008B","Total",740,139,240,234,122,5
"E01006613",2011,"Liverpool 009D","Total",611,127,173,212,92,7
"E01006614",2011,"Liverpool 012B","Total",667,184,200,188,86,9
"E01006615",2011,"Liverpool 012C","Total",663,174,221,184,78,6
"E01006616",2011,"Liverpool 015D","Total",613,167,184,171,85,6
"E01006617",2011,"Liverpool 021A","Total",650,291,206,123,27,3
"E01006618",2011,"Liverpool 016C","Total",692,167,207,238,76,4
"E01006619",2011,"Liverpool 021B","Total",734,306,243,137,43,5
"E01006620",2011,"Liverpool 021C","Total",625,236,185,157,43,4
"E01006621",2011,"Liverpool 021D","Total",584,256,204,105,19,0
"E01006622",2011,"Liverpool 021E","Total",586,287,198,87,13,1
"E01006623",2011,"Liverpool 013A","Total",527,250,163,93,21,0
"E01006624",2011,"Liverpool 013B","Total",702,206,221,179,92,4
"E01006625",2011,"Liverpool 016D","Total",609,229,189,162,27,2
"E01006626",2011,"Liverpool 016E","Total",593,232,177,148,35,1
"E01006627",2011,"Liverpool 013C","Total",600,230,182,146,39,3
"E01006628",2011,"Liverpool 052D","Total",651,329,168,119,31,4
"E01006629",2011,"Liverpool 052E","Total",573,210,185,137,38,3
"E01006630",2011,"Liverpool 044B","Total",555,89,175,161,120,10
"E01006632",2011,"Liverpool 044C","Total",884,216,243,255,139,31
"E01006633",2011,"Liverpool 050B","Total",699,99,192,250,148,10
"E01006637",2011,"Liverpool 017A","Total",670,185,204,196,82,3
"E01006638",2011,"Liverpool 017B","Total",518,108,150,182,74,4
"E01006639",2011,"Liverpool 017C","Total",640,259,186,142,51,2
"E01006640",2011,"Liverpool 021F","Total",760,322,211,170,54,3
"E01006641",2011,"Liverpool 025C","Total",633,343,189,79,20,2
"E01006642",2011,"Liverpool 025D","Total",590,120,172,203,86,9
"E01006643",2011,"Liverpool 025E","Total",740,203,213,206,111,7
"E01006644",2011,"Liverpool 017D","Total",963,303,257,264,128,11
"E01006645",2011,"Liverpool 017E","Total",690,117,197,273,97,6
"E01006646",2011,"Liverpool 023C","Total",1006,237,331,266,153,19
"E01006647",2011,"Liverpool 024C","Total",636,80,180,226,139,11
"E01006648",2011,"Liverpool 023D","Total",1075,264,343,291,168,9
"E01006651",2011,"Liverpool 001A","Total",592,329,175,75,13,0
"E01006652",2011,"Liverpool 002A","Total",633,230,205,154,43,1
"E01006653",2011,"Liverpool 001B","Total",656,184,172,202,93,5
"E01006654",2011,"Liverpool 005A","Total",627,225,198,137,55,12
"E01006655",2011,"Liverpool 001C","Total",706,245,190,182,79,10
"E01006656",2011,"Liverpool 002B","Total",669,239,212,170,45,3
"E01006657",2011,"Liverpool 002C","Total",582,181,192,139,63,7
"E01006658",2011,"Liverpool 001D","Total",634,147,199,191,90,7
"E01006659",2011,"Liverpool 005B","Total",548,132,165,166,75,10
"E01006660",2011,"Liverpool 001E","Total",616,172,162,195,80,7
"E01006661",2011,"Liverpool 004A","Total",749,149,201,272,115,12
"E01006662",2011,"Liverpool 004B","Total",785,211,199,266,103,6
"E01006663",2011,"Liverpool 004C","Total",510,184,139,120,64,3
"E01006664",2011,"Liverpool 004D","Total",822,194,227,262,128,11
"E01006665",2011,"Liverpool 007A","Total",630,301,174,127,26,2
"E01006666",2011,"Liverpool 007B","Total",514,277,152,69,16,0
"E01006667",2011,"Liverpool 007C","Total",618,215,188,160,53,2
"E01006668",2011,"Liverpool 007D","Total",590,315,166,90,19,0
"E01006669",2011,"Liverpool 004E","Total",551,282,143,91,34,1
"E01006670",2011,"Liverpool 007E","Total",607,277,180,117,30,3
"E01006671",2011,"Liverpool 013D","Total",499,178,165,111,39,6
"E01006672",2011,"Liverpool 010E","Total",798,193,261,227,109,8
"E01006673",2011,"Liverpool 037D","Total",954,226,312,274,125,17
"E01006674",2011,"Liverpool 039C","Total",826,134,236,277,157,22
"E01006675",2011,"Liverpool 043C","Total",1132,349,413,240,107,23
"E01006676",2011,"Liverpool 044D","Total",761,141,244,234,128,14
"E01006677",2011,"Liverpool 043D","Total",477,93,152,147,76,9
"E01006678",2011,"Liverpool 044E","Total",1059,222,319,331,164,23
"E01006679",2011,"Liverpool 039D","Total",920,153,275,306,161,25
"E01006680",2011,"Liverpool 053B","Total",605,294,200,91,20,0
"E01006681",2011,"Liverpool 054D","Total",719,253,226,167,68,5
"E01006682",2011,"Liverpool 053C","Total",498,279,144,67,8,0
"E01006683",2011,"Liverpool 053D","Total",594,296,183,98,14,3
"E01006684",2011,"Liverpool 056B","Total",999,589,289,104,17,0
"E01006685",2011,"Liverpool 056C","Total",604,305,190,92,16,1
"E01006686",2011,"Liverpool 053E","Total",531,260,169,87,15,0
"E01006687",2011,"Liverpool 056D","Total",933,464,259,168,38,4
"E01006688",2011,"Liverpool 056E","Total",712,309,220,144,35,4
"E01006689",2011,"Liverpool 049D","Total",717,347,223,120,23,4
"E01006690",2011,"Liverpool 028A","Total",801,196,287,211,89,18
"E01006691",2011,"Liverpool 030A","Total",647,140,221,188,87,11
"E01006692",2011,"Liverpool 028B","Total",989,239,317,282,130,21
"E01006693",2011,"Liverpool 024D","Total",838,130,216,309,160,23
"E01006694",2011,"Liverpool 030B","Total",891,210,296,247,115,23
"E01006695",2011,"Liverpool 028C","Total",1029,203,325,294,173,34
"E01006696",2011,"Liverpool 030C","Total",768,181,239,220,116,12
"E01006697",2011,"Liverpool 030D","Total",828,182,275,263,91,17
"E01006698",2011,"Liverpool 012D","Total",725,219,254,180,64,8
"E01006699",2011,"Liverpool 014A","Total",777,152,235,233,144,13
"E01006700",2011,"Liverpool 012E","Total",653,160,201,184,96,12
"E01006701",2011,"Liverpool 014B","Total",671,136,219,201,103,12
"E01006702",2011,"Liverpool 014C","Total",740,162,210,239,122,7
"E01006703",2011,"Liverpool 014D","Total",818,160,221,267,158,12
"E01006705",2011,"Liverpool 009E","Total",689,206,220,175,75,13
"E01006706",2011,"Liverpool 045A","Total",582,94,166,206,108,8
"E01006707",2011,"Liverpool 045B","Total",553,94,158,210,86,5
"E01006708",2011,"Liverpool 045C","Total",754,249,228,189,82,6
"E01006709",2011,"Liverpool 040A","Total",685,183,186,203,106,7
"E01006710",2011,"Liverpool 045D","Total",592,165,203,162,60,2
"E01006711",2011,"Liverpool 027A","Total",685,192,217,188,76,12
"E01006712",2011,"Liverpool 029D","Total",569,205,177,126,57,4
"E01006713",2011,"Liverpool 029E","Total",604,208,190,154,48,4
"E01006716",2011,"Liverpool 032E","Total",701,233,210,174,76,8
"E01006717",2011,"Liverpool 027D","Total",576,225,184,135,28,4
"E01006718",2011,"Liverpool 027E","Total",678,206,219,181,70,2
"E01006719",2011,"Liverpool 027F","Total",638,227,220,141,47,3
"E01006720",2011,"Liverpool 035A","Total",905,273,288,230,103,11
"E01006721",2011,"Liverpool 038C","Total",912,262,292,238,111,9
"E01006722",2011,"Liverpool 038D","Total",608,273,185,112,34,4
"E01006723",2011,"Liverpool 038E","Total",749,279,213,178,69,10
"E01006724",2011,"Liverpool 038F","Total",554,265,173,91,23,2
"E01006725",2011,"Liverpool 035B","Total",739,250,233,176,75,5
"E01006726",2011,"Liverpool 035C","Total",659,263,206,135,50,5
"E01006727",2011,"Liverpool 035D","Total",665,267,180,161,54,3
"E01006728",2011,"Liverpool 035E","Total",855,237,271,214,116,17
"E01006729",2011,"Liverpool 008C","Total",539,118,183,165,70,3
"E01006730",2011,"Liverpool 011C","Total",542,120,151,190,75,6
"E01006731",2011,"Liverpool 011D","Total",486,105,154,154,70,3
"E01006732",2011,"Liverpool 011E","Total",644,114,227,213,87,3
"E01006734",2011,"Liverpool 005C","Total",625,132,192,211,84,6
"E01006735",2011,"Liverpool 005D","Total",571,137,164,169,96,5
"E01006736",2011,"Liverpool 005E","Total",582,144,172,196,67,3
"E01006737",2011,"Liverpool 005F","Total",562,121,179,180,78,4
"E01006738",2011,"Liverpool 058A","Total",662,141,218,208,88,7
"E01006739",2011,"Liverpool 058B","Total",707,138,217,235,99,18
"E01006740",2011,"Liverpool 057A","Total",604,104,154,223,109,14
"E01006741",2011,"Liverpool 058C","Total",778,181,218,264,104,11
"E01006742",2011,"Liverpool 057B","Total",591,209,176,143,58,5
"E01006743",2011,"Liverpool 058D","Total",1008,332,329,258,82,7
"E01006744",2011,"Liverpool 057C","Total",739,301,188,181,64,5
"E01006745",2011,"Liverpool 057D","Total",907,310,293,205,87,12
"E01006746",2011,"Liverpool 030E","Total",655,148,173,225,105,4
"E01006747",2011,"Liverpool 031B","Total",857,251,331,179,84,12
"E01006748",2011,"Liverpool 031C","Total",756,286,248,159,60,3
"E01006751",2011,"Liverpool 031F","Total",831,161,273,261,127,9
"E01006752",2011,"Liverpool 035F","Total",489,112,153,158,56,10
"E01006753",2011,"Liverpool 059A","Total",666,129,229,215,86,7
"E01006754",2011,"Liverpool 059B","Total",781,142,252,255,114,18
"E01006755",2011,"Liverpool 059C","Total",690,123,208,226,121,12
"E01006756",2011,"Liverpool 059D","Total",757,174,242,238,93,10
"E01006757",2011,"Liverpool 059E","Total",621,145,199,211,64,2
"E01006758",2011,"Liverpool 059F","Total",639,130,200,213,91,5
"E01006759",2011,"Liverpool 028D","Total",460,152,138,130,31,9
"E01006760",2011,"Liverpool 028E","Total",826,177,277,191,148,33
"E01006761",2011,"Liverpool 020B","Total",793,184,270,225,94,20
