"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family only: Total; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married couple: Total; measures: Value","Household Composition: One family only: Married couple: No children; measures: Value","Household Composition: One family only: Married couple: One dependent child; measures: Value","Household Composition: One family only: Married couple: Two or more dependent children; measures: Value","Household Composition: One family only: Married couple: All children non-dependent; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Total; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: One dependent child; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Two or more dependent children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple: Total; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: One dependent child; measures: Value","Household Composition: One family only: Cohabiting couple: Two or more dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent: Total; measures: Value","Household Composition: One family only: Lone parent: One dependent child; measures: Value","Household Composition: One family only: Lone parent: Two or more dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types: Total; measures: Value","Household Composition: Other household types: With one dependent child; measures: Value","Household Composition: Other household types: With two or more dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1420,431,28,403,612,2,353,68,84,186,15,2,2,0,0,0,135,118,9,8,0,120,53,54,13,377,19,22,199,0,137
"E01006513",2011,"Liverpool 060A","Total",1691,467,30,437,424,4,116,66,33,4,13,10,10,0,0,0,229,194,12,20,3,65,25,18,22,800,14,10,481,4,291
"E01006514",2011,"Liverpool 037A","Total",1758,747,72,675,551,12,217,78,73,48,18,4,4,0,0,0,215,172,3,28,12,103,51,23,29,460,13,15,215,9,208
"E01006515",2011,"Liverpool 037B","Total",1208,313,91,222,657,52,222,50,29,83,60,9,6,3,0,0,138,64,16,41,17,236,87,80,69,238,34,44,42,2,116
"E01006518",2011,"Liverpool 044A","Total",1630,389,139,250,995,70,369,84,49,150,86,0,0,0,0,0,140,56,34,35,15,416,148,133,135,246,47,62,6,2,129
"E01006519",2011,"Liverpool 056A","Total",1286,128,66,62,1044,80,747,138,128,323,158,0,0,0,0,0,114,40,38,30,6,103,28,30,45,114,25,31,6,14,38
"E01006520",2011,"Liverpool 043A","Total",1685,805,140,665,672,26,199,84,58,50,7,12,12,0,0,0,363,310,36,17,0,72,31,20,21,208,5,5,37,2,159
"E01006521",2011,"Liverpool 052A","Total",1619,485,173,312,881,122,383,152,24,125,82,12,4,0,4,4,193,128,27,29,9,171,76,37,58,253,19,30,36,9,159
"E01006522",2011,"Liverpool 048A","Total",1670,675,58,617,669,12,176,76,42,40,18,7,4,3,0,0,317,260,37,16,4,157,91,43,23,326,14,21,31,2,258
"E01006523",2011,"Liverpool 052B","Total",1473,448,78,370,704,30,310,100,60,98,52,4,4,0,0,0,197,138,21,38,0,163,70,25,68,321,17,28,36,6,234
"E01006524",2011,"Liverpool 048B","Total",1079,273,72,201,664,90,340,110,72,109,49,3,0,3,0,0,147,106,15,26,0,84,43,9,32,142,20,23,8,4,87
"E01006525",2011,"Liverpool 049A","Total",1209,109,61,48,954,100,649,112,132,217,188,0,0,0,0,0,111,44,35,22,10,94,16,21,57,146,28,15,15,4,84
"E01006526",2011,"Liverpool 048C","Total",1301,287,81,206,911,96,491,128,104,147,112,2,2,0,0,0,205,74,49,79,3,117,56,27,34,103,9,17,6,4,67
"E01006527",2011,"Liverpool 053A","Total",1373,245,112,133,985,120,569,102,117,191,159,0,0,0,0,0,137,62,39,28,8,159,52,65,42,143,16,26,25,4,72
"E01006528",2011,"Liverpool 052C","Total",1434,214,45,169,867,40,486,110,95,180,101,11,4,0,4,3,196,94,37,62,3,134,43,57,34,353,42,24,111,0,176
"E01006529",2011,"Liverpool 048D","Total",1304,180,58,122,927,52,568,120,129,178,141,6,6,0,0,0,193,66,51,67,9,108,30,26,52,197,47,42,15,0,93
