"lsoa11cd","date","lsoa11nm","Rural Urban","Occupancy Rating: All categories: Occupancy rating (rooms); measures: Value","Occupancy Rating: Occupancy rating (rooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (rooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -2 or less; measures: Value"
"E01006606",2011,"Liverpool 020A","Total",723,388,193,109,23,10
"E01006607",2011,"Liverpool 008A","Total",641,328,166,105,37,5
"E01006608",2011,"Liverpool 009A","Total",563,305,168,55,25,10
"E01006609",2011,"Liverpool 009B","Total",576,338,148,64,17,9
"E01006610",2011,"Liverpool 009C","Total",669,254,206,159,45,5
"E01006611",2011,"Liverpool 012A","Total",742,175,334,177,47,9
"E01006612",2011,"Liverpool 008B","Total",740,304,173,214,40,9
"E01006613",2011,"Liverpool 009D","Total",611,294,181,111,19,6
"E01006614",2011,"Liverpool 012B","Total",667,262,221,132,39,13
"E01006615",2011,"Liverpool 012C","Total",663,232,250,133,44,4
"E01006616",2011,"Liverpool 015D","Total",613,297,175,101,31,9
"E01006617",2011,"Liverpool 021A","Total",650,371,167,88,19,5
"E01006618",2011,"Liverpool 016C","Total",692,427,156,80,22,7
"E01006619",2011,"Liverpool 021B","Total",734,461,159,88,20,6
"E01006620",2011,"Liverpool 021C","Total",625,359,103,133,25,5
"E01006621",2011,"Liverpool 021D","Total",584,404,103,56,16,5
"E01006622",2011,"Liverpool 021E","Total",586,462,83,34,5,2
"E01006623",2011,"Liverpool 013A","Total",527,434,57,20,13,3
"E01006624",2011,"Liverpool 013B","Total",702,334,204,109,43,12
"E01006625",2011,"Liverpool 016D","Total",609,382,115,93,17,2
"E01006626",2011,"Liverpool 016E","Total",593,396,126,53,15,3
"E01006627",2011,"Liverpool 013C","Total",600,376,127,80,13,4
"E01006628",2011,"Liverpool 052D","Total",651,413,103,110,21,4
"E01006629",2011,"Liverpool 052E","Total",573,278,155,97,34,9
"E01006630",2011,"Liverpool 044B","Total",555,116,181,175,67,16
"E01006632",2011,"Liverpool 044C","Total",884,293,247,206,108,30
"E01006633",2011,"Liverpool 050B","Total",699,179,235,215,57,13
"E01006637",2011,"Liverpool 017A","Total",670,238,218,160,41,13
"E01006638",2011,"Liverpool 017B","Total",518,193,179,112,29,5
"E01006639",2011,"Liverpool 017C","Total",640,314,174,125,23,4
"E01006640",2011,"Liverpool 021F","Total",760,492,163,83,19,3
"E01006641",2011,"Liverpool 025C","Total",633,315,200,97,18,3
"E01006642",2011,"Liverpool 025D","Total",590,229,190,117,44,10
"E01006643",2011,"Liverpool 025E","Total",740,297,223,167,38,15
"E01006644",2011,"Liverpool 017D","Total",963,379,256,242,72,14
"E01006645",2011,"Liverpool 017E","Total",690,262,173,196,51,8
"E01006646",2011,"Liverpool 023C","Total",1006,204,254,306,189,53
"E01006647",2011,"Liverpool 024C","Total",636,174,242,159,53,8
"E01006648",2011,"Liverpool 023D","Total",1075,203,313,310,202,47
"E01006651",2011,"Liverpool 001A","Total",592,389,153,42,7,1
"E01006652",2011,"Liverpool 002A","Total",633,402,133,77,18,3
"E01006653",2011,"Liverpool 001B","Total",656,322,189,109,30,6
"E01006654",2011,"Liverpool 005A","Total",627,312,155,114,34,12
"E01006655",2011,"Liverpool 001C","Total",706,378,200,102,19,7
"E01006656",2011,"Liverpool 002B","Total",669,367,176,97,25,4
"E01006657",2011,"Liverpool 002C","Total",582,253,182,113,28,6
"E01006658",2011,"Liverpool 001D","Total",634,240,227,128,30,9
"E01006659",2011,"Liverpool 005B","Total",548,198,148,161,35,6
"E01006660",2011,"Liverpool 001E","Total",616,277,204,108,23,4
"E01006661",2011,"Liverpool 004A","Total",749,271,276,159,34,9
"E01006662",2011,"Liverpool 004B","Total",785,267,305,173,32,8
"E01006663",2011,"Liverpool 004C","Total",510,212,195,84,14,5
"E01006664",2011,"Liverpool 004D","Total",822,327,246,188,48,13
"E01006665",2011,"Liverpool 007A","Total",630,337,201,69,21,2
"E01006666",2011,"Liverpool 007B","Total",514,365,98,43,7,1
"E01006667",2011,"Liverpool 007C","Total",618,303,201,95,16,3
"E01006668",2011,"Liverpool 007D","Total",590,349,166,63,9,3
"E01006669",2011,"Liverpool 004E","Total",551,348,128,61,13,1
"E01006670",2011,"Liverpool 007E","Total",607,372,151,64,16,4
"E01006671",2011,"Liverpool 013D","Total",499,327,102,48,18,4
"E01006672",2011,"Liverpool 010E","Total",798,357,253,123,49,16
"E01006673",2011,"Liverpool 037D","Total",954,154,238,363,140,59
