"lsoa11cd","date","lsoa11nm","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"E01006701",2011,"Liverpool 014B","Total",1380,79,26,15,67,19,40,39,101,80,257,364,98,132,52,11,0,40.6,43
"E01006702",2011,"Liverpool 014C","Total",1618,118,61,37,116,9,36,42,149,135,298,296,103,120,75,19,4,37,35
"E01006703",2011,"Liverpool 014D","Total",1561,65,46,27,85,19,38,40,96,107,334,316,130,149,78,17,14,41.3,41
"E01006705",2011,"Liverpool 009E","Total",1409,104,43,18,68,19,33,36,131,140,303,294,67,102,44,4,3,36.2,35
"E01006706",2011,"Liverpool 045A","Total",1346,63,42,28,101,26,41,55,91,65,236,263,91,168,68,5,3,39.8,42
"E01006707",2011,"Liverpool 045B","Total",1323,79,35,26,101,15,40,41,63,78,223,247,80,163,108,17,7,41.6,43
"E01006708",2011,"Liverpool 045C","Total",1805,117,70,43,115,29,53,43,103,127,391,317,84,139,122,40,12,38.8,38
"E01006709",2011,"Liverpool 040A","Total",1438,84,29,30,61,23,38,36,93,114,274,313,83,113,96,37,14,41.3,41
"E01006710",2011,"Liverpool 045D","Total",1496,102,56,30,92,25,45,49,121,97,281,294,104,148,46,3,3,37.3,38
"E01006711",2011,"Liverpool 027A","Total",1538,104,65,26,98,20,47,42,111,113,335,302,76,112,65,13,9,36.9,37
"E01006712",2011,"Liverpool 029D","Total",1339,115,56,28,76,19,30,24,80,107,326,207,67,108,58,20,18,37.3,35
"E01006713",2011,"Liverpool 029E","Total",1377,101,50,30,73,10,30,36,78,114,271,298,62,105,88,25,6,39.2,39
"E01006716",2011,"Liverpool 032E","Total",1589,139,49,29,90,19,26,26,110,160,360,281,66,88,85,30,31,37.8,35
"E01006717",2011,"Liverpool 027D","Total",1436,68,41,32,100,22,45,41,98,71,305,327,77,93,103,10,3,39.4,40
"E01006718",2011,"Liverpool 027E","Total",1587,81,48,31,109,22,39,47,99,106,324,348,102,142,72,11,6,39.2,40
"E01006719",2011,"Liverpool 027F","Total",1535,105,64,31,101,25,41,45,106,109,318,297,95,98,79,15,6,37.1,36
"E01006720",2011,"Liverpool 035A","Total",2108,178,80,49,118,20,40,87,390,292,445,227,56,67,50,5,4,29.3,26
"E01006721",2011,"Liverpool 038C","Total",1655,122,39,24,77,17,33,52,269,216,338,226,43,88,83,12,16,34.2,29
"E01006722",2011,"Liverpool 038D","Total",1793,67,28,27,63,17,31,109,742,199,223,147,33,57,36,7,7,28.3,22
"E01006723",2011,"Liverpool 038E","Total",1875,61,29,20,48,16,22,119,660,222,265,201,55,95,50,6,6,31.5,24
"E01006724",2011,"Liverpool 038F","Total",1790,40,21,9,37,12,19,123,849,152,189,152,49,77,48,9,4,30,22
"E01006725",2011,"Liverpool 035B","Total",1537,102,46,25,68,12,27,31,186,179,309,267,87,113,66,14,5,36.8,33
"E01006726",2011,"Liverpool 035C","Total",1565,84,38,27,81,10,27,69,357,187,295,205,63,59,53,8,2,32.3,26
"E01006727",2011,"Liverpool 035D","Total",1441,88,42,24,57,15,26,37,159,177,330,259,70,99,48,5,5,36.2,33
"E01006728",2011,"Liverpool 035E","Total",1623,118,50,29,80,18,20,44,222,190,373,237,55,88,77,16,6,34.8,31
"E01006729",2011,"Liverpool 008C","Total",1400,129,74,58,104,17,53,45,85,105,266,224,61,84,68,22,5,34.2,31
"E01006730",2011,"Liverpool 011C","Total",1326,73,43,34,98,30,44,39,108,82,231,266,69,104,82,15,8,38.3,38
"E01006731",2011,"Liverpool 011D","Total",1196,76,38,33,94,15,28,34,96,73,241,228,72,87,62,14,5,37.6,36
"E01006732",2011,"Liverpool 011E","Total",1643,165,70,60,142,29,60,44,107,125,312,264,56,115,79,13,2,33.3,30
"E01006734",2011,"Liverpool 005C","Total",1412,117,79,38,102,18,36,40,92,129,261,245,67,98,73,16,1,35.1,32
"E01006735",2011,"Liverpool 005D","Total",1309,92,47,28,91,21,36,32,90,102,240,265,79,104,60,18,4,37.7,38
"E01006736",2011,"Liverpool 005E","Total",1460,85,52,29,105,22,55,46,121,99,285,309,61,97,80,13,1,37,37
"E01006737",2011,"Liverpool 005F","Total",1435,80,37,34,112,20,52,64,114,98,242,298,73,107,93,8,3,37.7,38
"E01006738",2011,"Liverpool 058A","Total",1501,113,63,36,87,19,38,50,101,126,260,305,72,126,75,21,9,37.6,36
"E01006739",2011,"Liverpool 058B","Total",1769,135,80,55,128,29,53,68,127,121,304,363,81,116,83,17,9,35.9,34
"E01006740",2011,"Liverpool 057A","Total",1280,70,40,35,91,26,38,37,94,127,266,203,81,97,54,17,4,36.6,34
"E01006741",2011,"Liverpool 058C","Total",1815,99,81,30,110,25,53,74,147,115,352,383,77,134,109,19,7,38.1,38
"E01006742",2011,"Liverpool 057B","Total",1394,91,39,29,67,16,43,40,90,105,287,301,71,119,76,14,6,39.2,39
"E01006743",2011,"Liverpool 058D","Total",2175,164,106,42,115,21,41,58,172,213,535,402,83,115,84,17,7,35,33
"E01006744",2011,"Liverpool 057C","Total",1482,113,48,26,69,17,30,21,92,144,398,266,68,106,61,15,8,37.3,36
"E01006745",2011,"Liverpool 057D","Total",1879,123,66,31,109,30,39,46,154,230,446,339,70,98,72,18,8,35.4,32
"E01006746",2011,"Liverpool 030E","Total",1513,60,46,15,65,10,35,63,291,122,229,241,69,159,95,3,10,38.1,34
"E01006747",2011,"Liverpool 031B","Total",3552,55,20,6,41,8,29,795,1645,256,296,204,64,78,41,13,1,26.2,21
"E01006748",2011,"Liverpool 031C","Total",1936,53,30,15,55,15,21,83,820,188,236,199,69,85,53,10,4,31,23
"E01006751",2011,"Liverpool 031F","Total",2572,122,72,35,103,26,54,279,701,207,346,266,91,172,84,13,1,31.5,23
"E01006752",2011,"Liverpool 035F","Total",1012,59,33,23,46,12,18,31,117,92,227,191,52,73,33,1,4,36.3,33
"E01006753",2011,"Liverpool 059A","Total",1557,132,75,40,110,16,35,57,131,125,260,292,76,114,70,19,5,35.5,33
"E01006754",2011,"Liverpool 059B","Total",1627,110,44,31,106,19,48,40,118,137,288,330,117,121,85,21,12,38.8,38
"E01006755",2011,"Liverpool 059C","Total",1587,124,75,49,116,22,43,38,128,153,290,289,65,76,79,28,12,35.2,32
"E01006756",2011,"Liverpool 059D","Total",1820,178,88,48,128,30,51,62,132,153,353,308,94,83,87,21,4,33.8,31
"E01006757",2011,"Liverpool 059E","Total",1491,149,73,47,108,19,61,46,102,121,287,236,79,95,44,21,3,33.4,30
"E01006758",2011,"Liverpool 059F","Total",1527,140,58,43,105,24,48,36,105,132,277,299,73,92,74,15,6,35.5,33
"E01006759",2011,"Liverpool 028D","Total",1095,57,31,21,70,14,34,35,82,92,243,247,59,56,38,12,4,37,35
"E01006760",2011,"Liverpool 028E","Total",1611,67,29,19,46,24,27,41,218,176,441,293,69,100,43,14,4,36.7,34
"E01006761",2011,"Liverpool 020B","Total",1644,81,49,20,106,14,35,37,117,117,359,344,86,124,101,35,19,40.8,41
"E01006762",2011,"Liverpool 015E","Total",1692,96,62,42,126,21,44,43,121,115,324,350,97,137,88,20,6,38.4,38
"E01006763",2011,"Liverpool 020C","Total",1471,100,54,32,106,20,39,43,92,140,309,266,74,98,74,19,5,36.6,34
"E01006764",2011,"Liverpool 020D","Total",1522,94,50,37,105,22,47,56,146,159,278,282,83,102,51,9,1,35,32
"E01006765",2011,"Liverpool 020E","Total",1468,68,42,43,86,37,55,37,87,112,316,288,87,94,91,17,8,38.8,39
"E01006766",2011,"Liverpool 019E","Total",1266,115,33,34,93,22,25,33,91,109,320,211,53,74,43,5,5,34.4,33
"E01006767",2011,"Liverpool 019F","Total",1787,170,63,46,87,33,45,46,165,194,448,276,55,87,60,8,4,32.9,31
"E01006768",2011,"Liverpool 020F","Total",1359,48,32,15,80,25,48,43,100,120,295,324,76,98,41,11,3,38.4,38
"E01006769",2011,"Liverpool 040B","Total",1270,64,34,27,73,13,29,24,47,76,261,220,81,156,115,32,18,44.1,44
"E01006770",2011,"Liverpool 040C","Total",1002,65,32,22,61,14,25,29,71,62,171,180,75,99,72,17,7,40.5,41
"E01006771",2011,"Liverpool 040D","Total",1425,85,41,24,85,18,52,33,85,75,252,288,86,178,98,17,8,41.5,43
"E01006772",2011,"Liverpool 040E","Total",1091,45,31,26,56,15,31,32,78,39,171,283,88,98,76,15,7,42.7,46
"E01006773",2011,"Liverpool 036D","Total",1379,65,53,32,72,19,27,36,90,76,288,304,98,130,67,13,9,40.4,41
"E01006774",2011,"Liverpool 036E","Total",1445,78,38,35,96,28,48,47,84,77,284,377,75,90,67,14,7,38.6,40
"E01006775",2011,"Liverpool 040F","Total",1319,61,41,29,73,23,35,53,87,64,228,258,101,160,95,10,1,41.4,42
"E01006776",2011,"Liverpool 022B","Total",1677,75,29,27,90,23,38,43,112,130,322,347,111,168,124,24,14,42.3,42
"E01006778",2011,"Liverpool 014E","Total",2205,127,61,38,92,23,65,60,220,224,466,393,151,179,84,14,8,37.9,36
"E01006779",2011,"Liverpool 022D","Total",1968,124,62,42,116,33,55,52,142,149,334,374,126,185,131,27,16,39.8,39
"E01006780",2011,"Liverpool 002D","Total",1465,87,45,30,85,22,44,38,100,98,309,283,84,129,86,25,0,39.3,39
"E01006781",2011,"Liverpool 003A","Total",1470,71,49,25,84,18,34,46,85,87,309,377,103,119,53,7,3,39.6,41
"E01006782",2011,"Liverpool 003B","Total",1560,99,43,28,96,14,43,51,88,120,370,331,87,99,66,12,13,38,38
"E01006783",2011,"Liverpool 002E","Total",1548,104,72,39,99,21,48,35,105,113,333,306,81,117,56,15,4,36.7,36
"E01006784",2011,"Liverpool 003C","Total",1347,101,47,26,76,9,33,31,82,115,340,275,67,85,46,10,4,36.6,35
"E01006785",2011,"Liverpool 003D","Total",1769,108,48,40,118,17,46,45,141,177,365,330,71,135,105,16,7,37.7,36
"E01006786",2011,"Liverpool 003E","Total",1820,105,55,49,122,31,35,45,113,104,421,392,111,116,99,11,11,38.5,39
"E01006787",2011,"Liverpool 006A","Total",2330,80,55,28,101,30,42,54,288,301,725,400,85,92,42,7,0,34.8,33
"E01006788",2011,"Liverpool 006B","Total",1825,143,77,46,127,28,41,48,118,150,394,341,86,121,87,15,3,35.8,34
"E01006790",2011,"Liverpool 006C","Total",1587,121,41,39,85,25,37,49,124,152,342,305,69,105,76,14,3,36.4,34
"E01006791",2011,"Liverpool 006D","Total",1674,90,55,19,73,26,34,29,96,117,389,338,118,159,103,17,11,41.4,40
"E01006792",2011,"Liverpool 046A","Total",1368,60,48,20,75,12,34,18,68,54,199,310,103,178,147,31,11,46.2,49
"E01006793",2011,"Liverpool 051A","Total",1494,87,46,26,65,17,28,27,79,103,303,262,113,155,132,36,15,43.4,43
"E01006794",2011,"Liverpool 046B","Total",1593,91,34,31,70,18,28,30,78,83,323,348,129,177,107,30,16,43.7,45
"E01006795",2011,"Liverpool 051B","Total",1407,76,47,27,61,13,37,38,47,86,266,362,102,114,109,19,3,42.4,45
"E01006796",2011,"Liverpool 047E","Total",1591,76,53,41,100,17,52,40,82,63,247,369,138,175,85,29,24,42.8,46
"E01006797",2011,"Liverpool 051C","Total",1499,90,44,28,74,16,34,43,93,87,326,336,71,109,109,33,6,40.8,42
"E01006798",2011,"Liverpool 051D","Total",1410,65,27,31,54,18,31,29,112,83,239,325,113,139,112,26,6,43.6,45
"E01006799",2011,"Liverpool 051E","Total",1821,59,19,18,54,11,17,25,60,119,271,412,154,236,243,80,43,51.6,54
"E01006800",2011,"Liverpool 046C","Total",1401,54,30,13,51,7,28,27,59,59,191,306,96,236,208,29,7,49.9,53
"E01006801",2011,"Liverpool 046D","Total",1355,49,28,12,51,13,17,30,75,68,184,322,117,187,158,35,9,48.5,51
"E01032505",2011,"Liverpool 050F","Total",1317,77,49,19,70,15,40,39,90,113,236,288,88,105,70,10,8,39.2,40
"E01032506",2011,"Liverpool 050G","Total",1403,80,33,17,47,9,15,35,131,153,318,245,88,121,95,11,5,40.1,37
"E01032507",2011,"Liverpool 050H","Total",1539,80,35,14,58,13,35,40,167,232,410,226,78,97,45,7,2,35.7,32
"E01032508",2011,"Liverpool 027G","Total",1723,115,47,37,101,15,46,48,138,152,355,342,87,128,91,17,4,37.7,36
"E01032509",2011,"Liverpool 027H","Total",1434,122,59,29,68,17,31,38,118,175,292,240,62,97,66,9,11,35.6,32
"E01032510",2011,"Liverpool 008F","Total",1809,127,51,41,100,29,46,45,154,183,378,352,75,125,84,15,4,36.5,34
"E01032511",2011,"Liverpool 008G","Total",1378,71,40,30,75,18,35,36,88,111,240,325,133,111,54,6,5,39.9,41
"E01033747",2011,"Liverpool 018F","Total",1043,78,35,21,69,18,32,32,59,78,177,199,75,77,74,13,6,38.8,38
"E01033748",2011,"Liverpool 050I","Total",1277,51,13,5,18,2,5,14,261,314,420,111,29,20,13,1,0,31.1,29
"E01033749",2011,"Liverpool 042F","Total",1153,16,6,4,7,0,20,505,446,49,50,22,13,9,6,0,0,21.9,20
"E01033750",2011,"Liverpool 061A","Total",1448,48,14,4,6,3,6,4,295,349,425,209,37,35,7,5,1,33.2,29
"E01033751",2011,"Liverpool 062A","Total",1873,25,20,10,33,9,10,378,536,229,321,167,65,47,22,1,0,29.3,23
"E01033752",2011,"Liverpool 062B","Total",1196,24,3,2,6,0,2,19,292,360,376,89,18,2,3,0,0,29.9,28
"E01033753",2011,"Liverpool 062C","Total",1051,19,6,1,2,0,4,17,266,341,294,83,7,9,2,0,0,29.7,27
"E01033754",2011,"Liverpool 061B","Total",1452,30,17,5,28,9,10,22,349,360,282,160,56,71,43,7,3,34,28
"E01033755",2011,"Liverpool 062D","Total",1082,24,6,1,3,0,3,6,288,389,293,51,8,5,4,1,0,28.6,27
"E01033756",2011,"Liverpool 061C","Total",1185,23,4,2,4,5,3,45,374,309,261,91,35,21,8,0,0,30,27
"E01033757",2011,"Liverpool 037E","Total",1025,24,9,3,12,6,7,123,415,94,186,98,18,19,9,1,1,28.4,22
"E01033758",2011,"Liverpool 060B","Total",1730,16,7,5,16,3,6,289,926,182,157,72,21,19,8,2,1,25.1,21
"E01033759",2011,"Liverpool 010F","Total",1147,86,52,28,79,16,29,33,66,101,227,216,56,82,69,3,4,36.4,34
"E01033760",2011,"Liverpool 060C","Total",2115,6,3,1,4,1,11,747,901,196,176,47,9,11,1,0,1,23,20
"E01033761",2011,"Liverpool 060D","Total",1372,13,3,1,3,0,2,38,540,418,298,44,3,7,0,2,0,27,25
"E01033762",2011,"Liverpool 060E","Total",1791,9,4,1,3,2,7,516,785,201,140,47,24,26,16,9,1,25,21
"E01033763",2011,"Liverpool 031G","Total",1527,33,24,13,50,7,30,49,252,141,293,269,89,156,88,20,13,41,38
"E01033764",2011,"Liverpool 022E","Total",2202,110,53,41,119,32,51,45,144,147,403,476,159,236,147,31,8,42.1,43
"E01033765",2011,"Liverpool 061D","Total",1351,84,47,23,95,22,25,28,99,125,277,284,80,102,49,10,1,37.3,37
"E01033766",2011,"Liverpool 042G","Total",1075,36,27,10,38,3,21,42,256,159,215,137,44,52,26,6,3,33.2,28
"E01033767",2011,"Liverpool 050J","Total",1067,68,31,17,57,15,34,13,96,96,235,204,65,79,43,11,3,37.3,34
"E01033768",2011,"Liverpool 037F","Total",1223,41,11,7,27,7,9,25,213,156,386,232,40,41,26,1,1,35.4,33
