"lsoa11cd","date","lsoa11nm","Rural Urban","Length of Residence in UK: All categories: Length of residence in the UK; measures: Value","Length of Residence in UK: Born in the UK; measures: Value","Length of Residence in UK: Resident in UK: Less than 2 years; measures: Value","Length of Residence in UK: Resident in UK: 2 years or more but less than 5 years; measures: Value","Length of Residence in UK: Resident in UK: 5 years or more but less than 10 years; measures: Value","Length of Residence in UK: Resident in UK: 10 years or more; measures: Value"
"E01006599",2011,"Liverpool 010B","Total",1121,1051,6,23,21,20
"E01006600",2011,"Liverpool 011A","Total",1407,1376,3,3,8,17
"E01006603",2011,"Liverpool 011B","Total",1410,1389,2,1,10,8
"E01006604",2011,"Liverpool 016A","Total",1367,1343,2,5,5,12
"E01006605",2011,"Liverpool 016B","Total",1531,1488,0,5,9,29
"E01006606",2011,"Liverpool 020A","Total",1521,1470,3,12,16,20
"E01006607",2011,"Liverpool 008A","Total",1531,1504,1,5,2,19
"E01006608",2011,"Liverpool 009A","Total",1215,1189,1,3,7,15
"E01006609",2011,"Liverpool 009B","Total",1283,1231,7,10,8,27
"E01006610",2011,"Liverpool 009C","Total",1397,1353,5,7,15,17
"E01006611",2011,"Liverpool 012A","Total",1291,1230,8,19,13,21
"E01006612",2011,"Liverpool 008B","Total",1495,1467,2,5,5,16
"E01006613",2011,"Liverpool 009D","Total",1360,1334,2,4,5,15
"E01006614",2011,"Liverpool 012B","Total",1322,1281,2,17,13,9
"E01006615",2011,"Liverpool 012C","Total",1302,1262,3,6,7,24
"E01006616",2011,"Liverpool 015D","Total",1428,1386,3,6,16,17
"E01006617",2011,"Liverpool 021A","Total",1421,1377,7,3,6,28
"E01006618",2011,"Liverpool 016C","Total",1639,1623,0,3,2,11
"E01006619",2011,"Liverpool 021B","Total",1599,1555,8,10,6,20
"E01006620",2011,"Liverpool 021C","Total",1417,1388,0,1,5,23
"E01006621",2011,"Liverpool 021D","Total",1468,1391,8,9,17,43
"E01006622",2011,"Liverpool 021E","Total",1519,1486,1,2,0,30
"E01006623",2011,"Liverpool 013A","Total",1462,1382,2,5,12,61
"E01006624",2011,"Liverpool 013B","Total",1556,1451,13,15,25,52
"E01006625",2011,"Liverpool 016D","Total",1416,1386,3,3,6,18
"E01006626",2011,"Liverpool 016E","Total",1448,1392,3,14,4,35
"E01006627",2011,"Liverpool 013C","Total",1378,1327,5,5,10,31
"E01006628",2011,"Liverpool 052D","Total",1874,1673,53,31,30,87
"E01006629",2011,"Liverpool 052E","Total",1255,1182,4,10,9,50
"E01006630",2011,"Liverpool 044B","Total",1338,1221,4,27,42,44
"E01006632",2011,"Liverpool 044C","Total",1842,1667,28,41,62,44
"E01006633",2011,"Liverpool 050B","Total",1432,1376,14,13,15,14
"E01006637",2011,"Liverpool 017A","Total",1596,1412,21,58,78,27
"E01006638",2011,"Liverpool 017B","Total",1219,1132,11,25,36,15
"E01006639",2011,"Liverpool 017C","Total",1509,1450,1,13,17,28
"E01006640",2011,"Liverpool 021F","Total",1880,1763,7,25,30,55
"E01006641",2011,"Liverpool 025C","Total",1740,1482,10,27,150,71
"E01006642",2011,"Liverpool 025D","Total",1290,1230,3,13,28,16
"E01006643",2011,"Liverpool 025E","Total",1822,1719,10,6,47,40
"E01006644",2011,"Liverpool 017D","Total",2040,1947,6,26,25,36
"E01006645",2011,"Liverpool 017E","Total",1424,1364,0,16,19,25
"E01006646",2011,"Liverpool 023C","Total",1899,1618,71,67,87,56
"E01006647",2011,"Liverpool 024C","Total",1422,1350,4,23,22,23
"E01006648",2011,"Liverpool 023D","Total",2175,1892,76,109,68,30
"E01006651",2011,"Liverpool 001A","Total",1642,1578,8,5,24,27
"E01006652",2011,"Liverpool 002A","Total",1505,1432,7,12,32,22
"E01006653",2011,"Liverpool 001B","Total",1520,1463,1,7,31,18
"E01006654",2011,"Liverpool 005A","Total",1513,1451,11,8,16,27
"E01006655",2011,"Liverpool 001C","Total",1758,1593,15,21,86,43
"E01006656",2011,"Liverpool 002B","Total",1493,1448,7,1,6,31
"E01006657",2011,"Liverpool 002C","Total",1211,1178,0,4,13,16
"E01006658",2011,"Liverpool 001D","Total",1300,1250,3,15,18,14
"E01006659",2011,"Liverpool 005B","Total",1765,1648,15,19,36,47
"E01006660",2011,"Liverpool 001E","Total",1433,1303,2,19,82,27
"E01006661",2011,"Liverpool 004A","Total",1663,1575,7,21,32,28
"E01006662",2011,"Liverpool 004B","Total",1775,1667,10,20,54,24
"E01006663",2011,"Liverpool 004C","Total",1153,1117,6,6,17,7
"E01006664",2011,"Liverpool 004D","Total",1795,1635,46,41,37,36
"E01006665",2011,"Liverpool 007A","Total",1555,1503,1,8,18,25
"E01006666",2011,"Liverpool 007B","Total",1504,1401,4,7,29,63
"E01006667",2011,"Liverpool 007C","Total",1453,1389,6,8,21,29
"E01006668",2011,"Liverpool 007D","Total",1534,1474,4,5,19,32
"E01006669",2011,"Liverpool 004E","Total",1470,1356,9,18,28,59
"E01006670",2011,"Liverpool 007E","Total",1526,1438,15,13,13,47
"E01006671",2011,"Liverpool 013D","Total",1355,1256,9,5,17,68
"E01006672",2011,"Liverpool 010E","Total",1955,1834,6,48,41,26
"E01006673",2011,"Liverpool 037D","Total",1937,1255,71,120,216,275
"E01006674",2011,"Liverpool 039C","Total",1885,1118,62,146,245,314
"E01006675",2011,"Liverpool 043C","Total",1824,1351,86,104,102,181
"E01006676",2011,"Liverpool 044D","Total",1753,1231,46,109,197,170
"E01006677",2011,"Liverpool 043D","Total",1040,791,26,26,80,117
"E01006678",2011,"Liverpool 044E","Total",2127,1857,26,39,97,108
"E01006679",2011,"Liverpool 039D","Total",2232,1252,136,157,226,461
"E01006680",2011,"Liverpool 053B","Total",1569,1508,4,2,3,52
"E01006681",2011,"Liverpool 054D","Total",1585,1482,5,19,18,61
"E01006682",2011,"Liverpool 053C","Total",1310,1249,4,6,7,44
"E01006683",2011,"Liverpool 053D","Total",1510,1448,1,4,5,52
"E01006684",2011,"Liverpool 056B","Total",2138,2010,20,9,27,72
"E01006685",2011,"Liverpool 056C","Total",1484,1403,11,9,5,56
