"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All households; measures: Value","Tenure: Owned; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other; measures: Value","Tenure: Private rented; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01006741",2011,"Liverpool 058C","Total",778,364,166,198,0,345,88,257,59,54,5,10
"E01006742",2011,"Liverpool 057B","Total",591,361,137,224,2,147,27,120,76,70,6,5
"E01006743",2011,"Liverpool 058D","Total",1008,484,162,322,4,235,36,199,278,265,13,7
"E01006744",2011,"Liverpool 057C","Total",739,431,144,287,26,95,6,89,178,167,11,9
"E01006745",2011,"Liverpool 057D","Total",907,326,150,176,2,164,22,142,407,392,15,8
"E01006746",2011,"Liverpool 030E","Total",655,187,122,65,0,294,69,225,162,155,7,12
"E01006747",2011,"Liverpool 031B","Total",857,125,75,50,1,279,29,250,436,413,23,16
"E01006748",2011,"Liverpool 031C","Total",756,219,145,74,7,136,7,129,389,371,18,5
"E01006751",2011,"Liverpool 031F","Total",831,159,78,81,4,440,91,349,209,204,5,19
"E01006752",2011,"Liverpool 035F","Total",489,225,96,129,0,100,14,86,159,158,1,5
"E01006753",2011,"Liverpool 059A","Total",666,238,100,138,5,361,87,274,56,53,3,6
"E01006754",2011,"Liverpool 059B","Total",781,263,120,143,3,380,105,275,127,119,8,8
"E01006755",2011,"Liverpool 059C","Total",690,140,49,91,1,466,112,354,68,65,3,15
"E01006756",2011,"Liverpool 059D","Total",757,217,93,124,3,427,116,311,103,101,2,7
"E01006757",2011,"Liverpool 059E","Total",621,244,109,135,1,302,60,242,63,55,8,11
"E01006758",2011,"Liverpool 059F","Total",639,269,114,155,0,318,79,239,46,39,7,6
"E01006759",2011,"Liverpool 028D","Total",460,250,115,135,1,47,9,38,153,148,5,9
"E01006760",2011,"Liverpool 028E","Total",826,193,90,103,0,226,32,194,398,380,18,9
"E01006761",2011,"Liverpool 020B","Total",793,356,156,200,3,224,28,196,200,188,12,10
"E01006762",2011,"Liverpool 015E","Total",725,332,146,186,0,274,17,257,104,90,14,15
