"lsoa11cd","date","lsoa11nm","Rural Urban","Year Last Worked: All categories: Year last worked; measures: Value","Year Last Worked: In employment; measures: Value","Year Last Worked: Not in employment: Total; measures: Value","Year Last Worked: Last worked in 2011; measures: Value","Year Last Worked: Last worked in 2010; measures: Value","Year Last Worked: Last worked in 2009; measures: Value","Year Last Worked: Last worked in 2008; measures: Value","Year Last Worked: Last worked in 2007; measures: Value","Year Last Worked: Last worked in 2006; measures: Value","Year Last Worked: Last worked in 2001 - 2005; measures: Value","Year Last Worked: Last worked before 2001; measures: Value","Year Last Worked: Never worked; measures: Value"
"E01006790",2011,"Liverpool 006C","Total",1183,589,594,14,65,39,36,17,24,54,171,174
"E01006791",2011,"Liverpool 006D","Total",1280,620,660,19,71,42,36,26,12,57,238,159
"E01006792",2011,"Liverpool 046A","Total",964,615,349,12,54,25,19,9,12,51,108,59
"E01006793",2011,"Liverpool 051A","Total",1070,645,425,23,34,43,19,24,14,66,128,74
"E01006794",2011,"Liverpool 046B","Total",1196,758,438,8,53,37,19,13,19,77,133,79
"E01006795",2011,"Liverpool 051B","Total",1052,726,326,15,47,28,16,17,7,51,83,62
"E01006796",2011,"Liverpool 047E","Total",1166,752,414,14,52,22,15,18,26,68,103,96
"E01006797",2011,"Liverpool 051C","Total",1099,639,460,17,40,37,22,21,12,52,151,108
"E01006798",2011,"Liverpool 051D","Total",1071,719,352,16,39,20,22,14,17,69,100,55
"E01006799",2011,"Liverpool 051E","Total",1294,702,592,7,79,34,32,24,23,87,224,82
"E01006800",2011,"Liverpool 046C","Total",1002,576,426,18,38,24,23,20,17,70,157,59
"E01006801",2011,"Liverpool 046D","Total",1000,656,344,13,29,17,23,24,12,60,119,47
"E01032505",2011,"Liverpool 050F","Total",999,575,424,15,47,24,21,12,14,48,112,131
"E01032506",2011,"Liverpool 050G","Total",1106,668,438,12,66,31,26,15,12,44,131,101
"E01032507",2011,"Liverpool 050H","Total",1285,889,396,17,74,44,20,17,8,51,83,82
"E01032508",2011,"Liverpool 027G","Total",1296,655,641,8,76,40,35,23,13,56,203,187
"E01032509",2011,"Liverpool 027H","Total",1053,612,441,8,62,41,31,9,17,44,111,118
"E01032510",2011,"Liverpool 008F","Total",1358,887,471,16,51,29,29,10,19,62,144,111
"E01032511",2011,"Liverpool 008G","Total",1079,619,460,7,53,34,30,18,18,56,128,116
"E01033747",2011,"Liverpool 018F","Total",729,264,465,7,40,29,13,16,13,31,136,180
"E01033748",2011,"Liverpool 050I","Total",1174,926,248,31,67,21,12,6,6,19,26,60
"E01033749",2011,"Liverpool 042F","Total",1114,205,909,80,493,78,7,16,4,9,6,216
"E01033750",2011,"Liverpool 061A","Total",1360,1037,323,19,96,27,38,10,9,20,29,75
"E01033751",2011,"Liverpool 062A","Total",1753,794,959,74,359,83,36,15,18,29,73,272
"E01033752",2011,"Liverpool 062B","Total",1158,913,245,14,68,26,12,9,1,11,8,96
"E01033753",2011,"Liverpool 062C","Total",1021,785,236,8,55,16,12,4,2,8,4,127
"E01033754",2011,"Liverpool 061B","Total",1310,890,420,25,78,29,26,11,8,27,104,112
"E01033755",2011,"Liverpool 062D","Total",1043,820,223,23,78,28,9,9,4,4,3,65
"E01033756",2011,"Liverpool 061C","Total",1139,712,427,29,101,42,17,8,10,14,24,182
"E01033757",2011,"Liverpool 037E","Total",960,340,620,48,159,52,23,15,9,27,35,252
"E01033758",2011,"Liverpool 060B","Total",1672,433,1239,61,296,66,49,21,16,22,43,665
"E01033759",2011,"Liverpool 010F","Total",810,463,347,6,30,23,19,17,6,44,110,92
"E01033760",2011,"Liverpool 060C","Total",2098,757,1341,119,511,91,44,9,8,17,12,530
"E01033761",2011,"Liverpool 060D","Total",1350,944,406,43,111,43,27,10,6,5,9,152
"E01033762",2011,"Liverpool 060E","Total",1746,602,1144,97,502,117,47,21,14,17,37,292
"E01033763",2011,"Liverpool 031G","Total",1279,484,795,25,126,60,34,17,13,62,202,256
"E01033764",2011,"Liverpool 022E","Total",1661,655,1006,9,64,53,40,44,14,89,383,310
"E01033765",2011,"Liverpool 061D","Total",1020,530,490,12,36,24,23,19,8,35,152,181
"E01033766",2011,"Liverpool 042G","Total",926,564,362,26,95,48,26,15,6,21,45,80
"E01033767",2011,"Liverpool 050J","Total",822,415,407,16,47,23,19,13,12,49,114,114
"E01033768",2011,"Liverpool 037F","Total",1102,573,529,18,88,50,31,13,13,55,99,162
