"lsoa11cd","date","lsoa11nm","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple; measures: Value","Living Arrangement: Living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Living in a couple: Cohabiting; measures: Value","Living Arrangement: Not living in a couple; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"E01006582",2011,"Liverpool 041A","Total",1297,812,744,68,485,350,10,14,44,67
"E01006583",2011,"Liverpool 047C","Total",1023,684,646,38,339,229,13,9,23,65
"E01006584",2011,"Liverpool 034E","Total",1147,656,574,82,491,300,7,30,77,77
"E01006585",2011,"Liverpool 032B","Total",1136,424,344,80,712,443,12,36,109,112
"E01006586",2011,"Liverpool 032C","Total",1582,660,474,186,922,600,19,47,138,118
"E01006587",2011,"Liverpool 032D","Total",1349,706,558,148,643,433,8,26,116,60
"E01006588",2011,"Liverpool 042C","Total",1354,616,414,202,738,545,17,17,85,74
"E01006589",2011,"Liverpool 041B","Total",1228,732,630,102,496,322,12,21,66,75
"E01006590",2011,"Liverpool 042D","Total",1452,526,350,176,926,727,15,35,85,64
"E01006591",2011,"Liverpool 041C","Total",1374,672,510,162,702,536,4,28,73,61
"E01006592",2011,"Liverpool 041D","Total",1303,740,652,88,563,368,16,16,53,110
"E01006593",2011,"Liverpool 042E","Total",1324,512,364,148,812,666,11,27,66,42
"E01006594",2011,"Liverpool 047D","Total",1186,750,672,78,436,275,15,16,43,87
"E01006595",2011,"Liverpool 049B","Total",1476,790,622,168,686,448,8,23,100,107
"E01006596",2011,"Liverpool 049C","Total",1228,676,564,112,552,369,7,27,60,89
"E01006597",2011,"Liverpool 041E","Total",1367,800,678,122,567,376,9,28,61,93
"E01006598",2011,"Liverpool 010A","Total",1038,398,282,116,640,405,5,42,98,90
"E01006599",2011,"Liverpool 010B","Total",814,322,224,98,492,333,4,37,71,47
"E01006600",2011,"Liverpool 011A","Total",1173,492,380,112,681,425,13,29,83,131
"E01006603",2011,"Liverpool 011B","Total",1153,460,384,76,693,453,8,24,99,109
"E01006604",2011,"Liverpool 016A","Total",1130,508,396,112,622,398,6,34,81,103
"E01006605",2011,"Liverpool 016B","Total",1270,476,370,106,794,489,17,40,119,129
"E01006606",2011,"Liverpool 020A","Total",1267,576,440,136,691,469,16,45,86,75
"E01006607",2011,"Liverpool 008A","Total",1225,501,409,92,724,486,15,40,88,95
"E01006608",2011,"Liverpool 009A","Total",996,482,358,124,514,353,7,30,61,63
