"lsoa11cd","date","lsoa11nm","Rural Urban","Second Address: Any address; measures: Value","Second Address: No second address; measures: Value","Second Address: Second address (total); measures: Value","Second Address: Second address within the UK; measures: Value","Second Address: Second address outside the UK; measures: Value"
"E01006609",2011,"Liverpool 009B","Total",1283,1268,15,14,1
"E01006610",2011,"Liverpool 009C","Total",1397,1366,31,26,5
"E01006611",2011,"Liverpool 012A","Total",1291,1268,23,19,4
"E01006612",2011,"Liverpool 008B","Total",1495,1475,20,19,1
"E01006613",2011,"Liverpool 009D","Total",1360,1331,29,23,6
"E01006614",2011,"Liverpool 012B","Total",1322,1299,23,20,3
"E01006615",2011,"Liverpool 012C","Total",1302,1283,19,16,3
"E01006616",2011,"Liverpool 015D","Total",1428,1406,22,19,3
"E01006617",2011,"Liverpool 021A","Total",1421,1388,33,31,2
"E01006618",2011,"Liverpool 016C","Total",1639,1627,12,9,3
"E01006619",2011,"Liverpool 021B","Total",1599,1565,34,30,4
"E01006620",2011,"Liverpool 021C","Total",1417,1380,37,29,8
"E01006621",2011,"Liverpool 021D","Total",1468,1413,55,26,29
"E01006622",2011,"Liverpool 021E","Total",1519,1479,40,31,9
"E01006623",2011,"Liverpool 013A","Total",1462,1433,29,24,5
"E01006624",2011,"Liverpool 013B","Total",1556,1511,45,28,17
"E01006625",2011,"Liverpool 016D","Total",1416,1390,26,21,5
"E01006626",2011,"Liverpool 016E","Total",1448,1430,18,13,5
"E01006627",2011,"Liverpool 013C","Total",1378,1352,26,20,6
"E01006628",2011,"Liverpool 052D","Total",1874,1499,375,333,42
"E01006629",2011,"Liverpool 052E","Total",1255,1215,40,35,5
"E01006630",2011,"Liverpool 044B","Total",1338,1319,19,14,5
"E01006632",2011,"Liverpool 044C","Total",1842,1799,43,31,12
"E01006633",2011,"Liverpool 050B","Total",1432,1403,29,26,3
"E01006637",2011,"Liverpool 017A","Total",1596,1566,30,22,8
"E01006638",2011,"Liverpool 017B","Total",1219,1200,19,17,2
"E01006639",2011,"Liverpool 017C","Total",1509,1477,32,26,6
"E01006640",2011,"Liverpool 021F","Total",1880,1824,56,44,12
"E01006641",2011,"Liverpool 025C","Total",1740,1710,30,20,10
"E01006642",2011,"Liverpool 025D","Total",1290,1275,15,12,3
"E01006643",2011,"Liverpool 025E","Total",1822,1784,38,30,8
"E01006644",2011,"Liverpool 017D","Total",2040,1993,47,40,7
"E01006645",2011,"Liverpool 017E","Total",1424,1398,26,24,2
"E01006646",2011,"Liverpool 023C","Total",1899,1758,141,93,48
"E01006647",2011,"Liverpool 024C","Total",1422,1404,18,8,10
"E01006648",2011,"Liverpool 023D","Total",2175,2011,164,123,41
"E01006651",2011,"Liverpool 001A","Total",1642,1617,25,14,11
"E01006652",2011,"Liverpool 002A","Total",1505,1461,44,36,8
"E01006653",2011,"Liverpool 001B","Total",1520,1479,41,25,16
"E01006654",2011,"Liverpool 005A","Total",1513,1480,33,26,7
"E01006655",2011,"Liverpool 001C","Total",1758,1698,60,48,12
"E01006656",2011,"Liverpool 002B","Total",1493,1461,32,28,4
"E01006657",2011,"Liverpool 002C","Total",1211,1183,28,21,7
"E01006658",2011,"Liverpool 001D","Total",1300,1283,17,17,0
"E01006659",2011,"Liverpool 005B","Total",1765,1659,106,97,9
"E01006660",2011,"Liverpool 001E","Total",1433,1411,22,14,8
"E01006661",2011,"Liverpool 004A","Total",1663,1643,20,13,7
"E01006662",2011,"Liverpool 004B","Total",1775,1727,48,39,9
"E01006663",2011,"Liverpool 004C","Total",1153,1139,14,13,1
"E01006664",2011,"Liverpool 004D","Total",1795,1744,51,40,11
"E01006665",2011,"Liverpool 007A","Total",1555,1518,37,25,12
"E01006666",2011,"Liverpool 007B","Total",1504,1461,43,26,17
"E01006667",2011,"Liverpool 007C","Total",1453,1435,18,15,3
"E01006668",2011,"Liverpool 007D","Total",1534,1499,35,30,5
"E01006669",2011,"Liverpool 004E","Total",1470,1436,34,19,15
"E01006670",2011,"Liverpool 007E","Total",1526,1492,34,17,17
"E01006671",2011,"Liverpool 013D","Total",1355,1323,32,16,16
"E01006672",2011,"Liverpool 010E","Total",1955,1911,44,39,5
