"lsoa11cd","date","lsoa11nm","Rural Urban","Age of Arrival in UK: All categories: Age of arrival in the UK; measures: Value","Age of Arrival in UK: Born in the UK; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 0 to 4; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 5 to 7; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 8 to 9; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 10 to 14; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 15; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 16 to 17; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 18 to 19; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 20 to 24; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 25 to 29; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 30 to 44; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 45 to 59; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 60 to 64; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 65 to 74; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 75 to 84; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 85 to 89; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 90 and over; measures: Value"
"E01006550",2011,"Liverpool 038A","Total",1595,1447,17,7,3,7,2,10,19,39,25,19,0,0,0,0,0,0
"E01006551",2011,"Liverpool 048E","Total",1581,1389,18,5,7,14,6,16,24,36,21,33,7,3,2,0,0,0
"E01006552",2011,"Liverpool 039A","Total",2029,1253,79,52,19,58,20,47,45,146,141,144,18,2,5,0,0,0
"E01006553",2011,"Liverpool 042A","Total",1880,1697,29,9,7,10,1,9,16,45,22,26,8,1,0,0,0,0
"E01006554",2011,"Liverpool 048F","Total",1692,1458,31,7,5,22,4,11,20,64,38,24,7,0,1,0,0,0
"E01006556",2011,"Liverpool 039B","Total",2011,1230,80,38,30,49,21,49,41,126,156,155,30,2,2,2,0,0
"E01006557",2011,"Liverpool 038B","Total",2054,1780,25,16,5,28,1,25,30,67,46,25,6,0,0,0,0,0
"E01006558",2011,"Liverpool 018B","Total",1357,1288,11,4,3,0,1,1,5,12,15,16,1,0,0,0,0,0
"E01006560",2011,"Liverpool 023A","Total",1860,1751,15,8,4,9,1,3,6,7,22,31,3,0,0,0,0,0
"E01006562",2011,"Liverpool 018E","Total",1514,1402,19,7,1,9,4,2,4,15,22,23,5,0,0,1,0,0
"E01006563",2011,"Liverpool 024B","Total",1744,1603,24,9,2,9,3,5,10,24,11,33,8,0,1,2,0,0
"E01006564",2011,"Liverpool 023B","Total",1721,1635,8,4,2,2,3,5,4,9,13,29,6,0,1,0,0,0
"E01006565",2011,"Liverpool 029A","Total",1549,1486,12,5,2,1,2,1,3,7,9,20,1,0,0,0,0,0
"E01006566",2011,"Liverpool 032A","Total",1506,1417,11,3,1,1,1,1,6,17,24,17,4,0,2,0,1,0
"E01006567",2011,"Liverpool 026A","Total",1655,1568,11,2,1,8,0,3,7,14,17,21,3,0,0,0,0,0
"E01006568",2011,"Liverpool 026B","Total",1617,1537,11,2,4,8,4,3,7,20,5,12,3,1,0,0,0,0
"E01006569",2011,"Liverpool 029B","Total",1429,1393,12,4,1,2,0,2,3,5,2,4,1,0,0,0,0,0
"E01006570",2011,"Liverpool 026C","Total",1479,1412,10,2,1,3,0,1,9,12,14,10,4,0,1,0,0,0
"E01006571",2011,"Liverpool 026D","Total",1470,1426,7,1,1,4,1,4,3,10,8,3,2,0,0,0,0,0
"E01006572",2011,"Liverpool 025A","Total",1207,1146,18,3,1,0,0,3,3,9,9,10,4,1,0,0,0,0
"E01006573",2011,"Liverpool 029C","Total",1501,1420,8,8,4,8,0,1,4,12,12,19,5,0,0,0,0,0
"E01006574",2011,"Liverpool 025B","Total",1388,1331,10,2,1,3,4,3,3,10,12,7,1,0,0,1,0,0
"E01006575",2011,"Liverpool 034A","Total",1294,1232,7,5,2,6,0,5,3,9,10,13,1,0,1,0,0,0
"E01006576",2011,"Liverpool 034B","Total",1693,1643,9,1,3,0,3,4,4,9,9,7,1,0,0,0,0,0
"E01006577",2011,"Liverpool 034C","Total",1503,1451,9,5,0,3,1,1,5,11,5,12,0,0,0,0,0,0
"E01006578",2011,"Liverpool 036A","Total",1380,1333,7,2,2,3,1,2,2,8,5,14,1,0,0,0,0,0
"E01006579",2011,"Liverpool 034D","Total",1643,1576,17,5,2,2,1,6,6,9,11,8,0,0,0,0,0,0
"E01006580",2011,"Liverpool 036B","Total",1335,1255,11,4,1,11,1,1,4,14,10,21,2,0,0,0,0,0
"E01006581",2011,"Liverpool 036C","Total",1559,1484,9,6,1,5,2,2,2,11,14,15,6,0,2,0,0,0
"E01006582",2011,"Liverpool 041A","Total",1642,1560,13,4,1,8,0,5,6,14,15,10,4,0,2,0,0,0
"E01006583",2011,"Liverpool 047C","Total",1758,1669,14,3,1,6,1,4,16,21,9,10,3,0,1,0,0,0
"E01006584",2011,"Liverpool 034E","Total",1393,1362,10,1,1,2,0,0,3,4,6,2,2,0,0,0,0,0
"E01006585",2011,"Liverpool 032B","Total",1354,1269,10,8,2,7,2,3,3,17,10,18,1,2,2,0,0,0
"E01006586",2011,"Liverpool 032C","Total",1899,1758,17,11,3,7,1,12,6,28,21,23,8,3,1,0,0,0
"E01006587",2011,"Liverpool 032D","Total",1624,1500,18,7,2,16,5,5,10,22,9,27,2,1,0,0,0,0
"E01006588",2011,"Liverpool 042C","Total",1569,1408,19,9,4,12,4,8,11,41,23,27,0,1,1,1,0,0
"E01006589",2011,"Liverpool 041B","Total",1518,1436,10,6,0,4,2,2,4,24,9,15,5,0,1,0,0,0
"E01006590",2011,"Liverpool 042D","Total",1642,1506,19,4,2,8,1,5,11,41,28,14,3,0,0,0,0,0
"E01006591",2011,"Liverpool 041C","Total",1633,1487,25,9,4,9,2,7,13,27,25,21,4,0,0,0,0,0
"E01006592",2011,"Liverpool 041D","Total",1565,1451,17,3,2,6,2,2,11,31,21,14,2,0,2,1,0,0
"E01006593",2011,"Liverpool 042E","Total",1541,1416,15,8,3,5,3,2,7,38,23,18,3,0,0,0,0,0
"E01006594",2011,"Liverpool 047D","Total",1410,1286,15,7,4,11,1,8,11,17,16,27,5,2,0,0,0,0
"E01006595",2011,"Liverpool 049B","Total",1745,1659,16,2,4,7,0,3,7,10,22,13,0,1,0,0,1,0
"E01006596",2011,"Liverpool 049C","Total",1451,1335,22,8,4,9,1,6,10,13,14,26,3,0,0,0,0,0
"E01006597",2011,"Liverpool 041E","Total",1667,1566,17,8,3,1,1,3,6,24,18,18,2,0,0,0,0,0
"E01006598",2011,"Liverpool 010A","Total",1361,1307,6,2,0,2,1,1,6,7,11,18,0,0,0,0,0,0
"E01006599",2011,"Liverpool 010B","Total",1121,1051,10,3,5,3,0,1,2,8,13,17,6,1,1,0,0,0
"E01006600",2011,"Liverpool 011A","Total",1407,1376,7,1,1,1,1,0,2,10,4,4,0,0,0,0,0,0
"E01006603",2011,"Liverpool 011B","Total",1410,1389,0,1,1,2,1,0,1,2,4,8,1,0,0,0,0,0
"E01006604",2011,"Liverpool 016A","Total",1367,1343,6,0,1,3,0,1,1,2,6,4,0,0,0,0,0,0
"E01006605",2011,"Liverpool 016B","Total",1531,1488,5,2,0,6,2,5,2,13,4,1,3,0,0,0,0,0
"E01006606",2011,"Liverpool 020A","Total",1521,1470,1,1,2,3,0,0,6,15,15,5,3,0,0,0,0,0
"E01006607",2011,"Liverpool 008A","Total",1531,1504,5,3,0,2,0,1,1,12,1,2,0,0,0,0,0,0
"E01006608",2011,"Liverpool 009A","Total",1215,1189,4,2,0,1,0,3,5,1,2,5,2,0,0,1,0,0
"E01006609",2011,"Liverpool 009B","Total",1283,1231,3,2,1,2,0,3,3,16,10,12,0,0,0,0,0,0
"E01006610",2011,"Liverpool 009C","Total",1397,1353,9,2,0,2,0,5,2,8,7,8,1,0,0,0,0,0
"E01006611",2011,"Liverpool 012A","Total",1291,1230,9,1,2,6,4,0,3,12,7,13,4,0,0,0,0,0
"E01006612",2011,"Liverpool 008B","Total",1495,1467,6,2,0,2,0,2,1,4,4,6,1,0,0,0,0,0
"E01006613",2011,"Liverpool 009D","Total",1360,1334,4,0,1,0,0,0,1,5,5,4,3,0,1,0,2,0
"E01006614",2011,"Liverpool 012B","Total",1322,1281,3,1,0,3,0,3,4,9,5,8,4,0,1,0,0,0
"E01006615",2011,"Liverpool 012C","Total",1302,1262,8,2,0,2,1,0,3,13,5,6,0,0,0,0,0,0
"E01006616",2011,"Liverpool 015D","Total",1428,1386,8,3,0,1,2,1,0,11,5,11,0,0,0,0,0,0
"E01006617",2011,"Liverpool 021A","Total",1421,1377,10,2,0,0,1,0,1,10,11,8,0,1,0,0,0,0
"E01006618",2011,"Liverpool 016C","Total",1639,1623,5,0,0,1,0,2,4,1,2,1,0,0,0,0,0,0
"E01006619",2011,"Liverpool 021B","Total",1599,1555,5,2,1,1,1,3,2,10,12,5,1,0,0,1,0,0
"E01006620",2011,"Liverpool 021C","Total",1417,1388,4,5,1,1,0,2,1,6,5,4,0,0,0,0,0,0
"E01006621",2011,"Liverpool 021D","Total",1468,1391,11,2,0,8,3,5,1,9,13,20,4,0,1,0,0,0
"E01006622",2011,"Liverpool 021E","Total",1519,1486,3,1,0,1,3,3,4,9,3,6,0,0,0,0,0,0
"E01006623",2011,"Liverpool 013A","Total",1462,1382,9,6,4,3,2,3,8,13,11,18,3,0,0,0,0,0
"E01006624",2011,"Liverpool 013B","Total",1556,1451,9,5,2,11,3,3,7,22,13,20,7,1,0,2,0,0
"E01006625",2011,"Liverpool 016D","Total",1416,1386,4,1,1,2,2,4,2,7,3,3,1,0,0,0,0,0
"E01006626",2011,"Liverpool 016E","Total",1448,1392,13,1,1,7,0,4,4,5,7,13,1,0,0,0,0,0
"E01006627",2011,"Liverpool 013C","Total",1378,1327,6,1,1,6,1,4,1,9,7,11,4,0,0,0,0,0
"E01006628",2011,"Liverpool 052D","Total",1874,1673,19,5,2,8,5,13,24,60,32,29,4,0,0,0,0,0
"E01006629",2011,"Liverpool 052E","Total",1255,1182,6,4,6,6,2,6,6,15,8,12,2,0,0,0,0,0
"E01006630",2011,"Liverpool 044B","Total",1338,1221,17,9,2,14,0,7,8,13,15,21,7,1,2,1,0,0
"E01006632",2011,"Liverpool 044C","Total",1842,1667,10,5,6,9,2,18,5,40,42,30,5,0,2,1,0,0
"E01006633",2011,"Liverpool 050B","Total",1432,1376,5,0,1,6,0,0,2,14,15,12,1,0,0,0,0,0
"E01006637",2011,"Liverpool 017A","Total",1596,1412,21,14,7,17,2,8,3,26,30,44,12,0,0,0,0,0
"E01006638",2011,"Liverpool 017B","Total",1219,1132,4,2,3,11,1,1,4,9,7,36,9,0,0,0,0,0
"E01006639",2011,"Liverpool 017C","Total",1509,1450,6,4,1,4,1,3,6,15,4,10,4,1,0,0,0,0
"E01006640",2011,"Liverpool 021F","Total",1880,1763,22,15,3,7,1,8,2,18,16,22,1,0,0,2,0,0
"E01006641",2011,"Liverpool 025C","Total",1740,1482,40,8,6,16,3,6,4,47,55,68,5,0,0,0,0,0
"E01006642",2011,"Liverpool 025D","Total",1290,1230,5,6,5,4,2,2,1,12,7,13,2,0,1,0,0,0
"E01006643",2011,"Liverpool 025E","Total",1822,1719,18,2,3,4,0,5,1,23,19,20,6,2,0,0,0,0
"E01006644",2011,"Liverpool 017D","Total",2040,1947,14,6,6,5,3,2,1,10,21,21,3,0,1,0,0,0
"E01006645",2011,"Liverpool 017E","Total",1424,1364,9,6,4,4,0,5,4,7,8,8,3,2,0,0,0,0
"E01006646",2011,"Liverpool 023C","Total",1899,1618,16,6,5,10,1,16,20,63,74,60,8,0,1,1,0,0
"E01006647",2011,"Liverpool 024C","Total",1422,1350,12,8,2,3,0,0,6,15,14,8,3,0,0,0,0,1
"E01006648",2011,"Liverpool 023D","Total",2175,1892,17,3,2,12,0,13,17,95,73,43,8,0,0,0,0,0
"E01006651",2011,"Liverpool 001A","Total",1642,1578,16,2,1,1,2,2,3,16,15,5,1,0,0,0,0,0
"E01006652",2011,"Liverpool 002A","Total",1505,1432,21,4,0,2,1,1,3,15,14,12,0,0,0,0,0,0
"E01006653",2011,"Liverpool 001B","Total",1520,1463,14,3,4,3,1,2,0,4,9,16,1,0,0,0,0,0
"E01006654",2011,"Liverpool 005A","Total",1513,1451,7,2,4,0,0,1,5,7,14,19,1,0,2,0,0,0
"E01006655",2011,"Liverpool 001C","Total",1758,1593,20,8,6,11,1,6,4,22,40,43,3,1,0,0,0,0
"E01006656",2011,"Liverpool 002B","Total",1493,1448,12,3,2,3,0,1,4,12,3,4,0,0,1,0,0,0
"E01006657",2011,"Liverpool 002C","Total",1211,1178,5,5,1,0,0,0,1,2,3,15,1,0,0,0,0,0
"E01006658",2011,"Liverpool 001D","Total",1300,1250,8,6,1,4,2,1,0,2,6,17,3,0,0,0,0,0
"E01006659",2011,"Liverpool 005B","Total",1765,1648,18,4,3,6,2,3,7,17,27,26,4,0,0,0,0,0
"E01006660",2011,"Liverpool 001E","Total",1433,1303,21,7,0,8,6,5,2,13,21,43,4,0,0,0,0,0
"E01006661",2011,"Liverpool 004A","Total",1663,1575,17,3,4,3,1,3,5,19,15,17,1,0,0,0,0,0
"E01006662",2011,"Liverpool 004B","Total",1775,1667,10,7,2,8,0,2,3,14,26,31,4,1,0,0,0,0
"E01006663",2011,"Liverpool 004C","Total",1153,1117,3,1,0,0,0,4,1,8,10,9,0,0,0,0,0,0
"E01006664",2011,"Liverpool 004D","Total",1795,1635,28,6,7,3,1,5,10,30,23,41,6,0,0,0,0,0
"E01006665",2011,"Liverpool 007A","Total",1555,1503,6,7,1,4,0,1,3,5,12,10,2,0,1,0,0,0
"E01006666",2011,"Liverpool 007B","Total",1504,1401,16,2,4,8,3,3,5,21,12,28,1,0,0,0,0,0
"E01006667",2011,"Liverpool 007C","Total",1453,1389,5,8,1,2,0,2,4,14,10,16,1,1,0,0,0,0
"E01006668",2011,"Liverpool 007D","Total",1534,1474,8,4,5,4,0,2,5,5,16,9,2,0,0,0,0,0
"E01006669",2011,"Liverpool 004E","Total",1470,1356,17,5,6,4,1,2,2,9,23,35,9,1,0,0,0,0
"E01006670",2011,"Liverpool 007E","Total",1526,1438,12,5,4,6,0,5,5,18,16,14,2,0,1,0,0,0
"E01006671",2011,"Liverpool 013D","Total",1355,1256,7,8,9,7,1,3,6,14,18,24,1,0,1,0,0,0
"E01006672",2011,"Liverpool 010E","Total",1955,1834,19,4,1,10,1,0,4,25,19,31,7,0,0,0,0,0
"E01006673",2011,"Liverpool 037D","Total",1937,1255,57,33,29,63,15,34,33,126,109,131,26,13,13,0,0,0
"E01006674",2011,"Liverpool 039C","Total",1885,1118,103,49,27,50,20,50,52,116,114,124,31,13,17,1,0,0
