"lsoa11cd","date","lsoa11nm","Rural Urban","Age of Arrival in UK: All categories: Age of arrival in the UK; measures: Value","Age of Arrival in UK: Born in the UK; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 0 to 4; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 5 to 7; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 8 to 9; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 10 to 14; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 15; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 16 to 17; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 18 to 19; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 20 to 24; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 25 to 29; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 30 to 44; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 45 to 59; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 60 to 64; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 65 to 74; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 75 to 84; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 85 to 89; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 90 and over; measures: Value"
"E01006718",2011,"Liverpool 027E","Total",1587,1487,16,6,5,3,0,6,6,13,17,26,2,0,0,0,0,0
"E01006719",2011,"Liverpool 027F","Total",1535,1494,8,0,0,4,3,2,3,8,2,11,0,0,0,0,0,0
"E01006720",2011,"Liverpool 035A","Total",2108,1386,104,44,35,54,9,32,60,110,121,142,8,1,1,1,0,0
"E01006721",2011,"Liverpool 038C","Total",1655,1402,32,12,8,21,3,18,14,62,35,44,2,0,0,2,0,0
"E01006722",2011,"Liverpool 038D","Total",1793,1425,46,28,12,23,15,28,28,74,45,59,10,0,0,0,0,0
"E01006723",2011,"Liverpool 038E","Total",1875,1543,48,16,4,24,7,15,29,98,35,41,12,1,0,2,0,0
"E01006724",2011,"Liverpool 038F","Total",1790,1569,38,9,6,9,3,10,18,60,25,40,1,0,2,0,0,0
"E01006725",2011,"Liverpool 035B","Total",1537,1395,13,7,1,9,1,13,11,35,17,27,5,0,2,1,0,0
"E01006726",2011,"Liverpool 035C","Total",1565,1262,25,11,7,23,11,18,18,77,38,61,12,0,2,0,0,0
"E01006727",2011,"Liverpool 035D","Total",1441,1286,16,6,5,7,7,8,13,31,23,33,6,0,0,0,0,0
"E01006728",2011,"Liverpool 035E","Total",1623,1430,19,9,4,18,0,9,18,38,35,38,4,0,0,1,0,0
"E01006729",2011,"Liverpool 008C","Total",1400,1349,15,5,0,4,3,0,1,6,6,11,0,0,0,0,0,0
"E01006730",2011,"Liverpool 011C","Total",1326,1285,9,5,2,3,0,2,0,5,2,12,1,0,0,0,0,0
"E01006731",2011,"Liverpool 011D","Total",1196,1138,11,3,1,9,0,2,2,6,11,10,3,0,0,0,0,0
"E01006732",2011,"Liverpool 011E","Total",1643,1578,14,8,2,3,1,1,4,6,13,11,2,0,0,0,0,0
"E01006734",2011,"Liverpool 005C","Total",1412,1311,9,2,1,15,3,7,9,13,17,19,5,0,0,1,0,0
"E01006735",2011,"Liverpool 005D","Total",1309,1254,20,2,0,0,0,0,0,10,11,12,0,0,0,0,0,0
"E01006736",2011,"Liverpool 005E","Total",1460,1382,8,5,3,5,0,3,3,10,15,22,4,0,0,0,0,0
"E01006737",2011,"Liverpool 005F","Total",1435,1389,6,4,1,5,0,3,2,6,7,9,2,0,1,0,0,0
"E01006738",2011,"Liverpool 058A","Total",1501,1474,5,1,1,1,1,1,1,8,3,5,0,0,0,0,0,0
"E01006739",2011,"Liverpool 058B","Total",1769,1696,15,8,2,3,0,3,2,15,7,17,0,1,0,0,0,0
"E01006740",2011,"Liverpool 057A","Total",1280,1147,2,4,2,6,4,6,8,44,29,25,1,0,0,2,0,0
"E01006741",2011,"Liverpool 058C","Total",1815,1769,7,3,1,4,1,0,2,10,9,7,2,0,0,0,0,0
"E01006742",2011,"Liverpool 057B","Total",1394,1348,3,0,0,2,2,5,3,11,8,9,2,0,1,0,0,0
"E01006743",2011,"Liverpool 058D","Total",2175,1996,18,9,0,12,0,2,9,40,50,35,3,0,0,1,0,0
"E01006744",2011,"Liverpool 057C","Total",1482,1413,7,3,1,3,0,0,6,14,20,13,2,0,0,0,0,0
"E01006745",2011,"Liverpool 057D","Total",1879,1741,11,5,2,12,1,5,6,27,37,28,2,2,0,0,0,0
"E01006746",2011,"Liverpool 030E","Total",1513,1266,24,12,7,20,1,7,21,52,38,57,7,0,1,0,0,0
"E01006747",2011,"Liverpool 031B","Total",3552,2361,65,28,22,57,23,76,224,482,124,79,10,1,0,0,0,0
"E01006748",2011,"Liverpool 031C","Total",1936,1450,36,13,12,13,3,27,72,162,95,39,13,0,1,0,0,0
"E01006751",2011,"Liverpool 031F","Total",2572,1737,71,18,19,25,10,34,142,306,97,93,12,1,4,3,0,0
"E01006752",2011,"Liverpool 035F","Total",1012,725,31,7,6,18,5,17,18,52,59,64,5,4,1,0,0,0
"E01006753",2011,"Liverpool 059A","Total",1557,1511,8,5,0,3,0,4,2,6,5,10,2,1,0,0,0,0
"E01006754",2011,"Liverpool 059B","Total",1627,1472,16,6,1,9,1,5,11,31,31,33,11,0,0,0,0,0
"E01006755",2011,"Liverpool 059C","Total",1587,1505,16,6,2,7,0,2,2,10,10,22,5,0,0,0,0,0
"E01006756",2011,"Liverpool 059D","Total",1820,1667,22,7,8,21,3,3,6,33,17,30,3,0,0,0,0,0
"E01006757",2011,"Liverpool 059E","Total",1491,1423,15,2,1,2,2,0,2,18,10,12,4,0,0,0,0,0
"E01006758",2011,"Liverpool 059F","Total",1527,1456,12,5,4,4,0,1,5,12,14,10,3,0,1,0,0,0
"E01006759",2011,"Liverpool 028D","Total",1095,982,12,8,3,3,0,3,5,29,33,15,2,0,0,0,0,0
"E01006760",2011,"Liverpool 028E","Total",1611,1315,22,6,5,12,4,4,23,92,69,51,6,1,1,0,0,0
"E01006761",2011,"Liverpool 020B","Total",1644,1493,14,12,6,13,4,7,8,27,19,33,5,0,1,1,1,0
"E01006762",2011,"Liverpool 015E","Total",1692,1627,14,4,2,5,1,1,2,8,12,12,4,0,0,0,0,0
"E01006763",2011,"Liverpool 020C","Total",1471,1432,8,2,2,2,0,2,0,6,4,9,2,1,1,0,0,0
"E01006764",2011,"Liverpool 020D","Total",1522,1372,17,5,7,6,2,3,12,33,35,23,5,1,1,0,0,0
"E01006765",2011,"Liverpool 020E","Total",1468,1406,8,6,1,6,0,1,1,10,14,12,3,0,0,0,0,0
"E01006766",2011,"Liverpool 019E","Total",1266,1115,25,9,1,3,3,13,4,32,25,30,4,0,2,0,0,0
"E01006767",2011,"Liverpool 019F","Total",1787,1616,14,5,7,3,2,2,10,41,44,37,6,0,0,0,0,0
"E01006768",2011,"Liverpool 020F","Total",1359,1221,14,5,2,9,3,4,5,31,34,27,4,0,0,0,0,0
"E01006769",2011,"Liverpool 040B","Total",1270,1212,5,3,4,3,0,2,1,10,16,13,1,0,0,0,0,0
"E01006770",2011,"Liverpool 040C","Total",1002,969,7,1,1,3,0,2,3,7,3,4,2,0,0,0,0,0
"E01006771",2011,"Liverpool 040D","Total",1425,1385,13,2,4,3,0,1,1,4,1,11,0,0,0,0,0,0
"E01006772",2011,"Liverpool 040E","Total",1091,1044,3,1,2,5,1,2,4,10,9,10,0,0,0,0,0,0
"E01006773",2011,"Liverpool 036D","Total",1379,1328,10,3,1,4,0,2,4,5,11,10,1,0,0,0,0,0
"E01006774",2011,"Liverpool 036E","Total",1445,1325,18,6,6,8,3,8,7,23,18,20,2,0,1,0,0,0
"E01006775",2011,"Liverpool 040F","Total",1319,1275,5,2,2,2,1,4,1,11,7,3,5,0,1,0,0,0
"E01006776",2011,"Liverpool 022B","Total",1677,1579,11,5,1,9,0,3,5,11,19,28,2,2,2,0,0,0
"E01006778",2011,"Liverpool 014E","Total",2205,2019,20,7,6,10,2,3,13,34,37,49,5,0,0,0,0,0
"E01006779",2011,"Liverpool 022D","Total",1968,1891,19,6,1,3,0,4,1,18,14,10,1,0,0,0,0,0
"E01006780",2011,"Liverpool 002D","Total",1465,1419,8,2,1,3,3,3,7,8,7,4,0,0,0,0,0,0
"E01006781",2011,"Liverpool 003A","Total",1470,1436,7,0,0,5,0,4,0,6,4,4,2,0,2,0,0,0
"E01006782",2011,"Liverpool 003B","Total",1560,1502,7,4,0,1,1,2,4,10,15,12,2,0,0,0,0,0
"E01006783",2011,"Liverpool 002E","Total",1548,1498,6,3,1,2,1,0,3,10,9,12,3,0,0,0,0,0
"E01006784",2011,"Liverpool 003C","Total",1347,1303,10,3,0,3,0,1,3,15,2,7,0,0,0,0,0,0
"E01006785",2011,"Liverpool 003D","Total",1769,1669,13,3,2,6,6,2,11,31,11,14,1,0,0,0,0,0
"E01006786",2011,"Liverpool 003E","Total",1820,1764,10,3,4,5,0,2,4,7,6,14,1,0,0,0,0,0
"E01006787",2011,"Liverpool 006A","Total",2330,2099,32,10,5,11,2,14,17,40,38,53,7,1,1,0,0,0
"E01006788",2011,"Liverpool 006B","Total",1825,1759,11,4,1,3,2,3,5,9,14,8,4,1,1,0,0,0
"E01006790",2011,"Liverpool 006C","Total",1587,1528,8,2,1,2,0,1,3,12,15,14,1,0,0,0,0,0
"E01006791",2011,"Liverpool 006D","Total",1674,1568,15,6,2,5,0,8,5,8,17,28,12,0,0,0,0,0
"E01006792",2011,"Liverpool 046A","Total",1368,1291,10,6,4,7,1,7,2,9,14,12,3,0,1,0,1,0
"E01006793",2011,"Liverpool 051A","Total",1494,1401,12,4,1,8,1,2,5,18,15,17,9,0,1,0,0,0
"E01006794",2011,"Liverpool 046B","Total",1593,1492,17,12,4,6,1,2,4,21,12,18,4,0,0,0,0,0
"E01006795",2011,"Liverpool 051B","Total",1407,1348,6,0,2,3,0,2,6,8,22,10,0,0,0,0,0,0
"E01006796",2011,"Liverpool 047E","Total",1591,1406,32,15,8,13,2,10,11,24,32,32,6,0,0,0,0,0
"E01006797",2011,"Liverpool 051C","Total",1499,1453,13,1,1,2,0,2,4,7,6,9,1,0,0,0,0,0
"E01006798",2011,"Liverpool 051D","Total",1410,1332,15,4,1,6,0,3,5,10,5,26,3,0,0,0,0,0
"E01006799",2011,"Liverpool 051E","Total",1821,1745,15,2,4,7,3,2,11,9,8,9,5,0,1,0,0,0
"E01006800",2011,"Liverpool 046C","Total",1401,1302,16,5,2,6,1,3,5,25,20,11,4,1,0,0,0,0
"E01006801",2011,"Liverpool 046D","Total",1355,1286,10,2,2,3,2,6,4,12,16,10,1,0,0,1,0,0
"E01032505",2011,"Liverpool 050F","Total",1317,1194,18,1,6,10,0,8,10,20,20,26,1,2,0,1,0,0
"E01032506",2011,"Liverpool 050G","Total",1403,1291,14,2,2,12,0,3,3,21,31,17,4,1,1,1,0,0
"E01032507",2011,"Liverpool 050H","Total",1539,1438,11,3,0,5,0,7,16,25,18,13,3,0,0,0,0,0
"E01032508",2011,"Liverpool 027G","Total",1723,1570,21,12,9,8,4,5,6,34,23,20,9,0,2,0,0,0
"E01032509",2011,"Liverpool 027H","Total",1434,1344,8,2,9,11,3,1,7,8,12,26,3,0,0,0,0,0
"E01032510",2011,"Liverpool 008F","Total",1809,1718,21,4,2,4,2,1,6,12,16,20,3,0,0,0,0,0
"E01032511",2011,"Liverpool 008G","Total",1378,1328,3,3,2,1,2,1,1,14,8,12,3,0,0,0,0,0
"E01033747",2011,"Liverpool 018F","Total",1043,944,11,6,6,13,0,3,3,8,29,17,2,1,0,0,0,0
"E01033748",2011,"Liverpool 050I","Total",1277,1077,9,7,0,10,3,17,16,61,48,28,1,0,0,0,0,0
"E01033749",2011,"Liverpool 042F","Total",1153,963,30,8,5,13,14,27,60,23,4,4,2,0,0,0,0,0
"E01033750",2011,"Liverpool 061A","Total",1448,1147,18,6,4,6,2,9,42,63,89,54,7,0,1,0,0,0
"E01033751",2011,"Liverpool 062A","Total",1873,1579,28,7,6,23,4,15,34,98,42,32,3,0,2,0,0,0
"E01033752",2011,"Liverpool 062B","Total",1196,877,19,5,3,7,3,28,38,78,85,52,1,0,0,0,0,0
"E01033753",2011,"Liverpool 062C","Total",1051,746,18,10,3,9,2,29,32,83,77,39,3,0,0,0,0,0
"E01033754",2011,"Liverpool 061B","Total",1452,1135,22,9,2,9,7,16,34,77,78,52,8,0,1,1,0,1
"E01033755",2011,"Liverpool 062D","Total",1082,781,27,4,4,3,5,12,53,82,52,55,4,0,0,0,0,0
"E01033756",2011,"Liverpool 061C","Total",1185,750,28,9,6,7,0,42,70,124,103,43,3,0,0,0,0,0
"E01033757",2011,"Liverpool 037E","Total",1025,670,16,2,3,3,3,31,53,175,36,26,3,1,2,1,0,0
"E01033758",2011,"Liverpool 060B","Total",1730,984,24,9,9,22,3,38,193,356,67,21,4,0,0,0,0,0
"E01033759",2011,"Liverpool 010F","Total",1147,1077,16,7,1,1,0,1,1,11,11,17,4,0,0,0,0,0
"E01033760",2011,"Liverpool 060C","Total",2115,1487,16,7,10,20,6,66,177,236,58,28,2,1,0,0,1,0
"E01033761",2011,"Liverpool 060D","Total",1372,971,22,2,9,13,7,23,61,123,106,31,3,1,0,0,0,0
"E01033762",2011,"Liverpool 060E","Total",1791,1436,24,10,6,19,8,36,74,101,59,17,1,0,0,0,0,0
"E01033763",2011,"Liverpool 031G","Total",1527,1227,23,5,3,16,4,24,26,45,71,67,12,1,3,0,0,0
"E01033764",2011,"Liverpool 022E","Total",2202,2023,18,3,3,6,1,9,10,52,39,30,8,0,0,0,0,0
"E01033765",2011,"Liverpool 061D","Total",1351,1223,14,8,2,9,3,4,9,23,15,30,8,1,1,1,0,0
"E01033766",2011,"Liverpool 042G","Total",1075,997,15,6,2,7,0,3,8,17,7,12,1,0,0,0,0,0
"E01033767",2011,"Liverpool 050J","Total",1067,955,8,6,1,16,0,1,5,34,19,15,7,0,0,0,0,0
"E01033768",2011,"Liverpool 037F","Total",1223,979,28,7,3,14,3,12,28,52,47,42,4,1,3,0,0,0
