"lsoa11cd","date","lsoa11nm","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim (Islam); measures: Value","Religion: Sikh; measures: Value","Religion: Other religion: Total; measures: Value","Religion: Other religion: Animism; measures: Value","Religion: Other religion: Baha'i; measures: Value","Religion: Other religion: Believe in God; measures: Value","Religion: Other religion: Brahma Kumari; measures: Value","Religion: Other religion: Chinese Religion; measures: Value","Religion: Other religion: Church of All Religion; measures: Value","Religion: Other religion: Confucianist; measures: Value","Religion: Other religion: Deist; measures: Value","Religion: Other religion: Druid; measures: Value","Religion: Other religion: Druze; measures: Value","Religion: Other religion: Eckankar; measures: Value","Religion: Other religion: Heathen; measures: Value","Religion: Other religion: Jain; measures: Value","Religion: Other religion: Mixed Religion; measures: Value","Religion: Other religion: Mysticism; measures: Value","Religion: Other religion: Native American Church; measures: Value","Religion: Other religion: New Age; measures: Value","Religion: Other religion: Occult; measures: Value","Religion: Other religion: Own Belief System; measures: Value","Religion: Other religion: Pagan; measures: Value","Religion: Other religion: Pantheism; measures: Value","Religion: Other religion: Rastafarian; measures: Value","Religion: Other religion: Ravidassia; measures: Value","Religion: Other religion: Reconstructionist; measures: Value","Religion: Other religion: Satanism; measures: Value","Religion: Other religion: Scientology; measures: Value","Religion: Other religion: Shamanism; measures: Value","Religion: Other religion: Shintoism; measures: Value","Religion: Other religion: Spiritual; measures: Value","Religion: Other religion: Spiritualist; measures: Value","Religion: Other religion: Taoist; measures: Value","Religion: Other religion: Theism; measures: Value","Religion: Other religion: Thelemite; measures: Value","Religion: Other religion: Traditional African Religion; measures: Value","Religion: Other religion: Unification Church; measures: Value","Religion: Other religion: Universalist; measures: Value","Religion: Other religion: Vodun; measures: Value","Religion: Other religion: Wicca; measures: Value","Religion: Other religion: Witchcraft; measures: Value","Religion: Other religion: Zoroastrian; measures: Value","Religion: Other religion: Other religions; measures: Value","Religion: No religion: Total; measures: Value","Religion: No religion: No religion; measures: Value","Religion: No religion: Agnostic; measures: Value","Religion: No religion: Atheist; measures: Value","Religion: No religion: Free Thinker; measures: Value","Religion: No religion: Heavy Metal; measures: Value","Religion: No religion: Humanist; measures: Value","Religion: No religion: Jedi Knight; measures: Value","Religion: No religion: Realist; measures: Value","Religion: Religion not stated; measures: Value"
"E01006572",2011,"Liverpool 025A","Total",1207,919,2,6,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,189,184,0,0,0,0,1,4,0,87
"E01006573",2011,"Liverpool 029C","Total",1501,1147,2,8,2,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,221,220,0,0,0,0,0,1,0,108
"E01006574",2011,"Liverpool 025B","Total",1388,1089,3,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,193,0,0,0,1,0,1,0,90
"E01006575",2011,"Liverpool 034A","Total",1294,932,9,4,13,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,214,1,1,0,0,0,5,0,83
"E01006576",2011,"Liverpool 034B","Total",1693,1394,1,0,7,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,158,0,0,0,0,1,1,0,112
"E01006577",2011,"Liverpool 034C","Total",1503,1160,3,3,7,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,221,2,2,0,0,0,2,0,79
"E01006578",2011,"Liverpool 036A","Total",1380,1035,3,17,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,235,1,0,0,2,2,3,0,75
"E01006579",2011,"Liverpool 034D","Total",1643,1247,8,0,35,62,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,171,166,2,0,0,0,0,3,0,118
"E01006580",2011,"Liverpool 036B","Total",1335,1041,5,13,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,175,2,0,0,0,0,2,0,62
"E01006581",2011,"Liverpool 036C","Total",1559,1237,2,2,52,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,158,157,0,0,0,0,0,1,0,94
"E01006582",2011,"Liverpool 041A","Total",1642,1295,2,8,86,26,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,154,148,0,1,0,0,0,5,0,67
"E01006583",2011,"Liverpool 047C","Total",1758,1345,3,10,61,9,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,248,0,0,0,0,0,3,0,74
"E01006584",2011,"Liverpool 034E","Total",1393,1188,2,10,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,120,0,0,0,0,0,2,0,60
"E01006585",2011,"Liverpool 032B","Total",1354,1063,6,10,4,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,158,158,0,0,0,0,0,0,0,94
"E01006586",2011,"Liverpool 032C","Total",1899,1339,11,10,5,43,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,374,363,0,1,0,0,0,10,0,112
"E01006587",2011,"Liverpool 032D","Total",1624,1153,8,3,13,45,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,303,300,1,0,0,0,0,2,0,93
"E01006588",2011,"Liverpool 042C","Total",1569,988,6,6,26,31,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,402,390,1,3,0,0,1,7,0,102
"E01006589",2011,"Liverpool 041B","Total",1518,1160,7,19,35,15,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,197,0,1,0,1,1,0,0,73
"E01006590",2011,"Liverpool 042D","Total",1642,988,5,11,27,26,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,428,408,2,1,0,1,0,16,0,143
"E01006591",2011,"Liverpool 041C","Total",1633,1053,3,14,39,56,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,345,341,0,0,0,0,2,2,0,117
"E01006592",2011,"Liverpool 041D","Total",1565,1088,2,3,139,28,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,234,229,0,0,0,0,1,4,0,67
"E01006593",2011,"Liverpool 042E","Total",1541,902,13,3,12,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,493,469,3,5,0,0,2,14,0,88
"E01006594",2011,"Liverpool 047D","Total",1410,1010,1,39,80,36,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,157,0,1,0,0,0,3,0,78
"E01006595",2011,"Liverpool 049B","Total",1745,1188,6,2,13,40,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,370,364,0,3,0,0,0,3,0,114
"E01006596",2011,"Liverpool 049C","Total",1451,914,6,0,23,65,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,339,1,1,0,0,1,5,0,92
"E01006597",2011,"Liverpool 041E","Total",1667,1136,3,8,79,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,301,0,1,0,1,0,3,0,98
"E01006598",2011,"Liverpool 010A","Total",1361,1092,1,1,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,177,0,2,0,0,0,1,0,77
"E01006599",2011,"Liverpool 010B","Total",1121,848,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,209,209,0,0,0,0,0,0,0,59
"E01006600",2011,"Liverpool 011A","Total",1407,1138,4,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,159,148,0,0,0,1,0,10,0,100
"E01006603",2011,"Liverpool 011B","Total",1410,1155,5,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,145,2,0,0,0,1,1,0,97
"E01006604",2011,"Liverpool 016A","Total",1367,1088,1,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,181,178,0,0,0,0,0,3,0,89
"E01006605",2011,"Liverpool 016B","Total",1531,1222,7,3,5,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,203,203,0,0,0,0,0,0,0,82
"E01006606",2011,"Liverpool 020A","Total",1521,1207,7,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,219,216,2,0,0,0,0,1,0,81
"E01006607",2011,"Liverpool 008A","Total",1531,1249,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,181,178,0,2,0,0,0,1,0,89
"E01006608",2011,"Liverpool 009A","Total",1215,980,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,151,148,0,0,0,0,1,2,0,78
"E01006609",2011,"Liverpool 009B","Total",1283,1012,8,2,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,191,189,1,0,0,0,0,1,0,61
"E01006610",2011,"Liverpool 009C","Total",1397,1108,0,2,1,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,195,194,0,0,0,0,0,1,0,75
"E01006611",2011,"Liverpool 012A","Total",1291,1032,0,4,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,172,1,1,0,0,0,3,0,69
"E01006612",2011,"Liverpool 008B","Total",1495,1201,2,0,1,7,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,186,183,1,1,0,0,1,0,0,93
"E01006613",2011,"Liverpool 009D","Total",1360,1114,1,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,122,118,0,0,0,0,2,2,0,114
"E01006614",2011,"Liverpool 012B","Total",1322,1045,2,3,1,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,172,1,1,0,0,0,5,0,77
"E01006615",2011,"Liverpool 012C","Total",1302,1038,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,185,183,0,2,0,0,0,0,0,74
"E01006616",2011,"Liverpool 015D","Total",1428,1178,3,0,2,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,151,146,0,0,0,0,1,4,0,73
"E01006617",2011,"Liverpool 021A","Total",1421,1168,2,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,152,0,0,0,0,0,3,0,75
"E01006618",2011,"Liverpool 016C","Total",1639,1367,3,0,0,6,0,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,162,159,2,0,0,0,0,1,0,94
"E01006619",2011,"Liverpool 021B","Total",1599,1312,3,1,2,7,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,184,178,2,1,0,0,0,3,0,87
"E01006620",2011,"Liverpool 021C","Total",1417,1201,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,104,0,0,0,0,0,2,0,100
"E01006621",2011,"Liverpool 021D","Total",1468,1237,4,15,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,107,1,0,0,0,0,1,0,73
"E01006622",2011,"Liverpool 021E","Total",1519,1296,2,2,3,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,131,125,0,4,0,0,0,2,0,73
"E01006623",2011,"Liverpool 013A","Total",1462,1239,8,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,119,0,0,0,0,0,2,0,74
"E01006624",2011,"Liverpool 013B","Total",1556,1290,2,2,3,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,170,0,0,0,0,0,1,0,68
"E01006625",2011,"Liverpool 016D","Total",1416,1213,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,117,0,0,0,0,0,3,0,77
"E01006626",2011,"Liverpool 016E","Total",1448,1224,7,3,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,126,119,1,1,0,0,0,5,0,75
"E01006627",2011,"Liverpool 013C","Total",1378,1151,5,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,135,1,0,0,0,0,3,0,67
"E01006628",2011,"Liverpool 052D","Total",1874,1179,20,13,6,41,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,513,502,0,4,0,1,0,6,0,97
"E01006629",2011,"Liverpool 052E","Total",1255,887,12,6,6,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,231,3,0,0,0,1,3,0,82
"E01006630",2011,"Liverpool 044B","Total",1338,1015,9,6,3,65,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,129,127,0,1,0,0,0,1,0,107
"E01006632",2011,"Liverpool 044C","Total",1842,1405,5,21,0,97,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,200,0,1,0,0,2,2,0,107
"E01006633",2011,"Liverpool 050B","Total",1432,1110,9,0,0,16,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190,189,1,0,0,0,0,0,0,104
"E01006637",2011,"Liverpool 017A","Total",1596,1211,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,272,0,0,0,1,0,1,0,92
"E01006638",2011,"Liverpool 017B","Total",1219,918,6,0,0,16,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,214,0,0,0,0,0,1,0,62
"E01006639",2011,"Liverpool 017C","Total",1509,1205,1,10,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,187,185,0,1,0,0,0,1,0,94
"E01006640",2011,"Liverpool 021F","Total",1880,1566,6,7,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,169,1,1,0,0,0,4,0,91
"E01006641",2011,"Liverpool 025C","Total",1740,1359,1,9,1,13,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,229,224,0,1,0,0,0,4,0,125
"E01006642",2011,"Liverpool 025D","Total",1290,979,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,206,0,0,0,0,0,5,0,95
"E01006643",2011,"Liverpool 025E","Total",1822,1431,2,5,0,9,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,279,1,0,0,0,1,2,0,88
"E01006644",2011,"Liverpool 017D","Total",2040,1584,6,4,2,20,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,302,294,0,0,0,0,0,8,0,118
"E01006645",2011,"Liverpool 017E","Total",1424,1118,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,184,0,0,0,0,0,1,0,113
"E01006646",2011,"Liverpool 023C","Total",1899,1294,16,16,2,70,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,326,317,0,3,0,0,0,6,0,172
"E01006647",2011,"Liverpool 024C","Total",1422,1122,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,169,0,0,0,0,0,0,0,99
"E01006648",2011,"Liverpool 023D","Total",2175,1635,4,24,2,67,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,311,293,0,5,0,0,0,13,0,122
"E01006651",2011,"Liverpool 001A","Total",1642,1361,3,4,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,175,173,1,0,0,0,0,1,0,82
"E01006652",2011,"Liverpool 002A","Total",1505,1182,1,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,192,189,0,1,0,0,0,2,0,110
"E01006653",2011,"Liverpool 001B","Total",1520,1278,3,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151,148,0,0,0,0,0,3,0,80
"E01006654",2011,"Liverpool 005A","Total",1513,1215,0,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,203,1,0,0,0,0,3,0,81
"E01006655",2011,"Liverpool 001C","Total",1758,1423,5,17,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,200,0,0,0,0,0,1,0,89
"E01006656",2011,"Liverpool 002B","Total",1493,1169,2,0,4,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,210,203,0,0,0,1,0,6,0,90
"E01006657",2011,"Liverpool 002C","Total",1211,970,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,165,155,1,0,0,1,0,8,0,67
"E01006658",2011,"Liverpool 001D","Total",1300,1024,3,1,0,13,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,188,186,0,0,0,0,0,2,0,68
"E01006659",2011,"Liverpool 005B","Total",1765,1199,4,4,3,26,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,410,407,0,0,0,0,0,3,0,97
"E01006660",2011,"Liverpool 001E","Total",1433,1222,4,3,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,121,1,1,0,0,0,3,0,70
"E01006661",2011,"Liverpool 004A","Total",1663,1377,9,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,177,0,1,0,1,0,2,0,88
"E01006662",2011,"Liverpool 004B","Total",1775,1467,0,3,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,181,0,0,0,0,0,4,0,102
"E01006663",2011,"Liverpool 004C","Total",1153,972,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,116,115,1,0,0,0,0,0,0,58
"E01006664",2011,"Liverpool 004D","Total",1795,1462,3,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,215,214,0,0,0,0,1,0,0,85
"E01006665",2011,"Liverpool 007A","Total",1555,1330,2,8,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,129,0,0,0,0,0,6,0,72
"E01006666",2011,"Liverpool 007B","Total",1504,1231,6,13,0,23,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,155,152,1,1,0,0,0,1,0,70
"E01006667",2011,"Liverpool 007C","Total",1453,1199,8,0,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,161,159,0,0,0,0,0,2,0,75
"E01006668",2011,"Liverpool 007D","Total",1534,1263,6,6,1,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,167,160,0,2,0,0,0,5,0,69
"E01006669",2011,"Liverpool 004E","Total",1470,1185,9,17,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,156,0,0,0,0,0,0,0,75
