"lsoa11cd","date","lsoa11nm","Rural Urban","Adults in Household: All categories: Number of adults in household; measures: Value","Adults in Household: 1 adult in household; measures: Value","Adults in Household: 0 or multiple adults in household; measures: Value"
"E01006628",2011,"Liverpool 052D","Total",1034,164,870
"E01006629",2011,"Liverpool 052E","Total",852,157,695
"E01006630",2011,"Liverpool 044B","Total",838,225,613
"E01006632",2011,"Liverpool 044C","Total",1177,387,790
"E01006633",2011,"Liverpool 050B","Total",849,271,578
"E01006637",2011,"Liverpool 017A","Total",961,283,678
"E01006638",2011,"Liverpool 017B","Total",740,198,542
"E01006639",2011,"Liverpool 017C","Total",949,208,741
"E01006640",2011,"Liverpool 021F","Total",1162,175,987
"E01006641",2011,"Liverpool 025C","Total",1084,202,882
"E01006642",2011,"Liverpool 025D","Total",774,231,543
"E01006643",2011,"Liverpool 025E","Total",1118,271,847
"E01006644",2011,"Liverpool 017D","Total",1318,392,926
"E01006645",2011,"Liverpool 017E","Total",819,269,550
"E01006646",2011,"Liverpool 023C","Total",1359,498,861
"E01006647",2011,"Liverpool 024C","Total",807,264,543
"E01006648",2011,"Liverpool 023D","Total",1579,396,1183
"E01006651",2011,"Liverpool 001A","Total",1108,129,979
"E01006652",2011,"Liverpool 002A","Total",972,187,785
"E01006653",2011,"Liverpool 001B","Total",948,192,756
"E01006654",2011,"Liverpool 005A","Total",958,179,779
"E01006655",2011,"Liverpool 001C","Total",1073,166,907
"E01006656",2011,"Liverpool 002B","Total",988,225,763
"E01006657",2011,"Liverpool 002C","Total",777,226,551
"E01006658",2011,"Liverpool 001D","Total",805,259,546
"E01006659",2011,"Liverpool 005B","Total",696,249,447
"E01006660",2011,"Liverpool 001E","Total",850,183,667
"E01006661",2011,"Liverpool 004A","Total",994,241,753
"E01006662",2011,"Liverpool 004B","Total",954,249,705
"E01006663",2011,"Liverpool 004C","Total",729,173,556
"E01006664",2011,"Liverpool 004D","Total",1101,312,789
"E01006665",2011,"Liverpool 007A","Total",1046,187,859
"E01006666",2011,"Liverpool 007B","Total",1010,91,919
"E01006667",2011,"Liverpool 007C","Total",923,170,753
"E01006668",2011,"Liverpool 007D","Total",1007,148,859
"E01006669",2011,"Liverpool 004E","Total",995,141,854
"E01006670",2011,"Liverpool 007E","Total",991,160,831
"E01006671",2011,"Liverpool 013D","Total",861,110,751
"E01006672",2011,"Liverpool 010E","Total",1167,285,882
"E01006673",2011,"Liverpool 037D","Total",1262,463,799
"E01006674",2011,"Liverpool 039C","Total",1070,386,684
"E01006675",2011,"Liverpool 043C","Total",1447,750,697
"E01006676",2011,"Liverpool 044D","Total",1048,338,710
"E01006677",2011,"Liverpool 043D","Total",597,240,357
"E01006678",2011,"Liverpool 044E","Total",1424,501,923
"E01006679",2011,"Liverpool 039D","Total",1213,422,791
"E01006680",2011,"Liverpool 053B","Total",972,77,895
"E01006681",2011,"Liverpool 054D","Total",1014,211,803
"E01006682",2011,"Liverpool 053C","Total",790,56,734
"E01006683",2011,"Liverpool 053D","Total",936,71,865
"E01006684",2011,"Liverpool 056B","Total",1402,322,1080
"E01006685",2011,"Liverpool 056C","Total",907,117,790
"E01006686",2011,"Liverpool 053E","Total",871,65,806
"E01006687",2011,"Liverpool 056D","Total",1248,278,970
"E01006688",2011,"Liverpool 056E","Total",993,234,759
"E01006689",2011,"Liverpool 049D","Total",1040,158,882
"E01006690",2011,"Liverpool 028A","Total",1098,454,644
"E01006691",2011,"Liverpool 030A","Total",967,274,693
"E01006692",2011,"Liverpool 028B","Total",1442,412,1030
"E01006693",2011,"Liverpool 024D","Total",925,320,605
"E01006694",2011,"Liverpool 030B","Total",1255,444,811
"E01006695",2011,"Liverpool 028C","Total",1390,661,729
"E01006696",2011,"Liverpool 030C","Total",1155,302,853
"E01006697",2011,"Liverpool 030D","Total",1211,358,853
"E01006698",2011,"Liverpool 012D","Total",1076,280,796
"E01006699",2011,"Liverpool 014A","Total",1009,379,630
"E01006700",2011,"Liverpool 012E","Total",932,285,647
"E01006701",2011,"Liverpool 014B","Total",939,278,661
"E01006702",2011,"Liverpool 014C","Total",1012,304,708
"E01006703",2011,"Liverpool 014D","Total",1013,400,613
"E01006705",2011,"Liverpool 009E","Total",971,326,645
"E01006706",2011,"Liverpool 045A","Total",801,194,607
"E01006707",2011,"Liverpool 045B","Total",731,150,581
"E01006708",2011,"Liverpool 045C","Total",1065,232,833
"E01006709",2011,"Liverpool 040A","Total",913,233,680
"E01006710",2011,"Liverpool 045D","Total",942,161,781
"E01006711",2011,"Liverpool 027A","Total",943,269,674
"E01006712",2011,"Liverpool 029D","Total",809,194,615
"E01006713",2011,"Liverpool 029E","Total",858,160,698
"E01006716",2011,"Liverpool 032E","Total",953,320,633
"E01006717",2011,"Liverpool 027D","Total",919,153,766
"E01006718",2011,"Liverpool 027E","Total",1026,213,813
"E01006719",2011,"Liverpool 027F","Total",970,196,774
"E01006720",2011,"Liverpool 035A","Total",1497,396,1101
"E01006721",2011,"Liverpool 038C","Total",1144,447,697
