"lsoa11cd","date","lsoa11nm","Rural Urban","Country of Birth: All categories: Country of birth; measures: Value","Country of Birth: Europe: Total; measures: Value","Country of Birth: Europe: United Kingdom: Total; measures: Value","Country of Birth: Europe: United Kingdom: England; measures: Value","Country of Birth: Europe: United Kingdom: Northern Ireland; measures: Value","Country of Birth: Europe: United Kingdom: Scotland; measures: Value","Country of Birth: Europe: United Kingdom: Wales; measures: Value","Country of Birth: Europe: Great Britain not otherwise specified; measures: Value","Country of Birth: Europe: United Kingdom not otherwise specified; measures: Value","Country of Birth: Europe: Guernsey; measures: Value","Country of Birth: Europe: Jersey; measures: Value","Country of Birth: Europe: Channel Islands not otherwise specified; measures: Value","Country of Birth: Europe: Isle of Man; measures: Value","Country of Birth: Europe: Ireland; measures: Value","Country of Birth: Europe: Other Europe: Total; measures: Value","Country of Birth: Europe: Other Europe: EU Countries: Total; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: Total; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: France; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: Germany; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: Italy; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: Portugal; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands); measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries; measures: Value","Country of Birth: Europe: Other Europe: Rest of Europe: Total; measures: Value","Country of Birth: Europe: Other Europe: Rest of Europe: Turkey; measures: Value","Country of Birth: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value","Country of Birth: Africa: Total; measures: Value","Country of Birth: Africa: North Africa; measures: Value","Country of Birth: Africa: Central and Western Africa: Total; measures: Value","Country of Birth: Africa: Central and Western Africa: Ghana; measures: Value","Country of Birth: Africa: Central and Western Africa: Nigeria; measures: Value","Country of Birth: Africa: Central and Western Africa: Other Central and Western Africa; measures: Value","Country of Birth: Africa: South and Eastern Africa: Total; measures: Value","Country of Birth: Africa: South and Eastern Africa: Kenya; measures: Value","Country of Birth: Africa: South and Eastern Africa: Somalia; measures: Value","Country of Birth: Africa: South and Eastern Africa: South Africa; measures: Value","Country of Birth: Africa: South and Eastern Africa: Zimbabwe; measures: Value","Country of Birth: Africa: South and Eastern Africa: Other South and Eastern Africa; measures: Value","Country of Birth: Africa: Africa not otherwise specified; measures: Value","Country of Birth: Middle East and Asia: Total; measures: Value","Country of Birth: Middle East and Asia: Middle East: Total; measures: Value","Country of Birth: Middle East and Asia: Middle East: Iran; measures: Value","Country of Birth: Middle East and Asia: Middle East: Other Middle East; measures: Value","Country of Birth: Middle East and Asia: Eastern Asia: Total; measures: Value","Country of Birth: Middle East and Asia: Eastern Asia: China; measures: Value","Country of Birth: Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China); measures: Value","Country of Birth: Middle East and Asia: Eastern Asia: Other Eastern Asia; measures: Value","Country of Birth: Middle East and Asia: Southern Asia: Total; measures: Value","Country of Birth: Middle East and Asia: Southern Asia: Bangladesh; measures: Value","Country of Birth: Middle East and Asia: Southern Asia: India; measures: Value","Country of Birth: Middle East and Asia: Southern Asia: Pakistan; measures: Value","Country of Birth: Middle East and Asia: Southern Asia: Sri Lanka; measures: Value","Country of Birth: Middle East and Asia: Southern Asia: Other Southern Asia; measures: Value","Country of Birth: Middle East and Asia: South-East Asia: Total; measures: Value","Country of Birth: Middle East and Asia: South-East Asia: Philippines; measures: Value","Country of Birth: Middle East and Asia: South-East Asia: Other South-East Asia; measures: Value","Country of Birth: Middle East and Asia: Central Asia; measures: Value","Country of Birth: The Americas and the Caribbean: Total; measures: Value","Country of Birth: The Americas and the Caribbean: North America: Total; measures: Value","Country of Birth: The Americas and the Caribbean: North America: United States; measures: Value","Country of Birth: The Americas and the Caribbean: North America: Other North America; measures: Value","Country of Birth: The Americas and the Caribbean: Central America; measures: Value","Country of Birth: The Americas and the Caribbean: South America; measures: Value","Country of Birth: The Americas and the Caribbean: The Caribbean: Total; measures: Value","Country of Birth: The Americas and the Caribbean: The Caribbean: Jamaica; measures: Value","Country of Birth: The Americas and the Caribbean: The Caribbean: Other Caribbean; measures: Value","Country of Birth: Antarctica and Oceania: Total; measures: Value","Country of Birth: Antarctica and Oceania: Antarctica; measures: Value","Country of Birth: Antarctica and Oceania: Australasia: Total; measures: Value","Country of Birth: Antarctica and Oceania: Australasia: Australia; measures: Value","Country of Birth: Antarctica and Oceania: Australasia: Other Australasia; measures: Value","Country of Birth: Antarctica and Oceania: Other Oceania; measures: Value","Country of Birth: Other; measures: Value"
"E01006528",2011,"Liverpool 052C","Total",1461,1378,1305,1231,35,15,24,0,0,0,0,0,1,6,66,59,35,7,12,4,3,2,7,24,6,10,1,7,7,0,7,35,3,19,5,13,1,12,0,0,1,7,4,1,38,9,1,8,8,5,3,0,18,0,12,6,0,0,3,0,3,0,9,6,5,1,0,3,0,0,0,1,0,1,0,1,0,0
"E01006529",2011,"Liverpool 048D","Total",1304,1248,1217,1177,12,17,11,0,0,0,0,0,0,15,16,16,13,0,8,3,0,1,1,3,0,0,1,2,0,0,0,15,10,3,0,1,2,2,1,0,1,0,0,0,31,11,1,10,2,1,1,0,6,0,3,1,2,0,12,5,7,0,9,9,5,4,0,0,0,0,0,1,0,1,1,0,0,0
"E01006530",2011,"Liverpool 055A","Total",1431,1411,1382,1355,2,17,8,0,0,0,0,0,2,15,12,12,9,0,6,0,0,0,3,3,0,0,0,3,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,11,4,4,0,2,2,0,0,3,2,0,1,0,0,2,0,2,0,4,2,1,1,0,2,0,0,0,2,0,2,2,0,0,0
"E01006531",2011,"Liverpool 055B","Total",1458,1427,1411,1372,7,14,18,0,0,0,0,0,1,10,5,5,3,0,0,2,0,1,0,2,0,2,0,0,0,0,0,18,3,4,0,3,1,11,0,1,1,6,3,0,10,3,0,3,0,0,0,0,7,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2,2,0,0,0
"E01006532",2011,"Liverpool 047A","Total",1557,1466,1432,1387,8,10,27,0,0,0,0,0,0,14,20,17,5,1,1,2,0,1,0,12,0,6,0,6,3,0,3,20,7,0,0,0,0,13,4,0,3,1,5,0,63,7,1,6,12,6,6,0,40,0,22,14,3,1,4,1,3,0,4,2,2,0,1,0,1,1,0,4,0,4,4,0,0,0
"E01006533",2011,"Liverpool 055C","Total",1408,1361,1339,1306,6,13,14,0,0,0,0,0,0,8,14,8,8,1,3,3,1,0,0,0,0,0,0,0,6,0,6,2,0,1,1,0,0,1,1,0,0,0,0,0,41,2,1,1,9,7,2,0,26,0,20,2,3,1,4,0,4,0,3,2,1,1,1,0,0,0,0,1,0,1,1,0,0,0
"E01006534",2011,"Liverpool 054A","Total",1542,1441,1399,1379,7,5,8,0,0,0,0,0,0,9,33,27,18,0,3,0,0,4,11,9,0,1,0,8,6,1,5,13,6,1,0,0,1,6,0,0,1,3,2,0,75,11,2,9,29,24,5,0,28,0,16,12,0,0,7,0,7,0,12,6,5,1,0,3,3,2,1,1,0,1,1,0,0,0
"E01006535",2011,"Liverpool 054B","Total",1639,1597,1563,1544,8,6,5,0,0,0,1,0,2,8,23,21,10,2,4,0,1,2,1,11,0,8,0,3,2,0,2,13,1,2,0,1,1,10,1,0,7,0,2,0,22,8,5,3,6,5,1,0,7,0,4,2,1,0,1,0,1,0,6,2,2,0,0,2,2,0,2,1,0,1,1,0,0,0
"E01006536",2011,"Liverpool 054C","Total",1848,1799,1760,1725,5,17,13,0,0,0,0,0,0,12,27,20,15,0,8,1,0,2,4,5,0,2,1,2,7,0,7,12,4,3,1,2,0,5,0,0,4,1,0,0,27,6,0,6,10,10,0,0,8,2,1,0,5,0,3,0,3,0,9,3,2,1,0,3,3,0,3,1,0,1,1,0,0,0
"E01006537",2011,"Liverpool 055D","Total",2257,2180,2010,1958,18,11,23,0,0,0,0,0,0,14,156,151,13,0,4,1,5,0,3,138,33,62,10,33,5,4,1,23,4,8,0,6,2,11,2,0,6,3,0,0,46,2,2,0,18,7,11,0,25,0,16,9,0,0,1,0,1,0,6,3,2,1,0,3,0,0,0,2,0,2,2,0,0,0
"E01006538",2011,"Liverpool 055E","Total",1318,1303,1284,1264,5,9,6,0,0,0,2,0,0,3,14,9,7,0,6,0,0,0,1,2,0,0,0,2,5,2,3,4,1,1,0,0,1,2,0,0,1,0,1,0,8,1,1,0,3,2,1,0,3,0,3,0,0,0,1,0,1,0,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"E01006539",2011,"Liverpool 047B","Total",1437,1359,1323,1275,1,18,29,0,0,0,0,0,1,6,29,25,11,0,5,3,0,1,2,14,0,6,1,7,4,0,4,11,1,6,1,2,3,4,0,0,1,0,3,0,54,7,4,3,14,9,5,0,24,1,18,3,2,0,9,4,5,0,9,8,5,3,0,0,1,0,1,4,0,4,1,3,0,0
"E01006540",2011,"Liverpool 024A","Total",1509,1394,1298,1266,5,11,16,0,0,0,0,1,0,7,88,82,5,1,2,2,0,0,0,77,8,29,0,40,6,4,2,47,9,24,6,4,14,14,0,3,0,9,2,0,63,43,4,39,9,9,0,0,8,1,2,4,1,0,3,0,3,0,5,1,1,0,0,1,3,3,0,0,0,0,0,0,0,0
"E01006541",2011,"Liverpool 015A","Total",1593,1577,1563,1541,4,5,13,0,0,0,0,0,0,2,12,10,8,0,7,0,0,1,0,2,0,2,0,0,2,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,0,0,2,0,0,0,2,0,1,1,0,0,3,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0
