"lsoa11cd","date","lsoa11nm","Rural Urban","Persons per Room: All categories: Number of persons per room in household; measures: Value","Persons per Room: Up to 0.5 persons per room; measures: Value","Persons per Room: Over 0.5 and up to 1.0 persons per room; measures: Value","Persons per Room: Over 1.0 and up to 1.5 persons per room; measures: Value","Persons per Room: Over 1.5 persons per room; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",799,546,222,22,9
"E01006513",2011,"Liverpool 060A","Total",909,539,344,9,17
"E01006514",2011,"Liverpool 037A","Total",1115,818,281,5,11
"E01006515",2011,"Liverpool 037B","Total",641,460,167,12,2
"E01006518",2011,"Liverpool 044A","Total",835,618,198,14,5
"E01006519",2011,"Liverpool 056A","Total",514,425,87,2,0
"E01006520",2011,"Liverpool 043A","Total",1182,981,193,2,6
"E01006521",2011,"Liverpool 052A","Total",928,751,168,4,5
"E01006522",2011,"Liverpool 048A","Total",1094,852,231,3,8
"E01006523",2011,"Liverpool 052B","Total",830,665,160,2,3
"E01006524",2011,"Liverpool 048B","Total",583,476,103,1,3
"E01006525",2011,"Liverpool 049A","Total",486,390,95,1,0
"E01006526",2011,"Liverpool 048C","Total",654,532,116,6,0
"E01006527",2011,"Liverpool 053A","Total",638,499,139,0,0
"E01006528",2011,"Liverpool 052C","Total",613,473,136,3,1
"E01006529",2011,"Liverpool 048D","Total",559,433,123,1,2
"E01006530",2011,"Liverpool 055A","Total",616,492,120,4,0
"E01006531",2011,"Liverpool 055B","Total",674,550,123,0,1
"E01006532",2011,"Liverpool 047A","Total",617,521,94,2,0
"E01006533",2011,"Liverpool 055C","Total",614,505,108,0,1
"E01006534",2011,"Liverpool 054A","Total",649,479,163,6,1
"E01006535",2011,"Liverpool 054B","Total",656,499,153,4,0
"E01006536",2011,"Liverpool 054C","Total",815,635,175,4,1
"E01006537",2011,"Liverpool 055D","Total",964,669,283,12,0
"E01006538",2011,"Liverpool 055E","Total",527,382,144,1,0
"E01006539",2011,"Liverpool 047B","Total",601,520,79,2,0
"E01006540",2011,"Liverpool 024A","Total",771,579,176,12,4
"E01006541",2011,"Liverpool 015A","Total",803,623,175,3,2
"E01006542",2011,"Liverpool 018A","Total",583,448,135,0,0
"E01006543",2011,"Liverpool 015B","Total",509,347,159,3,0
"E01006544",2011,"Liverpool 015C","Total",738,520,207,10,1
"E01006545",2011,"Liverpool 019A","Total",646,465,175,6,0
"E01006546",2011,"Liverpool 019B","Total",583,436,139,7,1
"E01006547",2011,"Liverpool 019C","Total",718,546,161,8,3
"E01006548",2011,"Liverpool 019D","Total",759,557,185,10,7
"E01006549",2011,"Liverpool 043B","Total",949,746,186,6,11
"E01006550",2011,"Liverpool 038A","Total",483,258,219,6,0
"E01006551",2011,"Liverpool 048E","Total",751,631,117,1,2
"E01006552",2011,"Liverpool 039A","Total",869,578,249,28,14
"E01006553",2011,"Liverpool 042A","Total",642,411,225,5,1
"E01006554",2011,"Liverpool 048F","Total",649,445,193,8,3
"E01006556",2011,"Liverpool 039B","Total",1016,771,205,27,13
"E01006557",2011,"Liverpool 038B","Total",635,317,306,11,1
"E01006558",2011,"Liverpool 018B","Total",739,587,147,4,1
"E01006560",2011,"Liverpool 023A","Total",996,753,220,18,5
"E01006562",2011,"Liverpool 018E","Total",714,525,170,17,2
"E01006563",2011,"Liverpool 024B","Total",908,669,225,12,2
"E01006564",2011,"Liverpool 023B","Total",800,565,222,10,3
"E01006565",2011,"Liverpool 029A","Total",638,450,178,10,0
"E01006566",2011,"Liverpool 032A","Total",577,396,173,6,2
"E01006567",2011,"Liverpool 026A","Total",892,726,163,1,2
"E01006568",2011,"Liverpool 026B","Total",629,437,189,3,0
"E01006569",2011,"Liverpool 029B","Total",613,450,155,6,2
"E01006570",2011,"Liverpool 026C","Total",595,446,145,2,2
"E01006571",2011,"Liverpool 026D","Total",612,419,184,7,2
"E01006572",2011,"Liverpool 025A","Total",501,321,174,6,0
"E01006573",2011,"Liverpool 029C","Total",778,611,162,5,0
"E01006574",2011,"Liverpool 025B","Total",612,411,195,5,1
"E01006575",2011,"Liverpool 034A","Total",578,442,134,2,0
"E01006576",2011,"Liverpool 034B","Total",713,527,185,1,0
"E01006577",2011,"Liverpool 034C","Total",597,458,138,1,0
"E01006578",2011,"Liverpool 036A","Total",554,395,152,6,1
"E01006579",2011,"Liverpool 034D","Total",618,462,149,6,1
"E01006580",2011,"Liverpool 036B","Total",515,402,110,2,1
"E01006581",2011,"Liverpool 036C","Total",607,456,148,2,1
"E01006582",2011,"Liverpool 041A","Total",585,432,153,0,0
"E01006583",2011,"Liverpool 047C","Total",467,377,87,3,0
"E01006584",2011,"Liverpool 034E","Total",611,472,137,2,0
"E01006585",2011,"Liverpool 032B","Total",641,484,144,10,3
"E01006586",2011,"Liverpool 032C","Total",921,701,217,3,0
"E01006587",2011,"Liverpool 032D","Total",717,524,187,6,0
"E01006588",2011,"Liverpool 042C","Total",702,562,136,3,1
"E01006589",2011,"Liverpool 041B","Total",599,438,159,2,0
"E01006590",2011,"Liverpool 042D","Total",701,526,174,1,0
"E01006591",2011,"Liverpool 041C","Total",671,523,143,3,2
"E01006592",2011,"Liverpool 041D","Total",624,524,98,2,0
"E01006593",2011,"Liverpool 042E","Total",662,510,146,4,2
"E01006594",2011,"Liverpool 047D","Total",579,486,91,2,0
"E01006595",2011,"Liverpool 049B","Total",812,641,170,1,0
"E01006596",2011,"Liverpool 049C","Total",597,465,127,4,1
"E01006597",2011,"Liverpool 041E","Total",683,570,113,0,0
"E01006598",2011,"Liverpool 010A","Total",604,413,175,14,2
"E01006599",2011,"Liverpool 010B","Total",482,306,166,9,1
"E01006600",2011,"Liverpool 011A","Total",592,434,155,3,0
"E01006603",2011,"Liverpool 011B","Total",594,419,171,4,0
"E01006604",2011,"Liverpool 016A","Total",571,401,164,5,1
"E01006605",2011,"Liverpool 016B","Total",696,514,173,6,3
"E01006606",2011,"Liverpool 020A","Total",723,556,161,5,1
"E01006607",2011,"Liverpool 008A","Total",641,420,216,4,1
"E01006608",2011,"Liverpool 009A","Total",563,442,116,5,0
"E01006609",2011,"Liverpool 009B","Total",576,433,137,6,0
"E01006610",2011,"Liverpool 009C","Total",669,520,147,2,0
"E01006611",2011,"Liverpool 012A","Total",742,583,149,7,3
"E01006612",2011,"Liverpool 008B","Total",740,545,185,10,0
"E01006613",2011,"Liverpool 009D","Total",611,450,156,4,1
"E01006614",2011,"Liverpool 012B","Total",667,508,151,7,1
"E01006615",2011,"Liverpool 012C","Total",663,507,155,0,1
"E01006616",2011,"Liverpool 015D","Total",613,432,172,6,3
"E01006617",2011,"Liverpool 021A","Total",650,518,125,5,2
"E01006618",2011,"Liverpool 016C","Total",692,502,182,3,5
"E01006619",2011,"Liverpool 021B","Total",734,576,155,3,0
"E01006620",2011,"Liverpool 021C","Total",625,486,135,4,0
"E01006621",2011,"Liverpool 021D","Total",584,467,111,6,0
"E01006622",2011,"Liverpool 021E","Total",586,431,153,1,1
"E01006623",2011,"Liverpool 013A","Total",527,407,118,2,0
"E01006624",2011,"Liverpool 013B","Total",702,535,154,12,1
"E01006625",2011,"Liverpool 016D","Total",609,455,152,2,0
"E01006626",2011,"Liverpool 016E","Total",593,436,154,3,0
"E01006627",2011,"Liverpool 013C","Total",600,464,131,4,1
"E01006628",2011,"Liverpool 052D","Total",651,501,143,5,2
