"lsoa11cd","date","lsoa11nm","Rural Urban","Persons per Room: All categories: Number of persons per room in household; measures: Value","Persons per Room: Up to 0.5 persons per room; measures: Value","Persons per Room: Over 0.5 and up to 1.0 persons per room; measures: Value","Persons per Room: Over 1.0 and up to 1.5 persons per room; measures: Value","Persons per Room: Over 1.5 persons per room; measures: Value"
"E01006629",2011,"Liverpool 052E","Total",573,432,135,6,0
"E01006630",2011,"Liverpool 044B","Total",555,332,209,13,1
"E01006632",2011,"Liverpool 044C","Total",884,610,256,16,2
"E01006633",2011,"Liverpool 050B","Total",699,510,175,11,3
"E01006637",2011,"Liverpool 017A","Total",670,416,240,12,2
"E01006638",2011,"Liverpool 017B","Total",518,323,186,8,1
"E01006639",2011,"Liverpool 017C","Total",640,461,171,8,0
"E01006640",2011,"Liverpool 021F","Total",760,572,184,4,0
"E01006641",2011,"Liverpool 025C","Total",633,389,236,7,1
"E01006642",2011,"Liverpool 025D","Total",590,405,178,6,1
"E01006643",2011,"Liverpool 025E","Total",740,460,264,15,1
"E01006644",2011,"Liverpool 017D","Total",963,726,228,7,2
"E01006645",2011,"Liverpool 017E","Total",690,509,175,6,0
"E01006646",2011,"Liverpool 023C","Total",1006,694,296,9,7
"E01006647",2011,"Liverpool 024C","Total",636,431,200,4,1
"E01006648",2011,"Liverpool 023D","Total",1075,683,374,16,2
"E01006651",2011,"Liverpool 001A","Total",592,404,186,2,0
"E01006652",2011,"Liverpool 002A","Total",633,457,172,4,0
"E01006653",2011,"Liverpool 001B","Total",656,473,174,7,2
"E01006654",2011,"Liverpool 005A","Total",627,472,149,4,2
"E01006655",2011,"Liverpool 001C","Total",706,477,222,7,0
"E01006656",2011,"Liverpool 002B","Total",669,519,143,7,0
"E01006657",2011,"Liverpool 002C","Total",582,430,148,3,1
"E01006658",2011,"Liverpool 001D","Total",634,473,154,5,2
"E01006659",2011,"Liverpool 005B","Total",548,418,124,4,2
"E01006660",2011,"Liverpool 001E","Total",616,423,187,6,0
"E01006661",2011,"Liverpool 004A","Total",749,536,202,11,0
"E01006662",2011,"Liverpool 004B","Total",785,584,192,7,2
"E01006663",2011,"Liverpool 004C","Total",510,371,133,4,2
"E01006664",2011,"Liverpool 004D","Total",822,595,215,10,2
"E01006665",2011,"Liverpool 007A","Total",630,452,175,3,0
"E01006666",2011,"Liverpool 007B","Total",514,367,147,0,0
"E01006667",2011,"Liverpool 007C","Total",618,457,157,4,0
"E01006668",2011,"Liverpool 007D","Total",590,398,185,7,0
"E01006669",2011,"Liverpool 004E","Total",551,388,161,2,0
"E01006670",2011,"Liverpool 007E","Total",607,436,168,2,1
"E01006671",2011,"Liverpool 013D","Total",499,358,134,6,1
"E01006672",2011,"Liverpool 010E","Total",798,506,270,21,1
"E01006673",2011,"Liverpool 037D","Total",954,640,284,22,8
"E01006674",2011,"Liverpool 039C","Total",826,555,207,42,22
"E01006675",2011,"Liverpool 043C","Total",1132,905,213,5,9
"E01006676",2011,"Liverpool 044D","Total",761,506,222,24,9
"E01006677",2011,"Liverpool 043D","Total",477,355,105,13,4
"E01006678",2011,"Liverpool 044E","Total",1059,749,290,15,5
"E01006679",2011,"Liverpool 039D","Total",920,534,317,46,23
"E01006680",2011,"Liverpool 053B","Total",605,457,145,3,0
"E01006681",2011,"Liverpool 054D","Total",719,566,146,6,1
"E01006682",2011,"Liverpool 053C","Total",498,385,113,0,0
"E01006683",2011,"Liverpool 053D","Total",594,462,128,3,1
"E01006684",2011,"Liverpool 056B","Total",999,831,167,0,1
"E01006685",2011,"Liverpool 056C","Total",604,481,123,0,0
"E01006686",2011,"Liverpool 053E","Total",531,391,137,3,0
"E01006687",2011,"Liverpool 056D","Total",933,799,131,2,1
"E01006688",2011,"Liverpool 056E","Total",712,581,129,2,0
"E01006689",2011,"Liverpool 049D","Total",717,563,149,3,2
"E01006690",2011,"Liverpool 028A","Total",801,594,195,8,4
"E01006691",2011,"Liverpool 030A","Total",647,430,190,23,4
"E01006692",2011,"Liverpool 028B","Total",989,704,263,14,8
"E01006693",2011,"Liverpool 024D","Total",838,624,205,8,1
"E01006694",2011,"Liverpool 030B","Total",891,628,241,9,13
"E01006695",2011,"Liverpool 028C","Total",1029,773,232,14,10
"E01006696",2011,"Liverpool 030C","Total",768,502,243,12,11
"E01006697",2011,"Liverpool 030D","Total",828,588,211,21,8
"E01006698",2011,"Liverpool 012D","Total",725,483,231,10,1
"E01006699",2011,"Liverpool 014A","Total",777,571,201,5,0
"E01006700",2011,"Liverpool 012E","Total",653,475,172,5,1
"E01006701",2011,"Liverpool 014B","Total",671,511,149,11,0
"E01006702",2011,"Liverpool 014C","Total",740,531,204,5,0
"E01006703",2011,"Liverpool 014D","Total",818,626,184,6,2
"E01006705",2011,"Liverpool 009E","Total",689,522,160,6,1
"E01006706",2011,"Liverpool 045A","Total",582,379,195,7,1
"E01006707",2011,"Liverpool 045B","Total",553,374,167,9,3
"E01006708",2011,"Liverpool 045C","Total",754,515,227,11,1
"E01006709",2011,"Liverpool 040A","Total",685,518,163,3,1
"E01006710",2011,"Liverpool 045D","Total",592,368,213,11,0
"E01006711",2011,"Liverpool 027A","Total",685,511,161,7,6
"E01006712",2011,"Liverpool 029D","Total",569,410,157,1,1
"E01006713",2011,"Liverpool 029E","Total",604,430,170,3,1
"E01006716",2011,"Liverpool 032E","Total",701,508,179,13,1
"E01006717",2011,"Liverpool 027D","Total",576,404,166,5,1
"E01006718",2011,"Liverpool 027E","Total",678,499,168,5,6
"E01006719",2011,"Liverpool 027F","Total",638,465,161,11,1
"E01006720",2011,"Liverpool 035A","Total",905,587,281,30,7
"E01006721",2011,"Liverpool 038C","Total",912,705,196,9,2
"E01006722",2011,"Liverpool 038D","Total",608,340,252,13,3
"E01006723",2011,"Liverpool 038E","Total",749,492,244,8,5
"E01006724",2011,"Liverpool 038F","Total",554,305,241,6,2
"E01006725",2011,"Liverpool 035B","Total",739,528,208,3,0
"E01006726",2011,"Liverpool 035C","Total",659,462,184,8,5
"E01006727",2011,"Liverpool 035D","Total",665,499,157,7,2
"E01006728",2011,"Liverpool 035E","Total",855,664,170,11,10
"E01006729",2011,"Liverpool 008C","Total",539,319,204,16,0
"E01006730",2011,"Liverpool 011C","Total",542,364,161,16,1
"E01006731",2011,"Liverpool 011D","Total",486,312,159,15,0
"E01006732",2011,"Liverpool 011E","Total",644,394,231,15,4
"E01006734",2011,"Liverpool 005C","Total",625,410,205,9,1
"E01006735",2011,"Liverpool 005D","Total",571,388,171,10,2
"E01006736",2011,"Liverpool 005E","Total",582,402,170,5,5
"E01006737",2011,"Liverpool 005F","Total",562,365,186,11,0
"E01006738",2011,"Liverpool 058A","Total",662,453,200,9,0
"E01006739",2011,"Liverpool 058B","Total",707,449,237,14,7
"E01006740",2011,"Liverpool 057A","Total",604,435,162,7,0
"E01006741",2011,"Liverpool 058C","Total",778,522,246,8,2
"E01006742",2011,"Liverpool 057B","Total",591,439,148,2,2
"E01006743",2011,"Liverpool 058D","Total",1008,701,299,7,1
"E01006744",2011,"Liverpool 057C","Total",739,568,165,5,1
"E01006745",2011,"Liverpool 057D","Total",907,654,243,7,3
"E01006746",2011,"Liverpool 030E","Total",655,439,209,5,2
"E01006747",2011,"Liverpool 031B","Total",857,550,287,9,11
"E01006748",2011,"Liverpool 031C","Total",756,473,272,8,3
"E01006751",2011,"Liverpool 031F","Total",831,495,306,18,12
"E01006752",2011,"Liverpool 035F","Total",489,341,133,13,2
"E01006753",2011,"Liverpool 059A","Total",666,467,191,8,0
"E01006754",2011,"Liverpool 059B","Total",781,571,202,7,1
"E01006755",2011,"Liverpool 059C","Total",690,475,207,6,2
"E01006756",2011,"Liverpool 059D","Total",757,506,240,11,0
"E01006757",2011,"Liverpool 059E","Total",621,425,185,11,0
"E01006758",2011,"Liverpool 059F","Total",639,431,197,8,3
"E01006759",2011,"Liverpool 028D","Total",460,355,103,2,0
"E01006760",2011,"Liverpool 028E","Total",826,635,176,10,5
"E01006761",2011,"Liverpool 020B","Total",793,594,189,7,3
"E01006762",2011,"Liverpool 015E","Total",725,496,217,10,2
"E01006763",2011,"Liverpool 020C","Total",652,496,150,5,1
"E01006764",2011,"Liverpool 020D","Total",667,489,165,8,5
"E01006765",2011,"Liverpool 020E","Total",659,492,160,6,1
"E01006766",2011,"Liverpool 019E","Total",574,420,145,7,2
"E01006767",2011,"Liverpool 019F","Total",779,537,235,5,2
"E01006768",2011,"Liverpool 020F","Total",587,460,121,4,2
"E01006769",2011,"Liverpool 040B","Total",712,584,116,9,3
"E01006770",2011,"Liverpool 040C","Total",445,310,125,9,1
"E01006771",2011,"Liverpool 040D","Total",694,505,184,4,1
"E01006772",2011,"Liverpool 040E","Total",480,360,118,1,1
"E01006773",2011,"Liverpool 036D","Total",554,410,141,3,0
"E01006774",2011,"Liverpool 036E","Total",552,389,162,0,1
"E01006775",2011,"Liverpool 040F","Total",556,388,161,7,0
"E01006776",2011,"Liverpool 022B","Total",844,651,179,11,3
"E01006778",2011,"Liverpool 014E","Total",1124,808,295,13,8
"E01006779",2011,"Liverpool 022D","Total",902,618,273,10,1
"E01006780",2011,"Liverpool 002D","Total",619,468,146,5,0
"E01006781",2011,"Liverpool 003A","Total",600,448,148,3,1
"E01006782",2011,"Liverpool 003B","Total",691,518,169,3,1
"E01006783",2011,"Liverpool 002E","Total",645,444,193,5,3
"E01006784",2011,"Liverpool 003C","Total",586,436,148,2,0
"E01006785",2011,"Liverpool 003D","Total",781,561,220,0,0
"E01006786",2011,"Liverpool 003E","Total",764,573,185,6,0
"E01006787",2011,"Liverpool 006A","Total",691,479,197,8,7
"E01006788",2011,"Liverpool 006B","Total",681,447,230,4,0
"E01006790",2011,"Liverpool 006C","Total",801,592,200,8,1
"E01006791",2011,"Liverpool 006D","Total",873,689,176,4,4
"E01006792",2011,"Liverpool 046A","Total",557,468,89,0,0
"E01006793",2011,"Liverpool 051A","Total",759,599,156,4,0
"E01006794",2011,"Liverpool 046B","Total",711,584,123,4,0
"E01006795",2011,"Liverpool 051B","Total",628,515,108,3,2
"E01006796",2011,"Liverpool 047E","Total",581,469,108,4,0
"E01006797",2011,"Liverpool 051C","Total",707,532,169,4,2
"E01006798",2011,"Liverpool 051D","Total",609,470,137,1,1
"E01006799",2011,"Liverpool 051E","Total",1145,1014,129,2,0
"E01006800",2011,"Liverpool 046C","Total",679,579,99,1,0
"E01006801",2011,"Liverpool 046D","Total",609,504,103,1,1
"E01032505",2011,"Liverpool 050F","Total",563,433,127,3,0
"E01032506",2011,"Liverpool 050G","Total",656,505,147,1,3
"E01032507",2011,"Liverpool 050H","Total",666,500,160,5,1
"E01032508",2011,"Liverpool 027G","Total",847,617,218,9,3
"E01032509",2011,"Liverpool 027H","Total",665,485,172,8,0
"E01032510",2011,"Liverpool 008F","Total",776,517,250,7,2
"E01032511",2011,"Liverpool 008G","Total",616,442,169,4,1
"E01033747",2011,"Liverpool 018F","Total",496,362,123,10,1
"E01033748",2011,"Liverpool 050I","Total",772,522,244,6,0
"E01033749",2011,"Liverpool 042F","Total",1039,725,311,0,3
"E01033750",2011,"Liverpool 061A","Total",905,727,173,4,1
"E01033751",2011,"Liverpool 062A","Total",603,488,105,7,3
"E01033752",2011,"Liverpool 062B","Total",790,506,272,3,9
"E01033753",2011,"Liverpool 062C","Total",714,470,234,5,5
"E01033754",2011,"Liverpool 061B","Total",838,550,273,11,4
"E01033755",2011,"Liverpool 062D","Total",675,400,262,5,8
"E01033756",2011,"Liverpool 061C","Total",733,402,304,9,18
"E01033757",2011,"Liverpool 037E","Total",715,554,149,5,7
"E01033758",2011,"Liverpool 060B","Total",475,334,132,2,7
"E01033759",2011,"Liverpool 010F","Total",480,310,163,5,2
"E01033760",2011,"Liverpool 060C","Total",529,313,195,4,17
"E01033761",2011,"Liverpool 060D","Total",832,526,300,1,5
"E01033762",2011,"Liverpool 060E","Total",456,310,140,2,4
"E01033763",2011,"Liverpool 031G","Total",820,629,178,11,2
"E01033764",2011,"Liverpool 022E","Total",1172,874,279,12,7
"E01033765",2011,"Liverpool 061D","Total",659,484,162,9,4
"E01033766",2011,"Liverpool 042G","Total",424,311,112,0,1
"E01033767",2011,"Liverpool 050J","Total",562,433,122,5,2
"E01033768",2011,"Liverpool 037F","Total",835,687,144,4,0
