"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: count of Household; All households; measures: Value","Household Composition: No adults in employment in household; measures: Value","Household Composition: No adults in employment in household: With dependent children; measures: Value","Household Composition: No adults in employment in household: No dependent children; measures: Value","Household Composition: Dependent children in household: All ages; measures: Value","Household Composition: Dependent children in household: Age 0 to 4; measures: Value","Household Composition: One person in household with a long-term health problem or disability; measures: Value","Household Composition: One person in household with a long-term health problem or disability: With dependent children; measures: Value","Household Composition: One person in household with a long-term health problem or disability: No dependent children; measures: Value"
"E01006770",2011,"Liverpool 040C","Total",445,202,31,171,135,56,169,36,133
"E01006771",2011,"Liverpool 040D","Total",694,370,63,307,184,71,280,42,238
"E01006772",2011,"Liverpool 040E","Total",480,199,16,183,119,38,174,24,150
"E01006773",2011,"Liverpool 036D","Total",554,161,10,151,180,60,140,29,111
"E01006774",2011,"Liverpool 036E","Total",552,148,19,129,201,58,124,29,95
"E01006775",2011,"Liverpool 040F","Total",556,283,43,240,149,52,217,33,184
"E01006776",2011,"Liverpool 022B","Total",844,395,45,350,179,64,332,56,276
"E01006778",2011,"Liverpool 014E","Total",1124,553,109,444,273,109,431,77,354
"E01006779",2011,"Liverpool 022D","Total",902,508,131,377,267,105,384,67,317
"E01006780",2011,"Liverpool 002D","Total",619,207,29,178,189,73,181,38,143
"E01006781",2011,"Liverpool 003A","Total",600,160,15,145,191,62,178,40,138
"E01006782",2011,"Liverpool 003B","Total",691,239,25,214,197,81,192,36,156
"E01006783",2011,"Liverpool 002E","Total",645,212,41,171,221,81,182,32,150
"E01006784",2011,"Liverpool 003C","Total",586,149,18,131,177,79,149,27,122
"E01006785",2011,"Liverpool 003D","Total",781,300,56,244,227,93,237,48,189
"E01006786",2011,"Liverpool 003E","Total",764,227,20,207,233,83,220,48,172
"E01006787",2011,"Liverpool 006A","Total",691,277,44,233,191,66,194,46,148
"E01006788",2011,"Liverpool 006B","Total",681,203,56,147,275,117,194,62,132
"E01006790",2011,"Liverpool 006C","Total",801,394,89,305,243,104,290,45,245
"E01006791",2011,"Liverpool 006D","Total",873,435,62,373,185,78,320,44,276
"E01006792",2011,"Liverpool 046A","Total",557,212,6,206,147,48,154,16,138
"E01006793",2011,"Liverpool 051A","Total",759,331,35,296,155,74,245,15,230
"E01006794",2011,"Liverpool 046B","Total",711,232,21,211,174,72,166,22,144
"E01006795",2011,"Liverpool 051B","Total",628,199,9,190,157,57,155,25,130
"E01006796",2011,"Liverpool 047E","Total",581,178,8,170,188,53,156,27,129
"E01006797",2011,"Liverpool 051C","Total",707,312,34,278,179,66,263,51,212
"E01006798",2011,"Liverpool 051D","Total",609,219,16,203,143,45,162,17,145
"E01006799",2011,"Liverpool 051E","Total",1145,658,24,634,123,50,494,20,474
"E01006800",2011,"Liverpool 046C","Total",679,320,7,313,115,44,204,19,185
"E01006801",2011,"Liverpool 046D","Total",609,252,3,249,111,38,170,11,159
"E01032505",2011,"Liverpool 050F","Total",563,215,31,184,167,64,180,26,154
"E01032506",2011,"Liverpool 050G","Total",656,243,35,208,146,68,192,27,165
"E01032507",2011,"Liverpool 050H","Total",666,170,29,141,145,62,146,25,121
"E01032508",2011,"Liverpool 027G","Total",847,411,75,336,221,84,323,65,258
"E01032509",2011,"Liverpool 027H","Total",665,264,67,197,224,108,206,45,161
"E01032510",2011,"Liverpool 008F","Total",776,245,39,206,250,105,234,50,184
"E01032511",2011,"Liverpool 008G","Total",616,247,52,195,165,58,182,30,152
"E01033747",2011,"Liverpool 018F","Total",496,318,65,253,142,62,233,39,194
"E01033748",2011,"Liverpool 050I","Total",772,127,22,105,66,48,71,7,64
"E01033749",2011,"Liverpool 042F","Total",1039,868,7,861,26,12,43,8,35
"E01033750",2011,"Liverpool 061A","Total",905,157,12,145,62,42,78,6,72
"E01033751",2011,"Liverpool 062A","Total",603,180,29,151,69,22,127,23,104
"E01033752",2011,"Liverpool 062B","Total",790,143,7,136,30,22,43,1,42
"E01033753",2011,"Liverpool 062C","Total",714,133,10,123,24,19,29,2,27
"E01033754",2011,"Liverpool 061B","Total",838,238,21,217,60,26,155,14,141
"E01033755",2011,"Liverpool 062D","Total",675,94,11,83,29,21,36,4,32
"E01033756",2011,"Liverpool 061C","Total",733,214,11,203,28,18,45,2,43
"E01033757",2011,"Liverpool 037E","Total",715,432,14,418,39,21,113,5,108
"E01033758",2011,"Liverpool 060B","Total",475,264,10,254,34,9,82,6,76
"E01033759",2011,"Liverpool 010F","Total",480,191,51,140,168,73,160,36,124
"E01033760",2011,"Liverpool 060C","Total",529,202,4,198,12,4,60,4,56
"E01033761",2011,"Liverpool 060D","Total",832,188,5,183,17,11,51,3,48
"E01033762",2011,"Liverpool 060E","Total",456,194,2,192,18,9,77,5,72
"E01033763",2011,"Liverpool 031G","Total",820,474,34,440,97,23,351,23,328
"E01033764",2011,"Liverpool 022E","Total",1172,706,114,592,233,87,514,66,448
"E01033765",2011,"Liverpool 061D","Total",659,292,72,220,170,65,217,38,179
"E01033766",2011,"Liverpool 042G","Total",424,107,11,96,80,29,87,17,70
"E01033767",2011,"Liverpool 050J","Total",562,258,67,191,150,59,192,33,159
"E01033768",2011,"Liverpool 037F","Total",835,397,19,378,78,34,262,13,249
