"lsoa11cd","date","lsoa11nm","Rural Urban","Country of Birth: All usual residents; measures: Value","Country of Birth: United Kingdom; measures: Value","Country of Birth: England; measures: Value","Country of Birth: Northern Ireland; measures: Value","Country of Birth: Scotland; measures: Value","Country of Birth: Wales; measures: Value","Country of Birth: United Kingdom not otherwise specified; measures: Value","Country of Birth: Ireland; measures: Value","Country of Birth: Other EU; measures: Value","Country of Birth: Other EU: Member countries in March 2001; measures: Value","Country of Birth: Other EU: Accession countries April 2001 to March 2011; measures: Value","Country of Birth: Other countries; measures: Value"
"E01006576",2011,"Liverpool 034B","Total",1693,1643,1611,8,13,11,0,9,10,9,1,31
"E01006577",2011,"Liverpool 034C","Total",1503,1451,1414,11,11,15,0,11,6,4,2,35
"E01006578",2011,"Liverpool 036A","Total",1380,1333,1312,8,2,11,0,2,2,2,0,43
"E01006579",2011,"Liverpool 034D","Total",1643,1576,1553,2,5,16,0,9,7,5,2,51
"E01006580",2011,"Liverpool 036B","Total",1335,1255,1235,5,9,6,0,6,20,15,5,54
"E01006581",2011,"Liverpool 036C","Total",1559,1484,1439,13,9,23,0,9,16,13,3,50
"E01006582",2011,"Liverpool 041A","Total",1642,1560,1515,10,15,20,0,10,16,6,10,56
"E01006583",2011,"Liverpool 047C","Total",1758,1669,1539,78,9,43,0,23,12,8,4,54
"E01006584",2011,"Liverpool 034E","Total",1393,1362,1350,3,8,1,0,9,2,2,0,20
"E01006585",2011,"Liverpool 032B","Total",1354,1269,1251,5,2,11,0,5,12,8,4,68
"E01006586",2011,"Liverpool 032C","Total",1899,1758,1725,12,8,13,0,17,22,19,3,102
"E01006587",2011,"Liverpool 032D","Total",1624,1500,1452,17,18,13,0,9,30,15,15,85
"E01006588",2011,"Liverpool 042C","Total",1569,1408,1335,33,16,24,0,27,58,20,38,76
"E01006589",2011,"Liverpool 041B","Total",1518,1436,1418,4,7,7,0,11,9,7,2,62
"E01006590",2011,"Liverpool 042D","Total",1642,1506,1414,50,11,31,0,14,56,34,22,66
"E01006591",2011,"Liverpool 041C","Total",1633,1487,1403,42,20,22,0,30,21,15,6,95
"E01006592",2011,"Liverpool 041D","Total",1565,1451,1379,16,26,30,0,27,30,19,11,57
