"lsoa11cd","date","lsoa11nm","Rural Urban","Household Spaces: All categories: Household spaces; measures: Value","Household Spaces: Household spaces with at least one usual resident; measures: Value","Household Spaces: Household spaces with no usual residents; measures: Value"
"E01006629",2011,"Liverpool 052E","Total",592,573,19
"E01006630",2011,"Liverpool 044B","Total",565,555,10
"E01006632",2011,"Liverpool 044C","Total",915,884,31
"E01006633",2011,"Liverpool 050B","Total",721,699,22
"E01006637",2011,"Liverpool 017A","Total",707,670,37
"E01006638",2011,"Liverpool 017B","Total",534,518,16
"E01006639",2011,"Liverpool 017C","Total",672,640,32
"E01006640",2011,"Liverpool 021F","Total",778,760,18
"E01006641",2011,"Liverpool 025C","Total",646,633,13
"E01006642",2011,"Liverpool 025D","Total",606,590,16
"E01006643",2011,"Liverpool 025E","Total",764,740,24
"E01006644",2011,"Liverpool 017D","Total",1014,963,51
"E01006645",2011,"Liverpool 017E","Total",702,690,12
"E01006646",2011,"Liverpool 023C","Total",1048,1006,42
"E01006647",2011,"Liverpool 024C","Total",640,636,4
"E01006648",2011,"Liverpool 023D","Total",1103,1075,28
"E01006651",2011,"Liverpool 001A","Total",616,592,24
"E01006652",2011,"Liverpool 002A","Total",653,633,20
"E01006653",2011,"Liverpool 001B","Total",678,656,22
"E01006654",2011,"Liverpool 005A","Total",650,627,23
"E01006655",2011,"Liverpool 001C","Total",753,706,47
"E01006656",2011,"Liverpool 002B","Total",696,669,27
"E01006657",2011,"Liverpool 002C","Total",606,582,24
"E01006658",2011,"Liverpool 001D","Total",648,634,14
"E01006659",2011,"Liverpool 005B","Total",573,548,25
"E01006660",2011,"Liverpool 001E","Total",631,616,15
"E01006661",2011,"Liverpool 004A","Total",765,749,16
"E01006662",2011,"Liverpool 004B","Total",802,785,17
"E01006663",2011,"Liverpool 004C","Total",521,510,11
"E01006664",2011,"Liverpool 004D","Total",875,822,53
"E01006665",2011,"Liverpool 007A","Total",642,630,12
"E01006666",2011,"Liverpool 007B","Total",518,514,4
"E01006667",2011,"Liverpool 007C","Total",626,618,8
"E01006668",2011,"Liverpool 007D","Total",594,590,4
"E01006669",2011,"Liverpool 004E","Total",560,551,9
"E01006670",2011,"Liverpool 007E","Total",627,607,20
"E01006671",2011,"Liverpool 013D","Total",506,499,7
"E01006672",2011,"Liverpool 010E","Total",822,798,24
"E01006673",2011,"Liverpool 037D","Total",998,954,44
"E01006674",2011,"Liverpool 039C","Total",1003,826,177
"E01006675",2011,"Liverpool 043C","Total",1304,1132,172
"E01006676",2011,"Liverpool 044D","Total",800,761,39
"E01006677",2011,"Liverpool 043D","Total",788,477,311
"E01006678",2011,"Liverpool 044E","Total",1109,1059,50
"E01006679",2011,"Liverpool 039D","Total",962,920,42
"E01006680",2011,"Liverpool 053B","Total",623,605,18
"E01006681",2011,"Liverpool 054D","Total",738,719,19
"E01006682",2011,"Liverpool 053C","Total",507,498,9
"E01006683",2011,"Liverpool 053D","Total",606,594,12
"E01006684",2011,"Liverpool 056B","Total",1028,999,29
"E01006685",2011,"Liverpool 056C","Total",619,604,15
"E01006686",2011,"Liverpool 053E","Total",541,531,10
"E01006687",2011,"Liverpool 056D","Total",990,933,57
"E01006688",2011,"Liverpool 056E","Total",735,712,23
"E01006689",2011,"Liverpool 049D","Total",725,717,8
"E01006690",2011,"Liverpool 028A","Total",859,801,58
"E01006691",2011,"Liverpool 030A","Total",701,647,54
"E01006692",2011,"Liverpool 028B","Total",1045,989,56
"E01006693",2011,"Liverpool 024D","Total",865,838,27
"E01006694",2011,"Liverpool 030B","Total",981,891,90
"E01006695",2011,"Liverpool 028C","Total",1111,1029,82
"E01006696",2011,"Liverpool 030C","Total",826,768,58
"E01006697",2011,"Liverpool 030D","Total",889,828,61
"E01006698",2011,"Liverpool 012D","Total",768,725,43
"E01006699",2011,"Liverpool 014A","Total",807,777,30
"E01006700",2011,"Liverpool 012E","Total",685,653,32
"E01006701",2011,"Liverpool 014B","Total",728,671,57
"E01006702",2011,"Liverpool 014C","Total",809,740,69
"E01006703",2011,"Liverpool 014D","Total",836,818,18
"E01006705",2011,"Liverpool 009E","Total",756,689,67
"E01006706",2011,"Liverpool 045A","Total",584,582,2
"E01006707",2011,"Liverpool 045B","Total",557,553,4
"E01006708",2011,"Liverpool 045C","Total",761,754,7
"E01006709",2011,"Liverpool 040A","Total",698,685,13
"E01006710",2011,"Liverpool 045D","Total",604,592,12
"E01006711",2011,"Liverpool 027A","Total",742,685,57
"E01006712",2011,"Liverpool 029D","Total",587,569,18
"E01006713",2011,"Liverpool 029E","Total",623,604,19
"E01006716",2011,"Liverpool 032E","Total",722,701,21
"E01006717",2011,"Liverpool 027D","Total",594,576,18
"E01006718",2011,"Liverpool 027E","Total",700,678,22
"E01006719",2011,"Liverpool 027F","Total",655,638,17
"E01006720",2011,"Liverpool 035A","Total",990,905,85
"E01006721",2011,"Liverpool 038C","Total",965,912,53
"E01006722",2011,"Liverpool 038D","Total",649,608,41
"E01006723",2011,"Liverpool 038E","Total",774,749,25
"E01006724",2011,"Liverpool 038F","Total",571,554,17
"E01006725",2011,"Liverpool 035B","Total",769,739,30
"E01006726",2011,"Liverpool 035C","Total",707,659,48
"E01006727",2011,"Liverpool 035D","Total",699,665,34
"E01006728",2011,"Liverpool 035E","Total",901,855,46
"E01006729",2011,"Liverpool 008C","Total",541,539,2
"E01006730",2011,"Liverpool 011C","Total",551,542,9
"E01006731",2011,"Liverpool 011D","Total",513,486,27
"E01006732",2011,"Liverpool 011E","Total",654,644,10
"E01006734",2011,"Liverpool 005C","Total",645,625,20
"E01006735",2011,"Liverpool 005D","Total",575,571,4
"E01006736",2011,"Liverpool 005E","Total",598,582,16
"E01006737",2011,"Liverpool 005F","Total",567,562,5
"E01006738",2011,"Liverpool 058A","Total",676,662,14
"E01006739",2011,"Liverpool 058B","Total",718,707,11
"E01006740",2011,"Liverpool 057A","Total",620,604,16
"E01006741",2011,"Liverpool 058C","Total",789,778,11
"E01006742",2011,"Liverpool 057B","Total",615,591,24
"E01006743",2011,"Liverpool 058D","Total",1026,1008,18
"E01006744",2011,"Liverpool 057C","Total",775,739,36
"E01006745",2011,"Liverpool 057D","Total",949,907,42
"E01006746",2011,"Liverpool 030E","Total",670,655,15
"E01006747",2011,"Liverpool 031B","Total",891,857,34
"E01006748",2011,"Liverpool 031C","Total",777,756,21
"E01006751",2011,"Liverpool 031F","Total",848,831,17
"E01006752",2011,"Liverpool 035F","Total",507,489,18
"E01006753",2011,"Liverpool 059A","Total",677,666,11
"E01006754",2011,"Liverpool 059B","Total",837,781,56
"E01006755",2011,"Liverpool 059C","Total",706,690,16
"E01006756",2011,"Liverpool 059D","Total",769,757,12
"E01006757",2011,"Liverpool 059E","Total",634,621,13
"E01006758",2011,"Liverpool 059F","Total",644,639,5
"E01006759",2011,"Liverpool 028D","Total",480,460,20
"E01006760",2011,"Liverpool 028E","Total",899,826,73
"E01006761",2011,"Liverpool 020B","Total",805,793,12
"E01006762",2011,"Liverpool 015E","Total",749,725,24
"E01006763",2011,"Liverpool 020C","Total",677,652,25
"E01006764",2011,"Liverpool 020D","Total",722,667,55
"E01006765",2011,"Liverpool 020E","Total",672,659,13
"E01006766",2011,"Liverpool 019E","Total",633,574,59
"E01006767",2011,"Liverpool 019F","Total",832,779,53
"E01006768",2011,"Liverpool 020F","Total",627,587,40
"E01006769",2011,"Liverpool 040B","Total",721,712,9
"E01006770",2011,"Liverpool 040C","Total",457,445,12
"E01006771",2011,"Liverpool 040D","Total",703,694,9
"E01006772",2011,"Liverpool 040E","Total",482,480,2
"E01006773",2011,"Liverpool 036D","Total",567,554,13
"E01006774",2011,"Liverpool 036E","Total",554,552,2
"E01006775",2011,"Liverpool 040F","Total",558,556,2
"E01006776",2011,"Liverpool 022B","Total",870,844,26
"E01006778",2011,"Liverpool 014E","Total",1218,1124,94
"E01006779",2011,"Liverpool 022D","Total",917,902,15
"E01006780",2011,"Liverpool 002D","Total",641,619,22
"E01006781",2011,"Liverpool 003A","Total",607,600,7
"E01006782",2011,"Liverpool 003B","Total",723,691,32
"E01006783",2011,"Liverpool 002E","Total",664,645,19
"E01006784",2011,"Liverpool 003C","Total",610,586,24
"E01006785",2011,"Liverpool 003D","Total",804,781,23
"E01006786",2011,"Liverpool 003E","Total",778,764,14
"E01006787",2011,"Liverpool 006A","Total",721,691,30
"E01006788",2011,"Liverpool 006B","Total",693,681,12
"E01006790",2011,"Liverpool 006C","Total",842,801,41
"E01006791",2011,"Liverpool 006D","Total",898,873,25
"E01006792",2011,"Liverpool 046A","Total",592,557,35
"E01006793",2011,"Liverpool 051A","Total",790,759,31
"E01006794",2011,"Liverpool 046B","Total",737,711,26
"E01006795",2011,"Liverpool 051B","Total",649,628,21
"E01006796",2011,"Liverpool 047E","Total",590,581,9
"E01006797",2011,"Liverpool 051C","Total",722,707,15
