"lsoa11cd","date","lsoa11nm","Rural Urban","Persons Per Room: All categories: Number of persons per bedroom in household; measures: Value","Persons Per Room: Up to 0.5 persons per bedroom; measures: Value","Persons Per Room: Over 0.5 and up to 1.0 persons per bedroom; measures: Value","Persons Per Room: Over 1.0 and up to 1.5 persons per bedroom; measures: Value","Persons Per Room: Over 1.5 persons per bedroom; measures: Value"
"E01006567",2011,"Liverpool 026A","Total",1622,291,912,268,151
"E01006568",2011,"Liverpool 026B","Total",1491,170,800,339,182
"E01006569",2011,"Liverpool 029B","Total",1372,223,667,245,237
"E01006570",2011,"Liverpool 026C","Total",1463,206,773,354,130
"E01006571",2011,"Liverpool 026D","Total",1438,195,689,337,217
"E01006572",2011,"Liverpool 025A","Total",1207,136,630,225,216
"E01006573",2011,"Liverpool 029C","Total",1501,263,708,297,233
"E01006574",2011,"Liverpool 025B","Total",1388,160,694,363,171
"E01006575",2011,"Liverpool 034A","Total",1289,214,697,280,98
"E01006576",2011,"Liverpool 034B","Total",1691,220,961,397,113
"E01006577",2011,"Liverpool 034C","Total",1503,223,844,305,131
"E01006578",2011,"Liverpool 036A","Total",1380,167,696,386,131
"E01006579",2011,"Liverpool 034D","Total",1643,197,845,470,131
"E01006580",2011,"Liverpool 036B","Total",1331,209,723,330,69
"E01006581",2011,"Liverpool 036C","Total",1559,182,858,389,130
"E01006582",2011,"Liverpool 041A","Total",1630,225,922,366,117
"E01006583",2011,"Liverpool 047C","Total",1255,264,763,185,43
"E01006584",2011,"Liverpool 034E","Total",1393,191,748,335,119
"E01006585",2011,"Liverpool 032B","Total",1354,173,711,302,168
"E01006586",2011,"Liverpool 032C","Total",1875,355,987,399,134
"E01006587",2011,"Liverpool 032D","Total",1619,235,873,308,203
"E01006588",2011,"Liverpool 042C","Total",1521,280,900,206,135
"E01006589",2011,"Liverpool 041B","Total",1512,178,812,382,140
"E01006590",2011,"Liverpool 042D","Total",1637,290,939,324,84
"E01006591",2011,"Liverpool 041C","Total",1633,287,940,286,120
"E01006592",2011,"Liverpool 041D","Total",1541,372,883,204,82
"E01006593",2011,"Liverpool 042E","Total",1541,271,899,286,85
"E01006594",2011,"Liverpool 047D","Total",1405,376,765,221,43
"E01006595",2011,"Liverpool 049B","Total",1745,274,1019,345,107
"E01006596",2011,"Liverpool 049C","Total",1451,222,829,272,128
"E01006597",2011,"Liverpool 041E","Total",1639,335,1009,216,79
"E01006598",2011,"Liverpool 010A","Total",1361,183,663,263,252
"E01006599",2011,"Liverpool 010B","Total",1121,159,553,253,156
"E01006600",2011,"Liverpool 011A","Total",1407,180,717,332,178
"E01006603",2011,"Liverpool 011B","Total",1386,188,686,320,192
"E01006604",2011,"Liverpool 016A","Total",1367,189,678,294,206
"E01006605",2011,"Liverpool 016B","Total",1531,208,716,357,250
"E01006606",2011,"Liverpool 020A","Total",1521,241,915,235,130
"E01006607",2011,"Liverpool 008A","Total",1529,198,747,382,202
"E01006608",2011,"Liverpool 009A","Total",1213,250,549,303,111
"E01006609",2011,"Liverpool 009B","Total",1283,254,654,220,155
"E01006610",2011,"Liverpool 009C","Total",1395,233,708,291,163
"E01006611",2011,"Liverpool 012A","Total",1291,393,510,247,141
"E01006612",2011,"Liverpool 008B","Total",1495,214,772,277,232
"E01006613",2011,"Liverpool 009D","Total",1360,213,619,317,211
"E01006614",2011,"Liverpool 012B","Total",1322,280,611,273,158
"E01006615",2011,"Liverpool 012C","Total",1302,260,606,318,118
"E01006616",2011,"Liverpool 015D","Total",1428,195,655,340,238
"E01006617",2011,"Liverpool 021A","Total",1421,250,833,271,67
"E01006618",2011,"Liverpool 016C","Total",1639,205,794,425,215
"E01006619",2011,"Liverpool 021B","Total",1599,258,883,348,110
"E01006620",2011,"Liverpool 021C","Total",1409,177,747,349,136
"E01006621",2011,"Liverpool 021D","Total",1468,251,778,351,88
"E01006622",2011,"Liverpool 021E","Total",1519,176,818,420,105
"E01006623",2011,"Liverpool 013A","Total",1462,242,815,304,101
"E01006624",2011,"Liverpool 013B","Total",1551,304,715,337,195
"E01006625",2011,"Liverpool 016D","Total",1416,186,754,357,119
"E01006626",2011,"Liverpool 016E","Total",1448,198,710,422,118
"E01006627",2011,"Liverpool 013C","Total",1378,228,714,365,71
"E01006628",2011,"Liverpool 052D","Total",1518,279,846,270,123
"E01006629",2011,"Liverpool 052E","Total",1242,195,664,246,137
"E01006630",2011,"Liverpool 044B","Total",1338,127,623,304,284
"E01006632",2011,"Liverpool 044C","Total",1842,270,865,365,342
"E01006633",2011,"Liverpool 050B","Total",1432,234,655,312,231
"E01006637",2011,"Liverpool 017A","Total",1596,209,746,341,300
"E01006638",2011,"Liverpool 017B","Total",1219,173,573,289,184
"E01006639",2011,"Liverpool 017C","Total",1509,194,773,322,220
"E01006640",2011,"Liverpool 021F","Total",1880,294,975,424,187
"E01006641",2011,"Liverpool 025C","Total",1640,158,662,555,265
"E01006642",2011,"Liverpool 025D","Total",1290,222,601,254,213
"E01006643",2011,"Liverpool 025E","Total",1822,183,875,438,326
"E01006644",2011,"Liverpool 017D","Total",2040,290,1121,394,235
"E01006645",2011,"Liverpool 017E","Total",1424,203,752,272,197
"E01006646",2011,"Liverpool 023C","Total",1881,355,885,318,323
"E01006647",2011,"Liverpool 024C","Total",1422,219,638,290,275
"E01006648",2011,"Liverpool 023D","Total",2175,364,1079,464,268
"E01006651",2011,"Liverpool 001A","Total",1642,172,825,526,119
"E01006652",2011,"Liverpool 002A","Total",1505,199,800,370,136
"E01006653",2011,"Liverpool 001B","Total",1520,218,765,350,187
"E01006654",2011,"Liverpool 005A","Total",1455,213,765,336,141
"E01006655",2011,"Liverpool 001C","Total",1733,205,879,405,244
"E01006656",2011,"Liverpool 002B","Total",1493,264,762,267,200
"E01006657",2011,"Liverpool 002C","Total",1211,196,592,276,147
"E01006658",2011,"Liverpool 001D","Total",1300,223,662,245,170
"E01006659",2011,"Liverpool 005B","Total",1070,187,581,188,114
"E01006660",2011,"Liverpool 001E","Total",1433,204,723,324,182
"E01006661",2011,"Liverpool 004A","Total",1663,281,786,407,189
"E01006662",2011,"Liverpool 004B","Total",1633,309,739,427,158
"E01006663",2011,"Liverpool 004C","Total",1153,186,524,334,109
"E01006664",2011,"Liverpool 004D","Total",1795,296,839,462,198
"E01006665",2011,"Liverpool 007A","Total",1555,214,803,414,124
"E01006666",2011,"Liverpool 007B","Total",1504,180,822,417,85
"E01006667",2011,"Liverpool 007C","Total",1413,218,743,346,106
"E01006668",2011,"Liverpool 007D","Total",1534,155,872,379,128
"E01006669",2011,"Liverpool 004E","Total",1470,209,732,395,134
"E01006670",2011,"Liverpool 007E","Total",1520,189,873,353,105
"E01006671",2011,"Liverpool 013D","Total",1349,228,678,313,130
"E01006672",2011,"Liverpool 010E","Total",1955,236,927,466,326
"E01006673",2011,"Liverpool 037D","Total",1925,232,851,358,484
"E01006674",2011,"Liverpool 039C","Total",1885,307,584,380,614
"E01006675",2011,"Liverpool 043C","Total",1682,281,967,168,266
"E01006676",2011,"Liverpool 044D","Total",1753,251,683,376,443
"E01006677",2011,"Liverpool 043D","Total",993,193,402,192,206
"E01006678",2011,"Liverpool 044E","Total",2126,333,983,464,346
"E01006679",2011,"Liverpool 039D","Total",2184,263,781,433,707
"E01006680",2011,"Liverpool 053B","Total",1569,225,855,400,89
"E01006681",2011,"Liverpool 054D","Total",1585,252,812,361,160
"E01006682",2011,"Liverpool 053C","Total",1310,175,725,365,45
"E01006683",2011,"Liverpool 053D","Total",1507,200,848,361,98
"E01006684",2011,"Liverpool 056B","Total",2113,502,1198,325,88
"E01006685",2011,"Liverpool 056C","Total",1426,308,763,241,114
"E01006686",2011,"Liverpool 053E","Total",1429,172,716,415,126
"E01006687",2011,"Liverpool 056D","Total",1896,517,1117,162,100
"E01006688",2011,"Liverpool 056E","Total",1520,261,873,306,80
"E01006689",2011,"Liverpool 049D","Total",1651,228,904,382,137
"E01006690",2011,"Liverpool 028A","Total",1457,263,724,246,224
"E01006691",2011,"Liverpool 030A","Total",1488,217,564,380,327
"E01006692",2011,"Liverpool 028B","Total",2180,355,982,519,324
"E01006693",2011,"Liverpool 024D","Total",1508,339,698,296,175
"E01006694",2011,"Liverpool 030B","Total",1864,351,763,369,381
"E01006695",2011,"Liverpool 028C","Total",1814,292,893,267,362
"E01006696",2011,"Liverpool 030C","Total",1744,256,694,440,354
"E01006697",2011,"Liverpool 030D","Total",1843,309,704,464,366
"E01006698",2011,"Liverpool 012D","Total",1716,230,800,419,267
"E01006699",2011,"Liverpool 014A","Total",1581,240,772,388,181
"E01006700",2011,"Liverpool 012E","Total",1410,221,649,374,166
"E01006701",2011,"Liverpool 014B","Total",1380,221,665,324,170
"E01006702",2011,"Liverpool 014C","Total",1596,260,759,346,231
"E01006703",2011,"Liverpool 014D","Total",1527,293,749,255,230
"E01006705",2011,"Liverpool 009E","Total",1409,279,627,281,222
"E01006706",2011,"Liverpool 045A","Total",1346,187,645,309,205
"E01006707",2011,"Liverpool 045B","Total",1294,176,612,248,258
"E01006708",2011,"Liverpool 045C","Total",1757,257,811,471,218
"E01006709",2011,"Liverpool 040A","Total",1438,316,662,290,170
"E01006710",2011,"Liverpool 045D","Total",1490,151,791,393,155
"E01006711",2011,"Liverpool 027A","Total",1500,234,696,334,236
"E01006712",2011,"Liverpool 029D","Total",1303,201,566,356,180
"E01006713",2011,"Liverpool 029E","Total",1375,201,637,339,198
"E01006716",2011,"Liverpool 032E","Total",1454,239,704,244,267
"E01006717",2011,"Liverpool 027D","Total",1436,185,697,406,148
"E01006718",2011,"Liverpool 027E","Total",1584,242,822,302,218
"E01006719",2011,"Liverpool 027F","Total",1535,214,765,352,204
"E01006720",2011,"Liverpool 035A","Total",2108,342,830,439,497
"E01006721",2011,"Liverpool 038C","Total",1655,334,840,280,201
"E01006722",2011,"Liverpool 038D","Total",1793,176,1008,338,271
"E01006723",2011,"Liverpool 038E","Total",1862,210,1090,385,177
"E01006724",2011,"Liverpool 038F","Total",1783,138,981,500,164
"E01006725",2011,"Liverpool 035B","Total",1537,280,690,329,238
"E01006726",2011,"Liverpool 035C","Total",1565,231,809,291,234
"E01006727",2011,"Liverpool 035D","Total",1438,222,779,273,164
"E01006728",2011,"Liverpool 035E","Total",1620,361,733,262,264
"E01006729",2011,"Liverpool 008C","Total",1400,128,712,299,261
"E01006730",2011,"Liverpool 011C","Total",1323,177,637,262,247
"E01006731",2011,"Liverpool 011D","Total",1196,139,599,258,200
"E01006732",2011,"Liverpool 011E","Total",1643,172,757,371,343
"E01006734",2011,"Liverpool 005C","Total",1412,162,776,290,184
"E01006735",2011,"Liverpool 005D","Total",1309,219,608,289,193
"E01006736",2011,"Liverpool 005E","Total",1460,165,716,373,206
"E01006737",2011,"Liverpool 005F","Total",1435,144,743,324,224
"E01006738",2011,"Liverpool 058A","Total",1501,226,660,388,227
"E01006739",2011,"Liverpool 058B","Total",1738,201,790,431,316
"E01006740",2011,"Liverpool 057A","Total",1280,189,603,263,225
"E01006741",2011,"Liverpool 058C","Total",1815,238,877,431,269
"E01006742",2011,"Liverpool 057B","Total",1394,184,707,320,183
"E01006743",2011,"Liverpool 058D","Total",2175,360,1021,550,244
"E01006744",2011,"Liverpool 057C","Total",1482,303,643,343,193
"E01006745",2011,"Liverpool 057D","Total",1854,314,900,372,268
"E01006746",2011,"Liverpool 030E","Total",1506,214,801,319,172
"E01006747",2011,"Liverpool 031B","Total",1655,305,877,290,183
"E01006748",2011,"Liverpool 031C","Total",1936,243,1064,459,170
"E01006751",2011,"Liverpool 031F","Total",2043,234,1006,418,385
"E01006752",2011,"Liverpool 035F","Total",1012,153,438,220,201
"E01006753",2011,"Liverpool 059A","Total",1557,196,746,359,256
"E01006754",2011,"Liverpool 059B","Total",1627,214,790,316,307
"E01006755",2011,"Liverpool 059C","Total",1552,135,771,358,288
"E01006756",2011,"Liverpool 059D","Total",1820,207,801,539,273
"E01006757",2011,"Liverpool 059E","Total",1491,185,696,334,276
"E01006758",2011,"Liverpool 059F","Total",1527,191,694,367,275
"E01006759",2011,"Liverpool 028D","Total",1052,185,550,213,104
"E01006760",2011,"Liverpool 028E","Total",1548,291,809,190,258
"E01006761",2011,"Liverpool 020B","Total",1583,236,762,328,257
"E01006762",2011,"Liverpool 015E","Total",1692,216,830,393,253
"E01006763",2011,"Liverpool 020C","Total",1471,237,744,297,193
"E01006764",2011,"Liverpool 020D","Total",1522,208,748,294,272
"E01006765",2011,"Liverpool 020E","Total",1468,248,712,311,197
"E01006766",2011,"Liverpool 019E","Total",1265,202,553,271,239
"E01006767",2011,"Liverpool 019F","Total",1784,282,808,408,286
"E01006768",2011,"Liverpool 020F","Total",1347,219,766,212,150
"E01006769",2011,"Liverpool 040B","Total",1270,324,609,176,161
"E01006770",2011,"Liverpool 040C","Total",1002,150,487,231,134
"E01006771",2011,"Liverpool 040D","Total",1425,226,772,290,137
"E01006772",2011,"Liverpool 040E","Total",1081,160,569,219,133
"E01006773",2011,"Liverpool 036D","Total",1378,159,786,348,85
"E01006774",2011,"Liverpool 036E","Total",1445,170,768,400,107
"E01006775",2011,"Liverpool 040F","Total",1302,162,695,266,179
"E01006776",2011,"Liverpool 022B","Total",1646,302,839,323,182
"E01006778",2011,"Liverpool 014E","Total",2205,413,1112,394,286
"E01006779",2011,"Liverpool 022D","Total",1934,303,1002,394,235
"E01006780",2011,"Liverpool 002D","Total",1465,207,782,337,139
"E01006781",2011,"Liverpool 003A","Total",1469,208,796,352,113
"E01006782",2011,"Liverpool 003B","Total",1541,256,814,362,109
"E01006783",2011,"Liverpool 002E","Total",1548,206,730,355,257
"E01006784",2011,"Liverpool 003C","Total",1344,202,691,334,117
"E01006785",2011,"Liverpool 003D","Total",1769,264,935,432,138
"E01006786",2011,"Liverpool 003E","Total",1820,214,983,452,171
"E01006787",2011,"Liverpool 006A","Total",1534,194,708,408,224
"E01006788",2011,"Liverpool 006B","Total",1825,182,883,498,262
"E01006790",2011,"Liverpool 006C","Total",1587,260,717,395,215
"E01006791",2011,"Liverpool 006D","Total",1674,307,894,285,188
"E01006792",2011,"Liverpool 046A","Total",1364,281,784,242,57
"E01006793",2011,"Liverpool 051A","Total",1494,327,769,238,160
"E01006794",2011,"Liverpool 046B","Total",1590,342,862,267,119
"E01006795",2011,"Liverpool 051B","Total",1407,246,799,228,134
"E01006796",2011,"Liverpool 047E","Total",1586,324,936,249,77
"E01006797",2011,"Liverpool 051C","Total",1499,206,796,336,161
"E01006798",2011,"Liverpool 051D","Total",1410,227,804,292,87
"E01006799",2011,"Liverpool 051E","Total",1796,444,977,243,132
"E01006800",2011,"Liverpool 046C","Total",1401,342,786,186,87
"E01006801",2011,"Liverpool 046D","Total",1344,257,801,219,67
"E01032505",2011,"Liverpool 050F","Total",1315,249,639,316,111
"E01032506",2011,"Liverpool 050G","Total",1344,234,779,216,115
"E01032507",2011,"Liverpool 050H","Total",1539,260,889,245,145
"E01032508",2011,"Liverpool 027G","Total",1723,283,783,357,300
"E01032509",2011,"Liverpool 027H","Total",1432,246,635,368,183
"E01032510",2011,"Liverpool 008F","Total",1809,264,782,491,272
"E01032511",2011,"Liverpool 008G","Total",1378,171,744,291,172
"E01033747",2011,"Liverpool 018F","Total",1035,167,516,171,181
"E01033748",2011,"Liverpool 050I","Total",1276,352,720,127,77
"E01033749",2011,"Liverpool 042F","Total",1151,150,927,31,43
"E01033750",2011,"Liverpool 061A","Total",1448,361,796,147,144
"E01033751",2011,"Liverpool 062A","Total",1039,228,598,97,116
"E01033752",2011,"Liverpool 062B","Total",1195,252,687,95,161
"E01033753",2011,"Liverpool 062C","Total",1051,247,556,85,163
"E01033754",2011,"Liverpool 061B","Total",1448,276,808,161,203
"E01033755",2011,"Liverpool 062D","Total",1082,217,627,99,139
"E01033756",2011,"Liverpool 061C","Total",1136,167,665,98,206
"E01033757",2011,"Liverpool 037E","Total",1015,255,589,67,104
"E01033758",2011,"Liverpool 060B","Total",703,129,382,55,137
"E01033759",2011,"Liverpool 010F","Total",1147,122,603,262,160
"E01033760",2011,"Liverpool 060C","Total",856,116,534,77,129
"E01033761",2011,"Liverpool 060D","Total",1340,212,910,91,127
"E01033762",2011,"Liverpool 060E","Total",722,159,355,100,108
"E01033763",2011,"Liverpool 031G","Total",1471,252,817,219,183
"E01033764",2011,"Liverpool 022E","Total",2191,462,1109,361,259
"E01033765",2011,"Liverpool 061D","Total",1351,249,672,232,198
"E01033766",2011,"Liverpool 042G","Total",1072,118,655,266,33
"E01033767",2011,"Liverpool 050J","Total",1067,233,476,233,125
"E01033768",2011,"Liverpool 037F","Total",1219,168,776,119,156
