"lsoa11cd","date","lsoa11nm","Rural Urban","Persons Per Room: All categories: Number of persons per bedroom in household; measures: Value","Persons Per Room: Up to 0.5 persons per bedroom; measures: Value","Persons Per Room: Over 0.5 and up to 1.0 persons per bedroom; measures: Value","Persons Per Room: Over 1.0 and up to 1.5 persons per bedroom; measures: Value","Persons Per Room: Over 1.5 persons per bedroom; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1420,272,637,162,349
"E01006513",2011,"Liverpool 060A","Total",1691,295,930,237,229
"E01006514",2011,"Liverpool 037A","Total",1758,305,987,166,300
"E01006515",2011,"Liverpool 037B","Total",1208,236,607,173,192
"E01006518",2011,"Liverpool 044A","Total",1630,320,752,265,293
"E01006519",2011,"Liverpool 056A","Total",1286,275,689,256,66
"E01006520",2011,"Liverpool 043A","Total",1685,240,1098,84,263
"E01006521",2011,"Liverpool 052A","Total",1619,342,889,186,202
"E01006522",2011,"Liverpool 048A","Total",1670,312,964,146,248
"E01006523",2011,"Liverpool 052B","Total",1473,282,888,158,145
"E01006524",2011,"Liverpool 048B","Total",1079,262,541,142,134
"E01006525",2011,"Liverpool 049A","Total",1209,201,723,233,52
"E01006526",2011,"Liverpool 048C","Total",1301,277,646,263,115
"E01006527",2011,"Liverpool 053A","Total",1373,240,785,268,80
"E01006528",2011,"Liverpool 052C","Total",1434,261,832,281,60
"E01006529",2011,"Liverpool 048D","Total",1304,236,674,323,71
"E01006530",2011,"Liverpool 055A","Total",1428,223,812,320,73
"E01006531",2011,"Liverpool 055B","Total",1455,229,917,235,74
"E01006532",2011,"Liverpool 047A","Total",1554,335,845,303,71
"E01006533",2011,"Liverpool 055C","Total",1355,278,709,281,87
"E01006534",2011,"Liverpool 054A","Total",1542,209,810,322,201
"E01006535",2011,"Liverpool 054B","Total",1550,206,803,361,180
"E01006536",2011,"Liverpool 054C","Total",1848,254,954,418,222
"E01006537",2011,"Liverpool 055D","Total",2257,326,1233,496,202
"E01006538",2011,"Liverpool 055E","Total",1318,167,684,351,116
"E01006539",2011,"Liverpool 047B","Total",1403,401,773,181,48
"E01006540",2011,"Liverpool 024A","Total",1485,296,606,299,284
"E01006541",2011,"Liverpool 015A","Total",1593,187,947,323,136
"E01006542",2011,"Liverpool 018A","Total",1297,203,685,246,163
"E01006543",2011,"Liverpool 015B","Total",1247,152,613,345,137
"E01006544",2011,"Liverpool 015C","Total",1658,266,743,378,271
"E01006545",2011,"Liverpool 019A","Total",1512,205,775,351,181
"E01006546",2011,"Liverpool 019B","Total",1319,212,594,274,239
"E01006547",2011,"Liverpool 019C","Total",1490,309,627,335,219
"E01006548",2011,"Liverpool 019D","Total",1580,292,708,341,239
"E01006549",2011,"Liverpool 043B","Total",1559,275,928,127,229
"E01006550",2011,"Liverpool 038A","Total",1595,161,1051,285,98
"E01006551",2011,"Liverpool 048E","Total",1134,305,607,115,107
"E01006552",2011,"Liverpool 039A","Total",2027,275,792,385,575
"E01006553",2011,"Liverpool 042A","Total",1880,219,1114,437,110
"E01006554",2011,"Liverpool 048F","Total",1670,215,1026,249,180
"E01006556",2011,"Liverpool 039B","Total",2010,407,891,325,387
"E01006557",2011,"Liverpool 038B","Total",2051,176,1154,557,164
"E01006558",2011,"Liverpool 018B","Total",1357,356,527,249,225
"E01006560",2011,"Liverpool 023A","Total",1860,358,893,324,285
"E01006562",2011,"Liverpool 018E","Total",1514,252,734,253,275
"E01006563",2011,"Liverpool 024B","Total",1740,265,845,320,310
"E01006564",2011,"Liverpool 023B","Total",1721,256,850,400,215
"E01006565",2011,"Liverpool 029A","Total",1549,203,717,362,267
"E01006566",2011,"Liverpool 032A","Total",1431,177,648,398,208
