"lsoa11cd","date","lsoa11nm","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: Does not have central heating; measures: Value","Central Heating: Does have central heating; measures: Value","Central Heating: Occupancy rating (rooms) of -1 or less; measures: Value","Central Heating: Occupancy rating (bedrooms) of -1 or less; measures: Value","Central Heating: Average household size; measures: Value","Central Heating: Average number of rooms per household; measures: Value","Central Heating: Average number of bedrooms per household; measures: Value"
"E01006744",2011,"Liverpool 057C","Total",739,45,694,52,26,2,4.9,2.4
"E01006745",2011,"Liverpool 057D","Total",907,67,840,117,50,2,4.7,2.4
"E01006746",2011,"Liverpool 030E","Total",655,21,634,74,46,2.3,5,2.8
"E01006747",2011,"Liverpool 031B","Total",857,74,783,226,50,1.9,4.2,2.4
"E01006748",2011,"Liverpool 031C","Total",756,48,708,94,74,2.6,5.4,3
"E01006751",2011,"Liverpool 031F","Total",831,28,803,177,74,2.5,4.6,2.6
"E01006752",2011,"Liverpool 035F","Total",489,53,436,76,36,2.1,4.3,2.2
"E01006753",2011,"Liverpool 059A","Total",666,25,641,56,41,2.3,5.2,2.8
"E01006754",2011,"Liverpool 059B","Total",781,23,758,92,55,2.1,4.8,2.4
"E01006755",2011,"Liverpool 059C","Total",690,15,675,51,50,2.2,4.7,2.4
"E01006756",2011,"Liverpool 059D","Total",757,13,744,59,41,2.4,5.1,2.7
"E01006757",2011,"Liverpool 059E","Total",621,15,606,30,20,2.4,5.3,2.7
"E01006758",2011,"Liverpool 059F","Total",639,30,609,39,35,2.4,5.2,2.7
"E01006759",2011,"Liverpool 028D","Total",460,44,416,23,14,2.3,5.8,3
"E01006760",2011,"Liverpool 028E","Total",826,108,718,164,47,1.9,4.6,2.3
"E01006761",2011,"Liverpool 020B","Total",793,51,742,81,41,2,4.6,2.3
"E01006762",2011,"Liverpool 015E","Total",725,63,662,48,32,2.3,5.1,2.7
"E01006763",2011,"Liverpool 020C","Total",652,42,610,32,18,2.3,5.4,2.9
"E01006764",2011,"Liverpool 020D","Total",667,37,630,80,37,2.3,5.2,2.7
"E01006765",2011,"Liverpool 020E","Total",659,47,612,34,20,2.2,5.5,2.9
"E01006766",2011,"Liverpool 019E","Total",574,49,525,46,34,2.2,4.9,2.5
"E01006767",2011,"Liverpool 019F","Total",779,45,734,57,38,2.3,5.2,2.7
"E01006768",2011,"Liverpool 020F","Total",587,35,552,57,23,2.3,5.5,2.9
"E01006769",2011,"Liverpool 040B","Total",712,18,694,34,23,1.8,4.5,2.3
"E01006770",2011,"Liverpool 040C","Total",445,15,430,37,21,2.3,5.1,2.8
"E01006771",2011,"Liverpool 040D","Total",694,20,674,46,23,2.1,4.7,2.5
"E01006772",2011,"Liverpool 040E","Total",480,11,469,23,16,2.3,5.5,2.8
"E01006773",2011,"Liverpool 036D","Total",554,12,542,16,13,2.5,5.9,3.1
"E01006774",2011,"Liverpool 036E","Total",552,13,539,7,9,2.6,6.1,3.1
"E01006775",2011,"Liverpool 040F","Total",556,8,548,29,28,2.3,5.2,2.8
"E01006776",2011,"Liverpool 022B","Total",844,7,837,64,39,2,4.6,2.4
"E01006778",2011,"Liverpool 014E","Total",1124,67,1057,174,67,2,4.4,2.4
"E01006779",2011,"Liverpool 022D","Total",902,11,891,83,46,2.1,4.7,2.5
"E01006780",2011,"Liverpool 002D","Total",619,32,587,33,18,2.4,5.7,3
"E01006781",2011,"Liverpool 003A","Total",600,23,577,14,15,2.4,6,3.1
"E01006782",2011,"Liverpool 003B","Total",691,44,647,48,13,2.2,5.5,2.9
"E01006783",2011,"Liverpool 002E","Total",645,40,605,30,27,2.4,5.4,2.8
"E01006784",2011,"Liverpool 003C","Total",586,53,533,23,19,2.3,5.7,2.9
"E01006785",2011,"Liverpool 003D","Total",781,70,711,78,28,2.3,5.2,2.8
"E01006786",2011,"Liverpool 003E","Total",764,31,733,31,15,2.4,5.7,2.9
"E01006787",2011,"Liverpool 006A","Total",691,48,643,95,62,2.2,5.1,2.6
"E01006788",2011,"Liverpool 006B","Total",681,46,635,25,34,2.7,5.8,3.1
"E01006790",2011,"Liverpool 006C","Total",801,62,739,81,43,2,4.5,2.2
"E01006791",2011,"Liverpool 006D","Total",873,46,827,56,34,1.9,4.7,2.4
"E01006792",2011,"Liverpool 046A","Total",557,8,549,10,8,2.4,6.6,3.4
"E01006793",2011,"Liverpool 051A","Total",759,22,737,45,22,2,5.1,2.6
"E01006794",2011,"Liverpool 046B","Total",711,22,689,22,13,2.2,5.9,3
"E01006795",2011,"Liverpool 051B","Total",628,18,610,23,11,2.2,5.9,2.9
"E01006796",2011,"Liverpool 047E","Total",581,3,578,11,9,2.7,7.4,3.7
"E01006797",2011,"Liverpool 051C","Total",707,22,685,69,24,2.1,5,2.6
"E01006798",2011,"Liverpool 051D","Total",609,23,586,17,8,2.3,5.7,3
"E01006799",2011,"Liverpool 051E","Total",1145,34,1111,77,31,1.6,4.3,2
"E01006800",2011,"Liverpool 046C","Total",679,8,671,11,9,2.1,5.6,3
"E01006801",2011,"Liverpool 046D","Total",609,13,596,8,5,2.2,5.8,3
"E01032505",2011,"Liverpool 050F","Total",563,22,541,31,21,2.3,5.7,2.9
"E01032506",2011,"Liverpool 050G","Total",656,40,616,53,17,2,5,2.7
"E01032507",2011,"Liverpool 050H","Total",666,35,631,34,19,2.3,5.6,3
"E01032508",2011,"Liverpool 027G","Total",847,57,790,96,52,2,4.7,2.4
"E01032509",2011,"Liverpool 027H","Total",665,70,595,39,28,2.2,5,2.6
"E01032510",2011,"Liverpool 008F","Total",776,50,726,56,33,2.3,5,2.7
"E01032511",2011,"Liverpool 008G","Total",616,54,562,33,20,2.2,5.1,2.6
"E01033747",2011,"Liverpool 018F","Total",496,22,474,39,24,2.1,4.7,2.4
"E01033748",2011,"Liverpool 050I","Total",772,15,757,126,15,1.7,3.8,2.1
"E01033749",2011,"Liverpool 042F","Total",1039,10,1029,505,12,1.1,3.3,1.8
"E01033750",2011,"Liverpool 061A","Total",905,21,884,153,36,1.6,3.8,2
"E01033751",2011,"Liverpool 062A","Total",603,24,579,63,17,1.7,4.1,2.1
"E01033752",2011,"Liverpool 062B","Total",790,37,753,287,26,1.5,3.1,1.7
"E01033753",2011,"Liverpool 062C","Total",714,35,679,280,19,1.5,3,1.7
"E01033754",2011,"Liverpool 061B","Total",838,33,805,274,42,1.7,3.6,2
"E01033755",2011,"Liverpool 062D","Total",675,45,630,261,22,1.6,3.2,1.8
"E01033756",2011,"Liverpool 061C","Total",733,21,712,408,40,1.5,2.9,1.7
"E01033757",2011,"Liverpool 037E","Total",715,32,683,228,27,1.4,3.8,2.3
"E01033758",2011,"Liverpool 060B","Total",475,37,438,221,24,1.5,3.4,2
"E01033759",2011,"Liverpool 010F","Total",480,22,458,33,13,2.4,5,2.8
"E01033760",2011,"Liverpool 060C","Total",529,39,490,289,24,1.6,3.2,2
"E01033761",2011,"Liverpool 060D","Total",832,54,778,323,29,1.6,3.4,1.9
"E01033762",2011,"Liverpool 060E","Total",456,13,443,211,19,1.6,3.4,2
