"lsoa11cd","date","lsoa11nm","Rural Urban","Social Grade: Approximated social grade; measures: Value","Social Grade: Approximated social grade AB; measures: Value","Social Grade: Approximated social grade C1; measures: Value","Social Grade: Approximated social grade C2; measures: Value","Social Grade: Approximated social grade DE; measures: Value"
"E01006614",2011,"Liverpool 012B","Total",528,20,159,80,269
"E01006615",2011,"Liverpool 012C","Total",540,14,152,114,260
"E01006616",2011,"Liverpool 015D","Total",434,33,121,112,168
"E01006617",2011,"Liverpool 021A","Total",494,116,191,77,110
"E01006618",2011,"Liverpool 016C","Total",425,27,137,100,161
"E01006619",2011,"Liverpool 021B","Total",529,83,196,115,135
"E01006620",2011,"Liverpool 021C","Total",375,67,127,83,98
"E01006621",2011,"Liverpool 021D","Total",389,114,140,73,62
"E01006622",2011,"Liverpool 021E","Total",390,99,140,90,61
"E01006623",2011,"Liverpool 013A","Total",380,76,139,90,75
"E01006624",2011,"Liverpool 013B","Total",519,52,165,109,193
"E01006625",2011,"Liverpool 016D","Total",393,82,127,82,102
"E01006626",2011,"Liverpool 016E","Total",395,78,140,93,84
"E01006627",2011,"Liverpool 013C","Total",428,81,143,86,118
"E01006628",2011,"Liverpool 052D","Total",505,179,168,64,94
"E01006629",2011,"Liverpool 052E","Total",415,105,136,60,114
"E01006630",2011,"Liverpool 044B","Total",451,29,85,81,256
"E01006632",2011,"Liverpool 044C","Total",705,72,184,103,346
"E01006633",2011,"Liverpool 050B","Total",489,20,111,76,282
"E01006637",2011,"Liverpool 017A","Total",553,30,163,85,275
"E01006638",2011,"Liverpool 017B","Total",396,14,99,76,207
"E01006639",2011,"Liverpool 017C","Total",507,66,156,121,164
"E01006640",2011,"Liverpool 021F","Total",563,122,198,104,139
"E01006641",2011,"Liverpool 025C","Total",596,91,239,121,145
"E01006642",2011,"Liverpool 025D","Total",443,18,110,73,242
"E01006643",2011,"Liverpool 025E","Total",604,42,152,112,298
"E01006644",2011,"Liverpool 017D","Total",762,71,237,162,292
"E01006645",2011,"Liverpool 017E","Total",454,28,93,84,249
"E01006646",2011,"Liverpool 023C","Total",840,146,256,109,329
"E01006647",2011,"Liverpool 024C","Total",471,18,95,71,287
"E01006648",2011,"Liverpool 023D","Total",864,156,262,105,341
"E01006651",2011,"Liverpool 001A","Total",525,102,209,118,96
"E01006652",2011,"Liverpool 002A","Total",491,62,187,97,145
"E01006653",2011,"Liverpool 001B","Total",487,50,145,102,190
"E01006654",2011,"Liverpool 005A","Total",475,46,159,125,145
"E01006655",2011,"Liverpool 001C","Total",515,71,155,116,173
"E01006656",2011,"Liverpool 002B","Total",522,60,205,118,139
"E01006657",2011,"Liverpool 002C","Total",448,47,145,89,167
"E01006658",2011,"Liverpool 001D","Total",461,28,86,99,248
"E01006659",2011,"Liverpool 005B","Total",421,34,101,92,194
"E01006660",2011,"Liverpool 001E","Total",433,29,116,97,191
