"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All families in households; measures: Value","Family Type: No dependent children in family; measures: Value","Family Type: One dependent child in family aged 0 to 4; measures: Value","Family Type: One dependent child in family aged 5 to 11; measures: Value","Family Type: One dependent child in family aged 12 to 18; measures: Value","Family Type: Two dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Two dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Two dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Three or more dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Three or more dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Three or more dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Total dependent children; measures: Value"
"E01006578",2011,"Liverpool 036A","Total",406,226,23,26,32,35,16,20,16,11,1,313
"E01006579",2011,"Liverpool 034D","Total",485,279,27,17,39,36,35,23,15,12,2,371
"E01006580",2011,"Liverpool 036B","Total",401,231,20,11,51,21,31,15,9,8,4,286
"E01006581",2011,"Liverpool 036C","Total",457,260,27,20,45,30,39,12,12,9,3,336
"E01006582",2011,"Liverpool 041A","Total",467,243,22,13,52,32,41,22,15,17,10,413
"E01006583",2011,"Liverpool 047C","Total",383,231,14,10,39,29,25,15,9,10,1,275
"E01006584",2011,"Liverpool 034E","Total",402,229,24,17,43,24,23,16,10,11,5,297
"E01006585",2011,"Liverpool 032B","Total",366,216,24,20,37,17,19,10,14,9,0,252
"E01006586",2011,"Liverpool 032C","Total",475,261,38,24,45,37,34,21,6,7,2,343
"E01006587",2011,"Liverpool 032D","Total",444,265,38,26,36,21,17,12,17,11,1,302
"E01006588",2011,"Liverpool 042C","Total",365,246,22,15,22,21,13,12,6,6,2,198
"E01006589",2011,"Liverpool 041B","Total",444,237,29,16,58,35,34,16,11,8,0,334
"E01006590",2011,"Liverpool 042D","Total",346,215,28,14,28,18,22,7,7,7,0,210
"E01006591",2011,"Liverpool 041C","Total",421,237,29,16,39,29,16,28,9,15,3,320
"E01006592",2011,"Liverpool 041D","Total",410,253,18,12,37,20,26,12,10,17,5,287
"E01006593",2011,"Liverpool 042E","Total",334,191,37,14,20,25,18,4,8,13,4,250
"E01006594",2011,"Liverpool 047D","Total",410,260,10,15,38,14,27,21,15,7,3,271
"E01006595",2011,"Liverpool 049B","Total",492,310,41,17,29,31,31,11,16,4,2,311
"E01006596",2011,"Liverpool 049C","Total",415,266,18,14,33,19,23,19,8,12,3,260
"E01006597",2011,"Liverpool 041E","Total",464,280,30,20,40,25,25,14,13,17,0,321
"E01006598",2011,"Liverpool 010A","Total",368,169,29,23,40,26,25,14,24,13,5,372
"E01006599",2011,"Liverpool 010B","Total",323,122,38,26,30,38,24,13,20,9,3,352
"E01006600",2011,"Liverpool 011A","Total",413,234,24,22,54,13,27,16,13,9,1,291
"E01006603",2011,"Liverpool 011B","Total",403,235,28,16,44,18,27,14,8,13,0,274
"E01006604",2011,"Liverpool 016A","Total",396,234,16,21,43,13,25,17,15,11,1,284
"E01006605",2011,"Liverpool 016B","Total",397,211,18,36,45,28,21,13,10,15,0,307
"E01006606",2011,"Liverpool 020A","Total",439,252,35,32,47,23,14,12,14,8,2,293
"E01006607",2011,"Liverpool 008A","Total",435,231,22,33,42,23,21,18,19,19,7,368
"E01006608",2011,"Liverpool 009A","Total",336,180,31,15,41,24,11,13,15,6,0,252
"E01006609",2011,"Liverpool 009B","Total",366,194,38,20,42,22,21,9,7,11,2,272
"E01006610",2011,"Liverpool 009C","Total",374,179,34,22,54,20,25,15,17,7,1,317
"E01006611",2011,"Liverpool 012A","Total",318,143,53,28,35,19,16,6,11,7,0,262
"E01006612",2011,"Liverpool 008B","Total",387,205,27,26,33,20,34,13,19,9,1,315
"E01006613",2011,"Liverpool 009D","Total",375,221,28,17,40,18,15,16,12,7,1,253
"E01006614",2011,"Liverpool 012B","Total",366,200,43,22,27,19,26,11,11,7,0,264
"E01006615",2011,"Liverpool 012C","Total",380,185,52,37,40,27,18,14,5,2,0,269
"E01006616",2011,"Liverpool 015D","Total",397,228,23,13,52,15,29,12,14,11,0,286
"E01006617",2011,"Liverpool 021A","Total",426,254,25,22,57,22,22,13,6,5,0,252
"E01006618",2011,"Liverpool 016C","Total",473,295,18,20,41,21,33,20,12,11,2,307
"E01006619",2011,"Liverpool 021B","Total",468,282,40,22,34,25,25,22,4,11,3,305
"E01006620",2011,"Liverpool 021C","Total",395,248,17,11,32,19,31,17,7,10,3,261
"E01006621",2011,"Liverpool 021D","Total",412,255,20,14,37,20,24,21,6,12,3,272
"E01006622",2011,"Liverpool 021E","Total",454,275,21,14,32,23,38,23,11,14,3,332
"E01006623",2011,"Liverpool 013A","Total",459,285,12,17,53,23,31,20,6,11,1,292
"E01006624",2011,"Liverpool 013B","Total",425,236,31,36,39,29,21,12,12,7,2,309
"E01006625",2011,"Liverpool 016D","Total",422,246,22,18,45,17,33,18,11,9,3,298
"E01006626",2011,"Liverpool 016E","Total",416,257,15,20,49,21,25,14,6,6,3,259
"E01006627",2011,"Liverpool 013C","Total",406,242,24,29,36,23,20,17,7,7,1,261
"E01006628",2011,"Liverpool 052D","Total",400,233,36,19,30,21,24,15,9,11,2,284
"E01006629",2011,"Liverpool 052E","Total",346,228,28,15,41,6,11,3,4,8,2,169
"E01006630",2011,"Liverpool 044B","Total",373,154,27,32,68,22,26,12,22,9,1,364
"E01006632",2011,"Liverpool 044C","Total",505,257,53,35,42,36,27,16,16,22,1,420
"E01006633",2011,"Liverpool 050B","Total",377,185,32,19,49,26,27,10,13,14,2,325
"E01006637",2011,"Liverpool 017A","Total",456,176,50,31,45,46,41,23,31,10,3,491
"E01006638",2011,"Liverpool 017B","Total",354,154,41,25,48,29,12,13,21,9,2,333
"E01006639",2011,"Liverpool 017C","Total",438,208,62,32,37,15,32,18,19,13,2,380
"E01006640",2011,"Liverpool 021F","Total",536,291,35,31,43,50,40,15,15,16,0,434
"E01006641",2011,"Liverpool 025C","Total",475,180,66,33,34,75,42,9,27,9,0,502
"E01006642",2011,"Liverpool 025D","Total",355,162,29,24,58,20,22,11,18,8,3,328
"E01006643",2011,"Liverpool 025E","Total",542,232,50,40,68,43,30,33,29,17,0,532
"E01006644",2011,"Liverpool 017D","Total",552,270,65,24,73,32,37,15,17,15,4,457
"E01006645",2011,"Liverpool 017E","Total",386,189,32,27,65,22,22,8,13,7,1,309
"E01006646",2011,"Liverpool 023C","Total",456,255,42,36,45,13,27,16,11,10,1,317
"E01006647",2011,"Liverpool 024C","Total",381,153,27,32,60,20,21,15,28,22,3,403
"E01006648",2011,"Liverpool 023D","Total",501,300,39,25,51,21,18,16,13,13,5,334
"E01006651",2011,"Liverpool 001A","Total",491,213,44,33,62,45,48,18,15,11,2,457
"E01006652",2011,"Liverpool 002A","Total",426,227,34,30,37,33,22,18,11,11,3,336
"E01006653",2011,"Liverpool 001B","Total",445,235,37,28,52,27,35,7,18,5,1,343
"E01006654",2011,"Liverpool 005A","Total",414,215,33,27,47,33,25,12,12,7,3,319
"E01006655",2011,"Liverpool 001C","Total",498,266,31,26,48,42,28,26,17,12,2,400
"E01006656",2011,"Liverpool 002B","Total",435,244,53,20,33,24,21,13,16,10,1,310
"E01006657",2011,"Liverpool 002C","Total",335,174,40,18,29,26,20,6,13,9,0,264
"E01006658",2011,"Liverpool 001D","Total",370,196,30,32,43,14,26,9,5,14,1,269
"E01006659",2011,"Liverpool 005B","Total",274,132,29,21,39,13,15,9,11,5,0,220
"E01006660",2011,"Liverpool 001E","Total",382,185,34,20,46,26,31,14,16,10,0,336
"E01006661",2011,"Liverpool 004A","Total",470,257,42,24,55,28,20,14,17,12,1,363
"E01006662",2011,"Liverpool 004B","Total",440,218,59,21,32,46,29,11,20,3,1,370
"E01006663",2011,"Liverpool 004C","Total",323,150,34,27,31,25,25,8,11,12,0,286
"E01006664",2011,"Liverpool 004D","Total",483,231,44,29,63,36,25,9,23,20,3,436
"E01006665",2011,"Liverpool 007A","Total",450,217,41,18,53,42,40,16,11,10,2,392
"E01006666",2011,"Liverpool 007B","Total",439,188,28,27,63,26,36,37,17,12,5,425
"E01006667",2011,"Liverpool 007C","Total",421,249,23,27,36,27,28,14,12,5,0,284
"E01006668",2011,"Liverpool 007D","Total",476,223,40,33,49,31,45,26,13,14,2,425
"E01006669",2011,"Liverpool 004E","Total",429,205,37,30,52,31,27,13,17,13,4,375
"E01006670",2011,"Liverpool 007E","Total",468,240,37,26,56,27,34,20,13,10,5,371
"E01006671",2011,"Liverpool 013D","Total",390,211,18,18,51,21,23,18,19,9,2,311
"E01006672",2011,"Liverpool 010E","Total",555,242,59,38,48,45,44,16,35,23,5,571
"E01006673",2011,"Liverpool 037D","Total",402,151,44,35,40,29,28,9,41,20,5,488
"E01006674",2011,"Liverpool 039C","Total",404,138,38,31,40,38,25,7,56,29,2,603
"E01006675",2011,"Liverpool 043C","Total",279,180,33,14,22,11,7,5,4,3,0,142
"E01006676",2011,"Liverpool 044D","Total",433,147,51,44,52,45,27,14,31,16,6,531
"E01006677",2011,"Liverpool 043D","Total",249,85,26,39,22,26,18,8,13,12,0,282
"E01006678",2011,"Liverpool 044E","Total",514,271,48,34,54,20,34,21,21,11,0,405
"E01006679",2011,"Liverpool 039D","Total",492,153,51,48,50,43,23,16,75,28,5,728
"E01006680",2011,"Liverpool 053B","Total",467,284,14,21,50,31,26,17,11,10,3,314
"E01006681",2011,"Liverpool 054D","Total",433,257,29,15,54,19,24,12,9,12,2,288
"E01006682",2011,"Liverpool 053C","Total",399,240,17,15,31,23,30,19,8,13,3,284
"E01006683",2011,"Liverpool 053D","Total",454,271,26,13,43,20,36,26,12,6,1,306
"E01006684",2011,"Liverpool 056B","Total",615,367,57,31,46,31,33,20,16,11,3,401
"E01006685",2011,"Liverpool 056C","Total",408,261,14,19,30,16,29,13,11,12,3,264
"E01006686",2011,"Liverpool 053E","Total",406,253,16,15,26,18,24,18,11,21,4,293
"E01006687",2011,"Liverpool 056D","Total",521,315,60,12,45,31,32,7,9,8,2,318
"E01006688",2011,"Liverpool 056E","Total",403,244,25,22,24,28,27,13,12,6,2,273
"E01006689",2011,"Liverpool 049D","Total",477,282,29,23,41,24,34,19,14,9,2,333
"E01006690",2011,"Liverpool 028A","Total",317,171,44,16,28,27,12,7,4,6,2,221
"E01006691",2011,"Liverpool 030A","Total",348,149,33,34,32,30,21,3,35,10,1,376
"E01006692",2011,"Liverpool 028B","Total",536,257,61,29,46,41,37,21,25,16,3,490
"E01006693",2011,"Liverpool 024D","Total",353,218,16,17,45,20,17,9,5,5,1,209
"E01006694",2011,"Liverpool 030B","Total",472,212,63,42,41,42,20,18,20,13,1,428
"E01006695",2011,"Liverpool 028C","Total",344,153,37,28,47,21,22,9,12,12,3,311
"E01006696",2011,"Liverpool 030C","Total",434,199,34,27,48,37,31,11,24,22,1,424
"E01006697",2011,"Liverpool 030D","Total",451,205,56,26,38,48,32,9,23,13,1,440
"E01006698",2011,"Liverpool 012D","Total",477,228,52,21,45,38,31,14,28,18,2,454
"E01006699",2011,"Liverpool 014A","Total",444,211,53,25,47,31,30,18,13,13,3,383
"E01006700",2011,"Liverpool 012E","Total",377,194,36,16,38,26,24,13,9,16,5,318
"E01006701",2011,"Liverpool 014B","Total",379,228,30,17,38,23,16,7,10,7,3,246
