"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family household; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: Dependent children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: Dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent; measures: Value","Household Composition: One family only: Lone parent: Dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types; measures: Value","Household Composition: Other household types: With dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01006553",2011,"Liverpool 042A","Total",642,167,29,138,243,14,104,36,49,19,66,50,14,2,59,40,19,232,8,129,0,95
"E01006554",2011,"Liverpool 048F","Total",649,280,34,246,209,8,104,36,44,24,60,39,17,4,37,22,15,160,16,82,2,60
"E01006556",2011,"Liverpool 039B","Total",1016,538,92,446,354,12,106,21,73,12,49,26,21,2,187,141,46,124,30,20,5,69
"E01006557",2011,"Liverpool 038B","Total",635,138,41,97,170,10,69,21,37,11,33,28,5,0,58,34,24,327,11,206,3,107
"E01006558",2011,"Liverpool 018B","Total",739,380,93,287,323,25,95,35,26,34,57,25,29,3,146,100,46,36,19,0,1,16
"E01006560",2011,"Liverpool 023A","Total",996,536,177,359,386,37,120,43,40,37,45,17,25,3,184,120,64,74,26,2,5,41
"E01006562",2011,"Liverpool 018E","Total",714,294,77,217,368,23,113,38,43,32,48,15,29,4,184,135,49,52,29,0,0,23
"E01006563",2011,"Liverpool 024B","Total",908,477,208,269,364,49,91,32,28,31,49,12,32,5,175,126,49,67,32,1,4,30
"E01006564",2011,"Liverpool 023B","Total",800,300,121,179,439,59,201,81,48,72,51,28,23,0,128,70,58,61,34,2,4,21
"E01006565",2011,"Liverpool 029A","Total",638,197,105,92,393,46,177,47,76,54,56,24,26,6,114,55,59,48,18,0,2,28
"E01006566",2011,"Liverpool 032A","Total",577,184,92,92,358,27,212,58,112,42,57,23,28,6,62,34,28,35,16,0,3,16
"E01006567",2011,"Liverpool 026A","Total",892,500,185,315,348,44,150,46,64,40,49,22,23,4,105,65,40,44,15,0,8,21
"E01006568",2011,"Liverpool 026B","Total",629,191,70,121,407,36,201,58,102,41,62,34,27,1,108,73,35,31,10,0,4,17
"E01006569",2011,"Liverpool 029B","Total",613,236,106,130,325,41,142,46,52,44,44,15,25,4,98,45,53,52,22,0,7,23
"E01006570",2011,"Liverpool 026C","Total",595,165,78,87,400,57,224,53,110,61,43,26,13,4,76,56,20,30,8,0,4,18
"E01006571",2011,"Liverpool 026D","Total",612,204,84,120,366,35,153,40,65,48,45,15,25,5,133,72,61,42,16,0,7,19
"E01006572",2011,"Liverpool 025A","Total",501,133,67,66,340,23,112,40,44,28,59,18,31,10,146,97,49,28,14,0,3,11
"E01006573",2011,"Liverpool 029C","Total",778,368,149,219,370,38,143,55,56,32,59,25,32,2,130,100,30,40,17,0,8,15
"E01006574",2011,"Liverpool 025B","Total",612,231,118,113,347,37,158,42,77,39,38,10,23,5,114,77,37,34,18,0,2,14
"E01006575",2011,"Liverpool 034A","Total",578,205,97,108,336,40,160,46,70,44,55,30,23,2,81,42,39,37,18,0,5,14
"E01006576",2011,"Liverpool 034B","Total",713,191,98,93,486,51,298,97,132,69,62,34,26,2,75,41,34,36,14,1,4,17
"E01006577",2011,"Liverpool 034C","Total",597,145,76,69,412,50,258,74,132,52,46,20,22,4,58,31,27,40,9,1,8,22
"E01006578",2011,"Liverpool 036A","Total",554,139,65,74,384,49,211,58,100,53,67,29,37,1,57,36,21,31,8,2,2,19
"E01006579",2011,"Liverpool 034D","Total",618,131,94,37,453,57,308,85,144,79,43,15,25,3,45,27,18,34,13,0,3,18
"E01006580",2011,"Liverpool 036B","Total",515,113,56,57,377,58,250,71,128,51,29,10,15,4,40,18,22,25,9,0,0,16
"E01006581",2011,"Liverpool 036C","Total",607,138,72,66,432,67,277,71,142,64,40,16,19,5,48,22,26,37,16,10,2,9
"E01006582",2011,"Liverpool 041A","Total",585,110,53,57,446,59,303,76,162,65,29,6,23,0,55,26,29,29,14,4,0,11
"E01006583",2011,"Liverpool 047C","Total",467,85,61,24,357,58,254,71,117,66,14,3,9,2,31,12,19,25,15,0,4,6
"E01006584",2011,"Liverpool 034E","Total",611,205,77,128,382,56,225,68,108,49,36,20,15,1,65,40,25,24,9,0,1,14
"E01006585",2011,"Liverpool 032B","Total",641,268,102,166,326,39,124,37,50,37,36,16,16,4,127,69,58,47,15,2,2,28
"E01006586",2011,"Liverpool 032C","Total",921,414,126,288,433,36,183,55,96,32,90,57,29,4,124,71,53,74,18,6,5,45
