"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family household; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: Dependent children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: Dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent; measures: Value","Household Composition: One family only: Lone parent: Dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types; measures: Value","Household Composition: Other household types: With dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01006678",2011,"Liverpool 044E","Total",1059,513,115,398,454,35,168,49,67,52,59,28,27,4,192,119,73,92,29,11,7,45
"E01006679",2011,"Liverpool 039D","Total",920,392,91,301,430,11,181,30,136,15,32,15,15,2,206,144,62,98,42,3,5,48
"E01006680",2011,"Liverpool 053B","Total",605,140,89,51,434,62,274,76,121,77,37,14,16,7,61,35,26,31,12,0,1,18
"E01006681",2011,"Liverpool 054D","Total",719,276,107,169,401,60,217,73,81,63,46,18,28,0,78,51,27,42,16,1,3,22
"E01006682",2011,"Liverpool 053C","Total",498,96,58,38,384,55,251,73,106,72,33,13,20,0,45,23,22,18,8,0,1,9
"E01006683",2011,"Liverpool 053D","Total",594,136,80,56,430,64,272,80,132,60,45,25,17,3,49,21,28,28,12,2,1,13
"E01006684",2011,"Liverpool 056B","Total",999,361,106,255,582,69,299,111,136,52,125,90,31,4,89,65,24,56,17,1,4,34
"E01006685",2011,"Liverpool 056C","Total",604,181,88,93,393,49,247,84,96,67,42,17,20,5,55,26,29,30,5,11,0,14
"E01006686",2011,"Liverpool 053E","Total",531,122,77,45,361,54,235,69,96,70,23,9,11,3,49,23,26,48,22,3,2,21
"E01006687",2011,"Liverpool 056D","Total",933,391,149,242,499,54,279,90,129,60,95,63,29,3,71,38,33,43,9,0,5,29
"E01006688",2011,"Liverpool 056E","Total",712,282,84,198,376,51,204,72,86,46,63,33,25,5,58,37,21,54,12,2,2,38
"E01006689",2011,"Liverpool 049D","Total",717,228,98,130,462,62,269,81,127,61,67,42,24,1,64,36,28,27,8,1,2,16
"E01006690",2011,"Liverpool 028A","Total",801,436,57,379,284,16,102,34,37,31,42,30,11,1,124,81,43,81,17,14,1,49
"E01006691",2011,"Liverpool 030A","Total",647,247,59,188,302,23,119,27,68,24,38,22,15,1,122,95,27,98,22,13,2,61
"E01006692",2011,"Liverpool 028B","Total",989,400,94,306,478,39,174,50,96,28,100,44,46,10,165,110,55,111,26,8,5,72
"E01006693",2011,"Liverpool 024D","Total",838,463,182,281,310,54,118,41,44,33,47,22,21,4,91,48,43,65,22,0,6,37
"E01006694",2011,"Liverpool 030B","Total",891,375,65,310,429,24,156,45,79,32,57,30,22,5,192,136,56,87,24,12,2,49
"E01006695",2011,"Liverpool 028C","Total",1029,637,58,579,304,14,124,41,63,20,65,41,20,4,101,84,17,88,20,9,1,58
"E01006696",2011,"Liverpool 030C","Total",768,290,78,212,397,23,177,55,79,43,51,20,29,2,146,100,46,81,25,26,1,29
"E01006697",2011,"Liverpool 030D","Total",828,319,68,251,406,38,147,43,74,30,74,31,39,4,147,113,34,103,22,22,2,57
"E01006698",2011,"Liverpool 012D","Total",725,244,70,174,446,37,186,49,80,57,70,31,32,7,153,123,30,35,15,1,0,19
"E01006699",2011,"Liverpool 014A","Total",777,322,78,244,416,35,100,44,35,21,79,33,40,6,202,144,58,39,14,0,2,23
"E01006700",2011,"Liverpool 012E","Total",653,265,61,204,348,26,141,45,56,40,53,24,27,2,128,87,41,40,14,0,3,23
"E01006701",2011,"Liverpool 014B","Total",671,290,80,210,360,30,170,59,46,65,39,16,18,5,121,76,45,21,11,0,2,8
"E01006702",2011,"Liverpool 014C","Total",740,263,84,179,413,30,123,42,38,43,68,28,36,4,192,130,62,64,23,4,3,34
"E01006703",2011,"Liverpool 014D","Total",818,447,114,333,329,28,112,43,37,32,53,24,21,8,136,84,52,42,18,0,1,23
"E01006705",2011,"Liverpool 009E","Total",689,299,57,242,349,24,137,45,50,42,57,25,28,4,131,91,40,41,11,3,1,26
"E01006706",2011,"Liverpool 045A","Total",582,186,77,109,351,39,119,38,41,40,37,10,23,4,156,98,58,45,23,2,1,19
"E01006707",2011,"Liverpool 045B","Total",553,163,89,74,348,40,113,38,33,42,41,12,24,5,154,86,68,42,25,0,0,17
"E01006708",2011,"Liverpool 045C","Total",754,249,96,153,454,45,196,70,89,37,80,30,46,4,133,82,51,51,21,0,4,26
"E01006709",2011,"Liverpool 040A","Total",685,293,118,175,345,27,130,37,57,36,66,26,35,5,122,65,57,47,8,0,4,35
"E01006710",2011,"Liverpool 045D","Total",592,136,67,69,419,32,198,69,66,63,49,15,26,8,140,101,39,37,17,0,1,19
"E01006711",2011,"Liverpool 027A","Total",685,277,83,194,356,33,144,45,71,28,59,21,33,5,120,88,32,52,22,1,1,28
"E01006712",2011,"Liverpool 029D","Total",569,194,68,126,342,26,138,43,72,23,71,31,37,3,107,70,37,33,12,0,2,19
"E01006713",2011,"Liverpool 029E","Total",604,196,95,101,370,33,161,53,69,39,72,33,36,3,104,67,37,38,18,0,3,17
"E01006716",2011,"Liverpool 032E","Total",701,285,71,214,380,21,133,49,62,22,77,41,31,5,149,115,34,36,13,1,1,21
"E01006717",2011,"Liverpool 027D","Total",576,168,67,101,373,32,207,48,93,66,42,20,18,4,92,57,35,35,14,0,3,18
"E01006718",2011,"Liverpool 027E","Total",678,245,86,159,388,40,185,55,85,45,66,24,35,7,97,59,38,45,14,0,1,30
"E01006719",2011,"Liverpool 027F","Total",638,193,69,124,414,33,179,43,91,45,74,36,34,4,128,85,43,31,16,1,0,14
"E01006720",2011,"Liverpool 035A","Total",905,361,73,288,363,5,151,37,93,21,62,33,26,3,145,116,29,181,24,65,0,92
"E01006721",2011,"Liverpool 038C","Total",912,453,136,317,355,13,88,33,43,12,79,54,22,3,175,142,33,104,8,44,2,50
"E01006722",2011,"Liverpool 038D","Total",608,155,56,99,193,12,81,13,47,21,31,18,11,2,69,45,24,260,12,154,1,93
"E01006723",2011,"Liverpool 038E","Total",749,264,63,201,227,21,88,29,35,24,44,29,13,2,74,44,30,258,23,140,1,94
"E01006724",2011,"Liverpool 038F","Total",554,113,36,77,178,16,81,26,33,22,34,27,7,0,47,24,23,263,19,153,4,87
"E01006725",2011,"Liverpool 035B","Total",739,308,84,224,356,28,140,45,57,38,67,39,25,3,121,82,39,75,17,14,2,42
"E01006726",2011,"Liverpool 035C","Total",659,226,50,176,277,20,103,39,39,25,49,34,13,2,105,77,28,156,23,66,0,67
"E01006727",2011,"Liverpool 035D","Total",665,238,63,175,357,24,144,49,56,39,90,65,21,4,99,68,31,70,18,14,0,38
"E01006728",2011,"Liverpool 035E","Total",855,399,103,296,378,21,107,41,54,12,80,54,26,0,170,128,42,78,10,30,3,35
"E01006729",2011,"Liverpool 008C","Total",539,121,74,47,378,25,110,31,46,33,51,12,34,5,192,133,59,40,23,0,1,16
"E01006730",2011,"Liverpool 011C","Total",542,165,90,75,337,21,123,30,57,36,49,15,29,5,144,88,56,40,17,0,4,19
"E01006731",2011,"Liverpool 011D","Total",486,142,61,81,312,22,124,40,51,33,48,14,33,1,118,70,48,32,17,1,2,12
"E01006732",2011,"Liverpool 011E","Total",644,170,69,101,427,36,106,27,44,35,67,16,45,6,218,152,66,47,33,0,1,13
"E01006734",2011,"Liverpool 005C","Total",625,187,79,108,395,27,109,35,41,33,52,16,30,6,207,151,56,43,22,1,1,19
"E01006735",2011,"Liverpool 005D","Total",571,207,71,136,323,25,105,25,46,34,50,18,28,4,143,96,47,41,26,0,1,14
"E01006736",2011,"Liverpool 005E","Total",582,158,57,101,363,24,140,37,61,42,50,15,30,5,149,95,54,61,22,0,3,36
"E01006737",2011,"Liverpool 005F","Total",562,142,62,80,366,33,149,40,59,50,42,9,30,3,142,87,55,54,26,1,5,22
"E01006738",2011,"Liverpool 058A","Total",662,220,97,123,399,35,116,40,44,32,68,20,37,11,180,111,69,43,26,1,0,16
"E01006739",2011,"Liverpool 058B","Total",707,225,91,134,440,28,135,33,61,41,89,23,61,5,188,129,59,42,23,0,4,15
"E01006740",2011,"Liverpool 057A","Total",604,273,83,190,286,26,86,32,35,19,54,21,27,6,120,95,25,45,16,0,1,28
"E01006741",2011,"Liverpool 058C","Total",778,251,105,146,476,35,172,58,59,55,86,16,59,11,183,108,75,51,19,0,7,25
"E01006742",2011,"Liverpool 057B","Total",591,195,75,120,351,34,162,42,78,42,60,24,28,8,95,51,44,45,15,0,2,28
"E01006743",2011,"Liverpool 058D","Total",1008,385,99,286,543,30,241,77,120,44,101,52,41,8,171,125,46,80,31,3,3,43
"E01006744",2011,"Liverpool 057C","Total",739,321,81,240,378,33,133,53,54,26,83,43,38,2,129,87,42,40,11,0,1,28
"E01006745",2011,"Liverpool 057D","Total",907,407,65,342,446,30,164,59,69,36,87,48,32,7,165,134,31,54,18,3,3,30
"E01006746",2011,"Liverpool 030E","Total",655,216,88,128,314,43,103,33,44,26,38,19,18,1,130,69,61,125,15,67,3,40
"E01006747",2011,"Liverpool 031B","Total",857,460,69,391,219,8,102,35,46,21,43,33,10,0,66,38,28,178,10,112,0,56
"E01006748",2011,"Liverpool 031C","Total",756,239,75,164,230,16,90,38,32,20,32,19,12,1,92,61,31,287,11,197,1,78
"E01006751",2011,"Liverpool 031F","Total",831,301,118,183,366,21,126,31,63,32,44,26,15,3,175,117,58,164,40,74,3,47
"E01006752",2011,"Liverpool 035F","Total",489,232,54,178,216,14,92,30,41,21,37,21,15,1,73,50,23,41,12,8,0,21
"E01006753",2011,"Liverpool 059A","Total",666,211,75,136,397,29,125,45,43,37,67,18,43,6,176,126,50,58,31,0,2,25
"E01006754",2011,"Liverpool 059B","Total",781,322,110,212,400,28,144,56,52,36,56,23,30,3,172,123,49,59,20,0,3,36
"E01006755",2011,"Liverpool 059C","Total",690,257,76,181,385,17,114,41,43,30,59,19,37,3,195,142,53,48,23,0,1,24
"E01006756",2011,"Liverpool 059D","Total",757,220,66,154,484,25,159,44,63,52,76,25,49,2,224,171,53,53,30,0,4,19
"E01006757",2011,"Liverpool 059E","Total",621,203,73,130,376,24,129,39,55,35,70,18,48,4,153,119,34,42,23,0,1,18
"E01006758",2011,"Liverpool 059F","Total",639,199,71,128,391,25,130,39,48,43,61,19,38,4,175,125,50,49,24,0,3,22
"E01006759",2011,"Liverpool 028D","Total",460,180,41,139,233,17,112,32,51,29,37,16,19,2,67,51,16,47,18,2,1,26
"E01006760",2011,"Liverpool 028E","Total",826,498,70,428,228,11,94,26,40,28,58,35,21,2,65,50,15,100,15,12,0,73
"E01006761",2011,"Liverpool 020B","Total",793,383,98,285,362,31,159,50,63,46,46,19,26,1,126,85,41,48,16,2,1,29
"E01006762",2011,"Liverpool 015E","Total",725,226,80,146,454,44,182,60,64,58,59,18,33,8,169,108,61,45,29,0,2,14
"E01006763",2011,"Liverpool 020C","Total",652,217,72,145,391,32,151,54,63,34,65,31,32,2,143,97,46,44,16,0,1,27
"E01006764",2011,"Liverpool 020D","Total",667,259,47,212,339,27,132,43,60,29,59,26,29,4,121,88,33,69,26,2,2,39
"E01006765",2011,"Liverpool 020E","Total",659,243,85,158,373,30,159,52,71,36,47,25,19,3,137,91,46,43,18,0,1,24
"E01006766",2011,"Liverpool 019E","Total",574,232,49,183,293,15,84,23,39,22,62,22,37,3,132,99,33,49,21,1,2,25
"E01006767",2011,"Liverpool 019F","Total",779,294,64,230,398,23,139,33,68,38,89,35,52,2,147,112,35,87,22,7,2,56
"E01006768",2011,"Liverpool 020F","Total",587,234,37,197,301,35,163,39,76,48,43,24,14,5,60,37,23,52,12,1,1,38
"E01006769",2011,"Liverpool 040B","Total",712,401,199,202,291,33,92,33,38,21,44,20,21,3,122,76,46,20,7,0,3,10
"E01006770",2011,"Liverpool 040C","Total",445,160,77,83,256,26,87,27,37,23,40,9,24,7,103,61,42,29,13,0,4,12
"E01006771",2011,"Liverpool 040D","Total",694,296,141,155,352,34,108,37,39,32,52,21,24,7,158,99,59,46,22,0,5,19
"E01006772",2011,"Liverpool 040E","Total",480,168,81,87,286,30,153,55,53,45,27,13,12,2,76,42,34,26,12,1,0,13
"E01006773",2011,"Liverpool 036D","Total",554,114,48,66,419,52,237,70,111,56,55,29,23,3,75,39,36,21,7,0,0,14
"E01006774",2011,"Liverpool 036E","Total",552,124,62,62,400,33,261,65,137,59,34,16,15,3,72,37,35,28,12,1,1,14
"E01006775",2011,"Liverpool 040F","Total",556,165,82,83,343,42,117,42,33,42,34,9,16,9,150,68,82,48,32,0,4,12
"E01006776",2011,"Liverpool 022B","Total",844,386,154,232,398,28,160,71,50,39,68,40,25,3,142,83,59,60,21,2,10,27
"E01006778",2011,"Liverpool 014E","Total",1124,496,132,364,507,31,129,53,45,31,84,47,30,7,263,161,102,121,37,2,11,71
"E01006779",2011,"Liverpool 022D","Total",902,334,160,174,477,29,125,35,45,45,51,28,20,3,272,171,101,91,31,1,6,53
"E01006780",2011,"Liverpool 002D","Total",619,191,80,111,382,39,180,56,76,48,69,33,31,5,94,62,32,46,20,0,3,23
"E01006781",2011,"Liverpool 003A","Total",600,163,60,103,406,36,236,72,97,67,65,23,36,6,69,45,24,31,13,0,1,17
"E01006782",2011,"Liverpool 003B","Total",691,271,79,192,382,24,189,57,81,51,61,31,29,1,108,75,33,38,12,2,3,21
"E01006783",2011,"Liverpool 002E","Total",645,199,73,126,404,34,191,47,91,53,64,29,31,4,115,83,32,42,16,0,0,26
"E01006784",2011,"Liverpool 003C","Total",586,209,57,152,343,19,173,46,88,39,68,40,25,3,83,49,34,34,15,0,2,17
"E01006785",2011,"Liverpool 003D","Total",781,275,87,188,421,42,179,49,77,53,78,39,36,3,122,87,35,85,27,0,6,52
"E01006786",2011,"Liverpool 003E","Total",764,237,67,170,491,50,264,79,129,56,90,50,32,8,87,55,32,36,17,0,2,17
"E01006787",2011,"Liverpool 006A","Total",691,312,43,269,286,23,134,38,70,26,39,14,23,2,90,73,17,93,25,5,3,60
"E01006788",2011,"Liverpool 006B","Total",681,137,62,75,476,36,222,60,102,60,77,25,48,4,141,98,43,68,27,1,4,36
"E01006790",2011,"Liverpool 006C","Total",801,350,108,242,406,23,124,46,49,29,60,23,34,3,199,148,51,45,12,0,1,32
"E01006791",2011,"Liverpool 006D","Total",873,418,127,291,390,39,146,57,46,43,50,20,26,4,155,91,64,65,22,0,7,36
"E01006792",2011,"Liverpool 046A","Total",557,138,100,38,396,95,234,62,106,66,37,22,12,3,30,19,11,23,10,0,2,11
"E01006793",2011,"Liverpool 051A","Total",759,337,134,203,388,68,173,72,67,34,61,38,20,3,86,56,30,34,12,0,3,19
"E01006794",2011,"Liverpool 046B","Total",711,224,85,139,454,72,262,93,106,63,50,30,19,1,70,42,28,33,7,0,3,23
"E01006795",2011,"Liverpool 051B","Total",628,215,89,126,384,50,226,77,103,46,62,39,19,4,46,27,19,29,8,0,4,17
"E01006796",2011,"Liverpool 047E","Total",581,105,71,34,452,77,325,90,160,75,28,12,11,5,22,9,13,24,8,0,3,13
"E01006797",2011,"Liverpool 051C","Total",707,297,101,196,382,45,181,56,74,51,50,21,27,2,106,64,42,28,14,0,1,13
"E01006798",2011,"Liverpool 051D","Total",609,183,74,109,399,68,223,70,89,64,61,40,19,2,47,28,19,27,7,0,4,16
"E01006799",2011,"Liverpool 051E","Total",1145,719,351,368,374,64,152,70,50,32,65,46,15,4,93,47,46,52,11,0,15,26
"E01006800",2011,"Liverpool 046C","Total",679,257,137,120,389,119,186,73,66,47,31,16,13,2,53,20,33,33,16,2,4,11
"E01006801",2011,"Liverpool 046D","Total",609,171,106,65,415,98,227,88,73,66,44,28,14,2,46,17,29,23,7,0,5,11
"E01032505",2011,"Liverpool 050F","Total",563,182,68,114,332,37,171,59,74,38,39,16,19,4,85,57,28,49,17,1,2,29
"E01032506",2011,"Liverpool 050G","Total",656,260,72,188,327,29,141,49,49,43,68,37,30,1,89,56,33,69,11,8,2,48
"E01032507",2011,"Liverpool 050H","Total",666,195,43,152,350,30,144,45,59,40,97,68,25,4,79,48,31,121,13,18,2,88
"E01032508",2011,"Liverpool 027G","Total",847,399,102,297,376,25,130,35,56,39,62,30,29,3,159,105,54,72,31,2,6,33
"E01032509",2011,"Liverpool 027H","Total",665,247,67,180,369,34,111,32,50,29,76,31,45,0,148,106,42,49,23,3,3,20
"E01032510",2011,"Liverpool 008F","Total",776,262,69,193,463,42,216,52,105,59,84,34,47,3,121,76,45,51,22,1,2,26
"E01032511",2011,"Liverpool 008G","Total",616,199,61,138,400,37,203,73,65,65,53,31,21,1,107,71,36,17,8,0,1,8
"E01033747",2011,"Liverpool 018F","Total",496,233,78,155,221,20,73,26,28,19,25,9,16,0,103,73,30,42,25,0,1,16
"E01033748",2011,"Liverpool 050I","Total",772,369,15,354,265,4,81,46,28,7,139,133,6,0,41,31,10,138,1,25,1,111
"E01033749",2011,"Liverpool 042F","Total",1039,973,5,968,46,4,16,8,6,2,13,6,7,0,13,11,2,20,2,8,0,10
"E01033750",2011,"Liverpool 061A","Total",905,504,17,487,265,10,96,55,35,6,131,125,6,0,28,17,11,136,4,20,0,112
"E01033751",2011,"Liverpool 062A","Total",603,313,47,266,202,4,75,51,14,10,75,64,10,1,48,37,11,88,8,23,0,57
"E01033752",2011,"Liverpool 062B","Total",790,448,4,444,193,0,60,37,21,2,128,125,2,1,5,3,2,149,4,44,0,101
"E01033753",2011,"Liverpool 062C","Total",714,423,6,417,162,2,47,30,15,2,107,102,4,1,6,2,4,129,3,41,0,85
"E01033754",2011,"Liverpool 061B","Total",838,396,50,346,252,18,70,43,13,14,118,107,10,1,46,27,19,190,10,49,2,129
"E01033755",2011,"Liverpool 062D","Total",675,341,6,335,163,1,42,23,18,1,112,106,6,0,8,5,3,171,0,44,0,127
"E01033756",2011,"Liverpool 061C","Total",733,414,10,404,164,8,76,56,20,0,74,72,2,0,6,6,0,155,0,75,0,80
"E01033757",2011,"Liverpool 037E","Total",715,548,15,533,79,1,21,14,7,0,21,18,3,0,36,22,14,88,7,61,1,19
"E01033758",2011,"Liverpool 060B","Total",475,312,15,297,97,2,32,18,12,2,37,35,2,0,26,17,9,66,3,39,0,24
"E01033759",2011,"Liverpool 010F","Total",480,142,65,77,319,24,115,40,40,35,64,19,40,5,116,78,38,19,10,0,0,9
"E01033760",2011,"Liverpool 060C","Total",529,330,5,325,81,2,17,14,3,0,52,52,0,0,10,9,1,118,0,71,0,47
"E01033761",2011,"Liverpool 060D","Total",832,415,3,412,163,0,29,20,7,2,124,124,0,0,10,8,2,254,2,104,0,148
"E01033762",2011,"Liverpool 060E","Total",456,282,38,244,90,2,27,16,9,2,51,49,1,1,10,5,5,84,3,39,0,42
"E01033763",2011,"Liverpool 031G","Total",820,507,140,367,209,20,81,27,29,25,16,10,2,4,92,45,47,104,20,37,4,43
"E01033764",2011,"Liverpool 022E","Total",1172,607,197,410,473,38,148,52,47,49,53,33,16,4,234,142,92,92,28,4,7,53
"E01033765",2011,"Liverpool 061D","Total",659,282,68,214,320,18,115,53,34,28,52,28,21,3,135,96,39,57,19,6,1,31
"E01033766",2011,"Liverpool 042G","Total",424,104,28,76,201,13,87,31,32,24,47,33,11,3,54,33,21,119,4,45,1,69
"E01033767",2011,"Liverpool 050J","Total",562,261,65,196,267,14,69,28,24,17,43,26,14,3,141,106,35,34,6,1,1,26
"E01033768",2011,"Liverpool 037F","Total",835,599,50,549,155,4,37,14,22,1,58,44,13,1,56,37,19,81,6,24,0,51
