"lsoa11cd","date","lsoa11nm","Rural Urban","Economic Activity: All categories: Economic activity; measures: Value","Economic Activity: Economically active: Total; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically inactive: Total; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1666,645,87,283,1,6,14,22,59,173,1021,32,822,49,81,37
"E01006513",2011,"Liverpool 060A","Total",2853,1312,92,414,2,22,26,43,43,670,1541,25,1419,8,58,31
"E01006514",2011,"Liverpool 037A","Total",1955,1129,146,400,2,24,27,59,121,350,826,95,525,25,128,53
"E01006515",2011,"Liverpool 037B","Total",921,557,107,294,1,7,15,24,61,48,364,104,75,46,96,43
"E01006518",2011,"Liverpool 044A","Total",1229,669,174,317,1,5,12,28,90,42,560,167,82,56,188,67
"E01006519",2011,"Liverpool 056A","Total",949,676,132,397,7,16,21,46,25,32,273,163,63,14,24,9
"E01006520",2011,"Liverpool 043A","Total",1523,1174,112,761,2,21,30,76,109,63,349,114,65,16,129,25
"E01006521",2011,"Liverpool 052A","Total",1256,877,112,524,4,34,28,57,69,49,379,166,68,29,82,34
"E01006522",2011,"Liverpool 048A","Total",1564,1161,108,744,2,23,19,77,123,65,403,75,74,36,179,39
"E01006523",2011,"Liverpool 052B","Total",1242,902,121,562,3,22,38,40,83,33,340,99,69,38,109,25
"E01006524",2011,"Liverpool 048B","Total",2033,930,80,403,1,31,32,40,19,324,1103,132,900,23,35,13
"E01006525",2011,"Liverpool 049A","Total",942,679,129,385,3,22,21,41,35,43,263,151,60,20,25,7
"E01006526",2011,"Liverpool 048C","Total",1029,760,127,438,4,17,28,55,45,46,269,141,35,19,55,19
"E01006527",2011,"Liverpool 053A","Total",1103,736,138,402,3,15,13,35,54,76,367,178,108,21,39,21
"E01006528",2011,"Liverpool 052C","Total",1157,838,121,485,4,22,24,48,63,71,319,106,113,31,43,26
"E01006529",2011,"Liverpool 048D","Total",1007,751,121,486,1,11,19,35,37,41,256,132,49,17,35,23
"E01006530",2011,"Liverpool 055A","Total",1005,683,149,410,2,14,15,27,26,40,322,203,49,22,33,15
"E01006531",2011,"Liverpool 055B","Total",997,597,114,370,2,17,13,29,20,32,400,271,55,26,33,15
"E01006532",2011,"Liverpool 047A","Total",1132,763,134,385,10,83,39,50,29,33,369,216,72,44,24,13
"E01006533",2011,"Liverpool 055C","Total",992,640,135,336,3,31,25,24,52,34,352,202,45,26,50,29
"E01006534",2011,"Liverpool 054A","Total",1158,779,171,423,6,21,12,44,58,44,379,137,82,51,88,21
"E01006535",2011,"Liverpool 054B","Total",1222,834,164,467,4,16,21,31,80,51,388,172,60,37,100,19
"E01006536",2011,"Liverpool 054C","Total",1386,894,212,457,3,12,19,40,108,43,492,200,76,62,123,31
"E01006537",2011,"Liverpool 055D","Total",1728,1272,239,754,5,36,31,64,89,54,456,188,69,72,89,38
"E01006538",2011,"Liverpool 055E","Total",972,693,144,405,5,7,12,42,45,33,279,137,46,33,53,10
"E01006539",2011,"Liverpool 047B","Total",1117,766,150,379,5,54,41,61,31,45,351,200,59,27,41,24
"E01006540",2011,"Liverpool 024A","Total",1139,671,151,275,2,6,4,25,163,45,468,103,79,84,151,51
"E01006541",2011,"Liverpool 015A","Total",1211,811,175,450,2,7,16,39,83,39,400,171,47,35,122,25
"E01006542",2011,"Liverpool 018A","Total",1025,638,144,337,4,10,9,29,69,36,387,92,59,48,155,33
"E01006543",2011,"Liverpool 015B","Total",966,672,144,379,2,12,15,38,36,46,294,155,47,32,47,13
"E01006544",2011,"Liverpool 015C","Total",1190,676,189,312,3,5,6,23,106,32,514,154,87,80,151,42
"E01006545",2011,"Liverpool 019A","Total",1083,741,183,413,0,4,13,31,62,35,342,136,62,50,68,26
"E01006546",2011,"Liverpool 019B","Total",942,646,134,344,2,3,13,28,92,30,296,75,46,59,84,32
"E01006547",2011,"Liverpool 019C","Total",1125,680,139,290,2,9,18,37,147,38,445,127,80,78,118,42
"E01006548",2011,"Liverpool 019D","Total",1177,702,171,326,4,8,5,27,104,57,475,159,101,59,111,45
"E01006549",2011,"Liverpool 043B","Total",1456,982,129,503,2,20,37,51,134,106,474,81,177,23,157,36
"E01006550",2011,"Liverpool 038A","Total",1466,687,72,232,1,5,13,23,38,303,779,51,672,21,24,11
"E01006551",2011,"Liverpool 048E","Total",1298,578,74,239,2,9,14,44,67,129,720,187,322,40,129,42
"E01006552",2011,"Liverpool 039A","Total",1403,848,160,330,6,18,25,58,161,90,555,83,168,120,91,93
"E01006553",2011,"Liverpool 042A","Total",1673,987,125,441,1,13,19,36,42,310,686,82,526,17,37,24
"E01006554",2011,"Liverpool 048F","Total",1500,875,101,364,5,23,32,58,73,219,625,81,416,22,82,24
"E01006556",2011,"Liverpool 039B","Total",1510,835,170,273,7,22,25,38,213,87,675,102,186,97,174,116
"E01006557",2011,"Liverpool 038B","Total",1874,895,106,303,3,11,12,33,53,374,979,55,839,37,28,20
"E01006558",2011,"Liverpool 018B","Total",1057,612,147,290,2,7,4,12,134,16,445,132,45,63,144,61
"E01006560",2011,"Liverpool 023A","Total",1419,718,187,283,4,6,8,17,178,35,701,223,66,67,274,71
"E01006562",2011,"Liverpool 018E","Total",1109,593,146,256,2,8,9,25,114,33,516,136,70,70,175,65
"E01006563",2011,"Liverpool 024B","Total",1224,581,131,228,2,2,10,17,160,31,643,256,58,80,188,61
"E01006564",2011,"Liverpool 023B","Total",1354,793,204,394,2,7,19,34,103,30,561,281,56,42,139,43
"E01006565",2011,"Liverpool 029A","Total",1119,750,176,402,0,4,18,28,83,39,369,169,47,38,90,25
"E01006566",2011,"Liverpool 032A","Total",1078,763,157,425,6,9,21,42,59,44,315,155,60,36,40,24
"E01006567",2011,"Liverpool 026A","Total",1237,781,163,380,4,15,21,40,108,50,456,177,48,28,159,44
"E01006568",2011,"Liverpool 026B","Total",1145,818,163,484,1,12,12,39,67,40,327,127,52,41,83,24
"E01006569",2011,"Liverpool 029B","Total",1035,609,125,303,0,11,10,40,85,35,426,182,48,48,110,38
"E01006570",2011,"Liverpool 026C","Total",1082,783,158,448,3,23,21,47,39,44,299,154,58,26,42,19
"E01006571",2011,"Liverpool 026D","Total",1050,659,163,318,2,5,11,39,95,26,391,137,61,59,113,21
"E01006572",2011,"Liverpool 025A","Total",834,481,141,213,1,3,11,24,63,25,353,114,41,70,98,30
"E01006573",2011,"Liverpool 029C","Total",1055,702,149,378,0,2,8,42,105,18,353,134,51,52,86,30
"E01006574",2011,"Liverpool 025B","Total",966,606,152,291,7,14,7,27,79,29,360,144,48,53,93,22
"E01006575",2011,"Liverpool 034A","Total",956,631,150,333,3,12,12,34,57,30,325,154,60,29,67,15
"E01006576",2011,"Liverpool 034B","Total",1264,945,180,584,7,21,22,59,37,35,319,178,56,22,55,8
"E01006577",2011,"Liverpool 034C","Total",1106,811,181,470,1,15,26,51,24,43,295,160,62,32,27,14
"E01006578",2011,"Liverpool 036A","Total",1020,760,156,444,4,20,17,48,37,34,260,137,45,32,31,15
"E01006579",2011,"Liverpool 034D","Total",1177,857,186,492,4,21,20,45,55,34,320,197,49,32,30,12
"E01006580",2011,"Liverpool 036B","Total",1015,749,159,416,5,22,23,49,33,42,266,152,57,27,22,8
"E01006581",2011,"Liverpool 036C","Total",1152,818,190,464,2,17,14,45,36,50,334,187,71,36,26,14
"E01006582",2011,"Liverpool 041A","Total",1192,860,171,495,2,24,40,40,30,58,332,174,95,23,29,11
"E01006583",2011,"Liverpool 047C","Total",1408,898,146,325,7,41,36,44,31,268,510,163,306,14,19,8
"E01006584",2011,"Liverpool 034E","Total",1042,744,157,412,3,12,19,46,59,36,298,165,43,16,62,12
"E01006585",2011,"Liverpool 032B","Total",1005,592,125,311,3,11,7,18,83,34,413,158,49,41,131,34
"E01006586",2011,"Liverpool 032C","Total",1460,989,204,523,2,17,23,67,96,57,471,174,90,48,124,35
"E01006587",2011,"Liverpool 032D","Total",1280,877,159,516,4,29,21,43,65,40,403,185,54,39,88,37
"E01006588",2011,"Liverpool 042C","Total",1264,921,154,523,6,19,38,39,67,75,343,123,118,23,62,17
"E01006589",2011,"Liverpool 041B","Total",1116,834,200,460,4,15,17,56,32,50,282,158,61,29,26,8
"E01006590",2011,"Liverpool 042D","Total",1369,977,157,600,1,18,19,41,51,90,392,102,196,22,54,18
"E01006591",2011,"Liverpool 041C","Total",1289,937,150,547,6,17,26,45,54,92,352,139,137,28,29,19
"E01006592",2011,"Liverpool 041D","Total",1136,798,151,412,4,52,33,71,28,47,338,168,93,41,19,17
"E01006593",2011,"Liverpool 042E","Total",1255,894,141,556,3,10,32,30,37,85,361,94,191,25,39,12
"E01006594",2011,"Liverpool 047D","Total",1054,714,136,360,9,52,29,63,30,35,340,204,73,32,20,11
"E01006595",2011,"Liverpool 049B","Total",1313,950,161,612,5,16,25,38,50,43,363,190,70,33,54,16
"E01006596",2011,"Liverpool 049C","Total",1095,813,160,491,2,11,23,40,45,41,282,130,61,33,37,21
"E01006597",2011,"Liverpool 041E","Total",1232,882,152,505,6,37,34,71,40,37,350,195,83,33,22,17
"E01006598",2011,"Liverpool 010A","Total",927,486,107,225,0,1,2,18,106,27,441,136,63,64,137,41
"E01006599",2011,"Liverpool 010B","Total",778,486,127,196,2,3,4,15,112,27,292,85,45,72,59,31
"E01006600",2011,"Liverpool 011A","Total",1030,646,161,320,1,10,16,34,66,38,384,129,55,52,114,34
"E01006603",2011,"Liverpool 011B","Total",1025,624,154,296,3,8,16,28,87,32,401,170,52,36,102,41
"E01006604",2011,"Liverpool 016A","Total",1019,676,172,332,3,10,11,37,84,27,343,134,49,43,93,24
"E01006605",2011,"Liverpool 016B","Total",1121,699,171,331,5,14,5,35,101,37,422,144,56,47,142,33
