"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family only: Total; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married couple: Total; measures: Value","Household Composition: One family only: Married couple: No children; measures: Value","Household Composition: One family only: Married couple: One dependent child; measures: Value","Household Composition: One family only: Married couple: Two or more dependent children; measures: Value","Household Composition: One family only: Married couple: All children non-dependent; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Total; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: One dependent child; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Two or more dependent children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple: Total; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: One dependent child; measures: Value","Household Composition: One family only: Cohabiting couple: Two or more dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent: Total; measures: Value","Household Composition: One family only: Lone parent: One dependent child; measures: Value","Household Composition: One family only: Lone parent: Two or more dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types: Total; measures: Value","Household Composition: Other household types: With one dependent child; measures: Value","Household Composition: Other household types: With two or more dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01006637",2011,"Liverpool 017A","Total",670,208,66,142,413,23,135,41,21,44,29,0,0,0,0,0,62,25,9,23,5,193,79,76,38,49,12,13,0,1,23
"E01006638",2011,"Liverpool 017B","Total",518,161,60,101,320,22,107,24,28,23,32,0,0,0,0,0,46,15,16,8,7,145,54,49,42,37,12,9,1,1,14
"E01006639",2011,"Liverpool 017C","Total",640,199,71,128,406,33,182,51,41,42,48,1,0,1,0,0,66,23,25,17,1,124,53,33,38,35,7,9,0,3,16
"E01006640",2011,"Liverpool 021F","Total",760,217,91,126,497,62,282,74,53,94,61,0,0,0,0,0,60,33,10,16,1,93,38,18,37,46,9,11,0,3,23
"E01006641",2011,"Liverpool 025C","Total",633,154,17,137,446,11,238,65,47,103,23,0,0,0,0,0,103,44,29,25,5,94,44,29,21,33,11,7,1,0,14
"E01006642",2011,"Liverpool 025D","Total",590,219,81,138,327,25,98,33,15,22,28,0,0,0,0,0,53,15,14,22,2,151,71,35,45,44,10,9,0,6,19
"E01006643",2011,"Liverpool 025E","Total",740,198,57,141,494,28,170,50,31,58,31,0,0,0,0,0,88,34,20,28,6,208,81,61,66,48,17,12,0,3,16
"E01006644",2011,"Liverpool 017D","Total",963,404,114,290,489,39,187,52,39,48,48,0,0,0,0,0,92,45,21,21,5,171,80,39,52,70,15,18,1,3,33
"E01006645",2011,"Liverpool 017E","Total",690,299,138,161,341,37,108,35,17,22,34,0,0,0,0,0,27,9,9,6,3,169,78,39,52,50,12,12,0,4,22
"E01006646",2011,"Liverpool 023C","Total",1006,503,94,409,400,17,136,58,27,23,28,1,0,0,0,1,98,77,6,10,5,148,66,34,48,103,18,15,14,7,49
"E01006647",2011,"Liverpool 024C","Total",636,242,92,150,347,22,104,30,16,33,25,0,0,0,0,0,34,8,8,14,4,187,81,57,49,47,12,6,0,9,20
"E01006648",2011,"Liverpool 023D","Total",1075,428,125,303,453,26,154,48,30,26,50,1,1,0,0,0,89,65,12,7,5,183,63,44,76,194,8,10,38,4,134
"E01006651",2011,"Liverpool 001A","Total",592,103,27,76,459,14,295,78,69,96,52,0,0,0,0,0,67,27,23,14,3,83,35,25,23,30,10,7,0,0,13
"E01006652",2011,"Liverpool 002A","Total",633,193,67,126,401,41,195,58,32,51,54,0,0,0,0,0,63,25,23,11,4,102,41,30,31,39,6,7,1,4,21
"E01006653",2011,"Liverpool 001B","Total",656,203,74,129,413,43,171,50,46,46,29,0,0,0,0,0,60,27,16,13,4,139,41,31,67,40,12,5,1,4,18
"E01006654",2011,"Liverpool 005A","Total",627,217,98,119,379,30,221,61,45,59,56,0,0,0,0,0,52,28,9,10,5,76,44,16,16,31,8,8,0,1,14
"E01006655",2011,"Liverpool 001C","Total",706,194,88,106,463,37,211,64,35,55,57,0,0,0,0,0,75,22,22,23,8,140,38,39,63,49,9,9,0,4,27
"E01006656",2011,"Liverpool 002B","Total",669,222,69,153,413,34,186,62,32,37,55,0,0,0,0,0,75,41,19,14,1,118,52,28,38,34,2,8,2,4,18
"E01006657",2011,"Liverpool 002C","Total",582,236,71,165,323,24,130,43,23,34,30,0,0,0,0,0,61,28,14,13,6,108,44,26,38,23,6,3,0,2,12
"E01006658",2011,"Liverpool 001D","Total",634,254,84,170,339,35,99,36,18,18,27,0,0,0,0,0,55,23,15,10,7,150,62,35,53,41,6,9,0,5,21
"E01006659",2011,"Liverpool 005B","Total",548,264,77,187,254,17,90,22,24,20,24,1,0,0,0,1,42,20,11,7,4,104,46,23,35,30,8,3,0,1,18
"E01006660",2011,"Liverpool 001E","Total",616,226,97,129,352,32,177,33,41,57,46,0,0,0,0,0,48,15,17,12,4,95,31,27,37,38,8,5,0,6,19
"E01006661",2011,"Liverpool 004A","Total",749,269,123,146,423,56,151,46,31,29,45,0,0,0,0,0,55,18,14,18,5,161,62,37,62,57,14,10,0,2,31
"E01006662",2011,"Liverpool 004B","Total",785,333,162,171,409,36,154,40,34,48,32,0,0,0,0,0,77,34,23,17,3,142,48,39,55,43,11,7,1,4,20
"E01006663",2011,"Liverpool 004C","Total",510,175,64,111,294,11,116,37,34,28,17,0,0,0,0,0,65,30,13,19,3,102,38,29,35,41,5,7,0,6,23
"E01006664",2011,"Liverpool 004D","Total",822,327,128,199,447,25,163,55,21,45,42,0,0,0,0,0,85,40,22,18,5,174,81,43,50,48,11,12,0,5,20
"E01006665",2011,"Liverpool 007A","Total",630,180,49,131,416,22,247,75,52,70,50,3,1,1,1,0,62,34,12,14,2,82,34,27,21,34,11,10,0,1,12
"E01006666",2011,"Liverpool 007B","Total",514,84,30,54,399,19,266,52,64,99,51,0,0,0,0,0,51,26,14,10,1,63,29,15,19,31,11,11,0,0,9
"E01006667",2011,"Liverpool 007C","Total",618,188,78,110,382,38,190,73,31,44,42,1,1,0,0,0,43,28,6,8,1,110,39,30,41,48,9,6,0,3,30
"E01006668",2011,"Liverpool 007D","Total",590,119,32,87,446,26,254,75,65,74,40,0,0,0,0,0,86,46,16,19,5,80,30,33,17,25,8,9,0,0,8
"E01006669",2011,"Liverpool 004E","Total",551,123,28,95,397,15,249,72,61,70,46,0,0,0,0,0,67,29,14,18,6,66,36,12,18,31,10,7,1,1,12
"E01006670",2011,"Liverpool 007E","Total",607,133,38,95,444,44,242,78,56,60,48,0,0,0,0,0,63,25,18,16,4,95,42,29,24,30,5,5,0,0,20
"E01006671",2011,"Liverpool 013D","Total",499,115,52,63,341,37,199,53,35,51,60,1,0,0,0,1,32,11,6,10,5,72,34,19,19,43,11,12,0,1,19
"E01006672",2011,"Liverpool 010E","Total",798,238,80,158,516,37,197,48,33,59,57,3,3,0,0,0,94,29,27,30,8,185,70,68,47,44,10,18,0,2,14
"E01006673",2011,"Liverpool 037D","Total",954,482,125,357,355,7,112,25,26,54,7,1,0,0,0,1,57,41,3,10,3,178,77,51,50,117,7,21,26,3,60
"E01006674",2011,"Liverpool 039C","Total",826,400,113,287,356,13,138,24,27,78,9,0,0,0,0,0,28,17,8,2,1,177,58,61,58,70,10,20,7,4,29
"E01006675",2011,"Liverpool 043C","Total",1132,766,71,695,252,4,90,52,16,10,12,1,1,0,0,0,98,84,10,4,0,59,35,11,13,114,9,6,20,3,76
"E01006676",2011,"Liverpool 044D","Total",761,290,83,207,389,17,131,33,26,53,19,1,1,0,0,0,44,17,9,15,3,196,91,57,48,82,18,18,7,2,37
"E01006677",2011,"Liverpool 043D","Total",477,210,58,152,224,10,64,15,8,31,10,0,0,0,0,0,19,8,4,6,1,131,64,35,32,43,14,7,0,1,21
"E01006678",2011,"Liverpool 044E","Total",1059,513,115,398,454,35,168,49,28,39,52,0,0,0,0,0,59,28,14,13,4,192,71,48,73,92,19,10,11,7,45
"E01006679",2011,"Liverpool 039D","Total",920,392,91,301,430,11,180,29,41,95,15,1,1,0,0,0,32,15,7,8,2,206,79,65,62,98,14,28,3,5,48
"E01006680",2011,"Liverpool 053B","Total",605,140,89,51,434,62,273,76,54,66,77,1,0,0,1,0,37,14,8,8,7,61,16,19,26,31,7,5,0,1,18
"E01006681",2011,"Liverpool 054D","Total",719,276,107,169,401,60,217,73,39,42,63,0,0,0,0,0,46,18,15,13,0,78,34,17,27,42,8,8,1,3,22
"E01006682",2011,"Liverpool 053C","Total",498,96,58,38,384,55,251,73,35,71,72,0,0,0,0,0,33,13,8,12,0,45,14,9,22,18,3,5,0,1,9
"E01006683",2011,"Liverpool 053D","Total",594,136,80,56,430,64,272,80,47,85,60,0,0,0,0,0,45,25,9,8,3,49,13,8,28,28,11,1,2,1,13
"E01006684",2011,"Liverpool 056B","Total",999,361,106,255,582,69,298,110,58,78,52,1,1,0,0,0,125,90,24,7,4,89,42,23,24,56,12,5,1,4,34
"E01006685",2011,"Liverpool 056C","Total",604,181,88,93,393,49,246,83,32,64,67,1,1,0,0,0,42,17,11,9,5,55,17,9,29,30,3,2,11,0,14
"E01006686",2011,"Liverpool 053E","Total",531,122,77,45,361,54,234,69,26,69,70,1,0,0,1,0,23,9,2,9,3,49,15,8,26,48,14,8,3,2,21
"E01006687",2011,"Liverpool 056D","Total",933,391,149,242,499,54,276,88,63,65,60,3,2,1,0,0,95,63,18,11,3,71,27,11,33,43,5,4,0,5,29
"E01006688",2011,"Liverpool 056E","Total",712,282,84,198,376,51,203,71,28,58,46,1,1,0,0,0,63,33,12,13,5,58,23,14,21,54,7,5,2,2,38
"E01006689",2011,"Liverpool 049D","Total",717,228,98,130,462,62,263,77,50,75,61,6,4,0,2,0,67,42,14,10,1,64,23,13,28,27,5,3,1,2,16
"E01006690",2011,"Liverpool 028A","Total",801,436,57,379,284,16,101,33,17,20,31,1,1,0,0,0,42,30,6,5,1,124,53,28,43,81,9,8,14,1,49
"E01006691",2011,"Liverpool 030A","Total",647,247,59,188,302,23,119,27,24,44,24,0,0,0,0,0,38,22,7,8,1,122,52,43,27,98,14,8,13,2,61
"E01006692",2011,"Liverpool 028B","Total",989,400,94,306,478,39,173,50,34,62,27,1,0,0,0,1,100,44,21,25,10,165,65,45,55,111,11,15,8,5,72
"E01006693",2011,"Liverpool 024D","Total",838,463,182,281,310,54,117,40,20,24,33,1,1,0,0,0,47,22,14,7,4,91,27,21,43,65,15,7,0,6,37
"E01006694",2011,"Liverpool 030B","Total",891,375,65,310,429,24,156,45,30,49,32,0,0,0,0,0,57,30,10,12,5,192,90,46,56,87,14,10,12,2,49
"E01006695",2011,"Liverpool 028C","Total",1029,637,58,579,304,14,122,39,33,30,20,2,2,0,0,0,65,41,10,10,4,101,56,28,17,88,7,13,9,1,58
"E01006696",2011,"Liverpool 030C","Total",768,290,78,212,397,23,177,55,25,54,43,0,0,0,0,0,51,20,10,19,2,146,59,41,46,81,9,16,26,1,29
"E01006697",2011,"Liverpool 030D","Total",828,319,68,251,406,38,145,41,23,51,30,2,2,0,0,0,74,31,13,26,4,147,70,43,34,103,10,12,22,2,57
"E01006698",2011,"Liverpool 012D","Total",725,244,70,174,446,37,186,49,40,40,57,0,0,0,0,0,70,31,9,23,7,153,63,60,30,35,6,9,1,0,19
"E01006699",2011,"Liverpool 014A","Total",777,322,78,244,416,35,100,44,11,24,21,0,0,0,0,0,79,33,21,19,6,202,87,57,58,39,5,9,0,2,23
"E01006700",2011,"Liverpool 012E","Total",653,265,61,204,348,26,141,45,27,29,40,0,0,0,0,0,53,24,10,17,2,128,43,44,41,40,9,5,0,3,23
"E01006701",2011,"Liverpool 014B","Total",671,290,80,210,360,30,168,58,26,19,65,2,1,1,0,0,39,16,8,10,5,121,42,34,45,21,8,3,0,2,8
"E01006702",2011,"Liverpool 014C","Total",740,263,84,179,413,30,123,42,12,26,43,0,0,0,0,0,68,28,16,20,4,192,76,54,62,64,13,10,4,3,34
"E01006703",2011,"Liverpool 014D","Total",818,447,114,333,329,28,112,43,10,27,32,0,0,0,0,0,53,24,12,9,8,136,49,35,52,42,8,10,0,1,23
"E01006705",2011,"Liverpool 009E","Total",689,299,57,242,349,24,137,45,25,25,42,0,0,0,0,0,57,25,16,12,4,131,58,33,40,41,5,6,3,1,26
"E01006706",2011,"Liverpool 045A","Total",582,186,77,109,351,39,119,38,16,25,40,0,0,0,0,0,37,10,10,13,4,156,56,42,58,45,19,4,2,1,19
"E01006707",2011,"Liverpool 045B","Total",553,163,89,74,348,40,113,38,7,26,42,0,0,0,0,0,41,12,12,12,5,154,50,36,68,42,12,13,0,0,17
"E01006708",2011,"Liverpool 045C","Total",754,249,96,153,454,45,196,70,32,57,37,0,0,0,0,0,80,30,23,23,4,133,35,47,51,51,11,10,0,4,26
"E01006709",2011,"Liverpool 040A","Total",685,293,118,175,345,27,128,35,28,29,36,2,2,0,0,0,66,26,20,15,5,122,36,29,57,47,4,4,0,4,35
"E01006710",2011,"Liverpool 045D","Total",592,136,67,69,419,32,198,69,30,36,63,0,0,0,0,0,49,15,7,19,8,140,54,47,39,37,6,11,0,1,19
"E01006711",2011,"Liverpool 027A","Total",685,277,83,194,356,33,143,44,29,42,28,1,1,0,0,0,59,21,17,16,5,120,55,33,32,52,10,12,1,1,28
"E01006712",2011,"Liverpool 029D","Total",569,194,68,126,342,26,138,43,34,38,23,0,0,0,0,0,71,31,13,24,3,107,30,40,37,33,9,3,0,2,19
"E01006713",2011,"Liverpool 029E","Total",604,196,95,101,370,33,161,53,26,43,39,0,0,0,0,0,72,33,23,13,3,104,48,19,37,38,10,8,0,3,17
"E01006716",2011,"Liverpool 032E","Total",701,285,71,214,380,21,132,49,26,35,22,1,0,1,0,0,77,41,19,12,5,149,72,43,34,36,9,4,1,1,21
"E01006717",2011,"Liverpool 027D","Total",576,168,67,101,373,32,207,48,33,60,66,0,0,0,0,0,42,20,11,7,4,92,39,18,35,35,6,8,0,3,18
"E01006718",2011,"Liverpool 027E","Total",678,245,86,159,388,40,185,55,33,52,45,0,0,0,0,0,66,24,23,12,7,97,27,32,38,45,6,8,0,1,30
"E01006719",2011,"Liverpool 027F","Total",638,193,69,124,414,33,178,42,49,42,45,1,1,0,0,0,74,36,20,14,4,128,39,46,43,31,11,5,1,0,14
"E01006720",2011,"Liverpool 035A","Total",905,361,73,288,363,5,151,37,32,61,21,0,0,0,0,0,62,33,10,16,3,145,71,45,29,181,13,11,65,0,92
"E01006721",2011,"Liverpool 038C","Total",912,453,136,317,355,13,88,33,18,25,12,0,0,0,0,0,79,54,12,10,3,175,109,33,33,104,5,3,44,2,50
"E01006722",2011,"Liverpool 038D","Total",608,155,56,99,193,12,81,13,15,32,21,0,0,0,0,0,31,18,6,5,2,69,26,19,24,260,7,5,154,1,93
"E01006723",2011,"Liverpool 038E","Total",749,264,63,201,227,21,88,29,13,22,24,0,0,0,0,0,44,29,5,8,2,74,26,18,30,258,14,9,140,1,94
"E01006724",2011,"Liverpool 038F","Total",554,113,36,77,178,16,81,26,17,16,22,0,0,0,0,0,34,27,1,6,0,47,14,10,23,263,8,11,153,4,87
"E01006725",2011,"Liverpool 035B","Total",739,308,84,224,356,28,140,45,23,34,38,0,0,0,0,0,67,39,14,11,3,121,56,26,39,75,10,7,14,2,42
"E01006726",2011,"Liverpool 035C","Total",659,226,50,176,277,20,103,39,10,29,25,0,0,0,0,0,49,34,8,5,2,105,48,29,28,156,15,8,66,0,67
"E01006727",2011,"Liverpool 035D","Total",665,238,63,175,357,24,142,47,25,31,39,2,2,0,0,0,90,65,10,11,4,99,45,23,31,70,10,8,14,0,38
"E01006728",2011,"Liverpool 035E","Total",855,399,103,296,378,21,107,41,30,24,12,0,0,0,0,0,80,54,12,14,0,170,97,31,42,78,6,4,30,3,35
"E01006729",2011,"Liverpool 008C","Total",539,121,74,47,378,25,109,30,18,28,33,1,1,0,0,0,51,12,12,22,5,192,63,70,59,40,10,13,0,1,16
"E01006730",2011,"Liverpool 011C","Total",542,165,90,75,337,21,123,30,28,29,36,0,0,0,0,0,49,15,10,19,5,144,50,38,56,40,8,9,0,4,19
"E01006731",2011,"Liverpool 011D","Total",486,142,61,81,312,22,124,40,19,32,33,0,0,0,0,0,48,14,16,17,1,118,41,29,48,32,12,5,1,2,12
"E01006732",2011,"Liverpool 011E","Total",644,170,69,101,427,36,106,27,14,30,35,0,0,0,0,0,67,16,12,33,6,218,72,80,66,47,18,15,0,1,13
"E01006734",2011,"Liverpool 005C","Total",625,187,79,108,395,27,109,35,15,26,33,0,0,0,0,0,52,16,13,17,6,207,91,60,56,43,12,10,1,1,19
"E01006735",2011,"Liverpool 005D","Total",571,207,71,136,323,25,104,24,21,25,34,1,1,0,0,0,50,18,14,14,4,143,53,43,47,41,18,8,0,1,14
"E01006736",2011,"Liverpool 005E","Total",582,158,57,101,363,24,140,37,30,31,42,0,0,0,0,0,50,15,16,14,5,149,46,49,54,61,14,8,0,3,36
"E01006737",2011,"Liverpool 005F","Total",562,142,62,80,366,33,149,40,23,36,50,0,0,0,0,0,42,9,13,17,3,142,49,38,55,54,12,14,1,5,22
"E01006738",2011,"Liverpool 058A","Total",662,220,97,123,399,35,116,40,15,29,32,0,0,0,0,0,68,20,10,27,11,180,65,46,69,43,17,9,1,0,16
"E01006739",2011,"Liverpool 058B","Total",707,225,91,134,440,28,135,33,27,34,41,0,0,0,0,0,89,23,24,37,5,188,74,55,59,42,12,11,0,4,15
"E01006740",2011,"Liverpool 057A","Total",604,273,83,190,286,26,86,32,11,24,19,0,0,0,0,0,54,21,15,12,6,120,56,39,25,45,9,7,0,1,28
"E01006741",2011,"Liverpool 058C","Total",778,251,105,146,476,35,172,58,24,35,55,0,0,0,0,0,86,16,20,39,11,183,67,41,75,51,13,6,0,7,25
"E01006742",2011,"Liverpool 057B","Total",591,195,75,120,351,34,161,41,35,43,42,1,1,0,0,0,60,24,9,19,8,95,32,19,44,45,11,4,0,2,28
"E01006743",2011,"Liverpool 058D","Total",1008,385,99,286,543,30,240,76,59,61,44,1,1,0,0,0,101,52,23,18,8,171,78,47,46,80,21,10,3,3,43
"E01006744",2011,"Liverpool 057C","Total",739,321,81,240,378,33,133,53,23,31,26,0,0,0,0,0,83,43,19,19,2,129,55,32,42,40,4,7,0,1,28
"E01006745",2011,"Liverpool 057D","Total",907,407,65,342,446,30,163,58,32,37,36,1,1,0,0,0,87,48,22,10,7,165,78,56,31,54,13,5,3,3,30
"E01006746",2011,"Liverpool 030E","Total",655,216,88,128,314,43,103,33,18,26,26,0,0,0,0,0,38,19,7,11,1,130,45,24,61,125,10,5,67,3,40
"E01006747",2011,"Liverpool 031B","Total",857,460,69,391,219,8,102,35,23,23,21,0,0,0,0,0,43,33,7,3,0,66,24,14,28,178,9,1,112,0,56
"E01006748",2011,"Liverpool 031C","Total",756,239,75,164,230,16,90,38,13,19,20,0,0,0,0,0,32,19,6,6,1,92,40,21,31,287,7,4,197,1,78
"E01006751",2011,"Liverpool 031F","Total",831,301,118,183,366,21,126,31,28,35,32,0,0,0,0,0,44,26,4,11,3,175,65,52,58,164,19,21,74,3,47
"E01006752",2011,"Liverpool 035F","Total",489,232,54,178,216,14,92,30,19,22,21,0,0,0,0,0,37,21,3,12,1,73,35,15,23,41,4,8,8,0,21
"E01006753",2011,"Liverpool 059A","Total",666,211,75,136,397,29,125,45,24,19,37,0,0,0,0,0,67,18,16,27,6,176,68,58,50,58,20,11,0,2,25
"E01006754",2011,"Liverpool 059B","Total",781,322,110,212,400,28,144,56,23,29,36,0,0,0,0,0,56,23,15,15,3,172,74,49,49,59,12,8,0,3,36
"E01006755",2011,"Liverpool 059C","Total",690,257,76,181,385,17,112,39,19,24,30,2,2,0,0,0,59,19,17,20,3,195,77,65,53,48,15,8,0,1,24
"E01006756",2011,"Liverpool 059D","Total",757,220,66,154,484,25,159,44,22,41,52,0,0,0,0,0,76,25,22,27,2,224,95,76,53,53,20,10,0,4,19
"E01006757",2011,"Liverpool 059E","Total",621,203,73,130,376,24,129,39,22,33,35,0,0,0,0,0,70,18,25,23,4,153,58,61,34,42,7,16,0,1,18
"E01006758",2011,"Liverpool 059F","Total",639,199,71,128,391,25,130,39,19,29,43,0,0,0,0,0,61,19,16,22,4,175,65,60,50,49,14,10,0,3,22
"E01006759",2011,"Liverpool 028D","Total",460,180,41,139,233,17,112,32,19,32,29,0,0,0,0,0,37,16,9,10,2,67,31,20,16,47,13,5,2,1,26
"E01006760",2011,"Liverpool 028E","Total",826,498,70,428,228,11,93,25,19,21,28,1,1,0,0,0,58,35,13,8,2,65,26,24,15,100,9,6,12,0,73
"E01006761",2011,"Liverpool 020B","Total",793,383,98,285,362,31,159,50,25,38,46,0,0,0,0,0,46,19,13,13,1,126,57,28,41,48,8,8,2,1,29
"E01006762",2011,"Liverpool 015E","Total",725,226,80,146,454,44,182,60,24,40,58,0,0,0,0,0,59,18,16,17,8,169,59,49,61,45,18,11,0,2,14
"E01006763",2011,"Liverpool 020C","Total",652,217,72,145,391,32,151,54,27,36,34,0,0,0,0,0,65,31,17,15,2,143,56,41,46,44,6,10,0,1,27
"E01006764",2011,"Liverpool 020D","Total",667,259,47,212,339,27,132,43,21,39,29,0,0,0,0,0,59,26,12,17,4,121,51,37,33,69,10,16,2,2,39
"E01006765",2011,"Liverpool 020E","Total",659,243,85,158,373,30,159,52,35,36,36,0,0,0,0,0,47,25,5,14,3,137,51,40,46,43,9,9,0,1,24
"E01006766",2011,"Liverpool 019E","Total",574,232,49,183,293,15,84,23,12,27,22,0,0,0,0,0,62,22,19,18,3,132,63,36,33,49,11,10,1,2,25
"E01006767",2011,"Liverpool 019F","Total",779,294,64,230,398,23,138,33,26,41,38,1,0,1,0,0,89,35,25,27,2,147,57,55,35,87,12,10,7,2,56
"E01006768",2011,"Liverpool 020F","Total",587,234,37,197,301,35,163,39,28,48,48,0,0,0,0,0,43,24,7,7,5,60,26,11,23,52,6,6,1,1,38
"E01006769",2011,"Liverpool 040B","Total",712,401,199,202,291,33,91,32,15,23,21,1,1,0,0,0,44,20,12,9,3,122,48,28,46,20,3,4,0,3,10
"E01006770",2011,"Liverpool 040C","Total",445,160,77,83,256,26,87,27,18,19,23,0,0,0,0,0,40,9,11,13,7,103,31,30,42,29,7,6,0,4,12
"E01006771",2011,"Liverpool 040D","Total",694,296,141,155,352,34,108,37,17,22,32,0,0,0,0,0,52,21,11,13,7,158,53,46,59,46,11,11,0,5,19
"E01006772",2011,"Liverpool 040E","Total",480,168,81,87,286,30,153,55,25,28,45,0,0,0,0,0,27,13,4,8,2,76,24,18,34,26,4,8,1,0,13
"E01006773",2011,"Liverpool 036D","Total",554,114,48,66,419,52,236,69,54,57,56,1,1,0,0,0,55,29,11,12,3,75,25,14,36,21,6,1,0,0,14
"E01006774",2011,"Liverpool 036E","Total",552,124,62,62,400,33,260,64,71,66,59,1,1,0,0,0,34,16,6,9,3,72,14,23,35,28,6,6,1,1,14
"E01006775",2011,"Liverpool 040F","Total",556,165,82,83,343,42,117,42,14,19,42,0,0,0,0,0,34,9,7,9,9,150,28,40,82,48,23,9,0,4,12
"E01006776",2011,"Liverpool 022B","Total",844,386,154,232,398,28,159,71,31,19,38,1,0,0,0,1,68,40,16,9,3,142,49,34,59,60,11,10,2,10,27
"E01006778",2011,"Liverpool 014E","Total",1124,496,132,364,507,31,128,52,20,25,31,1,1,0,0,0,84,47,20,10,7,263,102,59,102,121,23,14,2,11,71
"E01006779",2011,"Liverpool 022D","Total",902,334,160,174,477,29,125,35,26,19,45,0,0,0,0,0,51,28,11,9,3,272,85,86,101,91,21,10,1,6,53
"E01006780",2011,"Liverpool 002D","Total",619,191,80,111,382,39,180,56,29,47,48,0,0,0,0,0,69,33,14,17,5,94,32,30,32,46,12,8,0,3,23
"E01006781",2011,"Liverpool 003A","Total",600,163,60,103,406,36,236,72,55,42,67,0,0,0,0,0,65,23,18,18,6,69,29,16,24,31,8,5,0,1,17
"E01006782",2011,"Liverpool 003B","Total",691,271,79,192,382,24,188,56,35,46,51,1,1,0,0,0,61,31,11,18,1,108,45,30,33,38,6,6,2,3,21
"E01006783",2011,"Liverpool 002E","Total",645,199,73,126,404,34,190,46,37,54,53,1,1,0,0,0,64,29,12,19,4,115,46,37,32,42,8,8,0,0,26
"E01006784",2011,"Liverpool 003C","Total",586,209,57,152,343,19,173,46,37,51,39,0,0,0,0,0,68,40,11,14,3,83,23,26,34,34,7,8,0,2,17
"E01006785",2011,"Liverpool 003D","Total",781,275,87,188,421,42,178,48,33,44,53,1,1,0,0,0,78,39,17,19,3,122,45,42,35,85,16,11,0,6,52
"E01006786",2011,"Liverpool 003E","Total",764,237,67,170,491,50,263,78,58,71,56,1,1,0,0,0,90,50,16,16,8,87,33,22,32,36,8,9,0,2,17
"E01006787",2011,"Liverpool 006A","Total",691,312,43,269,286,23,134,38,27,43,26,0,0,0,0,0,39,14,8,15,2,90,42,31,17,93,11,14,5,3,60
"E01006788",2011,"Liverpool 006B","Total",681,137,62,75,476,36,222,60,44,58,60,0,0,0,0,0,77,25,18,30,4,141,50,48,43,68,14,13,1,4,36
"E01006790",2011,"Liverpool 006C","Total",801,350,108,242,406,23,124,46,21,28,29,0,0,0,0,0,60,23,22,12,3,199,98,50,51,45,8,4,0,1,32
"E01006791",2011,"Liverpool 006D","Total",873,418,127,291,390,39,146,57,22,24,43,0,0,0,0,0,50,20,11,15,4,155,54,37,64,65,13,9,0,7,36
"E01006792",2011,"Liverpool 046A","Total",557,138,100,38,396,95,234,62,40,66,66,0,0,0,0,0,37,22,2,10,3,30,10,9,11,23,4,6,0,2,11
"E01006793",2011,"Liverpool 051A","Total",759,337,134,203,388,68,173,72,25,42,34,0,0,0,0,0,61,38,9,11,3,86,28,28,30,34,6,6,0,3,19
"E01006794",2011,"Liverpool 046B","Total",711,224,85,139,454,72,262,93,45,61,63,0,0,0,0,0,50,30,17,2,1,70,27,15,28,33,2,5,0,3,23
"E01006795",2011,"Liverpool 051B","Total",628,215,89,126,384,50,225,76,45,58,46,1,1,0,0,0,62,39,12,7,4,46,18,9,19,29,3,5,0,4,17
"E01006796",2011,"Liverpool 047E","Total",581,105,71,34,452,77,325,90,57,103,75,0,0,0,0,0,28,12,5,6,5,22,6,3,13,24,2,6,0,3,13
"E01006797",2011,"Liverpool 051C","Total",707,297,101,196,382,45,181,56,30,44,51,0,0,0,0,0,50,21,11,16,2,106,37,27,42,28,7,7,0,1,13
"E01006798",2011,"Liverpool 051D","Total",609,183,74,109,399,68,223,70,33,56,64,0,0,0,0,0,61,40,11,8,2,47,18,10,19,27,4,3,0,4,16
"E01006799",2011,"Liverpool 051E","Total",1145,719,351,368,374,64,151,69,21,29,32,1,1,0,0,0,65,46,12,3,4,93,29,18,46,52,7,4,0,15,26
"E01006800",2011,"Liverpool 046C","Total",679,257,137,120,389,119,186,73,26,40,47,0,0,0,0,0,31,16,4,9,2,53,13,7,33,33,9,7,2,4,11
"E01006801",2011,"Liverpool 046D","Total",609,171,106,65,415,98,226,87,30,43,66,1,1,0,0,0,44,28,10,4,2,46,13,4,29,23,3,4,0,5,11
"E01032505",2011,"Liverpool 050F","Total",563,182,68,114,332,37,171,59,26,48,38,0,0,0,0,0,39,16,9,10,4,85,41,16,28,49,4,13,1,2,29
