"lsoa11cd","date","lsoa11nm","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"E01006754",2011,"Liverpool 059B","Total",627,50,152,385,40,304,19,30,229,26,323,31,122,156,14
"E01006755",2011,"Liverpool 059C","Total",491,33,141,290,27,226,7,46,152,21,265,26,95,138,6
"E01006756",2011,"Liverpool 059D","Total",606,42,168,352,44,291,12,39,209,31,315,30,129,143,13
"E01006757",2011,"Liverpool 059E","Total",485,35,136,285,29,241,8,41,169,23,244,27,95,116,6
"E01006758",2011,"Liverpool 059F","Total",545,30,141,338,36,263,14,24,196,29,282,16,117,142,7
"E01006759",2011,"Liverpool 028D","Total",501,43,111,300,47,257,22,30,167,38,244,21,81,133,9
"E01006760",2011,"Liverpool 028E","Total",685,65,125,438,57,424,27,66,291,40,261,38,59,147,17
"E01006761",2011,"Liverpool 020B","Total",654,50,161,402,41,348,18,54,243,33,306,32,107,159,8
"E01006762",2011,"Liverpool 015E","Total",652,47,170,392,43,320,14,43,230,33,332,33,127,162,10
"E01006763",2011,"Liverpool 020C","Total",634,47,141,401,45,313,15,36,231,31,321,32,105,170,14
"E01006764",2011,"Liverpool 020D","Total",634,60,147,375,52,332,33,44,212,43,302,27,103,163,9
"E01006765",2011,"Liverpool 020E","Total",624,49,133,399,43,307,16,37,222,32,317,33,96,177,11
"E01006766",2011,"Liverpool 019E","Total",476,38,139,269,30,244,20,49,151,24,232,18,90,118,6
"E01006767",2011,"Liverpool 019F","Total",748,58,172,458,60,368,19,50,254,45,380,39,122,204,15
"E01006768",2011,"Liverpool 020F","Total",628,52,113,409,54,342,21,41,240,40,286,31,72,169,14
"E01006769",2011,"Liverpool 040B","Total",417,25,90,273,29,227,7,24,175,21,190,18,66,98,8
"E01006770",2011,"Liverpool 040C","Total",366,29,112,200,25,170,6,28,117,19,196,23,84,83,6
"E01006771",2011,"Liverpool 040D","Total",489,36,141,277,35,210,7,25,150,28,279,29,116,127,7
"E01006772",2011,"Liverpool 040E","Total",457,41,126,264,26,223,13,35,152,23,234,28,91,112,3
"E01006773",2011,"Liverpool 036D","Total",698,55,149,445,49,345,19,33,258,35,353,36,116,187,14
"E01006774",2011,"Liverpool 036E","Total",737,57,148,452,80,369,22,30,253,64,368,35,118,199,16
"E01006775",2011,"Liverpool 040F","Total",436,34,126,242,34,185,14,30,113,28,251,20,96,129,6
"E01006776",2011,"Liverpool 022B","Total",663,40,147,434,42,305,13,28,229,35,358,27,119,205,7
"E01006778",2011,"Liverpool 014E","Total",815,59,219,487,50,424,28,70,291,35,391,31,149,196,15
"E01006779",2011,"Liverpool 022D","Total",571,49,168,307,47,258,16,39,168,35,313,33,129,139,12
"E01006780",2011,"Liverpool 002D","Total",724,47,165,456,56,368,15,46,262,45,356,32,119,194,11
"E01006781",2011,"Liverpool 003A","Total",825,53,169,530,73,402,19,27,294,62,423,34,142,236,11
"E01006782",2011,"Liverpool 003B","Total",764,65,152,491,56,375,20,43,276,36,389,45,109,215,20
"E01006783",2011,"Liverpool 002E","Total",726,42,177,455,52,361,11,42,269,39,365,31,135,186,13
"E01006784",2011,"Liverpool 003C","Total",723,41,149,485,48,379,11,41,287,40,344,30,108,198,8
"E01006785",2011,"Liverpool 003D","Total",823,52,166,538,67,422,15,47,310,50,401,37,119,228,17
"E01006786",2011,"Liverpool 003E","Total",922,70,190,583,79,483,38,36,349,60,439,32,154,234,19
"E01006787",2011,"Liverpool 006A","Total",942,67,245,539,91,654,35,149,387,83,288,32,96,152,8
"E01006788",2011,"Liverpool 006B","Total",844,59,203,525,57,411,20,42,306,43,433,39,161,219,14
"E01006790",2011,"Liverpool 006C","Total",589,38,163,340,48,293,10,43,202,38,296,28,120,138,10
"E01006791",2011,"Liverpool 006D","Total",620,42,169,365,44,341,12,68,223,38,279,30,101,142,6
"E01006792",2011,"Liverpool 046A","Total",615,39,134,345,97,328,14,40,203,71,287,25,94,142,26
"E01006793",2011,"Liverpool 051A","Total",645,54,148,364,79,341,24,44,218,55,304,30,104,146,24
"E01006794",2011,"Liverpool 046B","Total",758,56,149,438,115,387,20,41,242,84,371,36,108,196,31
"E01006795",2011,"Liverpool 051B","Total",726,65,152,401,108,376,19,38,237,82,350,46,114,164,26
"E01006796",2011,"Liverpool 047E","Total",752,81,154,360,157,400,18,50,207,125,352,63,104,153,32
"E01006797",2011,"Liverpool 051C","Total",639,61,137,373,68,333,17,41,226,49,306,44,96,147,19
"E01006798",2011,"Liverpool 051D","Total",719,64,117,441,97,372,23,34,248,67,347,41,83,193,30
"E01006799",2011,"Liverpool 051E","Total",702,53,137,410,102,380,26,40,239,75,322,27,97,171,27
"E01006800",2011,"Liverpool 046C","Total",576,48,128,338,62,298,21,34,195,48,278,27,94,143,14
"E01006801",2011,"Liverpool 046D","Total",656,61,122,387,86,336,21,29,218,68,320,40,93,169,18
"E01032505",2011,"Liverpool 050F","Total",575,52,140,322,61,284,11,43,183,47,291,41,97,139,14
"E01032506",2011,"Liverpool 050G","Total",668,53,140,411,64,346,22,34,245,45,322,31,106,166,19
"E01032507",2011,"Liverpool 050H","Total",889,79,157,558,95,423,25,53,284,61,466,54,104,274,34
"E01032508",2011,"Liverpool 027G","Total",655,42,168,406,39,327,12,45,245,25,328,30,123,161,14
"E01032509",2011,"Liverpool 027H","Total",612,53,148,372,39,297,12,42,215,28,315,41,106,157,11
"E01032510",2011,"Liverpool 008F","Total",887,68,214,525,80,441,30,56,287,68,446,38,158,238,12
"E01032511",2011,"Liverpool 008G","Total",619,59,163,367,30,322,27,45,227,23,297,32,118,140,7
"E01033747",2011,"Liverpool 018F","Total",264,29,60,156,19,140,13,20,102,5,124,16,40,54,14
"E01033748",2011,"Liverpool 050I","Total",926,47,83,677,119,533,20,31,399,83,393,27,52,278,36
"E01033749",2011,"Liverpool 042F","Total",205,93,34,57,21,94,36,12,36,10,111,57,22,21,11
"E01033750",2011,"Liverpool 061A","Total",1037,59,91,696,191,668,31,45,443,149,369,28,46,253,42
"E01033751",2011,"Liverpool 062A","Total",794,185,113,402,94,459,88,39,258,74,335,97,74,144,20
"E01033752",2011,"Liverpool 062B","Total",913,48,77,633,155,571,25,39,393,114,342,23,38,240,41
"E01033753",2011,"Liverpool 062C","Total",785,34,53,559,139,519,20,34,363,102,266,14,19,196,37
"E01033754",2011,"Liverpool 061B","Total",890,57,116,592,125,503,21,42,353,87,387,36,74,239,38
"E01033755",2011,"Liverpool 062D","Total",820,52,68,579,121,501,14,30,369,88,319,38,38,210,33
"E01033756",2011,"Liverpool 061C","Total",712,66,68,435,143,459,35,36,288,100,253,31,32,147,43
"E01033757",2011,"Liverpool 037E","Total",340,105,67,139,29,194,52,33,89,20,146,53,34,50,9
"E01033758",2011,"Liverpool 060B","Total",433,172,81,153,27,211,63,42,84,22,222,109,39,69,5
"E01033759",2011,"Liverpool 010F","Total",463,37,114,285,27,229,19,33,162,15,234,18,81,123,12
"E01033760",2011,"Liverpool 060C","Total",757,322,123,254,58,393,124,59,163,47,364,198,64,91,11
"E01033761",2011,"Liverpool 060D","Total",944,110,131,605,98,575,61,63,375,76,369,49,68,230,22
"E01033762",2011,"Liverpool 060E","Total",602,236,100,220,46,316,102,50,131,33,286,134,50,89,13
"E01033763",2011,"Liverpool 031G","Total",484,93,112,255,24,274,47,47,162,18,210,46,65,93,6
"E01033764",2011,"Liverpool 022E","Total",655,63,197,357,38,352,20,79,220,33,303,43,118,137,5
"E01033765",2011,"Liverpool 061D","Total",530,41,111,307,71,273,18,22,181,52,257,23,89,126,19
"E01033766",2011,"Liverpool 042G","Total",564,66,105,344,49,303,28,41,203,31,261,38,64,141,18
"E01033767",2011,"Liverpool 050J","Total",415,33,103,246,33,205,14,26,137,28,210,19,77,109,5
"E01033768",2011,"Liverpool 037F","Total",573,85,105,318,65,326,53,45,184,44,247,32,60,134,21
