"lsoa11cd","date","lsoa11nm","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E01006537",2011,"Liverpool 055D","Total",2257,1779,1693,9,24,6,38,6,3,358,120
"E01006538",2011,"Liverpool 055E","Total",1318,1044,1036,2,0,0,1,4,1,187,87
"E01006539",2011,"Liverpool 047B","Total",1437,1098,996,2,13,55,25,4,3,235,104
"E01006540",2011,"Liverpool 024A","Total",1509,1107,1020,3,4,0,79,0,1,296,106
"E01006541",2011,"Liverpool 015A","Total",1593,1299,1281,4,7,0,3,0,4,212,82
"E01006542",2011,"Liverpool 018A","Total",1397,1135,1119,4,0,0,8,1,3,185,77
"E01006543",2011,"Liverpool 015B","Total",1247,1072,1068,1,0,0,1,0,2,119,56
"E01006544",2011,"Liverpool 015C","Total",1658,1303,1285,5,1,1,1,1,9,253,102
"E01006545",2011,"Liverpool 019A","Total",1512,1160,1137,6,5,0,4,6,2,239,113
"E01006546",2011,"Liverpool 019B","Total",1319,1043,1022,2,6,1,8,0,4,223,53
"E01006547",2011,"Liverpool 019C","Total",1490,1111,1044,15,0,1,40,5,6,298,81
"E01006548",2011,"Liverpool 019D","Total",1675,1265,1220,4,2,4,27,5,3,284,126
"E01006549",2011,"Liverpool 043B","Total",1662,935,692,12,23,9,191,1,7,552,175
"E01006550",2011,"Liverpool 038A","Total",1595,876,758,8,16,8,69,13,4,614,105
"E01006551",2011,"Liverpool 048E","Total",1581,1014,890,9,6,58,43,1,7,420,147
"E01006552",2011,"Liverpool 039A","Total",2029,1520,722,21,11,0,745,3,18,364,145
"E01006553",2011,"Liverpool 042A","Total",1880,1102,985,7,23,11,64,8,4,667,111
"E01006554",2011,"Liverpool 048F","Total",1692,925,782,13,6,17,99,2,6,637,130
"E01006556",2011,"Liverpool 039B","Total",2011,1546,939,25,20,2,540,11,9,341,124
"E01006557",2011,"Liverpool 038B","Total",2054,1237,1017,8,23,10,162,13,4,692,125
"E01006558",2011,"Liverpool 018B","Total",1357,1039,1020,0,4,4,10,0,1,236,82
"E01006560",2011,"Liverpool 023A","Total",1860,1521,1479,1,3,0,32,5,1,204,135
"E01006562",2011,"Liverpool 018E","Total",1514,1122,1082,3,0,0,32,0,5,306,86
"E01006563",2011,"Liverpool 024B","Total",1744,1363,1310,1,14,1,28,0,9,256,125
"E01006564",2011,"Liverpool 023B","Total",1721,1493,1472,7,1,0,9,0,4,121,107
"E01006565",2011,"Liverpool 029A","Total",1549,1274,1258,6,0,0,7,0,3,174,101
"E01006566",2011,"Liverpool 032A","Total",1506,1207,1176,6,5,0,19,0,1,217,82
"E01006567",2011,"Liverpool 026A","Total",1655,1327,1286,4,9,1,26,0,1,234,94
"E01006568",2011,"Liverpool 026B","Total",1617,1347,1333,5,0,2,7,0,0,171,99
"E01006569",2011,"Liverpool 029B","Total",1429,1141,1131,0,0,3,5,0,2,203,85
"E01006570",2011,"Liverpool 026C","Total",1479,1252,1240,0,6,0,5,1,0,162,65
"E01006571",2011,"Liverpool 026D","Total",1470,1177,1168,2,0,1,3,0,3,201,92
"E01006572",2011,"Liverpool 025A","Total",1207,931,919,2,6,0,1,1,2,189,87
"E01006573",2011,"Liverpool 029C","Total",1501,1172,1147,2,8,2,12,0,1,221,108
"E01006574",2011,"Liverpool 025B","Total",1388,1103,1089,3,0,0,10,0,1,195,90
"E01006575",2011,"Liverpool 034A","Total",1294,990,932,9,4,13,30,0,2,221,83
"E01006576",2011,"Liverpool 034B","Total",1693,1421,1394,1,0,7,18,1,0,160,112
"E01006577",2011,"Liverpool 034C","Total",1503,1197,1160,3,3,7,12,9,3,227,79
"E01006578",2011,"Liverpool 036A","Total",1380,1062,1035,3,17,3,4,0,0,243,75
"E01006579",2011,"Liverpool 034D","Total",1643,1354,1247,8,0,35,62,0,2,171,118
"E01006580",2011,"Liverpool 036B","Total",1335,1094,1041,5,13,19,16,0,0,179,62
"E01006581",2011,"Liverpool 036C","Total",1559,1307,1237,2,2,52,11,0,3,158,94
"E01006582",2011,"Liverpool 041A","Total",1642,1421,1295,2,8,86,26,0,4,154,67
"E01006583",2011,"Liverpool 047C","Total",1758,1433,1345,3,10,61,9,2,3,251,74
"E01006584",2011,"Liverpool 034E","Total",1393,1211,1188,2,10,6,3,0,2,122,60
"E01006585",2011,"Liverpool 032B","Total",1354,1102,1063,6,10,4,14,4,1,158,94
