"lsoa11cd","date","lsoa11nm","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"E01006600",2011,"Liverpool 011A","Total",592,0,10,11,547,17,7
"E01006603",2011,"Liverpool 011B","Total",594,2,1,35,538,12,6
"E01006604",2011,"Liverpool 016A","Total",571,1,4,12,524,22,8
"E01006605",2011,"Liverpool 016B","Total",696,0,100,36,533,21,6
"E01006606",2011,"Liverpool 020A","Total",723,5,61,96,492,53,16
"E01006607",2011,"Liverpool 008A","Total",641,2,10,37,572,16,4
"E01006608",2011,"Liverpool 009A","Total",563,0,6,179,321,33,24
"E01006609",2011,"Liverpool 009B","Total",576,3,15,120,325,89,24
"E01006610",2011,"Liverpool 009C","Total",669,4,111,234,230,73,17
"E01006611",2011,"Liverpool 012A","Total",742,6,20,537,168,5,6
"E01006612",2011,"Liverpool 008B","Total",740,3,155,81,486,13,2
"E01006613",2011,"Liverpool 009D","Total",611,0,48,102,430,27,4
"E01006614",2011,"Liverpool 012B","Total",667,5,23,363,251,22,3
"E01006615",2011,"Liverpool 012C","Total",663,6,32,362,242,18,3
"E01006616",2011,"Liverpool 015D","Total",613,2,25,107,455,19,5
"E01006617",2011,"Liverpool 021A","Total",650,1,29,188,312,102,18
"E01006618",2011,"Liverpool 016C","Total",692,3,20,43,604,15,7
"E01006619",2011,"Liverpool 021B","Total",734,0,58,107,473,83,13
"E01006620",2011,"Liverpool 021C","Total",625,0,113,94,321,88,9
"E01006621",2011,"Liverpool 021D","Total",584,0,27,89,250,164,54
"E01006622",2011,"Liverpool 021E","Total",586,2,14,22,424,107,17
"E01006623",2011,"Liverpool 013A","Total",527,0,3,15,250,235,24
"E01006624",2011,"Liverpool 013B","Total",702,1,41,226,307,115,12
"E01006625",2011,"Liverpool 016D","Total",609,0,43,35,458,65,8
"E01006626",2011,"Liverpool 016E","Total",593,0,10,47,461,68,7
"E01006627",2011,"Liverpool 013C","Total",600,0,24,107,369,89,11
"E01006628",2011,"Liverpool 052D","Total",651,1,67,104,242,193,44
"E01006629",2011,"Liverpool 052E","Total",573,1,46,174,306,34,12
"E01006630",2011,"Liverpool 044B","Total",555,1,76,150,294,30,4
"E01006632",2011,"Liverpool 044C","Total",884,1,133,341,365,40,4
"E01006633",2011,"Liverpool 050B","Total",699,1,116,255,281,42,4
"E01006637",2011,"Liverpool 017A","Total",670,0,22,160,446,36,6
"E01006638",2011,"Liverpool 017B","Total",518,3,6,111,373,12,13
"E01006639",2011,"Liverpool 017C","Total",640,1,21,169,392,50,7
"E01006640",2011,"Liverpool 021F","Total",760,0,47,98,396,202,17
"E01006641",2011,"Liverpool 025C","Total",633,0,3,203,394,27,6
"E01006642",2011,"Liverpool 025D","Total",590,2,20,147,392,22,7
"E01006643",2011,"Liverpool 025E","Total",740,6,24,130,561,9,10
"E01006644",2011,"Liverpool 017D","Total",963,12,167,228,438,101,17
"E01006645",2011,"Liverpool 017E","Total",690,2,133,73,444,30,8
"E01006646",2011,"Liverpool 023C","Total",1006,3,237,435,249,74,8
"E01006647",2011,"Liverpool 024C","Total",636,2,46,219,328,36,5
"E01006648",2011,"Liverpool 023D","Total",1075,5,153,531,285,96,5
"E01006651",2011,"Liverpool 001A","Total",592,1,5,67,372,133,14
"E01006652",2011,"Liverpool 002A","Total",633,3,10,69,492,46,13
"E01006653",2011,"Liverpool 001B","Total",656,2,42,121,411,65,15
"E01006654",2011,"Liverpool 005A","Total",627,2,85,185,203,145,7
"E01006655",2011,"Liverpool 001C","Total",706,0,15,86,536,54,15
"E01006656",2011,"Liverpool 002B","Total",669,2,22,195,360,66,24
"E01006657",2011,"Liverpool 002C","Total",582,1,60,220,268,32,1
"E01006658",2011,"Liverpool 001D","Total",634,1,45,195,374,9,10
"E01006659",2011,"Liverpool 005B","Total",548,1,121,120,257,46,3
"E01006660",2011,"Liverpool 001E","Total",616,0,51,120,367,73,5
"E01006661",2011,"Liverpool 004A","Total",749,0,32,316,318,78,5
"E01006662",2011,"Liverpool 004B","Total",785,0,63,330,316,71,5
"E01006663",2011,"Liverpool 004C","Total",510,1,15,196,252,44,2
"E01006664",2011,"Liverpool 004D","Total",822,4,96,218,395,99,10
"E01006665",2011,"Liverpool 007A","Total",630,2,11,214,270,118,15
"E01006666",2011,"Liverpool 007B","Total",514,0,9,60,184,250,11
"E01006667",2011,"Liverpool 007C","Total",618,0,9,217,323,62,7
"E01006668",2011,"Liverpool 007D","Total",590,0,1,122,360,102,5
"E01006669",2011,"Liverpool 004E","Total",551,1,4,91,279,160,16
"E01006670",2011,"Liverpool 007E","Total",607,0,8,145,320,123,11
"E01006671",2011,"Liverpool 013D","Total",499,0,2,66,195,216,20
"E01006672",2011,"Liverpool 010E","Total",798,3,9,100,647,33,6
"E01006673",2011,"Liverpool 037D","Total",954,2,308,320,279,32,13
"E01006674",2011,"Liverpool 039C","Total",826,2,134,402,227,43,18
"E01006675",2011,"Liverpool 043C","Total",1132,7,593,398,78,23,33
"E01006676",2011,"Liverpool 044D","Total",761,10,66,361,273,39,12
"E01006677",2011,"Liverpool 043D","Total",477,0,33,272,155,12,5
"E01006678",2011,"Liverpool 044E","Total",1059,1,269,325,368,72,24
"E01006679",2011,"Liverpool 039D","Total",920,1,212,320,287,78,22
"E01006680",2011,"Liverpool 053B","Total",605,0,3,23,398,159,22
"E01006681",2011,"Liverpool 054D","Total",719,0,102,122,356,118,21
"E01006682",2011,"Liverpool 053C","Total",498,1,2,8,331,131,25
"E01006683",2011,"Liverpool 053D","Total",594,1,3,26,415,128,21
"E01006684",2011,"Liverpool 056B","Total",999,3,15,337,398,188,58
"E01006685",2011,"Liverpool 056C","Total",604,0,21,98,280,166,39
"E01006686",2011,"Liverpool 053E","Total",531,0,4,19,373,102,33
"E01006687",2011,"Liverpool 056D","Total",933,5,186,165,213,224,140
"E01006688",2011,"Liverpool 056E","Total",712,2,108,136,327,77,62
"E01006689",2011,"Liverpool 049D","Total",717,0,62,64,490,83,18
"E01006690",2011,"Liverpool 028A","Total",801,1,250,312,168,29,41
"E01006691",2011,"Liverpool 030A","Total",647,1,62,238,298,33,15
"E01006692",2011,"Liverpool 028B","Total",989,6,140,279,422,97,45
"E01006693",2011,"Liverpool 024D","Total",838,0,162,424,202,38,12
"E01006694",2011,"Liverpool 030B","Total",891,2,48,501,313,18,9
