"lsoa11cd","date","lsoa11nm","Rural Urban","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: Other; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"E01006736",2011,"Liverpool 005E","Total",569,98,157,156,55,15,4,6,16,22,40,6605.4,13
"E01006737",2011,"Liverpool 005F","Total",522,86,140,165,52,7,2,6,12,19,33,5360.2,11.4
"E01006738",2011,"Liverpool 058A","Total",571,152,152,117,62,7,2,5,10,16,48,4579.1,9
"E01006739",2011,"Liverpool 058B","Total",615,208,67,108,135,9,2,4,13,19,50,6042.8,11.1
"E01006740",2011,"Liverpool 057A","Total",428,138,79,98,39,7,1,7,8,16,35,4030.3,10.7
"E01006741",2011,"Liverpool 058C","Total",673,229,95,113,142,10,8,10,10,23,33,6377.2,10.3
"E01006742",2011,"Liverpool 057B","Total",665,106,146,194,78,22,5,17,14,32,51,7168.6,12.3
"E01006743",2011,"Liverpool 058D","Total",1046,221,183,284,128,22,10,37,23,49,89,12556.5,13.8
"E01006744",2011,"Liverpool 057C","Total",737,106,167,233,87,18,8,19,18,39,42,8984.5,13.7
"E01006745",2011,"Liverpool 057D","Total",874,135,201,231,106,12,13,17,11,58,90,7977,11
"E01006746",2011,"Liverpool 030E","Total",461,153,117,66,28,12,2,12,11,27,33,5140.7,12.8
"E01006747",2011,"Liverpool 031B","Total",1024,372,144,108,52,50,35,66,66,43,88,18348.9,20.5
"E01006748",2011,"Liverpool 031C","Total",644,206,160,97,30,22,14,22,22,19,52,8661.2,15.1
"E01006751",2011,"Liverpool 031F","Total",640,165,193,84,27,24,6,24,25,25,67,9702.1,17.7
"E01006752",2011,"Liverpool 035F","Total",387,73,116,85,18,14,4,15,7,9,46,3311.1,10
"E01006753",2011,"Liverpool 059A","Total",530,148,91,82,125,8,6,5,9,17,39,4592.7,9.7
"E01006754",2011,"Liverpool 059B","Total",627,103,176,101,142,10,2,4,9,25,55,5493.4,10
"E01006755",2011,"Liverpool 059C","Total",491,109,115,64,121,8,4,8,5,23,34,4217.2,9.7
"E01006756",2011,"Liverpool 059D","Total",606,117,147,88,135,11,9,9,11,22,57,6032.6,11.4
"E01006757",2011,"Liverpool 059E","Total",485,106,105,65,128,5,1,3,8,29,35,5068.8,12
"E01006758",2011,"Liverpool 059F","Total",545,150,69,109,127,10,7,6,15,20,32,6539.9,13.3
"E01006759",2011,"Liverpool 028D","Total",501,87,174,84,29,19,4,6,10,31,57,4191.8,10.1
"E01006760",2011,"Liverpool 028E","Total",685,79,252,120,42,18,7,8,15,67,77,7241,13.4
"E01006761",2011,"Liverpool 020B","Total",654,102,280,125,39,17,3,4,6,28,50,3914.7,6.8
"E01006762",2011,"Liverpool 015E","Total",652,80,281,94,47,29,2,12,15,27,65,6293.7,11.2
"E01006763",2011,"Liverpool 020C","Total",634,92,235,137,46,23,9,9,10,33,40,5788.1,10.3
"E01006764",2011,"Liverpool 020D","Total",634,81,269,105,41,11,3,7,18,32,67,7078.6,13.2
"E01006765",2011,"Liverpool 020E","Total",624,88,262,129,29,15,8,6,12,23,52,5712.1,10.4
