"lsoa11cd","date","lsoa11nm","Rural Urban","Occupancy Rating: All categories: Occupancy rating bedrooms; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -2 or less; measures: Value"
"E01006606",2011,"Liverpool 020A","Total",723,306,253,145,17,2
"E01006607",2011,"Liverpool 008A","Total",641,267,204,149,18,3
"E01006608",2011,"Liverpool 009A","Total",563,211,247,85,19,1
"E01006609",2011,"Liverpool 009B","Total",576,260,189,106,19,2
"E01006610",2011,"Liverpool 009C","Total",669,151,248,240,27,3
"E01006611",2011,"Liverpool 012A","Total",742,85,438,187,28,4
"E01006612",2011,"Liverpool 008B","Total",740,235,220,247,37,1
"E01006613",2011,"Liverpool 009D","Total",611,218,230,138,21,4
"E01006614",2011,"Liverpool 012B","Total",667,128,344,172,19,4
"E01006615",2011,"Liverpool 012C","Total",663,113,331,192,25,2
"E01006616",2011,"Liverpool 015D","Total",613,217,219,146,28,3
"E01006617",2011,"Liverpool 021A","Total",650,241,283,120,5,1
"E01006618",2011,"Liverpool 016C","Total",692,291,238,135,23,5
"E01006619",2011,"Liverpool 021B","Total",734,327,261,131,14,1
"E01006620",2011,"Liverpool 021C","Total",625,211,226,166,17,5
"E01006621",2011,"Liverpool 021D","Total",584,297,179,91,15,2
"E01006622",2011,"Liverpool 021E","Total",586,307,172,101,6,0
"E01006623",2011,"Liverpool 013A","Total",527,316,144,48,16,3
"E01006624",2011,"Liverpool 013B","Total",702,227,302,135,34,4
"E01006625",2011,"Liverpool 016D","Total",609,290,185,120,13,1
"E01006626",2011,"Liverpool 016E","Total",593,273,201,109,9,1
"E01006627",2011,"Liverpool 013C","Total",600,259,210,118,12,1
"E01006628",2011,"Liverpool 052D","Total",651,293,200,135,21,2
"E01006629",2011,"Liverpool 052E","Total",573,174,245,125,25,4
"E01006630",2011,"Liverpool 044B","Total",555,94,193,210,50,8
"E01006632",2011,"Liverpool 044C","Total",884,181,342,285,73,3
"E01006633",2011,"Liverpool 050B","Total",699,131,270,252,42,4
"E01006637",2011,"Liverpool 017A","Total",670,215,245,171,31,8
"E01006638",2011,"Liverpool 017B","Total",518,166,212,115,24,1
"E01006639",2011,"Liverpool 017C","Total",640,201,265,148,26,0
"E01006640",2011,"Liverpool 021F","Total",760,364,227,151,16,2
"E01006641",2011,"Liverpool 025C","Total",633,163,305,146,16,3
"E01006642",2011,"Liverpool 025D","Total",590,199,231,127,26,7
"E01006643",2011,"Liverpool 025E","Total",740,218,302,183,26,11
"E01006644",2011,"Liverpool 017D","Total",963,261,353,311,34,4
"E01006645",2011,"Liverpool 017E","Total",690,218,206,228,35,3
"E01006646",2011,"Liverpool 023C","Total",1006,159,403,375,61,8
"E01006647",2011,"Liverpool 024C","Total",636,122,289,185,39,1
"E01006648",2011,"Liverpool 023D","Total",1075,150,448,405,64,8
"E01006651",2011,"Liverpool 001A","Total",592,227,251,105,9,0
"E01006652",2011,"Liverpool 002A","Total",633,287,210,116,18,2
"E01006653",2011,"Liverpool 001B","Total",656,233,242,156,20,5
"E01006654",2011,"Liverpool 005A","Total",627,189,243,176,14,5
"E01006655",2011,"Liverpool 001C","Total",706,274,267,137,27,1
"E01006656",2011,"Liverpool 002B","Total",669,246,253,144,24,2
"E01006657",2011,"Liverpool 002C","Total",582,144,241,181,16,0
"E01006658",2011,"Liverpool 001D","Total",634,189,254,162,24,5
"E01006659",2011,"Liverpool 005B","Total",548,148,191,193,16,0
"E01006660",2011,"Liverpool 001E","Total",616,202,251,142,18,3
"E01006661",2011,"Liverpool 004A","Total",749,176,347,192,31,3
"E01006662",2011,"Liverpool 004B","Total",785,176,381,204,24,0
"E01006663",2011,"Liverpool 004C","Total",510,121,250,124,11,4
"E01006664",2011,"Liverpool 004D","Total",822,240,316,241,20,5
"E01006665",2011,"Liverpool 007A","Total",630,187,314,113,15,1
"E01006666",2011,"Liverpool 007B","Total",514,226,205,73,10,0
"E01006667",2011,"Liverpool 007C","Total",618,180,296,126,15,1
"E01006668",2011,"Liverpool 007D","Total",590,225,257,102,6,0
"E01006669",2011,"Liverpool 004E","Total",551,247,197,93,14,0
"E01006670",2011,"Liverpool 007E","Total",607,225,274,96,12,0
"E01006671",2011,"Liverpool 013D","Total",499,255,156,70,14,4
"E01006672",2011,"Liverpool 010E","Total",798,306,306,159,21,6
"E01006673",2011,"Liverpool 037D","Total",954,101,290,492,62,9
"E01006674",2011,"Liverpool 039C","Total",826,96,337,309,64,20
"E01006675",2011,"Liverpool 043C","Total",1132,69,336,673,50,4
"E01006676",2011,"Liverpool 044D","Total",761,115,298,276,56,16
"E01006677",2011,"Liverpool 043D","Total",477,63,221,156,32,5
"E01006678",2011,"Liverpool 044E","Total",1059,194,366,420,74,5
"E01006679",2011,"Liverpool 039D","Total",920,139,278,395,96,12
"E01006680",2011,"Liverpool 053B","Total",605,329,192,76,7,1
"E01006681",2011,"Liverpool 054D","Total",719,284,213,202,16,4
"E01006682",2011,"Liverpool 053C","Total",498,281,155,58,4,0
