"lsoa11cd","date","lsoa11nm","Rural Urban","Disability: All categories: Long-term health problem or disability; measures: Value","Disability: Day-to-day activities limited a lot; measures: Value","Disability: Day-to-day activities limited a little; measures: Value","Disability: Day-to-day activities not limited; measures: Value"
"E01006615",2011,"Liverpool 012C","Total",1302,178,134,990
"E01006616",2011,"Liverpool 015D","Total",1428,215,156,1057
"E01006617",2011,"Liverpool 021A","Total",1421,143,133,1145
"E01006618",2011,"Liverpool 016C","Total",1639,294,220,1125
"E01006619",2011,"Liverpool 021B","Total",1599,163,166,1270
"E01006620",2011,"Liverpool 021C","Total",1417,176,161,1080
"E01006621",2011,"Liverpool 021D","Total",1468,160,125,1183
"E01006622",2011,"Liverpool 021E","Total",1519,122,149,1248
"E01006623",2011,"Liverpool 013A","Total",1462,114,140,1208
"E01006624",2011,"Liverpool 013B","Total",1556,260,152,1144
"E01006625",2011,"Liverpool 016D","Total",1416,181,131,1104
"E01006626",2011,"Liverpool 016E","Total",1448,189,139,1120
"E01006627",2011,"Liverpool 013C","Total",1378,155,151,1072
"E01006628",2011,"Liverpool 052D","Total",1874,146,143,1585
"E01006629",2011,"Liverpool 052E","Total",1255,181,143,931
"E01006630",2011,"Liverpool 044B","Total",1338,236,149,953
"E01006632",2011,"Liverpool 044C","Total",1842,297,227,1318
"E01006633",2011,"Liverpool 050B","Total",1432,322,178,932
"E01006637",2011,"Liverpool 017A","Total",1596,203,141,1252
"E01006638",2011,"Liverpool 017B","Total",1219,209,126,884
"E01006639",2011,"Liverpool 017C","Total",1509,164,128,1217
"E01006640",2011,"Liverpool 021F","Total",1880,206,172,1502
"E01006641",2011,"Liverpool 025C","Total",1740,162,109,1469
"E01006642",2011,"Liverpool 025D","Total",1290,235,145,910
"E01006643",2011,"Liverpool 025E","Total",1822,265,162,1395
"E01006644",2011,"Liverpool 017D","Total",2040,319,213,1508
"E01006645",2011,"Liverpool 017E","Total",1424,265,222,937
"E01006646",2011,"Liverpool 023C","Total",1899,355,168,1376
"E01006647",2011,"Liverpool 024C","Total",1422,295,146,981
"E01006648",2011,"Liverpool 023D","Total",2175,383,213,1579
"E01006651",2011,"Liverpool 001A","Total",1642,94,110,1438
"E01006652",2011,"Liverpool 002A","Total",1505,162,138,1205
"E01006653",2011,"Liverpool 001B","Total",1520,275,179,1066
"E01006654",2011,"Liverpool 005A","Total",1513,212,137,1164
"E01006655",2011,"Liverpool 001C","Total",1758,228,165,1365
"E01006656",2011,"Liverpool 002B","Total",1493,174,151,1168
"E01006657",2011,"Liverpool 002C","Total",1211,167,113,931
"E01006658",2011,"Liverpool 001D","Total",1300,222,157,921
"E01006659",2011,"Liverpool 005B","Total",1765,261,210,1294
"E01006660",2011,"Liverpool 001E","Total",1433,266,118,1049
"E01006661",2011,"Liverpool 004A","Total",1663,327,212,1124
"E01006662",2011,"Liverpool 004B","Total",1775,398,241,1136
"E01006663",2011,"Liverpool 004C","Total",1153,152,103,898
"E01006664",2011,"Liverpool 004D","Total",1795,282,210,1303
"E01006665",2011,"Liverpool 007A","Total",1555,133,126,1296
"E01006666",2011,"Liverpool 007B","Total",1504,102,84,1318
"E01006667",2011,"Liverpool 007C","Total",1453,220,151,1082
"E01006668",2011,"Liverpool 007D","Total",1534,102,106,1326
"E01006669",2011,"Liverpool 004E","Total",1470,96,87,1287
"E01006670",2011,"Liverpool 007E","Total",1526,154,113,1259
"E01006671",2011,"Liverpool 013D","Total",1355,173,125,1057
"E01006672",2011,"Liverpool 010E","Total",1955,266,179,1510
"E01006673",2011,"Liverpool 037D","Total",1937,237,173,1527
"E01006674",2011,"Liverpool 039C","Total",1885,259,237,1389
"E01006675",2011,"Liverpool 043C","Total",1824,264,186,1374
"E01006676",2011,"Liverpool 044D","Total",1753,252,189,1312
"E01006677",2011,"Liverpool 043D","Total",1040,147,104,789
"E01006678",2011,"Liverpool 044E","Total",2127,406,269,1452
"E01006679",2011,"Liverpool 039D","Total",2232,322,257,1653
"E01006680",2011,"Liverpool 053B","Total",1569,129,143,1297
"E01006681",2011,"Liverpool 054D","Total",1585,221,179,1185
"E01006682",2011,"Liverpool 053C","Total",1310,91,116,1103
"E01006683",2011,"Liverpool 053D","Total",1510,142,138,1230
"E01006684",2011,"Liverpool 056B","Total",2138,183,168,1787
"E01006685",2011,"Liverpool 056C","Total",1484,159,141,1184
"E01006686",2011,"Liverpool 053E","Total",1433,119,129,1185
"E01006687",2011,"Liverpool 056D","Total",1952,233,168,1551
"E01006688",2011,"Liverpool 056E","Total",1524,157,154,1213
"E01006689",2011,"Liverpool 049D","Total",1651,163,147,1341
"E01006690",2011,"Liverpool 028A","Total",1492,183,157,1152
"E01006691",2011,"Liverpool 030A","Total",1503,167,151,1185
"E01006692",2011,"Liverpool 028B","Total",2180,289,228,1663
"E01006693",2011,"Liverpool 024D","Total",1511,372,234,905
"E01006694",2011,"Liverpool 030B","Total",1864,216,150,1498
"E01006695",2011,"Liverpool 028C","Total",1821,223,214,1384
"E01006696",2011,"Liverpool 030C","Total",1744,238,186,1320
"E01006697",2011,"Liverpool 030D","Total",1845,226,176,1443
"E01006698",2011,"Liverpool 012D","Total",1716,185,139,1392
"E01006699",2011,"Liverpool 014A","Total",1594,299,177,1118
"E01006700",2011,"Liverpool 012E","Total",1438,239,168,1031
"E01006701",2011,"Liverpool 014B","Total",1380,226,169,985
"E01006702",2011,"Liverpool 014C","Total",1618,246,210,1162
"E01006703",2011,"Liverpool 014D","Total",1561,313,224,1024
"E01006705",2011,"Liverpool 009E","Total",1409,155,158,1096
"E01006706",2011,"Liverpool 045A","Total",1346,263,176,907
"E01006707",2011,"Liverpool 045B","Total",1323,292,176,855
"E01006708",2011,"Liverpool 045C","Total",1805,303,200,1302
"E01006709",2011,"Liverpool 040A","Total",1438,262,177,999
"E01006710",2011,"Liverpool 045D","Total",1496,173,158,1165
"E01006711",2011,"Liverpool 027A","Total",1538,212,168,1158
"E01006712",2011,"Liverpool 029D","Total",1339,171,115,1053
"E01006713",2011,"Liverpool 029E","Total",1377,173,121,1083
"E01006716",2011,"Liverpool 032E","Total",1589,223,198,1168
"E01006717",2011,"Liverpool 027D","Total",1436,149,137,1150
"E01006718",2011,"Liverpool 027E","Total",1587,201,187,1199
"E01006719",2011,"Liverpool 027F","Total",1535,149,155,1231
"E01006720",2011,"Liverpool 035A","Total",2108,161,159,1788
"E01006721",2011,"Liverpool 038C","Total",1655,217,170,1268
"E01006722",2011,"Liverpool 038D","Total",1793,90,98,1605
"E01006723",2011,"Liverpool 038E","Total",1875,157,174,1544
"E01006724",2011,"Liverpool 038F","Total",1790,93,83,1614
"E01006725",2011,"Liverpool 035B","Total",1537,202,151,1184
"E01006726",2011,"Liverpool 035C","Total",1565,124,105,1336
"E01006727",2011,"Liverpool 035D","Total",1441,136,131,1174
"E01006728",2011,"Liverpool 035E","Total",1623,207,155,1261
"E01006729",2011,"Liverpool 008C","Total",1400,173,153,1074
"E01006730",2011,"Liverpool 011C","Total",1326,217,160,949
"E01006731",2011,"Liverpool 011D","Total",1196,182,133,881
"E01006732",2011,"Liverpool 011E","Total",1643,245,182,1216
"E01006734",2011,"Liverpool 005C","Total",1412,224,163,1025
"E01006735",2011,"Liverpool 005D","Total",1309,236,135,938
"E01006736",2011,"Liverpool 005E","Total",1460,230,154,1076
"E01006737",2011,"Liverpool 005F","Total",1435,236,178,1021
"E01006738",2011,"Liverpool 058A","Total",1501,238,161,1102
"E01006739",2011,"Liverpool 058B","Total",1769,279,191,1299
"E01006740",2011,"Liverpool 057A","Total",1280,243,153,884
"E01006741",2011,"Liverpool 058C","Total",1815,309,188,1318
"E01006742",2011,"Liverpool 057B","Total",1394,192,131,1071
"E01006743",2011,"Liverpool 058D","Total",2175,244,195,1736
"E01006744",2011,"Liverpool 057C","Total",1482,165,132,1185
"E01006745",2011,"Liverpool 057D","Total",1879,247,149,1483
"E01006746",2011,"Liverpool 030E","Total",1513,273,157,1083
"E01006747",2011,"Liverpool 031B","Total",3552,177,138,3237
"E01006748",2011,"Liverpool 031C","Total",1936,147,95,1694
"E01006751",2011,"Liverpool 031F","Total",2572,324,205,2043
"E01006752",2011,"Liverpool 035F","Total",1012,138,101,773
"E01006753",2011,"Liverpool 059A","Total",1557,244,158,1155
"E01006754",2011,"Liverpool 059B","Total",1627,290,175,1162
"E01006755",2011,"Liverpool 059C","Total",1587,291,168,1128
"E01006756",2011,"Liverpool 059D","Total",1820,258,171,1391
"E01006757",2011,"Liverpool 059E","Total",1491,206,135,1150
"E01006758",2011,"Liverpool 059F","Total",1527,243,188,1096
"E01006759",2011,"Liverpool 028D","Total",1095,135,115,845
"E01006760",2011,"Liverpool 028E","Total",1611,227,189,1195
"E01006761",2011,"Liverpool 020B","Total",1644,291,174,1179
"E01006762",2011,"Liverpool 015E","Total",1692,286,170,1236
"E01006763",2011,"Liverpool 020C","Total",1471,171,138,1162
"E01006764",2011,"Liverpool 020D","Total",1522,200,152,1170
"E01006765",2011,"Liverpool 020E","Total",1468,203,167,1098
"E01006766",2011,"Liverpool 019E","Total",1266,151,113,1002
"E01006767",2011,"Liverpool 019F","Total",1787,179,165,1443
"E01006768",2011,"Liverpool 020F","Total",1359,143,153,1063
"E01006769",2011,"Liverpool 040B","Total",1270,276,183,811
"E01006770",2011,"Liverpool 040C","Total",1002,161,125,716
