"lsoa11cd","date","lsoa11nm","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E01006577",2011,"Liverpool 034C","Total",1503,1160,3,3,7,12,9,3,227,79
"E01006578",2011,"Liverpool 036A","Total",1380,1035,3,17,3,4,0,0,243,75
"E01006579",2011,"Liverpool 034D","Total",1643,1247,8,0,35,62,0,2,171,118
"E01006580",2011,"Liverpool 036B","Total",1335,1041,5,13,19,16,0,0,179,62
"E01006581",2011,"Liverpool 036C","Total",1559,1237,2,2,52,11,0,3,158,94
"E01006582",2011,"Liverpool 041A","Total",1642,1295,2,8,86,26,0,4,154,67
"E01006583",2011,"Liverpool 047C","Total",1758,1345,3,10,61,9,2,3,251,74
"E01006584",2011,"Liverpool 034E","Total",1393,1188,2,10,6,3,0,2,122,60
"E01006585",2011,"Liverpool 032B","Total",1354,1063,6,10,4,14,4,1,158,94
"E01006586",2011,"Liverpool 032C","Total",1899,1339,11,10,5,43,0,5,374,112
"E01006587",2011,"Liverpool 032D","Total",1624,1153,8,3,13,45,0,6,303,93
"E01006588",2011,"Liverpool 042C","Total",1569,988,6,6,26,31,3,5,402,102
"E01006589",2011,"Liverpool 041B","Total",1518,1160,7,19,35,15,4,5,200,73
"E01006590",2011,"Liverpool 042D","Total",1642,988,5,11,27,26,6,8,428,143
"E01006591",2011,"Liverpool 041C","Total",1633,1053,3,14,39,56,0,6,345,117
"E01006592",2011,"Liverpool 041D","Total",1565,1088,2,3,139,28,0,4,234,67
"E01006593",2011,"Liverpool 042E","Total",1541,902,13,3,12,26,0,4,493,88
"E01006594",2011,"Liverpool 047D","Total",1410,1010,1,39,80,36,1,4,161,78
"E01006595",2011,"Liverpool 049B","Total",1745,1188,6,2,13,40,8,4,370,114
"E01006596",2011,"Liverpool 049C","Total",1451,914,6,0,23,65,3,1,347,92
"E01006597",2011,"Liverpool 041E","Total",1667,1136,3,8,79,34,0,3,306,98
"E01006598",2011,"Liverpool 010A","Total",1361,1092,1,1,2,5,0,3,180,77
"E01006599",2011,"Liverpool 010B","Total",1121,848,1,0,2,1,0,1,209,59
"E01006600",2011,"Liverpool 011A","Total",1407,1138,4,0,0,3,0,3,159,100
"E01006603",2011,"Liverpool 011B","Total",1410,1155,5,0,0,2,0,2,149,97
"E01006604",2011,"Liverpool 016A","Total",1367,1088,1,0,0,5,0,3,181,89
"E01006605",2011,"Liverpool 016B","Total",1531,1222,7,3,5,6,0,3,203,82
"E01006606",2011,"Liverpool 020A","Total",1521,1207,7,0,0,2,0,5,219,81
"E01006607",2011,"Liverpool 008A","Total",1531,1249,0,0,0,9,0,3,181,89
"E01006608",2011,"Liverpool 009A","Total",1215,980,0,0,0,3,1,2,151,78
"E01006609",2011,"Liverpool 009B","Total",1283,1012,8,2,0,7,0,2,191,61
"E01006610",2011,"Liverpool 009C","Total",1397,1108,0,2,1,8,6,2,195,75
"E01006611",2011,"Liverpool 012A","Total",1291,1032,0,4,0,8,0,1,177,69
"E01006612",2011,"Liverpool 008B","Total",1495,1201,2,0,1,7,0,5,186,93
"E01006613",2011,"Liverpool 009D","Total",1360,1114,1,3,0,3,0,3,122,114
"E01006614",2011,"Liverpool 012B","Total",1322,1045,2,3,1,12,0,3,179,77
"E01006615",2011,"Liverpool 012C","Total",1302,1038,2,0,0,1,0,2,185,74
"E01006616",2011,"Liverpool 015D","Total",1428,1178,3,0,2,16,0,5,151,73
"E01006617",2011,"Liverpool 021A","Total",1421,1168,2,4,0,17,0,0,155,75
"E01006618",2011,"Liverpool 016C","Total",1639,1367,3,0,0,6,0,7,162,94
"E01006619",2011,"Liverpool 021B","Total",1599,1312,3,1,2,7,0,3,184,87
"E01006620",2011,"Liverpool 021C","Total",1417,1201,2,1,0,7,0,0,106,100
"E01006621",2011,"Liverpool 021D","Total",1468,1237,4,15,1,28,1,0,109,73
"E01006622",2011,"Liverpool 021E","Total",1519,1296,2,2,3,9,0,3,131,73
"E01006623",2011,"Liverpool 013A","Total",1462,1239,8,2,2,16,0,0,121,74
"E01006624",2011,"Liverpool 013B","Total",1556,1290,2,2,3,18,2,0,171,68
"E01006625",2011,"Liverpool 016D","Total",1416,1213,1,3,1,1,0,0,120,77
"E01006626",2011,"Liverpool 016E","Total",1448,1224,7,3,1,11,0,1,126,75
"E01006627",2011,"Liverpool 013C","Total",1378,1151,5,0,0,14,1,1,139,67
"E01006628",2011,"Liverpool 052D","Total",1874,1179,20,13,6,41,0,5,513,97
"E01006629",2011,"Liverpool 052E","Total",1255,887,12,6,6,23,0,1,238,82
"E01006630",2011,"Liverpool 044B","Total",1338,1015,9,6,3,65,0,4,129,107
"E01006632",2011,"Liverpool 044C","Total",1842,1405,5,21,0,97,0,2,205,107
"E01006633",2011,"Liverpool 050B","Total",1432,1110,9,0,0,16,0,3,190,104
"E01006637",2011,"Liverpool 017A","Total",1596,1211,1,0,0,17,1,0,274,92
"E01006638",2011,"Liverpool 017B","Total",1219,918,6,0,0,16,0,2,215,62
"E01006639",2011,"Liverpool 017C","Total",1509,1205,1,10,4,4,0,4,187,94
"E01006640",2011,"Liverpool 021F","Total",1880,1566,6,7,0,34,0,1,175,91
"E01006641",2011,"Liverpool 025C","Total",1740,1359,1,9,1,13,0,3,229,125
"E01006642",2011,"Liverpool 025D","Total",1290,979,1,0,2,1,1,0,211,95
"E01006643",2011,"Liverpool 025E","Total",1822,1431,2,5,0,9,0,4,283,88
"E01006644",2011,"Liverpool 017D","Total",2040,1584,6,4,2,20,0,4,302,118
"E01006645",2011,"Liverpool 017E","Total",1424,1118,4,0,1,3,0,0,185,113
"E01006646",2011,"Liverpool 023C","Total",1899,1294,16,16,2,70,1,2,326,172
"E01006647",2011,"Liverpool 024C","Total",1422,1122,7,0,0,25,0,0,169,99
"E01006648",2011,"Liverpool 023D","Total",2175,1635,4,24,2,67,2,8,311,122
"E01006651",2011,"Liverpool 001A","Total",1642,1361,3,4,0,12,0,5,175,82
"E01006652",2011,"Liverpool 002A","Total",1505,1182,1,0,0,16,0,4,192,110
"E01006653",2011,"Liverpool 001B","Total",1520,1278,3,5,1,0,0,2,151,80
"E01006654",2011,"Liverpool 005A","Total",1513,1215,0,6,3,0,0,1,207,81
"E01006655",2011,"Liverpool 001C","Total",1758,1423,5,17,0,21,1,1,201,89
"E01006656",2011,"Liverpool 002B","Total",1493,1169,2,0,4,9,0,9,210,90
"E01006657",2011,"Liverpool 002C","Total",1211,970,0,0,0,4,0,5,165,67
"E01006658",2011,"Liverpool 001D","Total",1300,1024,3,1,0,13,0,3,188,68
"E01006659",2011,"Liverpool 005B","Total",1765,1199,4,4,3,26,4,18,410,97
"E01006660",2011,"Liverpool 001E","Total",1433,1222,4,3,0,7,0,1,126,70
"E01006661",2011,"Liverpool 004A","Total",1663,1377,9,0,0,6,0,2,181,88
"E01006662",2011,"Liverpool 004B","Total",1775,1467,0,3,3,14,0,1,185,102
"E01006663",2011,"Liverpool 004C","Total",1153,972,3,0,0,3,0,1,116,58
"E01006664",2011,"Liverpool 004D","Total",1795,1462,3,0,0,26,0,4,215,85
