"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Rented from council (Local Authority); measures: Value","Tenure: Other social rented; measures: Value","Tenure: Private rented; measures: Value","Tenure: Living rent free; measures: Value"
"E01006603",2011,"Liverpool 011B","Total",201,129,0,12,50,2,8
"E01006604",2011,"Liverpool 016A","Total",167,109,1,16,32,2,7
"E01006605",2011,"Liverpool 016B","Total",211,97,0,29,73,4,8
"E01006606",2011,"Liverpool 020A","Total",178,131,1,3,27,12,4
"E01006607",2011,"Liverpool 008A","Total",179,113,0,6,52,4,4
"E01006608",2011,"Liverpool 009A","Total",129,64,1,3,43,14,4
"E01006609",2011,"Liverpool 009B","Total",134,96,0,2,16,18,2
"E01006610",2011,"Liverpool 009C","Total",190,68,0,1,103,18,0
"E01006611",2011,"Liverpool 012A","Total",129,84,0,0,20,24,1
"E01006612",2011,"Liverpool 008B","Total",209,88,0,36,71,1,13
"E01006613",2011,"Liverpool 009D","Total",206,122,0,17,54,7,6
"E01006614",2011,"Liverpool 012B","Total",139,97,1,0,28,12,1
"E01006615",2011,"Liverpool 012C","Total",123,60,0,6,34,17,6
"E01006616",2011,"Liverpool 015D","Total",179,105,4,13,48,5,4
"E01006617",2011,"Liverpool 021A","Total",156,124,0,2,16,10,4
"E01006618",2011,"Liverpool 016C","Total",267,181,1,19,55,5,6
"E01006619",2011,"Liverpool 021B","Total",205,170,0,1,8,20,6
"E01006620",2011,"Liverpool 021C","Total",250,185,0,4,52,5,4
"E01006621",2011,"Liverpool 021D","Total",195,176,0,3,4,8,4
"E01006622",2011,"Liverpool 021E","Total",196,189,0,0,1,5,1
"E01006623",2011,"Liverpool 013A","Total",147,140,0,0,3,2,2
"E01006624",2011,"Liverpool 013B","Total",183,126,1,6,32,12,6
"E01006625",2011,"Liverpool 016D","Total",216,169,1,3,35,4,4
"E01006626",2011,"Liverpool 016E","Total",198,157,1,3,29,6,2
"E01006627",2011,"Liverpool 013C","Total",172,135,2,6,16,6,7
"E01006628",2011,"Liverpool 052D","Total",146,96,4,0,35,8,3
"E01006629",2011,"Liverpool 052E","Total",158,117,0,1,33,3,4
"E01006630",2011,"Liverpool 044B","Total",104,13,0,18,63,5,5
"E01006632",2011,"Liverpool 044C","Total",179,80,1,18,69,7,4
"E01006633",2011,"Liverpool 050B","Total",210,41,0,29,125,12,3
"E01006637",2011,"Liverpool 017A","Total",117,40,0,17,52,5,3
"E01006638",2011,"Liverpool 017B","Total",122,47,0,19,48,2,6
"E01006639",2011,"Liverpool 017C","Total",133,100,1,7,20,5,0
"E01006640",2011,"Liverpool 021F","Total",197,149,1,4,31,10,2
"E01006641",2011,"Liverpool 025C","Total",37,32,0,0,3,2,0
"E01006642",2011,"Liverpool 025D","Total",147,73,0,17,44,6,7
"E01006643",2011,"Liverpool 025E","Total",136,73,0,21,34,3,5
"E01006644",2011,"Liverpool 017D","Total",201,98,0,13,71,11,8
"E01006645",2011,"Liverpool 017E","Total",236,89,0,17,116,7,7
"E01006646",2011,"Liverpool 023C","Total",166,27,0,18,105,8,8
"E01006647",2011,"Liverpool 024C","Total",165,30,0,18,101,5,11
"E01006648",2011,"Liverpool 023D","Total",211,43,0,26,128,8,6
"E01006651",2011,"Liverpool 001A","Total",67,61,0,0,4,1,1
"E01006652",2011,"Liverpool 002A","Total",142,120,0,0,2,19,1
"E01006653",2011,"Liverpool 001B","Total",169,104,1,9,41,8,6
"E01006654",2011,"Liverpool 005A","Total",152,59,0,3,71,18,1
"E01006655",2011,"Liverpool 001C","Total",191,132,0,9,41,6,3
"E01006656",2011,"Liverpool 002B","Total",147,109,0,1,12,24,1
"E01006657",2011,"Liverpool 002C","Total",134,78,0,4,27,20,5
"E01006658",2011,"Liverpool 001D","Total",172,95,0,23,42,6,6
"E01006659",2011,"Liverpool 005B","Total",126,51,0,7,58,6,4
"E01006660",2011,"Liverpool 001E","Total",183,78,0,10,82,4,9
"E01006661",2011,"Liverpool 004A","Total",233,71,0,28,114,6,14
"E01006662",2011,"Liverpool 004B","Total",253,64,5,20,150,5,9
"E01006663",2011,"Liverpool 004C","Total",108,37,1,17,46,4,3
