"lsoa11cd","date","lsoa11nm","Rural Urban","Household Type: All categories: Household type; measures: Value","Household Type: One person household; measures: Value","Household Type: Married couple household: With dependent children; measures: Value","Household Type: Married couple household: No dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: With dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: No dependent children; measures: Value","Household Type: Cohabiting couple household: With dependent children; measures: Value","Household Type: Cohabiting couple household: No dependent children; measures: Value","Household Type: Lone parent household: With dependent children; measures: Value","Household Type: Lone parent household: No dependent children; measures: Value","Household Type: Multi-person household: All full-time students; measures: Value","Household Type: Multi-person household: Other; measures: Value"
"E01006579",2011,"Liverpool 034D","Total",618,131,147,232,0,0,28,21,28,22,0,9
"E01006580",2011,"Liverpool 036B","Total",515,113,131,187,0,0,15,17,21,24,0,7
"E01006581",2011,"Liverpool 036C","Total",607,138,147,205,0,1,20,24,26,27,10,9
"E01006582",2011,"Liverpool 041A","Total",585,110,166,205,1,0,26,6,30,29,4,8
"E01006583",2011,"Liverpool 047C","Total",467,85,124,196,0,2,10,8,14,22,0,6
"E01006584",2011,"Liverpool 034E","Total",611,205,112,174,0,0,15,25,44,28,0,8
"E01006585",2011,"Liverpool 032B","Total",641,268,53,119,0,0,16,24,76,69,2,14
"E01006586",2011,"Liverpool 032C","Total",921,414,100,135,0,2,29,64,82,58,6,31
"E01006587",2011,"Liverpool 032D","Total",717,259,105,171,0,2,19,50,47,39,1,24
"E01006588",2011,"Liverpool 042C","Total",702,272,64,142,0,1,26,74,25,27,20,51
"E01006589",2011,"Liverpool 041B","Total",599,152,138,173,0,3,26,24,37,35,0,11
"E01006590",2011,"Liverpool 042D","Total",701,231,68,105,0,1,19,67,42,38,45,85
"E01006591",2011,"Liverpool 041C","Total",671,192,121,133,0,1,14,66,47,33,21,43
"E01006592",2011,"Liverpool 041D","Total",624,189,129,194,0,2,10,30,16,20,9,25
"E01006593",2011,"Liverpool 042E","Total",662,232,77,104,0,1,13,61,50,25,34,65
"E01006594",2011,"Liverpool 047D","Total",579,172,118,216,1,0,15,23,14,17,1,2
"E01006595",2011,"Liverpool 049B","Total",812,280,97,211,0,2,23,61,60,35,7,36
"E01006596",2011,"Liverpool 049C","Total",597,162,101,179,1,0,19,36,27,46,2,24
"E01006597",2011,"Liverpool 041E","Total",683,193,134,200,1,1,15,44,32,30,5,28
"E01006598",2011,"Liverpool 010A","Total",604,223,43,97,1,0,33,25,118,46,0,18
"E01006599",2011,"Liverpool 010B","Total",482,158,40,71,0,1,31,17,124,32,0,8
"E01006600",2011,"Liverpool 011A","Total",592,180,50,140,0,0,28,26,91,64,0,13
"E01006603",2011,"Liverpool 011B","Total",594,182,58,133,0,0,22,16,81,84,0,18
"E01006604",2011,"Liverpool 016A","Total",571,175,55,141,0,0,26,28,74,61,0,11
"E01006605",2011,"Liverpool 016B","Total",696,289,68,116,1,0,29,21,81,68,0,23
"E01006606",2011,"Liverpool 020A","Total",723,272,59,160,0,0,25,41,99,47,0,20
"E01006607",2011,"Liverpool 008A","Total",641,196,52,153,0,0,22,23,125,54,1,15
"E01006608",2011,"Liverpool 009A","Total",563,221,61,117,0,0,25,37,68,25,0,9
"E01006609",2011,"Liverpool 009B","Total",576,209,65,119,0,0,21,29,83,42,0,8
"E01006610",2011,"Liverpool 009C","Total",669,283,54,105,0,0,19,29,120,43,0,16
"E01006611",2011,"Liverpool 012A","Total",742,411,32,77,0,0,28,21,114,45,0,14
"E01006612",2011,"Liverpool 008B","Total",740,346,45,121,0,1,28,30,104,49,0,16
"E01006613",2011,"Liverpool 009D","Total",611,240,56,151,0,0,26,21,63,43,2,9
"E01006614",2011,"Liverpool 012B","Total",667,292,43,112,0,0,32,39,90,46,0,13
"E01006615",2011,"Liverpool 012C","Total",663,279,42,90,0,0,24,47,129,45,0,7
"E01006616",2011,"Liverpool 015D","Total",613,207,70,136,0,0,29,28,66,60,0,17
"E01006617",2011,"Liverpool 021A","Total",650,211,82,163,0,0,27,48,60,42,0,17
"E01006618",2011,"Liverpool 016C","Total",692,212,87,189,0,0,23,24,59,77,0,21
"E01006619",2011,"Liverpool 021B","Total",734,256,101,195,1,0,24,40,58,42,2,15
"E01006620",2011,"Liverpool 021C","Total",625,229,92,194,0,1,13,22,38,28,0,8
"E01006621",2011,"Liverpool 021D","Total",584,163,112,220,0,0,15,11,27,20,2,14
"E01006622",2011,"Liverpool 021E","Total",586,129,124,234,0,0,26,20,28,21,0,4
"E01006623",2011,"Liverpool 013A","Total",527,69,126,244,0,1,13,14,30,26,0,4
"E01006624",2011,"Liverpool 013B","Total",702,268,76,155,0,0,28,33,78,42,1,21
"E01006625",2011,"Liverpool 016D","Total",609,185,95,192,0,1,18,23,57,28,0,10
"E01006626",2011,"Liverpool 016E","Total",593,173,98,193,0,0,21,27,32,33,0,16
"E01006627",2011,"Liverpool 013C","Total",600,195,81,158,0,0,32,39,47,42,0,6
"E01006628",2011,"Liverpool 052D","Total",651,200,89,135,0,0,24,63,51,34,8,47
"E01006629",2011,"Liverpool 052E","Total",573,203,51,151,1,0,23,41,38,32,2,31
"E01006630",2011,"Liverpool 044B","Total",555,166,43,70,0,0,25,15,146,62,1,27
"E01006632",2011,"Liverpool 044C","Total",884,344,68,129,0,1,28,46,146,76,3,43
"E01006633",2011,"Liverpool 050B","Total",699,317,32,94,1,0,33,21,118,67,0,16
"E01006637",2011,"Liverpool 017A","Total",670,208,68,96,0,0,34,38,171,42,0,13
"E01006638",2011,"Liverpool 017B","Total",518,161,52,82,0,0,27,26,114,45,1,10
"E01006639",2011,"Liverpool 017C","Total",640,199,88,138,1,0,42,27,93,40,0,12
"E01006640",2011,"Liverpool 021F","Total",760,217,155,206,0,0,28,36,59,45,0,14
"E01006641",2011,"Liverpool 025C","Total",633,154,157,100,0,0,56,55,80,23,1,7
"E01006642",2011,"Liverpool 025D","Total",590,219,38,90,0,0,38,19,116,51,0,19
"E01006643",2011,"Liverpool 025E","Total",740,198,95,114,0,0,50,47,155,70,0,11
"E01006644",2011,"Liverpool 017D","Total",963,404,96,148,0,0,43,56,133,61,1,21
"E01006645",2011,"Liverpool 017E","Total",690,299,43,109,0,0,17,15,132,62,0,13
"E01006646",2011,"Liverpool 023C","Total",1006,503,56,113,0,1,19,84,121,52,14,43
