"lsoa11cd","date","lsoa11nm","Rural Urban","Persons Per Room: All categories: Number of persons per bedroom in household; measures: Value","Persons Per Room: Up to 0.5 persons per bedroom; measures: Value","Persons Per Room: Over 0.5 and up to 1.0 persons per bedroom; measures: Value","Persons Per Room: Over 1.0 and up to 1.5 persons per bedroom; measures: Value","Persons Per Room: Over 1.5 persons per bedroom; measures: Value"
"E01006612",2011,"Liverpool 008B","Total",740,212,401,69,58
"E01006613",2011,"Liverpool 009D","Total",611,206,283,78,44
"E01006614",2011,"Liverpool 012B","Total",667,274,283,75,35
"E01006615",2011,"Liverpool 012C","Total",663,254,290,88,31
"E01006616",2011,"Liverpool 015D","Total",613,189,293,84,47
"E01006617",2011,"Liverpool 021A","Total",650,219,347,66,18
"E01006618",2011,"Liverpool 016C","Total",692,201,340,106,45
"E01006619",2011,"Liverpool 021B","Total",734,231,394,84,25
"E01006620",2011,"Liverpool 021C","Total",625,152,359,82,32
"E01006621",2011,"Liverpool 021D","Total",584,193,293,80,18
"E01006622",2011,"Liverpool 021E","Total",586,147,318,98,23
"E01006623",2011,"Liverpool 013A","Total",527,154,283,70,20
"E01006624",2011,"Liverpool 013B","Total",702,267,311,83,41
"E01006625",2011,"Liverpool 016D","Total",609,164,334,88,23
"E01006626",2011,"Liverpool 016E","Total",593,183,283,101,26
"E01006627",2011,"Liverpool 013C","Total",600,200,296,88,16
"E01006628",2011,"Liverpool 052D","Total",651,215,339,63,34
"E01006629",2011,"Liverpool 052E","Total",573,181,297,62,33
"E01006630",2011,"Liverpool 044B","Total",555,117,294,80,64
"E01006632",2011,"Liverpool 044C","Total",884,260,429,101,94
"E01006633",2011,"Liverpool 050B","Total",699,223,341,83,52
"E01006637",2011,"Liverpool 017A","Total",670,200,319,88,63
"E01006638",2011,"Liverpool 017B","Total",518,165,240,75,38
"E01006639",2011,"Liverpool 017C","Total",640,186,326,83,45
"E01006640",2011,"Liverpool 021F","Total",760,236,385,100,39
"E01006641",2011,"Liverpool 025C","Total",633,155,278,146,54
"E01006642",2011,"Liverpool 025D","Total",590,213,265,68,44
"E01006643",2011,"Liverpool 025E","Total",740,181,378,114,67
"E01006644",2011,"Liverpool 017D","Total",963,268,543,95,57
"E01006645",2011,"Liverpool 017E","Total",690,193,382,66,49
"E01006646",2011,"Liverpool 023C","Total",1006,343,473,87,103
"E01006647",2011,"Liverpool 024C","Total",636,213,287,72,64
"E01006648",2011,"Liverpool 023D","Total",1075,337,536,128,74
"E01006651",2011,"Liverpool 001A","Total",592,135,306,127,24
"E01006652",2011,"Liverpool 002A","Total",633,190,325,92,26
"E01006653",2011,"Liverpool 001B","Total",656,192,337,88,39
"E01006654",2011,"Liverpool 005A","Total",627,177,331,84,35
"E01006655",2011,"Liverpool 001C","Total",706,193,363,101,49
"E01006656",2011,"Liverpool 002B","Total",669,233,322,70,44
"E01006657",2011,"Liverpool 002C","Total",582,190,282,74,36
"E01006658",2011,"Liverpool 001D","Total",634,220,309,66,39
"E01006659",2011,"Liverpool 005B","Total",548,169,301,49,29
"E01006660",2011,"Liverpool 001E","Total",616,193,304,80,39
"E01006661",2011,"Liverpool 004A","Total",749,262,343,103,41
"E01006662",2011,"Liverpool 004B","Total",785,294,343,109,39
"E01006663",2011,"Liverpool 004C","Total",510,174,225,88,23
"E01006664",2011,"Liverpool 004D","Total",822,267,399,113,43
"E01006665",2011,"Liverpool 007A","Total",630,192,312,101,25
"E01006666",2011,"Liverpool 007B","Total",514,130,272,92,20
"E01006667",2011,"Liverpool 007C","Total",618,200,307,88,23
"E01006668",2011,"Liverpool 007D","Total",590,137,334,94,25
"E01006669",2011,"Liverpool 004E","Total",551,164,270,88,29
"E01006670",2011,"Liverpool 007E","Total",607,159,335,89,24
"E01006671",2011,"Liverpool 013D","Total",499,171,236,67,25
"E01006672",2011,"Liverpool 010E","Total",798,234,381,117,66
"E01006673",2011,"Liverpool 037D","Total",954,227,515,91,121
"E01006674",2011,"Liverpool 039C","Total",826,294,319,98,115
"E01006675",2011,"Liverpool 043C","Total",1132,270,706,47,109
"E01006676",2011,"Liverpool 044D","Total",761,240,329,100,92
"E01006677",2011,"Liverpool 043D","Total",477,188,189,55,45
"E01006678",2011,"Liverpool 044E","Total",1059,314,527,121,97
"E01006679",2011,"Liverpool 039D","Total",920,242,418,108,152
"E01006680",2011,"Liverpool 053B","Total",605,181,315,92,17
"E01006681",2011,"Liverpool 054D","Total",719,216,384,86,33
"E01006682",2011,"Liverpool 053C","Total",498,134,273,82,9
"E01006683",2011,"Liverpool 053D","Total",594,167,321,86,20
"E01006684",2011,"Liverpool 056B","Total",999,424,474,80,21
"E01006685",2011,"Liverpool 056C","Total",604,235,284,60,25
"E01006686",2011,"Liverpool 053E","Total",531,145,266,95,25
"E01006687",2011,"Liverpool 056D","Total",933,364,496,39,34
"E01006688",2011,"Liverpool 056E","Total",712,220,394,76,22
"E01006689",2011,"Liverpool 049D","Total",717,200,397,91,29
