"lsoa11cd","date","lsoa11nm","Rural Urban","Marital Status: All usual residents aged 16+; measures: Value","Marital Status: Single (never married or never registered a same-sex civil partnership); measures: Value","Marital Status: Married; measures: Value","Marital Status: In a registered same-sex civil partnership; measures: Value","Marital Status: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Marital Status: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Marital Status: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"E01006596",2011,"Liverpool 049C","Total",1228,443,571,2,38,74,100
"E01006597",2011,"Liverpool 041E","Total",1395,474,688,4,30,87,112
"E01006598",2011,"Liverpool 010A","Total",1038,484,280,2,59,118,95
"E01006599",2011,"Liverpool 010B","Total",814,412,225,2,42,84,49
"E01006600",2011,"Liverpool 011A","Total",1173,503,398,0,35,101,136
"E01006603",2011,"Liverpool 011B","Total",1177,518,399,1,28,111,120
"E01006604",2011,"Liverpool 016A","Total",1130,488,397,3,39,100,103
"E01006605",2011,"Liverpool 016B","Total",1270,569,385,4,46,136,130
"E01006606",2011,"Liverpool 020A","Total",1267,568,461,0,49,113,76
"E01006607",2011,"Liverpool 008A","Total",1227,559,424,4,44,99,97
"E01006608",2011,"Liverpool 009A","Total",998,451,369,0,33,81,64
"E01006609",2011,"Liverpool 009B","Total",1060,477,379,0,32,101,71
"E01006610",2011,"Liverpool 009C","Total",1141,545,326,0,50,107,113
"E01006611",2011,"Liverpool 012A","Total",1055,565,227,2,47,137,77
"E01006612",2011,"Liverpool 008B","Total",1214,554,345,4,42,137,132
"E01006613",2011,"Liverpool 009D","Total",1152,470,431,0,42,98,111
"E01006614",2011,"Liverpool 012B","Total",1084,536,325,0,31,120,72
"E01006615",2011,"Liverpool 012C","Total",1071,551,270,0,56,122,72
"E01006616",2011,"Liverpool 015D","Total",1185,488,440,2,34,117,104
"E01006617",2011,"Liverpool 021A","Total",1216,499,497,0,46,90,84
"E01006618",2011,"Liverpool 016C","Total",1391,530,561,0,39,117,144
"E01006619",2011,"Liverpool 021B","Total",1339,495,606,2,42,93,101
"E01006620",2011,"Liverpool 021C","Total",1197,365,584,2,27,75,144
"E01006621",2011,"Liverpool 021D","Total",1249,409,679,0,22,54,85
"E01006622",2011,"Liverpool 021E","Total",1238,350,728,0,16,61,83
"E01006623",2011,"Liverpool 013A","Total",1223,335,753,2,24,53,56
"E01006624",2011,"Liverpool 013B","Total",1294,589,478,0,44,98,85
"E01006625",2011,"Liverpool 016D","Total",1171,360,581,2,28,83,117
"E01006626",2011,"Liverpool 016E","Total",1246,433,591,0,30,84,108
"E01006627",2011,"Liverpool 013C","Total",1152,448,490,0,39,76,99
"E01006628",2011,"Liverpool 052D","Total",1632,965,464,2,28,89,84
"E01006629",2011,"Liverpool 052E","Total",1116,513,416,2,18,78,89
"E01006630",2011,"Liverpool 044B","Total",1029,539,247,2,65,106,70
"E01006632",2011,"Liverpool 044C","Total",1465,743,411,2,82,139,88
"E01006633",2011,"Liverpool 050B","Total",1151,563,264,2,51,148,123
"E01006637",2011,"Liverpool 017A","Total",1161,585,340,0,53,111,72
"E01006638",2011,"Liverpool 017B","Total",934,449,283,0,39,83,80
"E01006639",2011,"Liverpool 017C","Total",1177,494,461,2,45,88,87
"E01006640",2011,"Liverpool 021F","Total",1496,517,741,0,41,90,107
"E01006641",2011,"Liverpool 025C","Total",1267,518,579,0,31,77,62
"E01006642",2011,"Liverpool 025D","Total",1014,497,279,0,40,104,94
"E01006643",2011,"Liverpool 025E","Total",1357,651,440,2,48,133,83
"E01006644",2011,"Liverpool 017D","Total",1643,802,507,2,58,163,111
"E01006645",2011,"Liverpool 017E","Total",1161,543,309,0,60,118,131
"E01006646",2011,"Liverpool 023C","Total",1633,986,365,4,57,129,92
"E01006647",2011,"Liverpool 024C","Total",1071,544,273,0,40,130,84
"E01006648",2011,"Liverpool 023D","Total",1895,1175,419,3,51,137,110
"E01006651",2011,"Liverpool 001A","Total",1248,441,653,2,39,73,40
"E01006652",2011,"Liverpool 002A","Total",1211,503,504,0,36,87,81
"E01006653",2011,"Liverpool 001B","Total",1211,493,473,0,38,108,99
"E01006654",2011,"Liverpool 005A","Total",1236,429,539,3,41,91,133
"E01006655",2011,"Liverpool 001C","Total",1410,582,548,0,46,117,117
"E01006656",2011,"Liverpool 002B","Total",1221,537,468,0,35,102,79
"E01006657",2011,"Liverpool 002C","Total",978,435,320,0,30,110,83
"E01006658",2011,"Liverpool 001D","Total",1067,530,297,0,38,114,88
"E01006659",2011,"Liverpool 005B","Total",1574,894,300,9,85,186,100
"E01006660",2011,"Liverpool 001E","Total",1136,445,445,0,39,111,96
"E01006661",2011,"Liverpool 004A","Total",1350,600,459,1,39,107,144
"E01006662",2011,"Liverpool 004B","Total",1439,620,423,1,31,139,225
"E01006663",2011,"Liverpool 004C","Total",896,406,288,0,43,86,73
"E01006664",2011,"Liverpool 004D","Total",1406,653,418,2,63,138,132
"E01006665",2011,"Liverpool 007A","Total",1219,461,575,6,38,89,50
"E01006666",2011,"Liverpool 007B","Total",1156,401,614,1,28,73,39
"E01006667",2011,"Liverpool 007C","Total",1205,448,502,2,35,95,123
"E01006668",2011,"Liverpool 007D","Total",1163,413,591,0,37,70,52
"E01006669",2011,"Liverpool 004E","Total",1142,418,580,0,36,68,40
"E01006670",2011,"Liverpool 007E","Total",1210,435,603,0,38,81,53
"E01006671",2011,"Liverpool 013D","Total",1105,405,535,3,22,74,66
"E01006672",2011,"Liverpool 010E","Total",1445,663,496,6,56,139,85
"E01006673",2011,"Liverpool 037D","Total",1511,918,326,2,53,125,87
"E01006674",2011,"Liverpool 039C","Total",1355,627,435,4,70,129,90
"E01006675",2011,"Liverpool 043C","Total",1702,1158,250,3,38,178,75
"E01006676",2011,"Liverpool 044D","Total",1283,628,364,4,71,132,84
"E01006677",2011,"Liverpool 043D","Total",753,370,186,0,42,96,59
"E01006678",2011,"Liverpool 044E","Total",1774,942,462,4,70,166,130
"E01006679",2011,"Liverpool 039D","Total",1578,721,479,2,109,154,113
"E01006680",2011,"Liverpool 053B","Total",1310,404,707,4,26,80,89
"E01006681",2011,"Liverpool 054D","Total",1342,499,607,4,37,99,96
"E01006682",2011,"Liverpool 053C","Total",1068,299,632,0,19,48,70
"E01006683",2011,"Liverpool 053D","Total",1254,376,704,3,17,79,75
"E01006684",2011,"Liverpool 056B","Total",1796,706,790,5,47,144,104
"E01006685",2011,"Liverpool 056C","Total",1264,439,613,3,11,76,122
"E01006686",2011,"Liverpool 053E","Total",1196,379,629,2,20,71,95
"E01006687",2011,"Liverpool 056D","Total",1669,637,709,6,49,156,112
"E01006688",2011,"Liverpool 056E","Total",1286,540,539,4,28,93,82
"E01006689",2011,"Liverpool 049D","Total",1365,474,670,13,21,102,85
"E01006690",2011,"Liverpool 028A","Total",1295,756,280,6,65,142,46
"E01006691",2011,"Liverpool 030A","Total",1163,599,343,0,49,97,75
"E01006692",2011,"Liverpool 028B","Total",1748,910,494,2,59,181,102
"E01006693",2011,"Liverpool 024D","Total",1337,596,390,6,41,174,130
"E01006694",2011,"Liverpool 030B","Total",1481,772,444,1,57,127,80
"E01006695",2011,"Liverpool 028C","Total",1549,959,322,5,67,155,41
"E01006696",2011,"Liverpool 030C","Total",1372,659,453,0,47,140,73
"E01006697",2011,"Liverpool 030D","Total",1457,742,439,4,61,132,79
"E01006698",2011,"Liverpool 012D","Total",1324,624,473,1,38,122,66
"E01006699",2011,"Liverpool 014A","Total",1275,691,313,2,54,133,82
"E01006700",2011,"Liverpool 012E","Total",1177,563,355,0,61,112,86
"E01006701",2011,"Liverpool 014B","Total",1174,530,400,4,55,108,77
"E01006702",2011,"Liverpool 014C","Total",1277,665,342,0,61,110,99
"E01006703",2011,"Liverpool 014D","Total",1319,665,321,0,43,175,115
"E01006705",2011,"Liverpool 009E","Total",1157,580,364,0,51,93,69
"E01006706",2011,"Liverpool 045A","Total",1086,488,343,0,29,118,108
"E01006707",2011,"Liverpool 045B","Total",1067,438,332,2,50,115,130
"E01006708",2011,"Liverpool 045C","Total",1431,577,548,1,40,141,124
"E01006709",2011,"Liverpool 040A","Total",1211,542,351,5,40,154,119
"E01006710",2011,"Liverpool 045D","Total",1191,493,489,0,28,96,85
"E01006711",2011,"Liverpool 027A","Total",1225,551,401,2,49,145,77
"E01006712",2011,"Liverpool 029D","Total",1045,459,362,1,30,102,91
"E01006713",2011,"Liverpool 029E","Total",1113,467,427,2,30,93,94
"E01006716",2011,"Liverpool 032E","Total",1263,603,367,2,52,141,98
"E01006717",2011,"Liverpool 027D","Total",1173,454,526,1,33,94,65
"E01006718",2011,"Liverpool 027E","Total",1296,542,489,6,55,118,86
"E01006719",2011,"Liverpool 027F","Total",1209,517,446,4,29,124,89
"E01006720",2011,"Liverpool 035A","Total",1663,1022,414,3,54,99,71
"E01006721",2011,"Liverpool 038C","Total",1376,870,217,0,48,141,100
"E01006722",2011,"Liverpool 038D","Total",1591,1206,254,0,23,49,59
"E01006723",2011,"Liverpool 038E","Total",1701,1233,265,1,36,94,72
"E01006724",2011,"Liverpool 038F","Total",1671,1297,257,0,19,47,51
"E01006725",2011,"Liverpool 035B","Total",1284,669,379,0,48,97,91
"E01006726",2011,"Liverpool 035C","Total",1325,844,302,1,33,88,57
"E01006727",2011,"Liverpool 035D","Total",1215,632,361,4,38,109,71
"E01006728",2011,"Liverpool 035E","Total",1328,757,287,0,42,139,103
"E01006729",2011,"Liverpool 008C","Total",1018,488,314,4,42,77,93
"E01006730",2011,"Liverpool 011C","Total",1048,475,336,0,45,81,111
"E01006731",2011,"Liverpool 011D","Total",940,427,320,0,31,73,89
"E01006732",2011,"Liverpool 011E","Total",1177,601,322,0,46,123,85
"E01006734",2011,"Liverpool 005C","Total",1058,517,298,0,52,110,81
"E01006735",2011,"Liverpool 005D","Total",1030,489,295,4,44,109,89
"E01006736",2011,"Liverpool 005E","Total",1167,566,352,1,45,107,96
"E01006737",2011,"Liverpool 005F","Total",1152,542,409,0,33,89,79
"E01006738",2011,"Liverpool 058A","Total",1183,571,341,0,43,116,112
"E01006739",2011,"Liverpool 058B","Total",1342,637,363,0,61,179,102
"E01006740",2011,"Liverpool 057A","Total",1018,503,238,1,53,137,86
"E01006741",2011,"Liverpool 058C","Total",1470,736,451,0,31,122,130
"E01006742",2011,"Liverpool 057B","Total",1152,511,431,2,23,94,91
"E01006743",2011,"Liverpool 058D","Total",1727,808,599,4,56,146,114
"E01006744",2011,"Liverpool 057C","Total",1209,621,362,0,42,108,76
"E01006745",2011,"Liverpool 057D","Total",1520,805,431,2,64,142,76
"E01006746",2011,"Liverpool 030E","Total",1317,732,330,0,48,107,100
"E01006747",2011,"Liverpool 031B","Total",3422,2975,261,3,37,89,57
"E01006748",2011,"Liverpool 031C","Total",1768,1310,264,1,36,85,72
"E01006751",2011,"Liverpool 031F","Total",2214,1516,391,0,42,147,118
"E01006752",2011,"Liverpool 035F","Total",839,441,249,2,22,80,45
"E01006753",2011,"Liverpool 059A","Total",1184,622,339,1,39,104,79
"E01006754",2011,"Liverpool 059B","Total",1317,591,377,0,55,163,131
"E01006755",2011,"Liverpool 059C","Total",1201,608,301,4,53,131,104
"E01006756",2011,"Liverpool 059D","Total",1348,673,407,0,51,126,91
"E01006757",2011,"Liverpool 059E","Total",1095,534,343,2,41,98,77
"E01006758",2011,"Liverpool 059F","Total",1157,567,345,0,50,110,85
"E01006759",2011,"Liverpool 028D","Total",902,455,285,3,38,79,42
"E01006760",2011,"Liverpool 028E","Total",1426,898,284,2,60,141,41
"E01006761",2011,"Liverpool 020B","Total",1374,628,439,1,47,126,133
"E01006762",2011,"Liverpool 015E","Total",1345,597,476,0,38,111,123
"E01006763",2011,"Liverpool 020C","Total",1159,531,396,0,46,117,69
"E01006764",2011,"Liverpool 020D","Total",1214,645,353,2,44,111,59
"E01006765",2011,"Liverpool 020E","Total",1192,538,418,0,38,103,95
"E01006766",2011,"Liverpool 019E","Total",969,511,242,4,38,116,58
"E01006767",2011,"Liverpool 019F","Total",1388,767,375,11,48,112,75
"E01006768",2011,"Liverpool 020F","Total",1159,547,435,1,43,86,47
"E01006769",2011,"Liverpool 040B","Total",1059,449,256,3,41,148,162
"E01006770",2011,"Liverpool 040C","Total",808,351,256,0,20,102,79
"E01006771",2011,"Liverpool 040D","Total",1172,529,299,0,47,156,141
"E01006772",2011,"Liverpool 040E","Total",918,335,387,1,26,87,82
"E01006773",2011,"Liverpool 036D","Total",1138,372,607,2,20,71,66
"E01006774",2011,"Liverpool 036E","Total",1170,376,627,2,21,85,59
"E01006775",2011,"Liverpool 040F","Total",1092,480,349,1,35,122,105
"E01006776",2011,"Liverpool 022B","Total",1433,677,414,2,64,156,120
"E01006778",2011,"Liverpool 014E","Total",1864,1019,379,2,74,255,135
"E01006779",2011,"Liverpool 022D","Total",1591,847,357,1,74,155,157
"E01006780",2011,"Liverpool 002D","Total",1196,511,478,0,35,94,78
"E01006781",2011,"Liverpool 003A","Total",1223,452,585,0,28,102,56
"E01006782",2011,"Liverpool 003B","Total",1280,567,466,3,35,127,82
"E01006783",2011,"Liverpool 002E","Total",1213,512,486,5,40,94,76
"E01006784",2011,"Liverpool 003C","Total",1088,472,421,0,39,84,72
"E01006785",2011,"Liverpool 003D","Total",1438,665,494,6,46,132,95
"E01006786",2011,"Liverpool 003E","Total",1458,531,660,3,34,146,84
"E01006787",2011,"Liverpool 006A","Total",2036,1247,442,11,95,186,55
"E01006788",2011,"Liverpool 006B","Total",1404,618,567,1,37,97,84
"E01006790",2011,"Liverpool 006C","Total",1276,677,318,0,49,144,88
"E01006791",2011,"Liverpool 006D","Total",1411,658,411,1,62,149,130
"E01006792",2011,"Liverpool 046A","Total",1153,294,702,0,15,57,85
"E01006793",2011,"Liverpool 051A","Total",1253,464,516,0,41,112,120
"E01006794",2011,"Liverpool 046B","Total",1349,429,719,0,23,90,88
"E01006795",2011,"Liverpool 051B","Total",1183,404,572,4,34,82,87
"E01006796",2011,"Liverpool 047E","Total",1304,342,841,0,10,28,83
"E01006797",2011,"Liverpool 051C","Total",1247,530,465,0,39,100,113
"E01006798",2011,"Liverpool 051D","Total",1215,418,612,1,14,76,94
"E01006799",2011,"Liverpool 051E","Total",1660,582,456,2,69,294,257
