"lsoa11cd","date","lsoa11nm","Rural Urban","disability/health/care: All categories: Long-term health problem or disability; measures: Value","disability/health/care: Day-to-day activities limited a lot; measures: Value","disability/health/care: Day-to-day activities limited a little; measures: Value","disability/health/care: Day-to-day activities not limited; measures: Value","disability/health/care: Day-to-day activities limited a lot: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities limited a little: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities not limited: Age 16 to 64; measures: Value","disability/health/care: Very good health; measures: Value","disability/health/care: Good health; measures: Value","disability/health/care: Fair health; measures: Value","disability/health/care: Bad health; measures: Value","disability/health/care: Very bad health; measures: Value","disability/health/care: Provides no unpaid care; measures: Value","disability/health/care: Provides 1 to 19 hours unpaid care a week; measures: Value","disability/health/care: Provides 20 to 49 hours unpaid care a week; measures: Value","disability/health/care: Provides 50 or more hours unpaid care a week; measures: Value"
"E01006709",2011,"Liverpool 040A","Total",1438,262,177,999,130,111,710,549,449,261,135,44,1287,63,28,60
"E01006710",2011,"Liverpool 045D","Total",1496,173,158,1165,94,91,806,681,466,211,106,32,1321,84,23,68
"E01006711",2011,"Liverpool 027A","Total",1538,212,168,1158,125,95,806,693,452,251,109,33,1339,103,35,61
"E01006712",2011,"Liverpool 029D","Total",1339,171,115,1053,72,60,709,619,413,183,94,30,1204,69,27,39
"E01006713",2011,"Liverpool 029E","Total",1377,173,121,1083,85,65,739,615,461,180,99,22,1225,62,28,62
"E01006716",2011,"Liverpool 032E","Total",1589,223,198,1168,120,114,795,710,471,269,102,37,1438,84,25,42
"E01006717",2011,"Liverpool 027D","Total",1436,149,137,1150,79,56,829,694,480,166,78,18,1240,110,31,55
"E01006718",2011,"Liverpool 027E","Total",1587,201,187,1199,111,100,854,695,517,250,97,28,1398,103,25,61
"E01006719",2011,"Liverpool 027F","Total",1535,149,155,1231,75,84,852,730,498,212,73,22,1339,109,34,53
"E01006720",2011,"Liverpool 035A","Total",2108,161,159,1788,102,106,1329,1104,657,215,106,26,1969,69,32,38
"E01006721",2011,"Liverpool 038C","Total",1655,217,170,1268,121,108,948,711,531,258,120,35,1509,71,32,43
"E01006722",2011,"Liverpool 038D","Total",1793,90,98,1605,40,68,1376,1005,553,168,55,12,1695,59,18,21
"E01006723",2011,"Liverpool 038E","Total",1875,157,174,1544,97,109,1338,978,543,227,97,30,1743,71,24,37
"E01006724",2011,"Liverpool 038F","Total",1790,93,83,1614,38,43,1452,1086,508,144,38,14,1670,64,21,35
"E01006725",2011,"Liverpool 035B","Total",1537,202,151,1184,123,110,853,697,488,196,104,52,1391,68,32,46
"E01006726",2011,"Liverpool 035C","Total",1565,124,105,1336,80,75,1048,794,501,173,76,21,1436,62,25,42
"E01006727",2011,"Liverpool 035D","Total",1441,136,131,1174,78,85,895,703,457,183,82,16,1304,85,24,28
"E01006728",2011,"Liverpool 035E","Total",1623,207,155,1261,120,104,917,706,525,223,136,33,1483,70,34,36
"E01006729",2011,"Liverpool 008C","Total",1400,173,153,1074,96,90,653,663,400,206,100,31,1243,75,44,38
"E01006730",2011,"Liverpool 011C","Total",1326,217,160,949,120,88,631,566,386,227,112,35,1153,67,38,68
"E01006731",2011,"Liverpool 011D","Total",1196,182,133,881,91,83,598,497,379,191,100,29,1053,53,33,57
"E01006732",2011,"Liverpool 011E","Total",1643,245,182,1216,143,104,721,734,492,238,127,52,1425,79,45,94
"E01006734",2011,"Liverpool 005C","Total",1412,224,163,1025,113,103,654,595,423,228,128,38,1256,67,35,54
"E01006735",2011,"Liverpool 005D","Total",1309,236,135,938,130,85,629,523,398,226,117,45,1146,58,43,62
"E01006736",2011,"Liverpool 005E","Total",1460,230,154,1076,137,94,745,663,418,231,117,31,1271,74,40,75
"E01006737",2011,"Liverpool 005F","Total",1435,236,178,1021,126,99,716,569,452,248,131,35,1213,100,39,83
"E01006738",2011,"Liverpool 058A","Total",1501,238,161,1102,114,100,738,656,441,251,120,33,1321,78,38,64
"E01006739",2011,"Liverpool 058B","Total",1769,279,191,1299,157,109,851,770,515,282,157,45,1586,79,41,63
"E01006740",2011,"Liverpool 057A","Total",1280,243,153,884,142,100,604,564,324,221,121,50,1144,50,39,47
"E01006741",2011,"Liverpool 058C","Total",1815,309,188,1318,181,111,909,755,560,292,156,52,1574,92,54,95
"E01006742",2011,"Liverpool 057B","Total",1394,192,131,1071,86,86,765,623,442,201,102,26,1207,97,36,54
"E01006743",2011,"Liverpool 058D","Total",2175,244,195,1736,139,114,1251,1072,680,244,133,46,1941,113,44,77
"E01006744",2011,"Liverpool 057C","Total",1482,165,132,1185,88,71,860,731,439,201,73,38,1328,79,28,47
"E01006745",2011,"Liverpool 057D","Total",1879,247,149,1483,149,99,1076,902,561,250,126,40,1668,85,53,73
"E01006746",2011,"Liverpool 030E","Total",1513,273,157,1083,146,89,815,571,487,264,139,52,1353,70,28,62
"E01006747",2011,"Liverpool 031B","Total",3552,177,138,3237,110,110,3069,2045,1127,234,115,31,3379,114,30,29
"E01006748",2011,"Liverpool 031C","Total",1936,147,95,1694,75,63,1478,1005,628,191,80,32,1821,66,18,31
"E01006751",2011,"Liverpool 031F","Total",2572,324,205,2043,166,125,1653,1198,773,344,192,65,2373,89,44,66
"E01006752",2011,"Liverpool 035F","Total",1012,138,101,773,83,64,581,437,299,164,85,27,908,53,19,32
"E01006753",2011,"Liverpool 059A","Total",1557,244,158,1155,123,102,751,658,466,246,147,40,1372,73,33,79
"E01006754",2011,"Liverpool 059B","Total",1627,290,175,1162,156,114,808,692,453,267,155,60,1456,61,44,66
"E01006755",2011,"Liverpool 059C","Total",1587,291,168,1128,153,109,744,672,465,221,168,61,1417,69,45,56
"E01006756",2011,"Liverpool 059D","Total",1820,258,171,1391,153,107,893,793,556,283,130,58,1631,71,37,81
"E01006757",2011,"Liverpool 059E","Total",1491,206,135,1150,116,87,729,692,456,196,109,38,1360,43,31,57
"E01006758",2011,"Liverpool 059F","Total",1527,243,188,1096,139,121,710,645,458,249,132,43,1345,76,44,62
"E01006759",2011,"Liverpool 028D","Total",1095,135,115,845,82,72,638,503,349,146,74,23,964,71,24,36
"E01006760",2011,"Liverpool 028E","Total",1611,227,189,1195,168,143,954,666,515,258,123,49,1466,83,27,35
"E01006761",2011,"Liverpool 020B","Total",1644,291,174,1179,146,105,844,625,544,302,133,40,1463,100,29,52
"E01006762",2011,"Liverpool 015E","Total",1692,286,170,1236,148,103,843,707,516,291,151,27,1478,85,38,91
"E01006763",2011,"Liverpool 020C","Total",1471,171,138,1162,83,88,792,702,441,211,89,28,1282,104,39,46
"E01006764",2011,"Liverpool 020D","Total",1522,200,152,1170,128,95,828,697,479,202,114,30,1364,84,32,42
"E01006765",2011,"Liverpool 020E","Total",1468,203,167,1098,101,101,780,649,445,227,103,44,1266,97,39,66
"E01006766",2011,"Liverpool 019E","Total",1266,151,113,1002,96,77,669,544,418,192,80,32,1143,62,27,34
"E01006767",2011,"Liverpool 019F","Total",1787,179,165,1443,101,110,1018,868,583,208,98,30,1603,94,43,47
"E01006768",2011,"Liverpool 020F","Total",1359,143,153,1063,85,115,806,605,464,199,72,19,1193,97,24,45
"E01006769",2011,"Liverpool 040B","Total",1270,276,183,811,117,85,536,464,368,261,128,49,1140,51,18,61
"E01006770",2011,"Liverpool 040C","Total",1002,161,125,716,73,72,468,403,318,170,77,34,871,58,22,51
"E01006771",2011,"Liverpool 040D","Total",1425,309,172,944,157,82,632,564,382,255,172,52,1247,49,43,86
"E01006772",2011,"Liverpool 040E","Total",1091,183,117,791,93,67,562,427,364,189,85,26,947,76,25,43
"E01006773",2011,"Liverpool 036D","Total",1379,118,141,1120,45,74,800,699,450,168,46,16,1192,110,19,58
"E01006774",2011,"Liverpool 036E","Total",1445,131,100,1214,63,52,877,789,421,156,61,18,1262,128,23,32
"E01006775",2011,"Liverpool 040F","Total",1319,276,176,867,140,97,589,449,426,242,145,57,1132,61,57,69
"E01006776",2011,"Liverpool 022B","Total",1677,349,187,1141,176,98,829,659,480,283,192,63,1515,54,40,68
"E01006778",2011,"Liverpool 014E","Total",2205,419,261,1525,258,187,1134,871,626,380,254,74,1952,105,55,93
"E01006779",2011,"Liverpool 022D","Total",1968,448,256,1264,244,156,832,731,522,374,254,87,1706,96,55,111
"E01006780",2011,"Liverpool 002D","Total",1465,163,168,1134,66,81,809,709,443,204,80,29,1286,92,34,53
"E01006781",2011,"Liverpool 003A","Total",1470,152,152,1166,80,101,860,753,425,200,70,22,1274,126,28,42
"E01006782",2011,"Liverpool 003B","Total",1560,161,153,1246,87,86,917,728,502,225,82,23,1378,120,22,40
"E01006783",2011,"Liverpool 002E","Total",1548,160,130,1258,71,82,868,727,505,210,77,29,1368,92,33,55
"E01006784",2011,"Liverpool 003C","Total",1347,125,124,1098,70,74,799,663,414,186,72,12,1206,83,28,30
"E01006785",2011,"Liverpool 003D","Total",1769,225,168,1376,109,96,970,826,567,244,99,33,1569,99,34,67
"E01006786",2011,"Liverpool 003E","Total",1820,176,187,1457,96,104,1021,886,570,253,87,24,1573,126,50,71
"E01006787",2011,"Liverpool 006A","Total",2330,330,210,1790,272,172,1451,892,821,406,168,43,2128,107,42,53
"E01006788",2011,"Liverpool 006B","Total",1825,188,153,1484,98,102,978,941,541,219,102,22,1597,122,37,69
"E01006790",2011,"Liverpool 006C","Total",1587,244,187,1156,156,124,798,679,456,270,135,47,1426,77,29,55
"E01006791",2011,"Liverpool 006D","Total",1674,330,198,1146,182,118,821,612,530,327,165,40,1483,81,31,79
"E01006792",2011,"Liverpool 046A","Total",1368,93,151,1124,31,43,712,694,434,189,42,9,1205,111,19,33
"E01006793",2011,"Liverpool 051A","Total",1494,193,164,1137,86,81,748,702,452,221,98,21,1322,105,34,33
"E01006794",2011,"Liverpool 046B","Total",1593,123,169,1301,55,76,888,828,498,186,70,11,1394,126,32,41
"E01006795",2011,"Liverpool 051B","Total",1407,110,114,1183,46,63,829,735,457,151,56,8,1221,128,20,38
"E01006796",2011,"Liverpool 047E","Total",1591,118,121,1352,43,47,901,898,469,165,48,11,1365,158,29,39
"E01006797",2011,"Liverpool 051C","Total",1499,238,157,1104,128,88,774,696,420,226,114,43,1296,99,33,71
"E01006798",2011,"Liverpool 051D","Total",1410,126,139,1145,51,62,819,730,437,157,69,17,1206,142,19,43
"E01006799",2011,"Liverpool 051E","Total",1821,412,272,1137,151,120,787,630,512,427,203,49,1591,142,31,57
"E01006800",2011,"Liverpool 046C","Total",1401,171,214,1016,58,72,636,554,484,258,79,26,1171,143,34,53
"E01006801",2011,"Liverpool 046D","Total",1355,142,177,1036,47,63,703,568,496,210,68,13,1167,130,29,29
"E01032505",2011,"Liverpool 050F","Total",1317,160,137,1020,82,90,722,616,426,164,85,26,1125,104,33,55
"E01032506",2011,"Liverpool 050G","Total",1403,208,158,1037,107,84,794,580,458,224,114,27,1273,68,30,32
"E01032507",2011,"Liverpool 050H","Total",1539,116,112,1311,62,73,1053,786,509,158,71,15,1393,86,18,42
"E01032508",2011,"Liverpool 027G","Total",1723,295,201,1227,168,125,875,671,534,310,152,56,1545,80,37,61
"E01032509",2011,"Liverpool 027H","Total",1434,162,137,1135,95,80,781,654,485,173,99,23,1289,72,24,49
"E01032510",2011,"Liverpool 008F","Total",1809,223,163,1423,123,88,1022,853,572,222,125,37,1609,102,33,65
"E01032511",2011,"Liverpool 008G","Total",1378,195,126,1057,114,85,769,615,439,192,98,34,1191,93,28,66
"E01033747",2011,"Liverpool 018F","Total",1043,194,193,656,117,125,410,381,289,229,108,36,921,42,35,45
"E01033748",2011,"Liverpool 050I","Total",1277,41,52,1184,27,39,1088,772,407,66,26,6,1198,63,8,8
"E01033749",2011,"Liverpool 042F","Total",1153,17,34,1102,12,31,1062,741,349,51,7,5,1130,19,2,2
"E01033750",2011,"Liverpool 061A","Total",1448,44,54,1350,31,48,1246,887,451,81,19,10,1366,63,10,9
"E01033751",2011,"Liverpool 062A","Total",1873,106,94,1673,74,75,1557,1048,578,156,68,23,1775,67,13,18
"E01033752",2011,"Liverpool 062B","Total",1196,18,31,1147,17,28,1111,767,336,70,14,9,1160,29,3,4
"E01033753",2011,"Liverpool 062C","Total",1051,11,25,1015,8,22,982,684,311,43,11,2,1013,30,5,3
"E01033754",2011,"Liverpool 061B","Total",1452,129,86,1237,73,61,1105,798,428,131,68,27,1348,57,16,31
"E01033755",2011,"Liverpool 062D","Total",1082,19,21,1042,15,19,1004,693,343,34,9,3,1044,34,3,1
"E01033756",2011,"Liverpool 061C","Total",1185,16,33,1136,13,29,1076,765,361,42,15,2,1133,41,5,6
"E01033757",2011,"Liverpool 037E","Total",1025,70,60,895,59,44,838,526,345,105,36,13,971,40,9,5
"E01033758",2011,"Liverpool 060B","Total",1730,78,56,1596,58,52,1543,1017,526,127,44,16,1667,48,7,8
"E01033759",2011,"Liverpool 010F","Total",1147,169,116,862,93,66,569,533,318,170,102,24,1017,52,35,43
"E01033760",2011,"Liverpool 060C","Total",2115,30,61,2024,29,59,1999,1337,661,100,16,1,2056,55,4,0
"E01033761",2011,"Liverpool 060D","Total",1372,18,38,1316,18,36,1289,851,437,64,16,4,1327,42,2,1
"E01033762",2011,"Liverpool 060E","Total",1791,60,61,1670,36,46,1638,1056,581,107,34,13,1726,44,14,7
"E01033763",2011,"Liverpool 031G","Total",1527,321,215,991,174,148,801,550,389,360,177,51,1391,60,26,50
"E01033764",2011,"Liverpool 022E","Total",2202,518,272,1412,279,176,970,780,607,464,264,87,1935,106,63,98
"E01033765",2011,"Liverpool 061D","Total",1351,208,156,987,128,99,691,618,371,198,110,54,1192,72,37,50
"E01033766",2011,"Liverpool 042G","Total",1075,73,86,916,41,52,781,584,342,109,30,10,989,47,14,25
"E01033767",2011,"Liverpool 050J","Total",1067,151,124,792,100,81,562,451,323,169,98,26,967,54,14,32
"E01033768",2011,"Liverpool 037F","Total",1223,161,142,920,131,122,808,511,398,202,83,29,1135,62,16,10
