"lsoa11cd","date","lsoa11nm","Rural Urban","General Health: All categories: General health; measures: Value","General Health: Very good health; measures: Value","General Health: Good health; measures: Value","General Health: Fair health; measures: Value","General Health: Bad health; measures: Value","General Health: Very bad health; measures: Value"
"E01006606",2011,"Liverpool 020A","Total",1521,681,455,232,110,43
"E01006607",2011,"Liverpool 008A","Total",1531,649,438,275,132,37
"E01006608",2011,"Liverpool 009A","Total",1215,538,356,216,78,27
"E01006609",2011,"Liverpool 009B","Total",1283,543,415,200,98,27
"E01006610",2011,"Liverpool 009C","Total",1397,567,432,245,119,34
"E01006611",2011,"Liverpool 012A","Total",1291,510,404,238,110,29
"E01006612",2011,"Liverpool 008B","Total",1495,587,430,281,143,54
"E01006613",2011,"Liverpool 009D","Total",1360,499,417,250,146,48
"E01006614",2011,"Liverpool 012B","Total",1322,512,455,229,106,20
"E01006615",2011,"Liverpool 012C","Total",1302,531,435,193,110,33
"E01006616",2011,"Liverpool 015D","Total",1428,571,481,241,103,32
"E01006617",2011,"Liverpool 021A","Total",1421,689,461,178,83,10
"E01006618",2011,"Liverpool 016C","Total",1639,663,502,302,134,38
"E01006619",2011,"Liverpool 021B","Total",1599,768,544,194,73,20
"E01006620",2011,"Liverpool 021C","Total",1417,674,416,237,69,21
"E01006621",2011,"Liverpool 021D","Total",1468,774,442,167,67,18
"E01006622",2011,"Liverpool 021E","Total",1519,831,439,172,61,16
"E01006623",2011,"Liverpool 013A","Total",1462,758,464,168,61,11
"E01006624",2011,"Liverpool 013B","Total",1556,644,503,227,136,46
"E01006625",2011,"Liverpool 016D","Total",1416,666,429,209,84,28
"E01006626",2011,"Liverpool 016E","Total",1448,669,461,197,92,29
"E01006627",2011,"Liverpool 013C","Total",1378,684,404,194,73,23
"E01006628",2011,"Liverpool 052D","Total",1874,995,587,213,64,15
"E01006629",2011,"Liverpool 052E","Total",1255,577,370,196,79,33
"E01006630",2011,"Liverpool 044B","Total",1338,553,395,185,163,42
"E01006632",2011,"Liverpool 044C","Total",1842,837,487,302,161,55
"E01006633",2011,"Liverpool 050B","Total",1432,531,388,285,173,55
"E01006637",2011,"Liverpool 017A","Total",1596,744,488,211,117,36
"E01006638",2011,"Liverpool 017B","Total",1219,523,368,195,106,27
"E01006639",2011,"Liverpool 017C","Total",1509,729,471,198,84,27
"E01006640",2011,"Liverpool 021F","Total",1880,934,596,211,99,40
"E01006641",2011,"Liverpool 025C","Total",1740,941,517,194,67,21
"E01006642",2011,"Liverpool 025D","Total",1290,508,390,218,128,46
"E01006643",2011,"Liverpool 025E","Total",1822,850,546,232,152,42
"E01006644",2011,"Liverpool 017D","Total",2040,926,577,290,186,61
"E01006645",2011,"Liverpool 017E","Total",1424,523,401,292,153,55
"E01006646",2011,"Liverpool 023C","Total",1899,836,505,285,196,77
"E01006647",2011,"Liverpool 024C","Total",1422,589,372,221,174,66
"E01006648",2011,"Liverpool 023D","Total",2175,970,591,304,234,76
"E01006651",2011,"Liverpool 001A","Total",1642,986,463,131,49,13
"E01006652",2011,"Liverpool 002A","Total",1505,687,504,213,73,28
"E01006653",2011,"Liverpool 001B","Total",1520,682,429,214,145,50
"E01006654",2011,"Liverpool 005A","Total",1513,728,418,225,112,30
"E01006655",2011,"Liverpool 001C","Total",1758,812,573,214,129,30
"E01006656",2011,"Liverpool 002B","Total",1493,721,470,182,90,30
"E01006657",2011,"Liverpool 002C","Total",1211,532,394,173,82,30
"E01006658",2011,"Liverpool 001D","Total",1300,506,412,221,120,41
"E01006659",2011,"Liverpool 005B","Total",1765,637,635,293,160,40
"E01006660",2011,"Liverpool 001E","Total",1433,651,381,223,124,54
"E01006661",2011,"Liverpool 004A","Total",1663,632,504,291,164,72
"E01006662",2011,"Liverpool 004B","Total",1775,717,496,321,183,58
"E01006663",2011,"Liverpool 004C","Total",1153,545,319,178,85,26
"E01006664",2011,"Liverpool 004D","Total",1795,780,520,279,161,55
"E01006665",2011,"Liverpool 007A","Total",1555,841,456,172,57,29
"E01006666",2011,"Liverpool 007B","Total",1504,887,428,131,47,11
"E01006667",2011,"Liverpool 007C","Total",1453,646,447,223,103,34
"E01006668",2011,"Liverpool 007D","Total",1534,867,470,116,67,14
"E01006669",2011,"Liverpool 004E","Total",1470,828,446,122,56,18
"E01006670",2011,"Liverpool 007E","Total",1526,786,478,159,76,27
"E01006671",2011,"Liverpool 013D","Total",1355,659,414,161,85,36
"E01006672",2011,"Liverpool 010E","Total",1955,940,554,268,141,52
"E01006673",2011,"Liverpool 037D","Total",1937,872,604,277,143,41
"E01006674",2011,"Liverpool 039C","Total",1885,876,499,284,181,45
"E01006675",2011,"Liverpool 043C","Total",1824,772,566,298,154,34
"E01006676",2011,"Liverpool 044D","Total",1753,746,541,264,148,54
"E01006677",2011,"Liverpool 043D","Total",1040,465,300,162,82,31
"E01006678",2011,"Liverpool 044E","Total",2127,817,605,375,240,90
"E01006679",2011,"Liverpool 039D","Total",2232,1033,645,332,168,54
"E01006680",2011,"Liverpool 053B","Total",1569,819,493,175,63,19
"E01006681",2011,"Liverpool 054D","Total",1585,698,491,254,109,33
"E01006682",2011,"Liverpool 053C","Total",1310,712,394,142,52,10
"E01006683",2011,"Liverpool 053D","Total",1510,770,490,161,75,14
"E01006684",2011,"Liverpool 056B","Total",2138,1174,619,239,93,13
"E01006685",2011,"Liverpool 056C","Total",1484,734,458,206,64,22
"E01006686",2011,"Liverpool 053E","Total",1433,798,412,149,63,11
"E01006687",2011,"Liverpool 056D","Total",1952,1015,549,259,110,19
"E01006688",2011,"Liverpool 056E","Total",1524,743,498,189,78,16
"E01006689",2011,"Liverpool 049D","Total",1651,861,494,205,81,10
"E01006690",2011,"Liverpool 028A","Total",1492,622,488,231,122,29
"E01006691",2011,"Liverpool 030A","Total",1503,664,497,222,93,27
"E01006692",2011,"Liverpool 028B","Total",2180,948,702,302,175,53
"E01006693",2011,"Liverpool 024D","Total",1511,486,402,338,208,77
"E01006694",2011,"Liverpool 030B","Total",1864,828,619,253,126,38
"E01006695",2011,"Liverpool 028C","Total",1821,755,629,284,120,33
"E01006696",2011,"Liverpool 030C","Total",1744,759,538,276,134,37
"E01006697",2011,"Liverpool 030D","Total",1845,800,582,302,120,41
"E01006698",2011,"Liverpool 012D","Total",1716,823,528,224,116,25
"E01006699",2011,"Liverpool 014A","Total",1594,613,478,286,163,54
"E01006700",2011,"Liverpool 012E","Total",1438,587,438,258,120,35
"E01006701",2011,"Liverpool 014B","Total",1380,558,417,251,114,40
"E01006702",2011,"Liverpool 014C","Total",1618,651,476,309,141,41
"E01006703",2011,"Liverpool 014D","Total",1561,576,435,294,192,64
"E01006705",2011,"Liverpool 009E","Total",1409,646,421,233,91,18
"E01006706",2011,"Liverpool 045A","Total",1346,516,430,238,133,29
"E01006707",2011,"Liverpool 045B","Total",1323,502,370,256,143,52
"E01006708",2011,"Liverpool 045C","Total",1805,770,544,312,138,41
"E01006709",2011,"Liverpool 040A","Total",1438,549,449,261,135,44
"E01006710",2011,"Liverpool 045D","Total",1496,681,466,211,106,32
"E01006711",2011,"Liverpool 027A","Total",1538,693,452,251,109,33
"E01006712",2011,"Liverpool 029D","Total",1339,619,413,183,94,30
"E01006713",2011,"Liverpool 029E","Total",1377,615,461,180,99,22
"E01006716",2011,"Liverpool 032E","Total",1589,710,471,269,102,37
"E01006717",2011,"Liverpool 027D","Total",1436,694,480,166,78,18
"E01006718",2011,"Liverpool 027E","Total",1587,695,517,250,97,28
"E01006719",2011,"Liverpool 027F","Total",1535,730,498,212,73,22
"E01006720",2011,"Liverpool 035A","Total",2108,1104,657,215,106,26
"E01006721",2011,"Liverpool 038C","Total",1655,711,531,258,120,35
"E01006722",2011,"Liverpool 038D","Total",1793,1005,553,168,55,12
"E01006723",2011,"Liverpool 038E","Total",1875,978,543,227,97,30
"E01006724",2011,"Liverpool 038F","Total",1790,1086,508,144,38,14
"E01006725",2011,"Liverpool 035B","Total",1537,697,488,196,104,52
"E01006726",2011,"Liverpool 035C","Total",1565,794,501,173,76,21
"E01006727",2011,"Liverpool 035D","Total",1441,703,457,183,82,16
"E01006728",2011,"Liverpool 035E","Total",1623,706,525,223,136,33
"E01006729",2011,"Liverpool 008C","Total",1400,663,400,206,100,31
"E01006730",2011,"Liverpool 011C","Total",1326,566,386,227,112,35
"E01006731",2011,"Liverpool 011D","Total",1196,497,379,191,100,29
"E01006732",2011,"Liverpool 011E","Total",1643,734,492,238,127,52
"E01006734",2011,"Liverpool 005C","Total",1412,595,423,228,128,38
"E01006735",2011,"Liverpool 005D","Total",1309,523,398,226,117,45
"E01006736",2011,"Liverpool 005E","Total",1460,663,418,231,117,31
"E01006737",2011,"Liverpool 005F","Total",1435,569,452,248,131,35
"E01006738",2011,"Liverpool 058A","Total",1501,656,441,251,120,33
"E01006739",2011,"Liverpool 058B","Total",1769,770,515,282,157,45
"E01006740",2011,"Liverpool 057A","Total",1280,564,324,221,121,50
"E01006741",2011,"Liverpool 058C","Total",1815,755,560,292,156,52
"E01006742",2011,"Liverpool 057B","Total",1394,623,442,201,102,26
"E01006743",2011,"Liverpool 058D","Total",2175,1072,680,244,133,46
"E01006744",2011,"Liverpool 057C","Total",1482,731,439,201,73,38
"E01006745",2011,"Liverpool 057D","Total",1879,902,561,250,126,40
"E01006746",2011,"Liverpool 030E","Total",1513,571,487,264,139,52
"E01006747",2011,"Liverpool 031B","Total",3552,2045,1127,234,115,31
"E01006748",2011,"Liverpool 031C","Total",1936,1005,628,191,80,32
"E01006751",2011,"Liverpool 031F","Total",2572,1198,773,344,192,65
"E01006752",2011,"Liverpool 035F","Total",1012,437,299,164,85,27
"E01006753",2011,"Liverpool 059A","Total",1557,658,466,246,147,40
"E01006754",2011,"Liverpool 059B","Total",1627,692,453,267,155,60
"E01006755",2011,"Liverpool 059C","Total",1587,672,465,221,168,61
"E01006756",2011,"Liverpool 059D","Total",1820,793,556,283,130,58
"E01006757",2011,"Liverpool 059E","Total",1491,692,456,196,109,38
"E01006758",2011,"Liverpool 059F","Total",1527,645,458,249,132,43
"E01006759",2011,"Liverpool 028D","Total",1095,503,349,146,74,23
"E01006760",2011,"Liverpool 028E","Total",1611,666,515,258,123,49
"E01006761",2011,"Liverpool 020B","Total",1644,625,544,302,133,40
"E01006762",2011,"Liverpool 015E","Total",1692,707,516,291,151,27
"E01006763",2011,"Liverpool 020C","Total",1471,702,441,211,89,28
"E01006764",2011,"Liverpool 020D","Total",1522,697,479,202,114,30
"E01006765",2011,"Liverpool 020E","Total",1468,649,445,227,103,44
"E01006766",2011,"Liverpool 019E","Total",1266,544,418,192,80,32
"E01006767",2011,"Liverpool 019F","Total",1787,868,583,208,98,30
"E01006768",2011,"Liverpool 020F","Total",1359,605,464,199,72,19
"E01006769",2011,"Liverpool 040B","Total",1270,464,368,261,128,49
