"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"E01006629",2011,"Liverpool 052E","Total",592,592,0
"E01006630",2011,"Liverpool 044B","Total",565,565,0
"E01006632",2011,"Liverpool 044C","Total",911,908,3
"E01006633",2011,"Liverpool 050B","Total",721,721,0
"E01006637",2011,"Liverpool 017A","Total",707,707,0
"E01006638",2011,"Liverpool 017B","Total",534,534,0
"E01006639",2011,"Liverpool 017C","Total",672,672,0
"E01006640",2011,"Liverpool 021F","Total",778,778,0
"E01006641",2011,"Liverpool 025C","Total",646,646,0
"E01006642",2011,"Liverpool 025D","Total",606,606,0
"E01006643",2011,"Liverpool 025E","Total",764,764,0
"E01006644",2011,"Liverpool 017D","Total",1014,1014,0
"E01006645",2011,"Liverpool 017E","Total",702,702,0
"E01006646",2011,"Liverpool 023C","Total",1048,1048,0
"E01006647",2011,"Liverpool 024C","Total",640,640,0
"E01006648",2011,"Liverpool 023D","Total",1101,1100,1
"E01006651",2011,"Liverpool 001A","Total",616,616,0
"E01006652",2011,"Liverpool 002A","Total",653,653,0
"E01006653",2011,"Liverpool 001B","Total",678,678,0
"E01006654",2011,"Liverpool 005A","Total",650,650,0
"E01006655",2011,"Liverpool 001C","Total",753,753,0
"E01006656",2011,"Liverpool 002B","Total",696,696,0
"E01006657",2011,"Liverpool 002C","Total",600,598,2
"E01006658",2011,"Liverpool 001D","Total",648,648,0
"E01006659",2011,"Liverpool 005B","Total",573,573,0
"E01006660",2011,"Liverpool 001E","Total",631,631,0
"E01006661",2011,"Liverpool 004A","Total",765,765,0
"E01006662",2011,"Liverpool 004B","Total",802,802,0
"E01006663",2011,"Liverpool 004C","Total",521,521,0
"E01006664",2011,"Liverpool 004D","Total",875,875,0
"E01006665",2011,"Liverpool 007A","Total",642,642,0
"E01006666",2011,"Liverpool 007B","Total",518,518,0
"E01006667",2011,"Liverpool 007C","Total",626,626,0
"E01006668",2011,"Liverpool 007D","Total",594,594,0
"E01006669",2011,"Liverpool 004E","Total",560,560,0
"E01006670",2011,"Liverpool 007E","Total",627,627,0
"E01006671",2011,"Liverpool 013D","Total",506,506,0
"E01006672",2011,"Liverpool 010E","Total",822,822,0
"E01006673",2011,"Liverpool 037D","Total",965,957,8
"E01006674",2011,"Liverpool 039C","Total",1000,997,3
"E01006675",2011,"Liverpool 043C","Total",1227,1211,16
"E01006676",2011,"Liverpool 044D","Total",798,797,1
"E01006677",2011,"Liverpool 043D","Total",787,786,1
"E01006678",2011,"Liverpool 044E","Total",1105,1104,1
"E01006679",2011,"Liverpool 039D","Total",931,923,8
"E01006680",2011,"Liverpool 053B","Total",623,623,0
"E01006681",2011,"Liverpool 054D","Total",738,738,0
"E01006682",2011,"Liverpool 053C","Total",507,507,0
"E01006683",2011,"Liverpool 053D","Total",606,606,0
"E01006684",2011,"Liverpool 056B","Total",1028,1028,0
"E01006685",2011,"Liverpool 056C","Total",619,619,0
"E01006686",2011,"Liverpool 053E","Total",541,541,0
"E01006687",2011,"Liverpool 056D","Total",987,986,1
"E01006688",2011,"Liverpool 056E","Total",735,735,0
"E01006689",2011,"Liverpool 049D","Total",725,725,0
"E01006690",2011,"Liverpool 028A","Total",837,830,7
"E01006691",2011,"Liverpool 030A","Total",701,701,0
"E01006692",2011,"Liverpool 028B","Total",1038,1036,2
"E01006693",2011,"Liverpool 024D","Total",862,859,3
"E01006694",2011,"Liverpool 030B","Total",978,976,2
"E01006695",2011,"Liverpool 028C","Total",1070,1054,16
"E01006696",2011,"Liverpool 030C","Total",823,822,1
"E01006697",2011,"Liverpool 030D","Total",889,889,0
"E01006698",2011,"Liverpool 012D","Total",768,768,0
"E01006699",2011,"Liverpool 014A","Total",807,807,0
"E01006700",2011,"Liverpool 012E","Total",685,685,0
"E01006701",2011,"Liverpool 014B","Total",723,722,1
"E01006702",2011,"Liverpool 014C","Total",809,809,0
"E01006703",2011,"Liverpool 014D","Total",836,836,0
"E01006705",2011,"Liverpool 009E","Total",756,756,0
"E01006706",2011,"Liverpool 045A","Total",584,584,0
"E01006707",2011,"Liverpool 045B","Total",557,557,0
"E01006708",2011,"Liverpool 045C","Total",761,761,0
"E01006709",2011,"Liverpool 040A","Total",697,696,1
"E01006710",2011,"Liverpool 045D","Total",604,604,0
"E01006711",2011,"Liverpool 027A","Total",736,733,3
"E01006712",2011,"Liverpool 029D","Total",587,587,0
"E01006713",2011,"Liverpool 029E","Total",623,623,0
"E01006716",2011,"Liverpool 032E","Total",722,722,0
"E01006717",2011,"Liverpool 027D","Total",590,589,1
"E01006718",2011,"Liverpool 027E","Total",700,700,0
"E01006719",2011,"Liverpool 027F","Total",655,655,0
"E01006720",2011,"Liverpool 035A","Total",986,983,3
"E01006721",2011,"Liverpool 038C","Total",964,963,1
