"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition (alternative child and adult defintions); measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: One person aged 65 and over; measures: Value","Household Composition: One person household: One person aged under 65; measures: Value","Household Composition: Other households: Total; measures: Value","Household Composition: Other households: No adults or one adult and one or more children; measures: Value","Household Composition: Other households: One adult aged 16 to 64 and one aged 65 and over and no children or two adults aged 65 and over and no children; measures: Value","Household Composition: Other households: Two adults and one or two children; measures: Value","Household Composition: Other households: Two adults aged 16 to 64 and no children; measures: Value","Household Composition: Other households: Two adults and three or more children; measures: Value","Household Composition: Other households: Three or more adults and one or more children; measures: Value","Household Composition: Other households: Three or more adults and no children; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1420,431,28,403,989,81,4,194,412,63,67,168
"E01006513",2011,"Liverpool 060A","Total",1691,467,30,437,1224,38,26,57,534,0,31,538
"E01006514",2011,"Liverpool 037A","Total",1758,747,72,675,1011,57,20,126,412,15,42,339
"E01006515",2011,"Liverpool 037B","Total",1208,313,91,222,895,118,90,127,246,45,83,186
"E01006518",2011,"Liverpool 044A","Total",1630,389,139,250,1241,157,140,183,274,89,128,270
"E01006519",2011,"Liverpool 056A","Total",1286,128,66,62,1158,29,148,278,172,78,149,304
"E01006520",2011,"Liverpool 043A","Total",1685,805,140,665,880,38,40,127,540,10,39,86
"E01006521",2011,"Liverpool 052A","Total",1619,485,173,312,1134,84,180,171,366,48,41,244
"E01006522",2011,"Liverpool 048A","Total",1670,675,58,617,995,118,18,138,542,0,22,157
"E01006523",2011,"Liverpool 052B","Total",1473,448,78,370,1025,67,62,184,358,35,52,267
"E01006524",2011,"Liverpool 048B","Total",1079,273,72,201,806,39,122,167,250,21,77,130
"E01006525",2011,"Liverpool 049A","Total",1209,109,61,48,1100,18,164,220,164,25,155,354
"E01006526",2011,"Liverpool 048C","Total",1301,287,81,206,1014,51,128,247,236,36,114,202
"E01006527",2011,"Liverpool 053A","Total",1373,245,112,133,1128,75,162,258,184,40,100,309
"E01006528",2011,"Liverpool 052C","Total",1434,214,45,169,1220,67,84,249,234,44,151,391
"E01006529",2011,"Liverpool 048D","Total",1304,180,58,122,1124,35,102,325,212,68,87,295
"E01006530",2011,"Liverpool 055A","Total",1428,172,109,63,1256,46,258,285,172,21,141,333
