"lsoa11cd","date","lsoa11nm","Rural Urban","Position in Establishment: All categories: Position in communal establishment; measures: Value","Position in Establishment: Resident; measures: Value","Position in Establishment: Staff or owner; measures: Value","Position in Establishment: Family member or partner of staff or owner; measures: Value"
"E01006621",2011,"Liverpool 021D","Total",0,0,0,0
"E01006622",2011,"Liverpool 021E","Total",0,0,0,0
"E01006623",2011,"Liverpool 013A","Total",0,0,0,0
"E01006624",2011,"Liverpool 013B","Total",5,5,0,0
"E01006625",2011,"Liverpool 016D","Total",0,0,0,0
"E01006626",2011,"Liverpool 016E","Total",0,0,0,0
"E01006627",2011,"Liverpool 013C","Total",0,0,0,0
"E01006628",2011,"Liverpool 052D","Total",356,354,2,0
"E01006629",2011,"Liverpool 052E","Total",13,13,0,0
"E01006630",2011,"Liverpool 044B","Total",0,0,0,0
"E01006632",2011,"Liverpool 044C","Total",0,0,0,0
"E01006633",2011,"Liverpool 050B","Total",0,0,0,0
"E01006637",2011,"Liverpool 017A","Total",0,0,0,0
"E01006638",2011,"Liverpool 017B","Total",0,0,0,0
"E01006639",2011,"Liverpool 017C","Total",0,0,0,0
"E01006640",2011,"Liverpool 021F","Total",0,0,0,0
"E01006641",2011,"Liverpool 025C","Total",100,97,2,1
"E01006642",2011,"Liverpool 025D","Total",0,0,0,0
"E01006643",2011,"Liverpool 025E","Total",0,0,0,0
"E01006644",2011,"Liverpool 017D","Total",0,0,0,0
"E01006645",2011,"Liverpool 017E","Total",0,0,0,0
"E01006646",2011,"Liverpool 023C","Total",18,1,0,17
"E01006647",2011,"Liverpool 024C","Total",0,0,0,0
"E01006648",2011,"Liverpool 023D","Total",0,0,0,0
"E01006651",2011,"Liverpool 001A","Total",0,0,0,0
"E01006652",2011,"Liverpool 002A","Total",0,0,0,0
"E01006653",2011,"Liverpool 001B","Total",0,0,0,0
"E01006654",2011,"Liverpool 005A","Total",58,52,0,6
"E01006655",2011,"Liverpool 001C","Total",25,20,5,0
"E01006656",2011,"Liverpool 002B","Total",0,0,0,0
"E01006657",2011,"Liverpool 002C","Total",0,0,0,0
"E01006658",2011,"Liverpool 001D","Total",0,0,0,0
"E01006659",2011,"Liverpool 005B","Total",695,646,0,49
"E01006660",2011,"Liverpool 001E","Total",0,0,0,0
"E01006661",2011,"Liverpool 004A","Total",0,0,0,0
"E01006662",2011,"Liverpool 004B","Total",142,133,7,2
"E01006663",2011,"Liverpool 004C","Total",0,0,0,0
"E01006664",2011,"Liverpool 004D","Total",0,0,0,0
"E01006665",2011,"Liverpool 007A","Total",0,0,0,0
"E01006666",2011,"Liverpool 007B","Total",0,0,0,0
"E01006667",2011,"Liverpool 007C","Total",40,37,0,3
"E01006668",2011,"Liverpool 007D","Total",0,0,0,0
"E01006669",2011,"Liverpool 004E","Total",0,0,0,0
"E01006670",2011,"Liverpool 007E","Total",6,6,0,0
"E01006671",2011,"Liverpool 013D","Total",6,6,0,0
"E01006672",2011,"Liverpool 010E","Total",0,0,0,0
"E01006673",2011,"Liverpool 037D","Total",12,12,0,0
"E01006674",2011,"Liverpool 039C","Total",0,0,0,0
"E01006675",2011,"Liverpool 043C","Total",142,140,2,0
"E01006676",2011,"Liverpool 044D","Total",0,0,0,0
"E01006677",2011,"Liverpool 043D","Total",47,39,0,8
"E01006678",2011,"Liverpool 044E","Total",1,1,0,0
"E01006679",2011,"Liverpool 039D","Total",48,41,1,6
"E01006680",2011,"Liverpool 053B","Total",0,0,0,0
"E01006681",2011,"Liverpool 054D","Total",0,0,0,0
"E01006682",2011,"Liverpool 053C","Total",0,0,0,0
"E01006683",2011,"Liverpool 053D","Total",3,3,0,0
"E01006684",2011,"Liverpool 056B","Total",25,25,0,0
"E01006685",2011,"Liverpool 056C","Total",58,57,0,1
"E01006686",2011,"Liverpool 053E","Total",4,4,0,0
"E01006687",2011,"Liverpool 056D","Total",56,56,0,0
"E01006688",2011,"Liverpool 056E","Total",4,4,0,0
"E01006689",2011,"Liverpool 049D","Total",0,0,0,0
"E01006690",2011,"Liverpool 028A","Total",35,35,0,0
"E01006691",2011,"Liverpool 030A","Total",15,15,0,0
"E01006692",2011,"Liverpool 028B","Total",0,0,0,0
"E01006693",2011,"Liverpool 024D","Total",3,3,0,0
"E01006694",2011,"Liverpool 030B","Total",0,0,0,0
"E01006695",2011,"Liverpool 028C","Total",7,5,1,1
"E01006696",2011,"Liverpool 030C","Total",0,0,0,0
"E01006697",2011,"Liverpool 030D","Total",2,2,0,0
"E01006698",2011,"Liverpool 012D","Total",0,0,0,0
"E01006699",2011,"Liverpool 014A","Total",13,10,3,0
"E01006700",2011,"Liverpool 012E","Total",28,28,0,0
"E01006701",2011,"Liverpool 014B","Total",0,0,0,0
"E01006702",2011,"Liverpool 014C","Total",22,14,0,8
"E01006703",2011,"Liverpool 014D","Total",34,33,0,1
"E01006705",2011,"Liverpool 009E","Total",0,0,0,0
"E01006706",2011,"Liverpool 045A","Total",0,0,0,0
"E01006707",2011,"Liverpool 045B","Total",29,29,0,0
"E01006708",2011,"Liverpool 045C","Total",48,48,0,0
"E01006709",2011,"Liverpool 040A","Total",0,0,0,0
"E01006710",2011,"Liverpool 045D","Total",6,6,0,0
"E01006711",2011,"Liverpool 027A","Total",38,38,0,0
"E01006712",2011,"Liverpool 029D","Total",36,33,3,0
"E01006713",2011,"Liverpool 029E","Total",2,2,0,0
"E01006716",2011,"Liverpool 032E","Total",135,135,0,0
"E01006717",2011,"Liverpool 027D","Total",0,0,0,0
"E01006718",2011,"Liverpool 027E","Total",3,3,0,0
"E01006719",2011,"Liverpool 027F","Total",0,0,0,0
"E01006720",2011,"Liverpool 035A","Total",0,0,0,0
"E01006721",2011,"Liverpool 038C","Total",0,0,0,0
"E01006722",2011,"Liverpool 038D","Total",0,0,0,0
"E01006723",2011,"Liverpool 038E","Total",13,13,0,0
"E01006724",2011,"Liverpool 038F","Total",7,7,0,0
"E01006725",2011,"Liverpool 035B","Total",0,0,0,0
"E01006726",2011,"Liverpool 035C","Total",0,0,0,0
"E01006727",2011,"Liverpool 035D","Total",3,3,0,0
"E01006728",2011,"Liverpool 035E","Total",3,3,0,0
"E01006729",2011,"Liverpool 008C","Total",0,0,0,0
"E01006730",2011,"Liverpool 011C","Total",3,3,0,0
"E01006731",2011,"Liverpool 011D","Total",0,0,0,0
"E01006732",2011,"Liverpool 011E","Total",0,0,0,0
"E01006734",2011,"Liverpool 005C","Total",0,0,0,0
"E01006735",2011,"Liverpool 005D","Total",0,0,0,0
"E01006736",2011,"Liverpool 005E","Total",0,0,0,0
"E01006737",2011,"Liverpool 005F","Total",0,0,0,0
"E01006738",2011,"Liverpool 058A","Total",0,0,0,0
"E01006739",2011,"Liverpool 058B","Total",31,31,0,0
"E01006740",2011,"Liverpool 057A","Total",0,0,0,0
"E01006741",2011,"Liverpool 058C","Total",0,0,0,0
"E01006742",2011,"Liverpool 057B","Total",0,0,0,0
"E01006743",2011,"Liverpool 058D","Total",0,0,0,0
"E01006744",2011,"Liverpool 057C","Total",0,0,0,0
"E01006745",2011,"Liverpool 057D","Total",25,25,0,0
"E01006746",2011,"Liverpool 030E","Total",7,7,0,0
"E01006747",2011,"Liverpool 031B","Total",1897,1894,3,0
"E01006748",2011,"Liverpool 031C","Total",0,0,0,0
"E01006751",2011,"Liverpool 031F","Total",529,528,0,1
"E01006752",2011,"Liverpool 035F","Total",0,0,0,0
"E01006753",2011,"Liverpool 059A","Total",0,0,0,0
"E01006754",2011,"Liverpool 059B","Total",0,0,0,0
"E01006755",2011,"Liverpool 059C","Total",35,35,0,0
"E01006756",2011,"Liverpool 059D","Total",0,0,0,0
"E01006757",2011,"Liverpool 059E","Total",0,0,0,0
"E01006758",2011,"Liverpool 059F","Total",0,0,0,0
"E01006759",2011,"Liverpool 028D","Total",43,38,5,0
"E01006760",2011,"Liverpool 028E","Total",63,62,1,0
"E01006761",2011,"Liverpool 020B","Total",61,61,0,0
"E01006762",2011,"Liverpool 015E","Total",0,0,0,0
"E01006763",2011,"Liverpool 020C","Total",0,0,0,0
"E01006764",2011,"Liverpool 020D","Total",0,0,0,0
"E01006765",2011,"Liverpool 020E","Total",0,0,0,0
"E01006766",2011,"Liverpool 019E","Total",1,1,0,0
"E01006767",2011,"Liverpool 019F","Total",3,2,1,0
"E01006768",2011,"Liverpool 020F","Total",12,12,0,0
"E01006769",2011,"Liverpool 040B","Total",0,0,0,0
"E01006770",2011,"Liverpool 040C","Total",0,0,0,0
"E01006771",2011,"Liverpool 040D","Total",0,0,0,0
"E01006772",2011,"Liverpool 040E","Total",10,9,1,0
"E01006773",2011,"Liverpool 036D","Total",1,1,0,0
"E01006774",2011,"Liverpool 036E","Total",0,0,0,0
"E01006775",2011,"Liverpool 040F","Total",17,17,0,0
"E01006776",2011,"Liverpool 022B","Total",31,31,0,0
"E01006778",2011,"Liverpool 014E","Total",0,0,0,0
"E01006779",2011,"Liverpool 022D","Total",34,34,0,0
"E01006780",2011,"Liverpool 002D","Total",0,0,0,0
"E01006781",2011,"Liverpool 003A","Total",1,0,1,0
"E01006782",2011,"Liverpool 003B","Total",19,19,0,0
"E01006783",2011,"Liverpool 002E","Total",0,0,0,0
"E01006784",2011,"Liverpool 003C","Total",3,3,0,0
"E01006785",2011,"Liverpool 003D","Total",0,0,0,0
"E01006786",2011,"Liverpool 003E","Total",0,0,0,0
"E01006787",2011,"Liverpool 006A","Total",796,779,3,14
"E01006788",2011,"Liverpool 006B","Total",0,0,0,0
"E01006790",2011,"Liverpool 006C","Total",0,0,0,0
"E01006791",2011,"Liverpool 006D","Total",0,0,0,0
"E01006792",2011,"Liverpool 046A","Total",4,2,0,2
"E01006793",2011,"Liverpool 051A","Total",0,0,0,0
"E01006794",2011,"Liverpool 046B","Total",3,3,0,0
"E01006795",2011,"Liverpool 051B","Total",0,0,0,0
"E01006796",2011,"Liverpool 047E","Total",5,5,0,0
"E01006797",2011,"Liverpool 051C","Total",0,0,0,0
"E01006798",2011,"Liverpool 051D","Total",0,0,0,0
"E01006799",2011,"Liverpool 051E","Total",25,17,8,0
"E01006800",2011,"Liverpool 046C","Total",0,0,0,0
"E01006801",2011,"Liverpool 046D","Total",11,10,0,1
"E01032505",2011,"Liverpool 050F","Total",2,2,0,0
"E01032506",2011,"Liverpool 050G","Total",59,59,0,0
"E01032507",2011,"Liverpool 050H","Total",0,0,0,0
"E01032508",2011,"Liverpool 027G","Total",0,0,0,0
"E01032509",2011,"Liverpool 027H","Total",2,2,0,0
"E01032510",2011,"Liverpool 008F","Total",0,0,0,0
"E01032511",2011,"Liverpool 008G","Total",0,0,0,0
"E01033747",2011,"Liverpool 018F","Total",8,8,0,0
"E01033748",2011,"Liverpool 050I","Total",1,1,0,0
"E01033749",2011,"Liverpool 042F","Total",2,2,0,0
"E01033750",2011,"Liverpool 061A","Total",0,0,0,0
"E01033751",2011,"Liverpool 062A","Total",834,833,0,1
